concept_id	strong	lang	lemma	lemma_variants	gloss_en	keyness	is_function	count	tw_kt	tw_ref	elaboration	importance	members
G0001	G0001	grc	ἄλφα		Alpha	-0.3	0	3	0		1	0.0	G0001
G0002	G0002	grc	Ἀαρών		Aaron	1.78	0	374	0	bible/names/aaron	2	1.0	G0002
G0003	G0003	grc	Ἀβαδδών		Abaddon	2.04	0	1	0		2	1.0	G0003
G0004	G0004	grc	ἀβαρής		not burdensome	1.22	0	1	0		1	0.0	G0004
G0005	G0005	grc	ἀββά		Abba	0.8	1	4	0		1	0.0	G0005
G0006	G0006	grc	Ἂβελ		Abel	1.31	0	17	0	bible/names/abel	9	3.17	G0006
G0007	G0007	grc	Ἀβιά		Abijah	3.16	0	27	0	bible/names/abijah	2	1.0	G0007
G0008	G0008	grc	Ἀβιαθάρ		Abiathar	3.42	0	30	0	bible/names/abiathar	2	1.0	G0008
G0009	G0009	grc	Ἀβειληνή		Abilene	0.66	0	1	0		1	0.0	G0009
G0010	G0010	grc	Ἀβιούδ		Abiud	3.47	0	15	0		1	0.0	G0010
G0011	G0011	grc	Ἀβραάμ		Abraham	1.88	0	283	0	bible/names/abraham	2	1.0	G0011
G0012	G0012	grc	ἄβυσσος		abyss	1.02	0	58	0	bible/other/abyss	2	1.0	G0012
G0013	G0013	grc	Ἅγαβος		Agabus	2.56	0	2	0		1	0.0	G0013
G0014	G0014	grc	ἀγαθοεργέω	ἀγαθουργέω	do good	0.07	0	2	1	bible/kt/good	28	5.81	G0014
G0015	G0015	grc	ἀγαθοποιέω		do good	0.07	0	14	1	bible/kt/good	28	5.81	G0015
G0016	G0016	grc	ἀγαθοποιΐα		doing good	0.07	0	1	0		28	4.81	G0016
G0017	G0017	grc	ἀγαθοποιός		doing good	0.07	0	2	1	bible/kt/good	28	5.81	G0017
G0018	G0018	grc	ἀγαθός		good	0.07	0	627	1	bible/kt/good	28	5.81	G0018
G0019	G0019	grc	ἀγαθωσύνη		goodness	0.77	0	18	1	bible/kt/good	4	3.0	G0019
G0020	G0020	grc	ἀγαλλίασις		joy	1.23	0	24	0	bible/other/exult;bible/other/joy	12	3.58	G0020
G0021	G0021	grc	ἀγαλλιάω		rejoice	2.18	0	84	0	bible/other/exult;bible/other/joy	13	3.7	G0021
G0022	G0022	grc	ἄγαμος		unmarried	0.85	0	5	0		1	0.0	G0022
G0023	G0023	grc	ἀγανακτέω		be indignant	1.51	0	10	0		2	1.0	G0023
G0024	G0024	grc	ἀγανάκτησις		indignation	1.47	0	1	0		2	1.0	G0024
G0025	G0025	grc	ἀγαπάω		love	0.17	0	414	1	bible/kt/beloved;bible/kt/love	13	4.7	G0025
G0026	G0026	grc	ἀγάπη		love	0.17	0	135	1	bible/kt/love	13	4.7	G0026
G0027	G0027	grc	ἀγαπητός		beloved	1.33	0	84	1	bible/kt/beloved	6	3.58	G0027
G0028	G0028	grc	Ἁγάρ		Hagar	2.06	0	16	0	bible/names/hagar	2	1.0	G0028
G0029	G0029	grc	ἀγγαρεύω		force	-0.48	0	3	0		8	3.0	G0029
G0030	G0030	grc	ἀγγεῖον		jar	1.08	0	25	0		12	3.58	G0030
G0031	G0031	grc	ἀγγελία	ἀγγέλλω	message	0.59	0	16	0	bible/other/report	2	1.0	G0031
G0032	G0032	grc	ἄγγελος	ἄγγος	angel	1.32	0	470	1	bible/kt/angel;bible/other/messenger	3	2.58	G0032
G0034	G0034	grc	ἀγέλη		herd	1.02	0	17	0		2	1.0	G0034
G0035	G0035	grc	ἀγενεαλόγητος		without genealogy	1.12	0	1	0		10	3.32	G0035
G0036	G0036	grc	ἀγενής		lowly	1.4	0	1	0		3	1.58	G0036
G0037	G0037	grc	ἁγιάζω		sanctify	2.14	0	220	1	bible/kt/holy;bible/kt/sanctify	2	2.0	G0037
G0038	G0038	grc	ἁγιασμός		holiness	1.55	0	18	1	bible/kt/holy;bible/kt/sanctify	5	3.32	G0038
G0040	G0040	grc	ἅγιος		holy	1.32	0	1027	1	bible/kt/godthefather;bible/kt/holy;bible/kt/holyone;bible/kt/holyplace;bible/kt/saint;bible/kt/wordofgod;bible/other/holycity	6	3.58	G0040
G0041	G0041	grc	ἁγιότης		holiness	1.55	0	3	1	bible/kt/holy	5	3.32	G0041
G0042	G0042	grc	ἁγιωσύνη	ἁγιώτατος	holiness	1.55	0	9	1	bible/kt/holy;bible/kt/holyspirit	5	3.32	G0042
G0043	G0043	grc	ἀγκάλη		arm	0.57	0	4	0		11	3.46	G0043
G0044	G0044	grc	ἄγκιστρον		fishhook		0	6	0		2	1.0	G0044
G0045	G0045	grc	ἄγκυρα		anchor	0.05	0	4	0		1	0.0	G0045
G0046	G0046	grc	ἄγναφος		unshrunk	3.77	0	2	0		1	0.0	G0046
G0047	G0047	grc	ἁγνία		purity	0.26	0	6	1	bible/kt/purify	3	2.58	G0047
G0048	G0048	grc	ἁγνίζω		purify	1.73	0	41	1	bible/kt/purify	6	3.58	G0048
G0049	G0049	grc	ἁγνισμός		purification	1.44	0	7	1	bible/kt/purify	3	2.58	G0049
