strong	lang	lemma	lemma_variants	count
G0001	grc	ἄλφα		3
G0002	grc	Ἀαρών		374
G0003	grc	Ἀβαδδών		1
G0004	grc	ἀβαρής		1
G0005	grc	ἀββά		4
G0006	grc	Ἂβελ		17
G0007	grc	Ἀβιά		27
G0008	grc	Ἀβιαθάρ		30
G0009	grc	Ἀβειληνή		1
G0010	grc	Ἀβιούδ		15
G0011	grc	Ἀβραάμ		283
G0012	grc	ἄβυσσος		58
G0013	grc	Ἅγαβος		2
G0014	grc	ἀγαθοεργέω	ἀγαθουργέω	2
G0015	grc	ἀγαθοποιέω		14
G0016	grc	ἀγαθοποιΐα		1
G0017	grc	ἀγαθοποιός		2
G0018	grc	ἀγαθός		627
G0019	grc	ἀγαθωσύνη		18
G0020	grc	ἀγαλλίασις		24
G0021	grc	ἀγαλλιάω		84
G0022	grc	ἄγαμος		5
G0023	grc	ἀγανακτέω		10
G0024	grc	ἀγανάκτησις		1
G0025	grc	ἀγαπάω		414
G0026	grc	ἀγάπη		135
G0027	grc	ἀγαπητός		84
G0028	grc	Ἁγάρ		16
G0029	grc	ἀγγαρεύω		3
G0030	grc	ἀγγεῖον		25
G0031	grc	ἀγγελία	ἀγγέλλω	16
G0032	grc	ἄγγελος	ἄγγος	470
G0034	grc	ἀγέλη		17
G0035	grc	ἀγενεαλόγητος		1
G0036	grc	ἀγενής		1
G0037	grc	ἁγιάζω		220
G0038	grc	ἁγιασμός		18
G0040	grc	ἅγιος		1027
G0041	grc	ἁγιότης		3
G0042	grc	ἁγιωσύνη	ἁγιώτατος	9
G0043	grc	ἀγκάλη		4
G0044	grc	ἄγκιστρον		6
G0045	grc	ἄγκυρα		4
G0046	grc	ἄγναφος		2
G0047	grc	ἁγνία		6
G0048	grc	ἁγνίζω		41
G0049	grc	ἁγνισμός		7
G0050	grc	ἀγνοέω		43
G0051	grc	ἀγνόημα		7
G0052	grc	ἄγνοια		32
G0053	grc	ἁγνός		19
G0054	grc	ἁγνότης		2
G0055	grc	ἁγνῶς		1
G0056	grc	ἀγνωσία		5
G0057	grc	ἄγνωστος		5
G0058	grc	ἀγορά		22
G0059	grc	ἀγοράζω		52
G0060	grc	ἀγοραῖος		2
G0061	grc	ἄγρα		2
G0062	grc	ἀγράμματος		1
G0063	grc	ἀγραυλέω		1
G0064	grc	ἀγρεύω		6
G0065	grc	ἀγριέλαιος		2
G0066	grc	ἄγριος		26
G0067	grc	Ἀγρίππας		11
G0068	grc	ἀγρός		271
G0069	grc	ἀγρυπνέω		15
G0070	grc	ἀγρυπνία		12
G0071	grc	ἄγω		325
G0072	grc	ἀγωγή		7
G0073	grc	ἀγών		22
G0074	grc	ἀγών		4
G0075	grc	ἀγωνίζομαι		14
G0076	grc	Ἀδάμ		42
G0077	grc	ἀδάπανος		1
G0078	grc	Ἀδδεί		5
G0079	grc	ἀδελφή		134
G0080	grc	ἀδελφός		1193
G0081	grc	ἀδελφότης		9
G0082	grc	ἄδηλος		6
G0083	grc	ἀδηλότης		1
G0084	grc	ἀδήλως		1
G0085	grc	ἀδημονέω		3
G0086	grc	ᾍδης		117
G0087	grc	ἀδιάκριτος		2
G0088	grc	ἀδιάλειπτος		2
G0089	grc	ἀδιαλείπτως		10
G0091	grc	ἀδικέω		96
G0092	grc	ἀδίκημα		22
G0093	grc	ἀδικία		240
G0094	grc	ἄδικος		135
G0095	grc	ἀδίκως	Ἀδμείν	28
G0096	grc	ἀδόκιμος		10
G0097	grc	ἄδολος		1
G0098	grc	Ἀδραμυντηνός		1
G0099	grc	Ἀδρίας		1
G0100	grc	ἁδρότης		1
G0101	grc	ἀδυνατέω		15
G0102	grc	ἀδύνατος		35
G0103	grc	ᾄδω		78
G0104	grc	ἀεί		20
G0105	grc	ἀετός		33
G0106	grc	ἄζυμος		62
G0107	grc	Ἀζώρ		4
G0108	grc	Ἄζωτος		28
G0109	grc	ἀήρ	θά	18
G0110	grc	ἀθανασία		10
G0111	grc	ἀθέμιτος		6
G0112	grc	ἄθεος		1
G0113	grc	ἄθεσμος		3
G0114	grc	ἀθετέω		78
G0115	grc	ἀθέτησις		3
G0116	grc	Ἀθῆναι		4
G0117	grc	Ἀθηναῖος		4
G0118	grc	ἀθλέω		2
G0119	grc	ἀθροίζω	ἄθλησις	2
G0120	grc	ἀθυμέω		9
G0121	grc	ἀθῷος		55
G0122	grc	αἴγιος		5
G0123	grc	αἰγιαλός		6
G0124	grc	Αἰγύπτιος		141
G0125	grc	Αἴγυπτος		658
G0126	grc	ἀΐδιος		4
G0127	grc	αἰδώς		3
G0128	grc	Αἰθίοψ		32
G0129	grc	αἷμα		493
G0130	grc	αἱματεκχυσία		1
G0131	grc	αἱμορροέω		2
G0132	grc	Αἰνέας		2
G0133	grc	αἴνεσις		66
G0134	grc	αἰνέω		143
G0135	grc	αἴνιγμα		10
G0136	grc	αἶνος		13
G0137	grc	Αἰνών		2
G0138	grc	αἱρέω		14
G0139	grc	αἵρεσις		13
G0140	grc	αἱρετίζω		29
G0141	grc	αἱρετικός		1
G0142	grc	αἴρω		382
G0143	grc	αἰσθάνομαι		12
G0144	grc	αἴσθησις		28
G0145	grc	αἰσθητήριον		3
G0146	grc	αἰσχροκερδής		2
G0147	grc	αἰσχροκερδῶς		1
G0148	grc	αἰσχρολογία		1
G0150	grc	αἰσχρός		15
G0151	grc	αἰσχρότης		1
G0152	grc	αἰσχύνη		85
G0153	grc	αἰσχύνω		96
G0154	grc	αἰτέω		154
G0155	grc	αἴτημα		15
G0156	grc	αἰτία		40
G0157	grc	αἰτίωμα		1
G0159	grc	αἴτιος		11
G0160	grc	αἰφνίδιος		5
G0161	grc	αἰχμαλωσία		127
G0162	grc	αἰχμαλωτεύω		40
G0163	grc	αἰχμαλωτίζω		22
G0164	grc	αἰχμάλωτος		25
G0165	grc	αἰών		784
G0166	grc	αἰώνιος		223
G0167	grc	ἀκαθαρσία		71
G0169	grc	ἀκάθαρτος		189
G0170	grc	ἀκαιρέομαι		1
G0171	grc	ἀκαίρως		2
G0172	grc	ἄκακος		19
G0173	grc	ἄκανθα		43
G0174	grc	ἀκάνθινος		3
G0175	grc	ἄκαρπος		10
G0176	grc	ἀκατάγνωστος		2
G0177	grc	ἀκατακάλυπτος		3
G0178	grc	ἀκατάκριτος		2
G0179	grc	ἀκατάλυτος		2
G0180	grc	ἀκατάπαυστος		1
G0181	grc	ἀκαταστασία		7
G0182	grc	ἀκατάστατος		3
G0183	grc			2
G0184	grc	Ἁκελδαμάχ		1
G0185	grc	ἀκέραιος		4
G0186	grc	ἀκλινής		3
G0187	grc	ἀκμάζω		2
G0188	grc	ἀκμήν		1
G0189	grc	ἀκοή		73
G0190	grc	ἀκολουθέω		103
G0191	grc	ἀκούω		1446
G0192	grc	ἀκρασία		3
G0193	grc	ἀκρατής		2
G0194	grc	ἄκρατος		5
G0195	grc	ἀκρίβεια		5
G0196	grc	ἀκριβέστατος		1
G0197	grc	ἀκριβέστερον		4
G0198	grc	ἀκριβόω		2
G0199	grc	ἀκριβῶς		7
G0200	grc	ἀκρίς		37
G0201	grc	ἀκροατήριον		1
G0202	grc	ἀκροατής		6
G0203	grc	ἀκροβυστία		36
G0204	grc	ἀκρογωνιαῖος		3
G0205	grc	ἀκροθίνιον		1
G0206	grc	ἄκρον		94
G0207	grc	Ἀκύλας		6
G0208	grc	ἀκυρόω		9
G0209	grc	ἀκωλύτως		1
G0210	grc	ἄκων		3
G0211	grc	ἀλάβαστρος		5
G0212	grc	ἀλαζονία		9
G0213	grc	ἀλαζών		5
G0214	grc	ἀλαλάζω		20
G0215	grc	ἀλάλητος		1
G0216	grc	ἄλαλος		5
G0217	grc	ἅλας	ἅλα	24
G0218	grc	ἀλείφω		29
G0219	grc	ἀλεκτοροφωνία		1
G0220	grc	ἀλέκτωρ		12
G0221	grc	Ἀλεξανδρεύς		4
G0222	grc	Ἀλεξανδρῖνος		2
G0223	grc	Ἀλέξανδρος		33
G0224	grc	ἄλευρον		15
G0225	grc	ἀλήθεια		288
G0226	grc	ἀληθεύω		7
G0227	grc	ἀληθής		47
G0228	grc	ἀληθινός		71
G0229	grc	ἀλήθω		6
G0230	grc	ἀληθῶς		36
G0231	grc	ἁλιεύς		9
G0232	grc	ἁλιεύω		2
G0233	grc	ἁλίζω		4
G0234	grc	ἀλίσγημα		1
G0235	grc	ἀλλά		1189
G0236	grc	ἀλλάσσω		44
G0237	grc	ἀλλαχοῦ	ἀλλαχόθεν	3
G0238	grc	ἀλληγορέω		1
G0239	grc	ἁλληλουϊά		27
G0240	grc	ἀλλήλων		142
G0241	grc	ἀλλογενής		48
G0242	grc	ἅλλομαι		13
G0243	grc	ἄλλος		260
G0244	grc	ἀλλοτριεπίσκοπος		1
G0245	grc	ἀλλότριος		175
G0246	grc	ἀλλόφυλος		283
G0247	grc	ἄλλως		11
G0248	grc	ἀλοάω		12
G0249	grc	ἄλογος		11
G0250	grc	ἀλόη		1
G0251	grc			16
G0252	grc	ἁλυκός		9
G0253	grc	ἀλυπότερος		1
G0254	grc	ἅλυσις		12
G0255	grc	ἀλυσιτελής		1
G0256	grc	Ἁλφαῖος		5
G0257	grc	ἅλων		44
G0258	grc	ἀλώπηξ		11
G0259	grc	ἅλωσις		2
G0260	grc	ἅμα		128
G0261	grc	ἀμαθής		1
G0262	grc	ἀμαράντινος		1
G0263	grc	ἀμάραντος		2
G0264	grc	ἁμαρτάνω		301
G0265	grc	ἁμάρτημα		40
G0266	grc	ἁμαρτία		698
G0267	grc	ἀμάρτυρος		1
G0268	grc	ἁμαρτωλός		226
G0269	grc	ἄμαχος		2
G0270	grc	ἀμάω		6
G0271	grc	ἀμέθυστος		4
G0272	grc	ἀμελέω		8
G0273	grc	ἄμεμπτος		21
G0274	grc	ἀμέμπτως		3
G0275	grc	ἀμέριμνος		4
G0276	grc	ἀμετάθετος		4
G0277	grc	ἀμετακίνητος		1
G0278	grc	ἀμεταμέλητος		2
G0279	grc	ἀμετανόητος		1
G0280	grc	ἄμετρος		2
G0281	grc	ἀμήν		144
G0282	grc	ἀμήτωρ		1
G0283	grc	ἀμίαντος		9
G0284	grc	Ἀμιναδάβ		30
G0285	grc	ἄμμος		37
G0286	grc	ἀμνός		105
G0287	grc	ἀμοιβή		1
G0288	grc	ἄμπελος		76
G0289	grc	ἀμπελουργός		5
G0290	grc	ἀμπελών		119
G0291	grc	Ἀμπλιᾶτος		1
G0292	grc	ἀμφιβάλλω	ἀμύνομαι	13
G0293	grc	ἀμφίβληστρον		6
G0294	grc	ἀμφιέννυμι	ἀμφιέζω	6
G0295	grc	Ἀμφίπολις		1
