# source=aligned; ben/IRVBen via Clear-Bible/Alignments manual word alignment
surface	strong	count	share
অংশ	G3756	5	0.278
অংশ	G3313	3	0.167
অংশ	G4160	1	0.056
অংশ	G4620	1	0.056
অংশ	G1911	1	0.056
অংশ	G1699	1	0.056
অংশ	G0652	1	0.056
অংশ	G3310	1	0.056
অংশ	G0575	1	0.056
অংশ	G3005	1	0.056
অংশ	G3307	1	0.056
অংশ	G4829	1	0.056
অংশই	G2640	1	1.000
অংশও	G4160	1	1.000
অংশকে	G0991	1	1.000
অংশগ্রহণ	G0377	1	0.250
অংশগ্রহণ	G5315	1	0.250
অংশগ্রহণ	G0118	1	0.250
অংশগ্রহণ	G1519	1	0.250
অংশটা	G4042	1	1.000
অংশটি	G5117	1	1.000
অংশী	G3313	1	1.000
অংশীদার	G2844	3	0.429
অংশীদার	G3348	2	0.286
অংশীদার	G3310	1	0.143
অংশীদার	G3353	1	0.143
অংশীদারদের	G3353	1	1.000
অংশীদারেরা	G3353	1	1.000
অংশে	G1537	3	1.000
অইহূদি	G2634	1	1.000
অইহূদিগণ	G1482	1	1.000
অইহূদিদের	G1484	12	0.667
অইহূদিদের	G3588	4	0.222
অইহূদিদের	G0575	1	0.056
অইহূদিদের	G1483	1	0.056
অইহূদিদেরকে	G1484	1	0.500
অইহূদিদেরকে	G3588	1	0.500
অইহূদিয়	G0268	1	0.333
অইহূদিয়	G5210	1	0.333
অইহূদিয়	G3588	1	0.333
অইহূদিয়রা	G4789	1	1.000
অইহূদির	G1484	3	0.750
অইহূদির	G1519	1	0.250
অইহূদিরা	G1484	3	1.000
অকম্পনীয়	G0761	1	1.000
অকর্ম্মণ্য	G0096	1	1.000
অকারণে	G1209	1	0.500
অকারণে	G1432	1	0.500
অকার্যকারী	G0512	1	1.000
অকৃতজ্ঞ	G0884	1	0.500
অকৃতজ্ঞ	G0865	1	0.500
অকৃত্রিম	G0572	1	1.000
অকেজো	G0889	1	0.500
অকেজো	G2758	1	0.500
অক্ষম	G0096	1	0.500
অক্ষম	G4486	1	0.500
অক্ষয়	G0862	2	0.500
অক্ষয়	G2532	1	0.250
অক্ষয়	G1453	1	0.250
অক্ষয়তা	G0861	2	1.000
অক্ষয়তায়	G1453	1	1.000
অক্ষয়তার	G2816	1	1.000
অক্ষয়ভাবে	G0861	1	1.000
অক্ষর	G1121	1	1.000
অক্ষরে	G1121	2	1.000
অক্ষরের	G1121	1	1.000
অগণিত	G0382	2	0.667
অগণিত	G4129	1	0.333
অগুরু	G0250	1	1.000
অগ্নিবেষ্টনে	G0602	1	1.000
অগ্নির	G4442	1	1.000
অগ্নিশিখায়	G0846	1	1.000
অগ্রগামী	G5348	1	0.500
অগ্রগামী	G4274	1	0.500
অগ্রসর	G3825	1	1.000
অগ্রাহ্য	G0593	7	0.389
অগ্রাহ্য	G0114	5	0.278
অগ্রাহ্য	G0208	1	0.056
অগ্রাহ্য	G3618	1	0.056
অগ্রাহ্য	G3361	1	0.056
অগ্রাহ্য	G0683	1	0.056
অগ্রাহ্য	G0579	1	0.056
অগ্রাহ্য	G1909	1	0.056
অগ্রিমাংশ	G0536	3	1.000
অঙ্কুর	G0899	1	0.250
অঙ্কুর	G1816	1	0.250
অঙ্কুর	G1534	1	0.250
অঙ্কুর	G5453	1	0.250
অঙ্কুরিত	G0985	2	0.400
অঙ্কুরিত	G0837	1	0.200
অঙ্কুরিত	G1096	1	0.200
অঙ্কুরিত	G5453	1	0.200
অঙ্গ	G3196	19	0.826
অঙ্গ	G0622	1	0.043
অঙ্গ	G3588	1	0.043
অঙ্গ	G2158	1	0.043
অঙ্গ	G4954	1	0.043
অঙ্গই	G3588	2	1.000
অঙ্গকে	G3196	1	0.500
অঙ্গকে	G0820	1	0.500
অঙ্গগুলি	G1343	1	0.500
অঙ্গগুলি	G4055	1	0.500
অঙ্গগুলো	G0846	1	1.000
অঙ্গপ্রত্যঙ্গ	G3196	1	1.000
অঙ্গপ্রত্যঙ্গে	G3196	2	1.000
অঙ্গে	G2087	1	1.000
অঙ্গের	G3588	1	1.000
অচল	G0769	1	0.500
অচল	G0761	1	0.500
অচেনা	G0245	2	0.667
অচেনা	G3927	1	0.333
অচ্ছিন্নত্বক	G0203	8	1.000
অচ্ছিন্নত্বকেরা	G0564	1	1.000
অজানা	G0050	5	0.714
অজানা	G0057	1	0.143
অজানা	G1921	1	0.143
অজিতেন্দ্রিয়	G0193	1	1.000
অজুহাত	G0379	2	1.000
অজ্ঞ	G1410	1	1.000
অজ্ঞাত	G0050	1	1.000
অজ্ঞান	G1590	1	0.500
অজ্ঞান	G0674	1	0.500
অজ্ঞানতাকে	G0056	1	1.000
অজ্ঞানতার	G0052	4	1.000
অজ্ঞানের	G0781	1	1.000
অঞ্চল	G3313	2	0.667
অঞ্চল	G5403	1	0.333
অঞ্চলে	G1519	3	0.167
অঞ্চলে	G4066	3	0.167
অঞ্চলে	G3313	2	0.111
অঞ্চলে	G5561	2	0.111
অঞ্চলে	G3508	1	0.056
অঞ্চলে	G4947	1	0.056
অঞ্চলে	G1909	1	0.056
অঞ্চলে	G3714	1	0.056
অঞ্চলে	G0068	1	0.056
অঞ্চলে	G3735	1	0.056
অঞ্চলে	G4172	1	0.056
অঞ্চলে	G2824	1	0.056
অঞ্চলের	G3588	3	0.273
অঞ্চলের	G4066	2	0.182
অঞ্চলের	G5478	1	0.091
অঞ্চলের	G3725	1	0.091
অঞ্চলের	G3714	1	0.091
অঞ্চলের	G5561	1	0.091
অঞ্চলের	G2596	1	0.091
অঞ্চলের	G0575	1	0.091
অটল	G0949	2	0.667
অটল	G0166	1	0.333
অতএব	G3767	91	0.576
অতএব	G1352	18	0.114
অতএব	G5620	17	0.108
অতএব	G0686	7	0.044
অতএব	G1223	4	0.025
অতএব	G1355	2	0.013
অতএব	G2215	1	0.006
অতএব	G2316	1	0.006
অতএব	G0386	1	0.006
অতএব	G1138	1	0.006
অতএব	G1438	1	0.006
অতএব	G2400	1	0.006
অতএব	G3752	1	0.006
অতএব	G0142	1	0.006
অতএব	G1127	1	0.006
অতএব	G2036	1	0.006
অতএব	G1646	1	0.006
অতএব	G1063	1	0.006
অতএব	G5124	1	0.006
অতএব	G1211	1	0.006
অতএব	G5106	1	0.006
অতএব	G3779	1	0.006
অতএব	G3606	1	0.006
অতএব	G2424	1	0.006
অতএব	G5105	1	0.006
অতল	G0012	6	1.000
অতি	G1646	2	0.222
অতি	G3772	1	0.111
অতি	G2076	1	0.111
অতি	G5033	1	0.111
অতি	G5235	1	0.111
অতি	G5236	1	0.111
অতি	G3173	1	0.111
অতি	G0039	1	0.111
অতিআশ্চর্য্য	G3861	1	1.000
অতিকষ্টে	G3433	1	1.000
অতিক্রম	G5228	1	0.500
অতিক্রম	G5239	1	0.500
অতিথি	G3581	3	0.600
অতিথি	G3579	1	0.200
অতিথি	G5382	1	0.200
অতিথিতে	G1062	1	1.000
অতিথিদের	G2300	1	0.500
অতিথিদের	G5381	1	0.500
অতিথির	G5382	1	1.000
অতিথিরূপে	G4219	1	1.000
অতিথিশালা	G2646	1	1.000
অতিথিশালায়	G0846	1	1.000
অতিথিসেবা	G5363	1	0.333
অতিথিসেবা	G3580	1	0.333
অতিথিসেবা	G5381	1	0.333
অতিথিস্বরূপ	G5390	1	1.000
অতিবাহিত	G4458	1	1.000
অতিরিক্ত	G5228	1	0.250
অতিরিক্ত	G5236	1	0.250
অতিরিক্ত	G3123	1	0.250
অতিরিক্ত	G0280	1	0.250
অতিশয়	G5492	1	0.500
অতিশয়	G2233	1	0.500
অতীতে	G3944	1	0.333
অতীতে	G3588	1	0.333
অতীতে	G3819	1	0.333
অতুলনীয়	G3174	1	0.500
অতুলনীয়	G5485	1	0.500
অত্তালিয়াতে	G2597	1	1.000
অত্বকছেদ	G0203	4	0.800
অত্বকছেদ	G4061	1	0.200
অত্বকছেদও	G0203	2	1.000
অত্বকছেদে	G0203	1	1.000
অত্বকছেদেরও	G0203	1	1.000
অত্যন্ত	G0575	1	0.125
অত্যন্ত	G4970	1	0.125
অত্যন্ত	G4090	1	0.125
অত্যন্ত	G4183	1	0.125
অত্যন্ত	G2347	1	0.125
অত্যন্ত	G5251	1	0.125
অত্যন্ত	G1608	1	0.125
অত্যন্ত	G2296	1	0.125
অত্যাচার	G1377	9	0.429
অত্যাচার	G2559	2	0.095
অত্যাচার	G1776	1	0.048
অত্যাচার	G2669	1	0.048
অত্যাচার	G1375	1	0.048
অত্যাচার	G1544	1	0.048
অত্যাচার	G0450	1	0.048
অত্যাচার	G2852	1	0.048
অত্যাচার	G4730	1	0.048
অত্যাচার	G2347	1	0.048
অত্যাচার	G1376	1	0.048
অত্যাচার	G2616	1	0.048
অত্যাচারিত	G1377	1	1.000
অত্যাচারী	G4714	1	0.500
অত্যাচারী	G1161	1	0.500
অত্যাধিক	G4183	1	1.000
অথচ	G1161	3	0.300
অথচ	G2532	3	0.300
অথচ	G0235	2	0.200
অথচ	G3383	1	0.100
অথচ	G3918	1	0.100
অথবা	G2228	45	0.608
অথবা	G1535	9	0.122
অথবা	G2532	3	0.041
অথবা	G3383	3	0.041
অথবা	G3777	2	0.027
অথবা	G4226	1	0.014
অথবা	G3450	1	0.014
অথবা	G3178	1	0.014
অথবা	G0766	1	0.014
অথবা	G2205	1	0.014
অথবা	G3756	1	0.014
অথবা	G1893	1	0.014
অথবা	G3762	1	0.014
অথবা	G0318	1	0.014
অথবা	G5456	1	0.014
অথবা	G3366	1	0.014
অথবা	G0946	1	0.014
অদমানের	G0689	1	1.000
অদিনের	G1626	1	1.000
অদুষিত	G0090	1	1.000
অদৃশ্য	G0517	5	0.714
অদৃশ্য	G0855	1	0.143
অদৃশ্য	G2532	1	0.143
অদ্দীর	G0078	1	1.000
অদ্বিতীয়	G3439	1	1.000
অদ্ভুত	G5059	3	0.600
অদ্ভুত	G3579	1	0.200
অদ্ভুত	G1411	1	0.200
অদ্ভূত	G5059	1	0.500
অদ্ভূত	G3581	1	0.500
অধর্মকে	G0458	1	1.000
অধর্মচারীরা	G0093	1	1.000
অধর্মাচরণ	G0458	1	1.000
অধর্মীদের	G0458	1	1.000
অধর্মীদেরকে	G0458	1	1.000
অধর্মীর	G0458	1	1.000
অধর্ম্ম	G0458	2	0.333
অধর্ম্ম	G0093	1	0.167
অধর্ম্ম	G0575	1	0.167
অধর্ম্ম	G0863	1	0.167
অধর্ম্ম	G2041	1	0.167
অধর্ম্মের	G1063	1	0.167
অধর্ম্মের	G1400	1	0.167
অধর্ম্মের	G3352	1	0.167
অধর্ম্মের	G0444	1	0.167
অধর্ম্মের	G0093	1	0.167
অধর্ম্মের	G0091	1	0.167
অধার্মিকতা	G0093	5	1.000
অধার্মিকতাই	G0093	1	1.000
অধার্মিকতায়	G2316	1	0.333
অধার্মিকতায়	G0093	1	0.333
অধার্মিকতায়	G2106	1	0.333
অধার্মিকতার	G0093	5	1.000
অধার্মিকদের	G0094	2	0.286
অধার্মিকদের	G0113	2	0.286
অধার্মিকদের	G0459	1	0.143
অধার্মিকদের	G5495	1	0.143
অধার্মিকদের	G0093	1	0.143
অধার্মিকদেরকে	G0094	1	1.000
অধার্মিকেরা	G0094	1	1.000
অধার্ম্মিক	G2076	1	0.100
অধার্ম্মিক	G2923	1	0.100
অধার্ম্মিক	G2228	1	0.100
অধার্ম্মিক	G0386	1	0.100
অধার্ম্মিক	G3709	1	0.100
অধার্ম্মিক	G0094	1	0.100
অধার্ম্মিক	G0601	1	0.100
অধার্ম্মিক	G3952	1	0.100
অধার্ম্মিক	G0459	1	0.100
অধার্ম্মিক	G2692	1	0.100
অধিক	G3122	2	0.250
অধিক	G3123	2	0.250
অধিক	G4183	1	0.125
অধিক	G4052	1	0.125
অধিক	G4053	1	0.125
অধিক	G5111	1	0.125
অধিকাংশ	G4119	4	0.667
অধিকাংশ	G1438	1	0.167
অধিকাংশ	G5594	1	0.167
অধিকার	G1849	16	0.390
অধিকার	G2817	6	0.146
অধিকার	G2816	3	0.073
অধিকার	G1850	2	0.049
অধিকার	G0726	1	0.024
অধিকার	G3756	1	0.024
অধিকার	G1325	1	0.024
অধিকার	G2254	1	0.024
অধিকার	G2819	1	0.024
অধিকার	G1410	1	0.024
অধিকার	G1391	1	0.024
অধিকার	G2192	1	0.024
অধিকার	G3310	1	0.024
অধিকার	G0618	1	0.024
অধিকার	G1411	1	0.024
অধিকার	G0831	1	0.024
অধিকার	G4146	1	0.024
অধিকার	G3313	1	0.024
অধিকারস্বরূপও	G2820	1	1.000
অধিকারী	G2816	8	0.471
অধিকারী	G2818	2	0.118
অধিকারী	G5177	1	0.059
অধিকারী	G2935	1	0.059
অধিকারী	G2962	1	0.059
অধিকারী	G2192	1	0.059
অধিকারী	G3588	1	0.059
অধিকারী	G3175	1	0.059
অধিকারী	G1849	1	0.059
অধিকারীকে	G1075	1	1.000
অধিকারে	G1849	1	0.333
অধিকারে	G3306	1	0.333
অধিকারে	G2697	1	0.333
অধিকারের	G0632	1	0.500
অধিকারের	G2819	1	0.500
অধিপতি	G0954	1	0.500
অধিপতি	G1203	1	0.500
অধিবাসী	G2331	1	1.000
অধিবাসীরা	G2730	1	1.000
অধীন	G5259	5	0.500
অধীন	G5293	3	0.300
অধীন	G2671	1	0.100
অধীন	G1777	1	0.100
অধীনদের	G5259	1	1.000
অধীনে	G5259	13	0.520
অধীনে	G1413	1	0.040
অধীনে	G2252	1	0.040
অধীনে	G2596	1	0.040
অধীনে	G3588	1	0.040
অধীনে	G3756	1	0.040
অধীনে	G2192	1	0.040
অধীনে	G1402	1	0.040
অধীনে	G2222	1	0.040
অধীনে	G3622	1	0.040
অধীনে	G1401	1	0.040
অধীনে	G3056	1	0.040
অধীনে	G2749	1	0.040
অধীনেই	G1063	1	1.000
অধীর	G2532	1	1.000
অধোমুখে	G1909	1	1.000
অধ্যক্ষ	G2233	2	0.667
অধ্যক্ষ	G0758	1	0.333
অধ্যক্ষের	G0752	1	1.000
অধ্যাবসায়ে	G2532	1	1.000
অনণীয়	G3588	1	1.000
অনধিকার	G4020	1	0.500
অনধিকার	G4021	1	0.500
অনধীন	G0506	1	1.000
অননিয়	G3686	3	0.300
অননিয়	G0367	3	0.300
অননিয়	G4675	1	0.100
অননিয়	G5128	1	0.100
অননিয়	G0611	1	0.100
অননিয়	G0565	1	0.100
অনন্ত	G0166	42	0.875
অনন্ত	G2222	3	0.062
অনন্ত	G1320	1	0.021
অনন্ত	G0861	1	0.021
অনন্ত	G4442	1	0.021
অনন্তকাল	G0165	3	0.750
অনন্তকাল	G1519	1	0.250
অনন্তকালস্থায়ী	G0166	2	0.400
অনন্তকালস্থায়ী	G3772	1	0.200
অনন্তকালস্থায়ী	G3639	1	0.200
অনন্তকালস্থায়ী	G3874	1	0.200
অনন্তকালীন	G0165	2	0.667
অনন্তকালীন	G1519	1	0.333
অনন্তকালীয়	G0166	2	1.000
অনন্তকালের	G0166	1	0.333
অনন্তকালের	G0126	1	0.333
অনন্তকালের	G0165	1	0.333
অনন্তজীবী	G0166	1	1.000
অনবরত	G3756	1	0.500
অনবরত	G4342	1	0.500
অনর্থক	G2756	1	1.000
অনাটন	G5303	1	1.000
অনাথদের	G3737	1	1.000
অনাথার	G2048	1	1.000
অনাদরণীয়	G1511	1	1.000
অনাদরে	G1722	1	1.000
অনাবৃত	G5136	1	1.000
অনাহারে	G0776	1	1.000
অনিচ্ছাকৃত	G0051	1	1.000
অনিচ্ছাকৃতভাবে	G1595	1	1.000
অনিন্দনীয়	G2532	1	0.500
অনিন্দনীয়	G0283	1	0.500
অনিন্দনীয়রূপে	G5083	1	1.000
অনিন্দা	G0090	1	1.000
অনিবার্য	G0846	1	1.000
অনিশ্চিয়তায়	G0142	1	1.000
অনিষ্ট	G5196	2	1.000
অনিষ্টকর	G0983	1	1.000
অনীষিফরের	G3683	1	1.000
অনুকারী	G3401	5	0.625
অনুকারী	G3402	3	0.375
অনুগত	G0472	1	0.500
অনুগত	G0459	1	0.500
অনুগামী	G1811	3	0.500
অনুগামী	G0190	1	0.167
অনুগামী	G1722	1	0.167
অনুগামী	G4198	1	0.167
অনুগামীরা	G3982	1	1.000
অনুগ্রহ	G5485	77	0.837
অনুগ্রহ	G5486	10	0.109
অনুগ্রহ	G5483	2	0.022
অনুগ্রহ	G3588	2	0.022
অনুগ্রহ	G3330	1	0.011
অনুগ্রহ-ধন	G5485	2	1.000
অনুগ্রহ-সিংহাসনের	G2362	1	1.000
অনুগ্রহই	G5485	2	1.000
অনুগ্রহণুসারে	G5485	1	1.000
অনুগ্রহে	G5485	7	0.538
অনুগ্রহে	G1722	2	0.154
অনুগ্রহে	G2962	1	0.077
অনুগ্রহে	G3588	1	0.077
অনুগ্রহে	G2904	1	0.077
অনুগ্রহে	G5565	1	0.077
অনুগ্রহেই	G5485	3	1.000
অনুগ্রহের	G5485	23	0.767
অনুগ্রহের	G3588	2	0.067
অনুগ্রহের	G5487	1	0.033
অনুগ্রহের	G1184	1	0.033
অনুগ্রহের	G5483	1	0.033
অনুগ্রহের	G2107	1	0.033
অনুগ্রহের	G1722	1	0.033
অনুচিত	G4160	1	0.500
অনুচিত	G2980	1	0.500
অনুতপ্ত	G0846	1	1.000
অনুনয়	G4238	1	1.000
অনুপযোগী	G0888	1	1.000
অনুপস্থিত	G0548	2	1.000
অনুপস্থিতিতে	G0548	2	0.667
অনুপস্থিতিতে	G1722	1	0.333
অনুপ্রাণিত	G1330	1	1.000
অনুপ্রেরণার	G3588	1	1.000
অনুবাদ	G3177	6	0.600
অনুবাদ	G2059	2	0.200
অনুবাদ	G1329	2	0.200
অনুবাদক	G1328	1	1.000
অনুভব	G5177	1	1.000
অনুমতি	G2010	17	0.630
অনুমতি	G1325	3	0.111
অনুমতি	G0863	2	0.074
অনুমতি	G1520	1	0.037
অনুমতি	G0154	1	0.037
অনুমতি	G3756	1	0.037
অনুমতি	G4674	1	0.037
অনুমতি	G0846	1	0.037
অনুমতির	G1860	1	0.500
অনুমতির	G4774	1	0.500
অনুমান	G5616	2	0.250
অনুমান	G5282	2	0.250
অনুমান	G1380	1	0.125
অনুমান	G4012	1	0.125
অনুমান	G1766	1	0.125
অনুমান	G5613	1	0.125
অনুমানে	G5613	1	1.000
অনুমোদন	G1722	1	0.500
অনুমোদন	G3982	1	0.500
অনুমোদিত	G3140	2	0.667
অনুমোদিত	G1381	1	0.333
অনুযায়ী	G2596	12	0.190
অনুযায়ী	G5547	3	0.048
অনুযায়ী	G3956	2	0.032
অনুযায়ী	G2316	2	0.032
অনুযায়ী	G5213	2	0.032
অনুযায়ী	G3588	2	0.032
অনুযায়ী	G1435	1	0.016
অনুযায়ী	G4198	1	0.016
অনুযায়ী	G4367	1	0.016
অনুযায়ী	G2531	1	0.016
অনুযায়ী	G3739	1	0.016
অনুযায়ী	G2532	1	0.016
অনুযায়ী	G4160	1	0.016
অনুযায়ী	G4675	1	0.016
অনুযায়ী	G4374	1	0.016
অনুযায়ী	G4521	1	0.016
অনুযায়ী	G2474	1	0.016
অনুযায়ী	G4059	1	0.016
অনুযায়ী	G2126	1	0.016
অনুযায়ী	G0591	1	0.016
অনুযায়ী	G5449	1	0.016
অনুযায়ী	G4183	1	0.016
অনুযায়ী	G2198	1	0.016
অনুযায়ী	G1793	1	0.016
অনুযায়ী	G2822	1	0.016
অনুযায়ী	G4678	1	0.016
অনুযায়ী	G2980	1	0.016
অনুযায়ী	G3427	1	0.016
অনুযায়ী	G1411	1	0.016
অনুযায়ী	G0235	1	0.016
অনুযায়ী	G2005	1	0.016
অনুযায়ী	G4754	1	0.016
অনুযায়ী	G0846	1	0.016
অনুযায়ী	G4748	1	0.016
অনুযায়ী	G0225	1	0.016
অনুযায়ী	G1014	1	0.016
অনুযায়ী	G2041	1	0.016
অনুযায়ী	G4151	1	0.016
অনুযায়ী	G3498	1	0.016
অনুযায়ী	G4239	1	0.016
অনুযায়ী	G2443	1	0.016
অনুযায়ী	G3958	1	0.016
অনুযায়ী	G0147	1	0.016
অনুযায়ী	G4328	1	0.016
অনুযায়ী	G5100	1	0.016
অনুযায়ী	G3326	1	0.016
অনুযোগ	G1651	1	1.000
অনুরূপ	G4960	1	1.000
অনুরোধ	G3870	34	0.523
অনুরোধ	G2065	14	0.215
অনুরোধ	G1210	5	0.077
অনুরোধ	G1189	4	0.062
অনুরোধ	G1793	3	0.046
অনুরোধ	G0154	2	0.031
অনুরোধ	G3849	1	0.015
অনুরোধ	G1349	1	0.015
অনুরোধ	G1783	1	0.015
অনুরোধসহ	G1162	1	1.000
অনুরোধে	G5228	1	1.000
অনুরোধের	G3767	1	0.333
অনুরোধের	G3870	1	0.333
অনুরোধের	G1162	1	0.333
অনুশীলন	G1377	2	0.500
অনুশীলন	G4160	1	0.250
অনুশীলন	G4234	1	0.250
অনুশোচনা	G3338	2	0.667
অনুশোচনা	G2632	1	0.333
অনুশোচনীয়	G1161	1	1.000
অনুষ্ঠান	G2250	1	0.500
অনুষ্ঠান	G4160	1	0.500
অনুষ্ঠানে	G3831	1	1.000
অনুসন্ধান	G3877	1	0.250
অনুসন্ধান	G2212	1	0.250
অনুসন্ধান	G1567	1	0.250
অনুসন্ধান	G2045	1	0.250
অনুসরণ	G0190	16	0.516
অনুসরণ	G3694	2	0.065
অনুসরণ	G1872	2	0.065
অনুসরণ	G1377	2	0.065
অনুসরণ	G1487	1	0.032
অনুসরণ	G2064	1	0.032
অনুসরণ	G2005	1	0.032
অনুসরণ	G2212	1	0.032
অনুসরণ	G0235	1	0.032
অনুসরণ	G3877	1	0.032
অনুসরণ	G4236	1	0.032
অনুসরণ	G0490	1	0.032
অনুসরণ	G4964	1	0.032
অনুসরণকারী	G0190	3	0.500
অনুসরণকারী	G2249	1	0.167
অনুসরণকারী	G3402	1	0.167
অনুসরণকারী	G4889	1	0.167
অনুসরণকারীদের	G5043	1	1.000
অনুসারে	G2596	51	0.654
অনুসারে	G2531	3	0.038
অনুসারে	G5010	2	0.026
অনুসারে	G1722	2	0.026
অনুসারে	G1332	1	0.013
অনুসারে	G1909	1	0.013
অনুসারে	G5613	1	0.013
অনুসারে	G0846	1	0.013
অনুসারে	G1096	1	0.013
অনুসারে	G2895	1	0.013
অনুসারে	G3588	1	0.013
অনুসারে	G2141	1	0.013
অনুসারে	G3543	1	0.013
অনুসারে	G5210	1	0.013
অনুসারে	G2137	1	0.013
অনুসারে	G4314	1	0.013
অনুসারে	G0390	1	0.013
অনুসারে	G1223	1	0.013
অনুসারে	G4098	1	0.013
অনুসারে	G2307	1	0.013
অনুসারে	G3694	1	0.013
অনুসারে	G4198	1	0.013
অনুসারে	G2902	1	0.013
অনুসারে	G3668	1	0.013
অনুসারেই	G2596	1	1.000
অনুসারেও	G2999	1	1.000
অনেক	G4183	131	0.546
অনেক	G3793	10	0.042
অনেক	G4119	7	0.029
অনেক	G2425	5	0.021
অনেক	G4128	4	0.017
অনেক	G3029	3	0.013
অনেক	G2532	3	0.013
অনেক	G3123	2	0.008
অনেক	G1411	2	0.008
অনেক	G2525	2	0.008
অনেক	G1423	2	0.008
অনেক	G4055	2	0.008
অনেক	G4260	2	0.008
অনেক	G4052	2	0.008
অনেক	G5118	2	0.008
অনেক	G4129	2	0.008
অনেক	G3433	2	0.008
অনেক	G3588	2	0.008
অনেক	G4072	2	0.008
অনেক	G1139	1	0.004
অনেক	G4765	1	0.004
অনেক	G4396	1	0.004
অনেক	G2983	1	0.004
