# source=aligned; eng/BSB+YLT via Clear-Bible/Alignments manual word alignment
surface	strong	count	share
-ring	H5694	1	1.000
1,000	H0505	4	0.571
1,000	H8269	1	0.143
1,000	H2050	1	0.143
1,000	H6776	1	0.143
1,000,000	H2091	1	0.500
1,000,000	H0505	1	0.500
1,017	H0505	2	1.000
1,052	H0505	2	1.000
1,100,000	H0505	1	1.000
1,200	H0871	1	1.000
1,222	H0505	1	1.000
1,247	H0505	2	1.000
1,254	H0505	4	1.000
1,260	G5507	2	1.000
1,290	H0505	1	1.000
1,335	H0505	1	1.000
1,365	H2568	1	1.000
1,400	H3807	1	0.500
1,400	H0505	1	0.500
1,600	G5507	1	1.000
1,700	H0505	1	1.000
1,760	H0505	1	1.000
1,775	H2050	1	0.500
1,775	H1886	1	0.500
10	H6235	2	1.000
10,000	H6235	11	0.647
10,000	H2050	3	0.176
10,000	H7273	1	0.059
10,000	H7239	1	0.059
10,000	H2091	1	0.059
100	H3967	5	0.714
100	H3807	1	0.143
100	H2050	1	0.143
100,000	H3967	2	0.500
100,000	H2050	1	0.250
100,000	H0505	1	0.250
105	H2568	1	1.000
108,100	H3967	1	1.000
110	H3967	5	1.000
112	H3967	3	1.000
119	H8672	1	1.000
12	H8147	25	0.676
12	G1427	12	0.324
12,000	G1427	4	0.222
12,000	H2050	3	0.167
12,000	H8147	1	0.056
12,000	H7393	1	0.056
12,000	G4502	1	0.056
12,000	G1045	1	0.056
12,000	G3508	1	0.056
12,000	G3128	1	0.056
12,000	G3017	1	0.056
12,000	G2466	1	0.056
12,000	G2501	1	0.056
12,000	G0958	1	0.056
12,000	G2076	1	0.056
120	H3967	5	0.714
120	H2050	1	0.143
120	H3969	1	0.143
120,000	H3967	4	0.800
120,000	H7235	1	0.200
122	H3967	2	1.000
123	H3967	2	0.667
123	H7969	1	0.333
127	H7651	3	0.750
127	H3967	1	0.250
128	H3967	4	1.000
13	H7969	1	1.000
130	H7970	2	0.500
130	H3967	2	0.500
133	H2416	1	1.000
