# source=aligned; fra/LSG via Clear-Bible/Alignments manual word alignment
surface	strong	count	share
a	G2192	90	0.325
a	G1526	14	0.051
a	G2316	13	0.047
a	G2076	11	0.040
a	G0846	11	0.040
a	G2532	10	0.036
a	G1096	6	0.022
a	G5213	6	0.022
a	G1722	5	0.018
a	G3739	5	0.018
a	G2248	4	0.014
a	G3588	4	0.014
a	G2254	4	0.014
a	G1135	3	0.011
a	G3962	3	0.011
a	G2962	3	0.011
a	G4367	2	0.007
a	G1063	2	0.007
a	G4314	2	0.007
a	G3745	2	0.007
a	G2268	2	0.007
a	G2424	2	0.007
a	G3754	2	0.007
a	G3756	2	0.007
a	G1325	2	0.007
a	G0025	2	0.007
a	G3748	1	0.004
a	G0444	1	0.004
a	G2090	1	0.004
a	G0068	1	0.004
a	G0680	1	0.004
a	G2672	1	0.004
a	G2250	1	0.004
a	G3614	1	0.004
a	G1140	1	0.004
a	G4741	1	0.004
a	G1176	1	0.004
a	G3475	1	0.004
a	G3778	1	0.004
a	G2476	1	0.004
a	G3992	1	0.004
a	G2491	1	0.004
a	G5023	1	0.004
a	G2455	1	0.004
a	G3686	1	0.004
a	G3498	1	0.004
a	G1110	1	0.004
a	G1806	1	0.004
a	G0435	1	0.004
a	G0575	1	0.004
a	G4991	1	0.004
a	G1985	1	0.004
a	G5259	1	0.004
a	G0801	1	0.004
a	G2889	1	0.004
a	G2288	1	0.004
a	G2631	1	0.004
a	G5128	1	0.004
a	G2087	1	0.004
a	G2443	1	0.004
a	G2864	1	0.004
a	G5225	1	0.004
a	G2784	1	0.004
a	G1691	1	0.004
a	G1223	1	0.004
a	G1992	1	0.004
a	G4151	1	0.004
a	G1537	1	0.004
a	G4270	1	0.004
a	G3123	1	0.004
a	G2842	1	0.004
a	G5251	1	0.004
a	G3360	1	0.004
a	G4100	1	0.004
a	G5209	1	0.004
a	G1632	1	0.004
a	G0950	1	0.004
a	G4386	1	0.004
a	G0166	1	0.004
a	G0165	1	0.004
a	G4383	1	0.004
a	G5600	1	0.004
a	G1519	1	0.004
a	G5124	1	0.004
a	G0235	1	0.004
a	G0076	1	0.004
a	G0266	1	0.004
a	G4567	1	0.004
a	G0721	1	0.004
a	G4160	1	0.004
a	G2917	1	0.004
a-t-il	G0846	1	0.333
a-t-il	G3361	1	0.333
a-t-il	G5100	1	0.333
aaron	G0002	2	0.667
aaron	G2532	1	0.333
abaddon	G0003	1	1.000
abaissa	G5465	1	1.000
abaisse	G5013	2	1.000
abaissera	G5013	1	1.000
abaissé	G5013	3	0.600
abaissé	G1642	2	0.400
abaissées	G5013	1	1.000
abandonnant	G0863	1	0.500
abandonnant	G0575	1	0.500
abandonne	G3074	1	1.000
abandonneras	G1459	1	1.000
abandonneront	G0868	1	1.000
abandonnez	G0863	1	0.500
abandonnez	G0577	1	0.500
abandonnons	G1459	1	1.000
abandonnèrent	G0863	2	1.000
abandonné	G2444	1	1.000
abandonnés	G1459	1	1.000
abattrai	G2507	1	1.000
abattue	G4496	1	1.000
abattus	G2598	1	0.333
abattus	G5011	1	0.333
abattus	G3642	1	0.333
abba	G0005	3	1.000
abel	G0006	3	1.000
abia	G0007	3	1.000
abiathar	G0008	1	1.000
abilène	G0009	1	1.000
abiud	G0010	2	1.000
ablutions	G0909	1	1.000
abolir	G2647	2	0.667
abolir	G0115	1	0.333
abolit	G0337	1	1.000
abolition	G0115	1	1.000
abominables	G0947	1	0.500
abominables	G0948	1	0.500
abomination	G0946	3	0.750
