# source=aligned; por/JFA11 via Clear-Bible/Alignments manual word alignment
surface	strong	count	share
a	G3588	1044	0.481
a	G1519	128	0.059
a	G0846	86	0.040
a	G4314	83	0.038
a	G4675	39	0.018
a	G5216	36	0.017
a	G3450	29	0.013
a	G0848	26	0.012
a	G2532	22	0.010
a	G2257	22	0.010
a	G5590	19	0.009
a	G3056	19	0.009
a	G5213	18	0.008
a	G1909	17	0.008
a	G2222	17	0.008
a	G2776	12	0.006
a	G4671	12	0.006
a	G1438	11	0.005
a	G1691	11	0.005
a	G3956	10	0.005
a	G3739	10	0.005
a	G1722	9	0.004
a	G0026	9	0.004
a	G4571	8	0.004
a	G1186	7	0.003
a	G1699	7	0.003
a	G5209	6	0.003
a	G3004	6	0.003
a	G2254	6	0.003
a	G0191	6	0.003
a	G4561	6	0.003
a	G0235	5	0.002
a	G3798	5	0.002
a	G1698	5	0.002
a	G2248	5	0.002
a	G4991	5	0.002
a	G4678	4	0.002
a	G1325	4	0.002
a	G1391	4	0.002
a	G2036	4	0.002
a	G1135	4	0.002
a	G1096	4	0.002
a	G0225	4	0.002
a	G3754	4	0.002
a	G2596	4	0.002
a	G5010	4	0.002
a	G3767	3	0.001
a	G2064	3	0.001
a	G1565	3	0.001
a	G3187	3	0.001
a	G4012	3	0.001
a	G4160	3	0.001
a	G3748	3	0.001
a	G0142	3	0.001
a	G1161	3	0.001
a	G1411	3	0.001
a	G4352	3	0.001
a	G3844	3	0.001
a	G5456	3	0.001
a	G5087	3	0.001
a	G0444	3	0.001
a	G3772	3	0.001
a	G3650	3	0.001
a	G2980	3	0.001
a	G2076	3	0.001
a	G2937	3	0.001
a	G5613	3	0.001
a	G3756	3	0.001
a	G3361	3	0.001
a	G1063	2	0.001
a	G4597	2	0.001
a	G1028	2	0.001
a	G1994	2	0.001
a	G4487	2	0.001
a	G3793	2	0.001
a	G2008	2	0.001
a	G1537	2	0.001
a	G5180	2	0.001
a	G3326	2	0.001
a	G2193	2	0.001
a	G1321	2	0.001
a	G4802	2	0.001
a	G2258	2	0.001
a	G0622	2	0.001
a	G0591	2	0.001
a	G4383	2	0.001
a	G1448	2	0.001
a	G2398	2	0.001
a	G3404	2	0.001
a	G0575	2	0.001
a	G4172	2	0.001
a	G5457	2	0.001
a	G3825	2	0.001
a	G2443	2	0.001
a	G2192	2	0.001
a	G1473	2	0.001
a	G1905	2	0.001
a	G1124	2	0.001
a	G5126	2	0.001
a	G3870	2	0.001
a	G1577	2	0.001
a	G3303	2	0.001
a	G3343	2	0.001
a	G4052	2	0.001
a	G5607	2	0.001
a	G4690	2	0.001
a	G1343	2	0.001
a	G4138	2	0.001
a	G2249	2	0.001
a	G1093	2	0.001
a	G1860	2	0.001
a	G0746	2	0.001
a	G2787	2	0.001
a	G0659	2	0.001
a	G2455	1	0.000
a	G2307	1	0.000
a	G3126	1	0.000
a	G2657	1	0.000
a	G0928	1	0.000
a	G4374	1	0.000
a	G3693	1	0.000
a	G3162	1	0.000
a	G5089	1	0.000
a	G5124	1	0.000
a	G2478	1	0.000
a	G2588	1	0.000
a	G2347	1	0.000
a	G1375	1	0.000
a	G2670	1	0.000
a	G0680	1	0.000
a	G5451	1	0.000
a	G0922	1	0.000
a	G3688	1	0.000
a	G4693	1	0.000
a	G4444	1	0.000
a	G2564	1	0.000
a	G4095	1	0.000
a	G3568	1	0.000
a	G2653	1	0.000
a	G1531	1	0.000
a	G5217	1	0.000
a	G1684	1	0.000
a	G5108	1	0.000
a	G4190	1	0.000
a	G0988	1	0.000
a	G3089	1	0.000
a	G2007	1	0.000
a	G1832	1	0.000
a	G5342	1	0.000
a	G0080	1	0.000
a	G2708	1	0.000
a	G1568	1	0.000
a	G0565	1	0.000
a	G0851	1	0.000
a	G4815	1	0.000
a	G1716	1	0.000
a	G1057	1	0.000
a	G4686	1	0.000
a	G3877	1	0.000
a	G1162	1	0.000
a	G3170	1	0.000
a	G2090	1	0.000
a	G1260	1	0.000
a	G4412	1	0.000
a	G3495	1	0.000
a	G1988	1	0.000
a	G2784	1	0.000
a	G2390	1	0.000
a	G1209	1	0.000
a	G4198	1	0.000
a	G0303	1	0.000
a	G5100	1	0.000
a	G1171	1	0.000
a	G4626	1	0.000
a	G1210	1	0.000
a	G2476	1	0.000
a	G5302	1	0.000
a	G0979	1	0.000
a	G1100	1	0.000
a	G1415	1	0.000
a	G2050	1	0.000
a	G0375	1	0.000
a	G0859	1	0.000
a	G0071	1	0.000
a	G1249	1	0.000
a	G1208	1	0.000
a	G4077	1	0.000
a	G3022	1	0.000
