# source=aligned; rus/RUSSYN via Clear-Bible/Alignments manual word alignment
surface	strong	count	share
а	G1161	240	0.313
а	G2532	39	0.051
а	G3588	16	0.021
а	G1063	12	0.016
а	G0846	8	0.010
а	H3068	7	0.009
а	G0235	6	0.008
а	H0259	4	0.005
а	H1121	4	0.005
а	H3027	4	0.005
а	H5002	4	0.005
а	G1722	4	0.005
а	G5207	4	0.005
а	G3756	4	0.005
а	G2316	4	0.005
а	G5037	4	0.005
а	G5209	4	0.005
а	H6242	3	0.004
а	H3117	3	0.004
а	H6213	3	0.004
а	H5315	3	0.004
а	H1323	3	0.004
а	H5414	3	0.004
а	H0776	3	0.004
а	H4191	3	0.004
а	H0430	3	0.004
а	H8337	3	0.004
а	H1696	3	0.004
а	G0622	3	0.004
а	G1438	3	0.004
а	G3165	3	0.004
а	G1519	3	0.004
а	G2192	3	0.004
а	H5307	2	0.003
а	H0518	2	0.003
а	H3290	2	0.003
а	H5650	2	0.003
а	H0398	2	0.003
а	H7999	2	0.003
а	H8313	2	0.003
а	H4325	2	0.003
а	H5647	2	0.003
а	H1870	2	0.003
а	H7725	2	0.003
а	H1423	2	0.003
а	H2896	2	0.003
а	H1835	2	0.003
а	H3045	2	0.003
а	H7586	2	0.003
а	H8034	2	0.003
а	H6086	2	0.003
а	H8252	2	0.003
а	H0068	2	0.003
а	H7451	2	0.003
а	H6965	2	0.003
а	H0199	2	0.003
а	H0983	2	0.003
а	H2416	2	0.003
а	H5046	2	0.003
а	H3899	2	0.003
а	H8354	2	0.003
а	H6440	2	0.003
а	G4675	2	0.003
а	G2521	2	0.003
а	G3004	2	0.003
а	G3450	2	0.003
а	G2038	2	0.003
а	G0080	2	0.003
а	G5316	2	0.003
а	G1698	2	0.003
а	G2962	2	0.003
а	G0032	2	0.003
а	G5620	2	0.003
а	G1537	2	0.003
а	G3767	2	0.003
а	G2076	2	0.003
а	G5547	2	0.003
а	H3231	1	0.001
а	H8283	1	0.001
а	H6718	1	0.001
а	H7259	1	0.001
а	H6605	1	0.001
а	H6622	1	0.001
а	H1375	1	0.001
а	H8401	1	0.001
а	H7706	1	0.001
а	H0589	1	0.001
а	H2275	1	0.001
а	H1241	1	0.001
а	H0249	1	0.001
а	H6363	1	0.001
а	H0386	1	0.001
а	H3898	1	0.001
а	H3318	1	0.001
а	H7760	1	0.001
а	H7251	1	0.001
а	H4264	1	0.001
а	H6999	1	0.001
а	H7126	1	0.001
а	H2403	1	0.001
а	H4736	1	0.001
а	H4908	1	0.001
а	H4720	1	0.001
а	H1060	1	0.001
а	H2583	1	0.001
а	H0048	1	0.001
а	H0168	1	0.001
а	H4979	1	0.001
