# source=aligned; spa/RV09 via Clear-Bible/Alignments manual word alignment
surface	strong	count	share
13boca	G4750	1	1.000
15.6ofrecerás	H7126	1	1.000
27.55magdalena	G3094	1	1.000
4.10heredades	G2819	1	1.000
4.12capernaum	G2584	1	1.000
49.10descubriré	H1540	1	1.000
6.32también	G2532	1	1.000
7.15seiscientos	H8337	3	1.000
8.2magdalena	G3094	1	1.000
a	H0413	81	0.367
a	G1519	20	0.090
a	H5921	19	0.086
a	G4314	15	0.068
a	H3807	8	0.036
a	G1722	7	0.032
a	H0834	5	0.023
a	G1909	5	0.023
a	H4616	4	0.018
a	G5213	4	0.018
a	G3739	4	0.018
a	G4671	3	0.014
a	G1698	3	0.014
a	H3205	2	0.009
a	H5221	2	0.009
a	H0853	2	0.009
a	H4480	2	0.009
a	H2719	2	0.009
a	G1537	2	0.009
a	G3844	2	0.009
a	H1121	1	0.005
a	H7936	1	0.005
a	H3588	1	0.005
a	H6285	1	0.005
a	H0575	1	0.005
a	H0357	1	0.005
a	H6932	1	0.005
a	H3509	1	0.005
a	H1571	1	0.005
a	H2076	1	0.005
a	H7200	1	0.005
a	H7535	1	0.005
a	H8083	1	0.005
a	H4605	1	0.005
a	H2063	1	0.005
a	H5973	1	0.005
a	H3884	1	0.005
a	H7999	1	0.005
a	H7971	1	0.005
a	H1580	1	0.005
a	H0854	1	0.005
a	H1945	1	0.005
a	H4100	1	0.005
a	G3303	1	0.005
a	G4226	1	0.005
a	G2254	1	0.005
a	G5216	1	0.005
a	G5209	1	0.005
a	G1161	1	0.005
aarón	H0175	345	0.986
aarón	G0002	5	0.014
abagtha	H0005	1	1.000
abajadas	G5465	1	1.000
abajo	H8478	15	0.319
abajo	H4295	12	0.255
abajo	H8481	8	0.170
abajo	G2736	6	0.128
abajo	H8482	3	0.064
abajo	H4628	1	0.021
abajo	H3381	1	0.021
abajo	G2609	1	0.021
abana	H0549	1	1.000
abandonada	H5800	1	1.000
abandonan	H5800	1	1.000
abandonaremos	H5800	1	1.000
