# BDB (public domain, 1906) etymological root-groups, via OpenScriptures/HebrewLexicon (CC-BY-4.0, pinned 21c9add1). Words sharing root_id are etymologically related — validated at 50.6% SDBH-domain agreement (2026-08), see build_bdb_roots.py and domain-replacement-roadmap.md. NOT Louw-Nida/SDBH derived — independent free source.
root_id	strong	xlit	gloss	pos
aad	H0003	ʾēb	freshness	N
aad	H0024	ʾābîb	green	N
aaf	H0006	ʾābad	perish	V
aaf	H0008	ʾōbēd	destruction	N
aaf	H0009	ʾăbēdâ	a lost thing	N
aaf	H0010	ʾbdh	Destruction	N
aaf	H0011	ʾăbaddôn	Destruction	Np
aaf	H0012	ʾabdān	destruction	N
aaf	H0013	ʾobdan	destruction	N
aan	H0014	ʾābâ	be willing	V
aan	H0016	ʾēbeh	reed	N
aan	H0034	ʾebyôn	in want	A
aan	H0035	ʾăbîyônâ	caper-berry	N
aao	H0001	ʾāb	father	N
aao	H0085	ʾabrāhām	Abraham	Np
aao	H0087	ʾabrām	Abram	Np
acj	H0056	ʾābal	mourn	V
acj	H0060	ʾēbel	mourning	N
acj	H0057	ʾābēl	mourning	A
acl	H0059	ʾābēl	Abel	Np
acl	H0058	ʾābēl	a meadow	N
acs	H0068	ʾeben	stone	N
acs	H0070	ʾōben	wheel	N
acs	H0072	ʾeben hāʿēzer	Ebenezer	N
acx	H0075	ʾābas	feed	V
acx	H0018	ʾēbûs	crib	N
acx	H3965	maʾăbûs	granary	N
ade	H0080	ʾābāq	dust	N
ade	H0081	ʾăbāqâ	powders	N
adi	H0047	ʾabbîr	mighty	A
adi	H0046	ʾābîr	strong	A
adi	H0083	ʾēber	pinions	N
adi	H0082	ʾābar	fly	V
adi	H0084	ʾebrâ	pinion	N
aec	H0098	ʾăgam	troubled pool	N
aec	H0099	ʾāgēm	sad	A
aej	H0095	ʾăgôrâ	payment	N
aej	H0107	ʾiggeret	letter	N
aff	H0121	ʾādām	Adam	Np
aff	H0120	ʾādām	man	N
aff	H0127	ʾădāmâ	ground	N
afg	H0123	ʾĕdôm	Edom	Np
afg	H0122	ʾĕdōm	rosy	N
afg	H0122	ʾādōm	red	A
afg	H0119	ʾādōm	be red	V
afg	H0124	ʾōdem	carnelian	N
afg	H0125	ʾădamdām	reddish	A
afg	H0132	ʾadmônî	red	A
afg	H0130	ʾădōmî	Edomite	A
afs	H0113	ʾādôn	lord	N
afs	H0134	ʾeden	base	N
afs	H0136	ʾădōnāy	lord	N
agc	H0142	ʾādar	wide	V
agc	H0117	ʾaddîr	majestic	A
agc	H0145	ʾeder	amplitude	N
agc	H0155	ʾadderet	glory	N
agk	H0157	ʾāhēb	love	V
agk	H0158	ʾahab	love	N
agk	H0159	ʾōhab	amours	N
agk	H0160	ʾahăbâ	love	N
agy	H0167	ʾāhal	tent	V
agy	H0168	ʾōhel	tent	N
agy	H0170	ʾohŏlâ	Oholah	Np
agy	H0172	ʾohŏlîbâ	Oholibah	Np
ahm	H0108	ʾēd	mist	N
ahm	H0181	ʾûd	brand	N
ahm	H0182	ʾôdâ	cause	N
ahm	H0343	ʾêd	distress	N
ahp	H0184	ʾāwâ	sign	V
ahp	H0226	ʾôt	sign	N
ahq	H0183	ʾāwâ	incline	V
ahq	H0176	ʾô	desire	N
ahq	H0185	ʾawwâ	desire	N
ahq	H3970	maʾăway	desire	N
ahq	H8378	taʾăwâ	desire	N
ahr	H0338	ʾî	jackal	N
ahr	H0344	ʾayyâ	hawk	N
ahw	H0188	ʾôy	woe!	Tj
ahw	H0190	ʾôyâ	woe!	Tj
aic	H0191	ʾĕwîl	foolish	A
aic	H0196	ʾĕwilî	silly	A
aic	H0200	ʾiwwelet	folly	N
aid	H0193	ʾûl	body	N
aid	H0193	ʾûl	leading man	N
aid	H0197	ʾûlām	porch	N
aid	H0352	ʾayil	leader	N
aid	H0352	ʾayil	terebinth	N
aid	H0352	ʾayil	projecting pillar	N
aid	H0352	ʾayil	ram	N
aid	H0354	ʾayyāl	hart	N
aid	H0355	ʾayyālâ	hind	N
aid	H0361	ʾêlām	porch	N
aid	H0365	ʾayyelet	hind	N
aid	H0424	ʾēlâ	terebinth	N
aid	H0436	ʾēlôn	terebinth	N
aiq	H0205	ʾāwen	trouble	N
aiq	H8383	tĕʾunîm	toil	N
ajb	H0215	ʾôr	be light	V
ajb	H0216	ʾôr	light	N
ajb	H0217	ʾûr	flame	N
ajb	H0219	ʾôrâ	herb	N
ajb	H0219	ʾôrâ	light	N
ajb	H0224	ʾûrîm	Urim	N
ajb	H0217	ʾurîm	region of light	N
ajb	H3974	māʾôr	luminary	N
ajb	H3975	mĕʾûrâ	light-hole	N
ajp	H0227	ʾāz	at that time	D
ajp	H0233	ʾăzay	then	D
ajp	H0227	mēʾāz	from that time	D
ajy	H0239	ʾāzan	weigh	V
ajy	H3976	mōʾzēn	balances	N
akb	H0240	ʾāzēn	implements	N
akb	H0238	ʾāzan	give ear	V
akb	H0241	ʾōzen	ear	N
aki	H0247	ʾāzar	gird	V
aki	H0232	ʾēzôr	waistcloth	N
aks	H0259	ʾeḥād	one	A
aks	H2297	ḥad	one	A
aku	H0251	ʾāḥ	brother	N
aku	H0264	ʾaḥăwâ	brotherhood	N
aku	H0269	ʾāḥôt	sister	N
ale	H0270	ʾāḥaz	grasp	V
ale	H0272	ʾăḥuzzâ	possession	N
amv	H0309	ʾāḥar	to remain behind	V
amv	H0268	ʾāḥôr	the hinder side	N
amv	H0312	ʾaḥēr	another	A
amv	H0310	ʾaḥar	the hinder	D
amv	H0314	ʾaḥărôn	coming after	A
amv	H0310	ʾaḥăray	backwards	A
amv	H0319	ʾaḥărît	after-part	N
amv	H0322	ʾăḥōrannît	backwards	D
amv	H3186	yāḥar	to remain behind	V
anm	H0331	ʾāṭam	shut	V
anm	H0330	ʾēṭûn	thread	N
anp	H0332	ʾāṭar	shut up	V
anp	H0334	ʾiṭṭēr	shut up	A
anu	H0335	ʾay	where?	D
anu	H0346	ʾayyēh	where?	D
anu	H0349	ʾêk	how?	D
anu	H0349	ʾêkâ	how?	D
anu	H0351	ʾêkōh	where	D
anu	H0349	ʾêkākâ	How?	D
anu	H0370	ʾayin	whence?	D
anu	H0375	ʾêpōh	what place?	D
anu	H0575	ʾān	where?	D
anv	H0340	ʾāyab	be hostile to	V
anv	H0341	ʾāyab	be hostile to	N
anv	H0342	ʾêbâ	enmity	N
anv	H0347	ʾîyôb	Job	Np
aoj	H0353	ʾĕyāl	help	N
aoj	H0360	ʾĕyālût	power	N
apa	H0366	ʾāyōm	terrible	A
apa	H0367	ʾêmâ	terror	N
apf	H0369	ʾayin	nothing	D
apf	H0371	ʾîn	is it not?	D
apl	H0376	ʾîš	man	N
apl	H0380	ʾîšôn	pupil	N
aqg	H0398	ʾākal	eat	V
aqg	H0396	ʾăkîlâ	an eating	N
aqg	H0400	ʾōkel	food	N
aqg	H0402	ʾoklâ	food	N
aqg	H3978	maʾăkāl	food	N
aqg	H3979	maʾăkelet	knife	N
aqg	H3980	maʾăkōlet	fuel	N
aqg	H4361	makkōlet	food-stuff	N
aqm	H0404	ʾākap	press	V
aqm	H0405	ʾekep	pressure	N
aqt	H0417	ʾelgābîš	hail	N
aqt	H0418	ʾalgûmmîm	sandal-wood	N
aqt	H0484	ʾalmuggîm	almug	N
aqt	H0510	ʾalqûm	band of soldiers	N
arj	H0421	ʾālâ	wail	V
arj	H0451	ʾalyâ	fat tail	N
ark	H0422	ʾālâ	swear	V
ark	H0423	ʾālâ	oath	N
ark	H8381	taʾălâ	curse	N
arm	H0410	ʾēl	god	N
arm	H0433	ʾĕlōah	god	N
arm	H0430	ʾĕlōhîm	gods	N
atj	H0427	ʾallâ	oak	N
atj	H0437	ʾallôn	oak	N
atk	H0434	ʾĕlûl	good for nothing	A
atk	H0457	ʾĕlîl	insufficiency	N
ato	H0481	ʾālam	bind	V
ato	H0483	ʾillēm	dumb	A
ato	H0482	ʾēlem	silence	N
ato	H0485	ʾălumâ	sheaf	N
aui	H0505	ʾelep	thousand	N
aui	H0441	ʾallûp	chief	N
aui	H0503	ʾālap	thousand	V
aul	H0502	ʾālap	learn	V
aul	H0441	ʾallûp	tame	A
aul	H0504	ʾelep	cattle	N
avm	H0535	ʾāmal	be weak	V
avm	H0537	ʾămēlāl	feeble	A
avm	H0536	ʾumlal	sick	A
avq	H0517	ʾēm	mother	N
avq	H0520	ʾammâ	foundation	N
avq	H0520	ʾammâ	ell	N
avq	H0523	ʾummâ	tribe	N
avu	H0539	ʾāman	confirm	V
avu	H0527	ʾāmôn	artificer	N
avu	H0525	ʾāmôn	artificer	N
avu	H0530	ʾĕmûnâ	firmness	N
avu	H0529	ʾēmun	trusting	N
avu	H0543	ʾāmēn	verily	D
avu	H0542	ʾāmmān	master-workman	N
avu	H0544	ʾōmen	faithfulness	N
avu	H0548	ʾămānâ	faith	N
avu	H0547	ʾōmĕnâ	confirm	N
avu	H0546	ʾomnâ	verily	D
avu	H0545	ʾomnâ	bringing up	N
avu	H0552	ʾumnām	verily	D
avu	H0551	ʾomnām	verily	D
avu	H0571	ʾĕmet	firmness	N
awf	H0553	ʾāmēṣ	be stout	V
awf	H0533	ʾammîṣ	mighty	A
awf	H0554	ʾāmōṣ	strong	A
awf	H0555	ʾōmeṣ	strength	N
awf	H0556	ʾamṣâ	strength	N
awf	H3981	maʾămāṣ	power	N
awn	H0559	ʾāmar	utter	V
awn	H0534	ʾāmîr	top	N
awn	H0561	ʾēmer	utterance	N
awn	H0562	ʾōmer	utterance	N
awn	H0565	ʾimrâ	utterance	N
awn	H0565	ʾemrâ	utterance	N
awn	H3982	maʾămar	word	N
axd	H0579	ʾānâ	be opportune	V
axd	H8385	taʾănâ	occasion	N
axd	H8385	tōʾănâ	opportunity	N
axe	H0578	ʾānâ	mourn	V
axe	H0592	ʾănîyâ	mourning	N
axe	H8386	taʾănîyâ	mourning	N
axf	H0590	ʾŏnî	ships	N
axf	H0591	ʾŏnîyâ	a ship	N
axj	H0584	ʾānaḥ	sigh	V
axj	H0585	ʾănāḥâ	sighing	N
axl	H0587	ʾănaḥnû	we	Pp
axl	H5168	naḥnû	we	Pp
axw	H0599	ʾānap	be angry	V
axw	H0601	ʾănāpâ	unclean bird	N
axw	H0639	ʾap	nostril	N
axy	H0602	ʾānaq	cry	V
axy	H0603	ʾănāqâ	crying	N
axy	H0604	ʾănāqâ	ferret	N
ayt	H0622	ʾāsap	gather	V
ayt	H0614	ʾāsîp	ingathering	N
ayt	H0624	ʾāsōp	store	N
ayt	H0625	ʾōsēp	gathering	N
ayt	H0626	ʾăsēpâ	a collecting	N
ayt	H0627	ʾăsuppâ	collection	N
ayt	H0628	ʾăsapsup	collection	N
azc	H0631	ʾāsar	tie	V
azc	H0612	ʾēsûr	band	N
azc	H0616	ʾassîr	prisoners	N
azc	H0615	ʾāsîr	bondman	N
azc	H0632	ʾissār	bond	N
azc	H4147	môsēr	band	N
azc	H4562	māsōret	bond of the covenant	N
azj	H0640	ʾāpad	gird on ephod	V
azj	H0642	ʾăpuddâ	ephod	N
azj	H0646	ʾēpôd	ephod	N
azm	H0644	ʾāpâ	bake	V
azm	H3989	maʾăpeh	thing baked	N
azv	H0648	ʾāpîl	late	A
azv	H0651	ʾāpēl	gloomy	A
azv	H0652	ʾōpel	darkness	N
azv	H0653	ʾăpēlâ	darkness	N
azv	H3990	maʾăpēl	darkness	N
azv	H3991	maʾpēlĕyâ	deep darkness	N
azz	H0212	ʾôpān	wheel	N
azz	H0655	ʾōpen	circumstance	N
bab	H0656	ʾāpēs	cease	V
bab	H0657	ʾepes	ceasing	N
bab	H0657	ʾōpes	the soles	N
bai	H0662	ʾāpaq	hold	V
bai	H0650	ʾāpîq	channel	N
bam	H0666	ʾăpēr	covering	N
bam	H0668	ʾappiryôn	sedan	N
bbc	H0679	ʾaṣṣîl	joining	N
bbc	H0678	ʾāṣîl	side	N
bbc	H0681	ʾēṣel	conjunction	R
bbc	H0680	ʾāṣal	lay aside	V
bbi	H0686	ʾāṣar	lay up	V
bbi	H0214	ʾôṣār	treasure	N
bbr	H0693	ʾārab	lie in wait	V
bbr	H0695	ʾereb	ambuscade	N
bbr	H0696	ʾōreb	ambuscade	N
bbr	H0699	ʾărubbâ	lattice	N
bbr	H0698	ʾārĕbâ	artifice	N
bbr	H3993	maʾărāb	ambush	N
bcd	H0707	ʾārag	weave	V
bcd	H0708	ʾereg	loom	N
bcd	H0710	ʾargĕwān	purple	N
bcd	H0713	ʾargāmān	purple	N
bcl	H0717	ʾārâ	pluck	V
bcl	H0220	ʾăwērâ	manger	N
bcl	H0738	ʾărî	lion	N
bcl	H0738	ʾaryēh	lion	N
bcl	H0723	ʾuryâ	manger	N
bcm	H0741	ʾăriʾêl	hearth	N
bcm	H0691	ʾerʾēl	heroes	N
bcm	H0740	ʾărîʾēl	Ariel	Np
bcm	H0739	ʾărîʾēl	lion of God	N
bcm	H2025	harʾēl	hearth	N
bcy	H0729	ʾārûz	firm	A
bcy	H0730	ʾerez	cedar	N
bcy	H0731	ʾarzâ	cedar-panels	N
bda	H0732	ʾāraḥ	wander	V
bda	H0734	ʾōraḥ	way	N
bda	H0737	ʾăruḥâ	meal	N
bda	H0736	ʾōrĕḥâ	travelling company	N
bds	H0748	ʾārak	be long	V
bds	H0724	ʾărûkâ	healing	N
bds	H0750	ʾārēk	long	A
bds	H0752	ʾārōk	long	A
bds	H0753	ʾōrek	length	N
ber	H0779	ʾārar	curse	V
ber	H3994	mĕʾērâ	a curse	N
bey	H0784	ʾēš	fire	N
bey	H0799	ʾešdāt	fire	N
bey	H0801	ʾiššeh	an offering made by fire	N
bey	H0800	ʾeššâ	from their fire	N
bff	H0793	ʾešed	foundation	N
bff	H0794	ʾăšēdâ	foundation	N
bgi	H0816	ʾāšam	offend	V
bgi	H0818	ʾāšēm	guilty	A
bgi	H0817	ʾāšām	offence	N
bgi	H0819	ʾašmâ	wrong-doing	N
bhd	H0833	ʾāšar	go straight	V
bhd	H0838	ʾăšûr	step	N
bhd	H0835	ʾešer	happiness	N
bhd	H0838	ʾaššur	step	N
bhd	H0836	ʾāšēr	Asher	Np
bhd	H0837	ʾōšer	happiness	N
bhd	H0842	ʾăšērâ	grove. Compare	Np
bhd	H0839	ʾăšurîm	cedar tree	N
bhd	H8391	tĕʾaššûr	box-tree	N
bhn	H0377	ʾšš	be a man	V
bhn	H0808	ʾāšîš	raisin-cake	N
bhn	H0809	ʾăšîšâ	raisin-cake	N
bhy	H0857	ʾātâ	come	V
bhy	H2978	ʾîtôn	entrance	N
biw	H0874	bāʾar	make distinct	V
biw	H0875	bĕʾēr	well	N
biw	H0877	bōʾr	cistern	N
biw	H0883	bĕʾēr laḥay rōʾî	Beer-lahai-roi	Np
biw	H0884	bĕʾēr šebaʿ	Beer-shebah	Np
biw	H0953	bôr	pit	N
bji	H0887	bāʾaš	have a bad smell	V
bji	H0889	bĕʾōš	stench	N
bji	H0890	boʾšâ	stinking weeds	N
bji	H0891	bĕʾušîm	stinking	N
bjs	H0898	bāgad	act treacherously	V
bjs	H0899	beged	garment	N
bjs	H0899	beged	treachery	N
bjs	H0900	bōgĕdôt	men of treachery	N
bjs	H0901	bāgôd	treacherous	A
bkd	H0909	bādad	be separate	V
bkd	H0905	bad	separation	N
bkd	H0910	bādād	isolation	N
bki	H0914	bādal	be divided	V
bki	H0913	bĕdîl	alloy	N
bki	H0915	bādāl	piece	N
bki	H0916	bĕdōlaḥ	bdellium	N
bki	H3995	mibdālâ	separate place	N
bko	H0919	bedeq	fissure	N
bko	H0918	bādaq	mend	V
bku	H0926	bāhal	tremble	V
bku	H0928	behālâ	dismay	N
bkw	H0929	bĕhēmâ	beast	N
bkw	H0930	bĕhēmôt	behemoth	N
ble	H0925	bāhîr	bright	A
ble	H0934	baheret	brightness	N
blg	H0935	bôʾ	come in	V
blg	H0872	biʾâ	entrance	N
blg	H3996	mābôʾ	entrance	N
blg	H3997	mĕbôʾâ	entrance	N
blg	H4126	môbāʾ	in-coming	N
blg	H8393	tĕbûʾâ	product	N
blj	H0936	bûz	despise	V
blj	H0937	bûz	contempt	N
blj	H0939	bûzâ	contempt	N
blo	H0943	bûk	perplex	V
blo	H3998	mĕbûkâ	confusion	N
bls	H0947	bûs	tread down	V
bls	H2983	yĕbûsî	Jebusite	N
bls	H4001	mĕbûsâ	down-treading	N
bls	H8395	tĕbûsâ	down-treading	N
blx	H0950	bûqâ	emptiness	N
blx	H4003	mĕbûqâ	emptiness	N
bmf	H0954	bôš	be ashamed	V
bmf	H0955	bûšâ	shame	N
bmf	H1317	bošnâ	shame	N
bmf	H1322	bōšet	shame	N
bmf	H4016	mābôš	his privates	N
bmk	H0959	bāzâ	despise	V
bmk	H0960	bāzōh	despise	V
bmk	H0963	bizzāyôn	contempt	N
bmk	H5240	nĕmibzeh	despise	A
bmm	H0962	bāzaz	spoil	V
bmm	H0897	bag	spoiling	N
bmm	H0957	baz	spoiling	N
bmm	H0961	bizzâ	spoil	N
bnc	H0974	bāḥan	examine	V
bnc	H0971	baḥûn	their siege-towers	N
bnc	H0969	bāḥôn	assayer	N
bnc	H0975	baḥan	watch-tower	N
bnc	H0976	bōḥan	testing	N
bne	H0977	bāḥar	choose	V
bne	H0970	bāḥûr	young man	N
bne	H0979	bĕḥûrîm	youth	N
bne	H0972	bāḥîr	chosen	N
bne	H4004	mibḥôr	choice	N
bne	H4005	mibḥār	choicest	N
bnh	H0981	bāṭâ	speak rashly	V
bnh	H4008	mibṭāʾ	rash utterance	N
bnk	H0982	bāṭaḥ	trust	V
bnk	H0983	beṭaḥ	security	N
bnk	H0985	biṭḥâ	trusting	N
bnk	H0986	biṭṭāḥôn	trust	N
bnk	H0987	baṭṭuḥôt	security	N
bnk	H4009	mibṭāḥ	confidence	N
bnx	H0015	bāyay	entreat	Tj
bnx	H0994	bî	I pray	T
bny	H0995	bîn	discern	V
bny	H0996	bên	interval	R
bny	H0998	bînâ	understanding	N
bny	H1004	bêt	between	N
bny	H1143	bēnayim	interval	N
bny	H4000	mābôn	discern	N
bny	H8394	tĕbûnâ	understanding	N
boc	H1002	bîrâ	castle	N
boc	H1003	bîrānît	fortress	N
bog	H1004	bayit	house	N
bog	H1035	bêt leḥem	Bethlehem	Np
bog	H1008	bēyt-ʾēl	Beth-el	Np
bog	H1055	bîtān	house	N
bqi	H1058	bākâ	weep	V
bqi	H0439	ʾallôn bākût	weeping	N
bqi	H1059	bekeh	a weeping	N
bqi	H1065	bĕkî	weeping	N
bqi	H1068	bĕkît	weeping	N
bqu	H1069	bākar	give the birthright	V
bqu	H1060	bĕkôr	first-born	N
bqu	H1063	bikkûrâ	first ripe fig	N
bqu	H1073	bikkûrâ	first ripe fig	N
bqu	H1061	bikkûrîm	first-fruits	N
bqu	H1067	bĕkîrâ	first-born	N
bqu	H1070	beker	young camel	N
bqu	H1062	bĕkōrâ	right of first-born	N
bqu	H1072	bikrâ	young camel	N
bre	H1082	bālag	gleam	V
bre	H4010	mablîgît	smiling	N
brj	H1089	bālah	trouble	V
brj	H1091	ballāhâ	terror	N
brk	H1086	bālâ	become old and worn out	V
brk	H1077	bal	not	D
brk	H1087	bāleh	worn out	A
brk	H1094	bĕlôʾ	worn out things	N
brk	H1097	bĕlî	wearing out	D
brk	H1099	bĕlîmâ	nothingness	N
brk	H1100	bĕlîyaʿal	worthlessness	N
brk	H1107	bilʿădê	not unto	R
brk	H1115	biltî	failure	T
brk	H8399	tablît	destruction	N
brx	H1101	bālal	mingle	V
brx	H1098	bĕlîl	fodder	N
brx	H1101	bālal	to give provender	V
brx	H7642	šabbĕlûl	snail	N
brx	H8397	tebel	confusion	N
brx	H8400	tĕballul	confusion	N
bse	H1104	bālaʿ	swallow down	V
bse	H1105	belaʿ	swallowing	N
bse	H1109	bilʿām	Balaam	Np
bse	H1109	bilʿām	Bileam	Np
bss	H1121	bēn	son	N
bss	H1144	binyāmîn	Benjamin	Np
bss	H1323	bat	daughter	N
btg	H1129	bānâ	build	V
btg	H1140	binyâ	structure	N
btg	H1146	binyān	structure	N
btg	H4011	mibneh	structure	N
btg	H8403	tabnît	construction	N
btz	H1154	beser	unripe	N
btz	H1155	bōser	unripe	N
bun	H1166	bāʿal	marry	V
bun	H1078	bēl	Bel	Np
