# Directional BHSA apposition: head -> appositive (candidate IS-A / narrowing evidence). See build_hierarchy_relations.py.
head_strong	appositive_strong	count
H0113	H4428	68
H6635	H0430	45
H1121	H3548	28
H6547	H4428	23
H6499	H1121	23
H6499	H1241	23
H1121	H4428	23
H5650	H5030	17
H0251	H1121	16
H0259	H1121	13
H0259	H1241	13
H1121	H1060	10
H3548	H1121	10
H2568	H4428	10
H1121	H0251	10
H3548	H5375	9
H3548	H0727	9
H0269	H1323	8
H6440	H0430	8
H1004	H0430	8
H0001	H0430	7
H4940	H1121	7
H0376	H1121	7
H0310	H1121	7
H0430	H0001	6
H5971	H1121	6
H0251	H3878	6
H5387	H1121	6
H0310	H0430	6
H0376	H2428	6
H8478	H0001	6
H8064	H4349	6
H8064	H3427	6
H3117	H4428	5
H1121	H0001	5
H5650	H0001	5
H0251	H3605	5
H0251	H1004	5
H3548	H1285	5
H5971	H3605	5
H0567	H4428	5
H4428	H0113	5
H0113	H6635	5
H0269	H0001	4
H7218	H8269	4
H0269	H0517	4
H5387	H7218	4
H3605	H4467	4
H0376	H1100	4
H1121	H3228	4
H5288	H5375	4
H5288	H3627	4
H0802	H6370	4
H0802	H0490	4
H1167	H0430	4
H2070	H0430	4
H4428	H0001	4
H0001	H4428	4
H5971	H6957	4
H0376	H1368	4
H0251	H3548	4
H4735	H0505	4
H2416	H3605	3
H1419	H5104	3
H1121	H3173	3
H0251	H0517	3
H6440	H0251	3
H1121	H0802	3
H8147	H8269	3
H0776	H1706	3
H3669	H0776	3
H1323	H0269	3
H1121	H1730	3
H5387	H0001	3
H3605	H1323	3
H6440	H3548	3
H3532	H1121	3
H3532	H8141	3
H2428	H8269	3
H3878	H8104	3
H1121	H7074	3
H3605	H5892	3
H6160	H3220	3
H6160	H4417	3
H0430	H0413	3
H4196	H0430	3
H5291	H1330	3
H6963	H0430	3
H5971	H0376	3
H3027	H4428	3
H1121	H0376	3
H0802	H3761	3
H1323	H4428	3
H0251	H0376	3
H3027	H1121	3
H1121	H5030	3
H1419	H4428	3
H1004	H3605	3
H1697	H1121	3
H3878	H1121	3
H3548	H8334	3
H3027	H5030	3
H0430	H5945	3
H5631	H8104	3
H4428	H8104	3
H5892	H4054	3
H4733	H4054	3
H8147	H0802	2
H1697	H0802	2
H4033	H0776	2
H1121	H5387	2
H5869	H1121	2
H3427	H3669	2
H0776	H3669	2
H1121	H8198	2
H1323	H0802	2
H7453	H5726	2
H8147	H8248	2
H8147	H0644	2
H5631	H8269	2
H1323	H3548	2
H0376	H0113	2
H0376	H0776	2
H0413	H0430	2
H3117	H8141	2
H0376	H8269	2
H0776	H2100	2
H0776	H2461	2
H2896	H0776	2
H2983	H0776	2
H2077	H8002	2
H5695	H4541	2
H7677	H4744	2
H7677	H6944	2
H1121	H5375	2
H1121	H4908	2
H1121	H2859	2
H4294	H0001	2
H1121	H3605	2
H1121	H5713	2
H3669	H4428	2
H1397	H8365	2
H1397	H5869	2
H1121	H1004	2
H7651	H8141	2
H6485	H8269	2
H3878	H4931	2
H3878	H4908	2
H3605	H0376	2
H3605	H4421	2
H0776	H8147	2
H0776	H4428	2
H0776	H0567	2
H3871	H1285	2
H0068	H3871	2
H0068	H1285	2
H0251	H5680	2
H4583	H8064	2
H6944	H8064	2
H3605	H1293	2
H3605	H7045	2
H1697	H1293	2
H1697	H7045	2
H5971	H0802	2
H3878	H5375	2
H3878	H0727	2
H3878	H1285	2
H4057	H0776	2
H3220	H4417	2
H3605	H2022	2
H2983	H3427	2
H1471	H7604	2
H3669	H3427	2
H0802	H7017	2
H2568	H1121	2
H2568	H2428	2
H5288	H3878	2
H2859	H0001	2
H2859	H5291	2
H0376	H1167	2
H0376	H1004	2
H0376	H2205	2
H1323	H1330	2
H3878	H0802	2
H7704	H1004	2
H7704	H8124	2
H4687	H0430	2
H6440	H4428	2
H3605	H3548	2
H0113	H4899	2
H1004	H1121	2
H6635	H1368	2
H4899	H2233	2
H1121	H8621	2
H3605	H4428	2
H0376	H4428	2
H0430	H4428	2
H0802	H2181	2
H1004	H6944	2
H4725	H8064	2
H3427	H8064	2
H7651	H0702	2
H7651	H6240	2
H7651	H3117	2
H3117	H0702	2
H3117	H6240	2
H8147	H1004	2
H8147	H4428	2
H5892	H0001	2
H3605	H1121	2
H7218	H4428	2
H5971	H1004	2
H0251	H0001	2
H5971	H1471	2
H5971	H4001	2
H3882	H5175	2
H2472	H3915	2
H3467	H0046	2
H1350	H0046	2
H5892	H6918	2
H0901	H0269	2
H3878	H8334	2
H1121	H0430	2
H1004	H5608	2
H3117	H6256	2
H8048	H0776	2
H0251	H1353	2
H5315	H1323	2
H7622	H1323	2
H6944	H2022	2
H1471	H3605	2
H1697	H5030	2
H7307	H1121	2
H1004	H1964	2
H4210	H7892	2
H7626	H2022	2
H1121	H0972	2
H0251	H1060	2
H1121	H0940	2
H0120	H7705	2
H5288	H8334	2
H4428	H8334	2
H5631	H0802	2
H4428	H0802	2
H0352	H1167	2
H0352	H7161	2
H8451	H0430	2
H3674	H0671	2
H4438	H4428	2
H3027	H0430	2
