# BHSA clause-level dependency (candidate #6, never built before 2026-08-15): dependent_ref depends on mother_ref via `rela`. Discourse structure, not a word-pair signal -- see build_hierarchy_relations.py.
dependent_ref	mother_ref	rela
Genesis 1:4	Genesis 1:4	Objc
Genesis 1:7	Genesis 1:7	Attr
Genesis 1:7	Genesis 1:7	Attr
Genesis 1:10	Genesis 1:10	Objc
Genesis 1:11	Genesis 1:11	Attr
Genesis 1:11	Genesis 1:11	Attr
Genesis 1:11	Genesis 1:11	Attr
Genesis 1:12	Genesis 1:12	Attr
Genesis 1:12	Genesis 1:12	Attr
Genesis 1:12	Genesis 1:12	Attr
Genesis 1:12	Genesis 1:12	Objc
Genesis 1:14	Genesis 1:14	Adju
Genesis 1:15	Genesis 1:15	Adju
Genesis 1:17	Genesis 1:17	Adju
Genesis 1:18	Genesis 1:17	Coor
Genesis 1:18	Genesis 1:18	Coor
Genesis 1:18	Genesis 1:18	Objc
Genesis 1:21	Genesis 1:21	Attr
Genesis 1:21	Genesis 1:21	Attr
Genesis 1:21	Genesis 1:21	Attr
Genesis 1:21	Genesis 1:21	Objc
Genesis 1:22	Genesis 1:22	Adju
Genesis 1:25	Genesis 1:25	Objc
Genesis 1:26	Genesis 1:26	Attr
Genesis 1:28	Genesis 1:28	Attr
Genesis 1:29	Genesis 1:29	Attr
Genesis 1:29	Genesis 1:29	Attr
Genesis 1:29	Genesis 1:29	Attr
Genesis 1:29	Genesis 1:29	Attr
Genesis 1:30	Genesis 1:30	Attr
Genesis 1:31	Genesis 1:31	RgRc
Genesis 2:2	Genesis 2:2	Attr
Genesis 2:2	Genesis 2:2	Attr
Genesis 2:3	Genesis 2:3	Attr
Genesis 2:3	Genesis 2:3	Adju
Genesis 2:4	Genesis 2:4	Adju
Genesis 2:4	Genesis 2:4	RgRc
Genesis 2:5	Genesis 2:5	Adju
Genesis 2:7	Genesis 2:4	Resu
Genesis 2:8	Genesis 2:8	Attr
Genesis 2:9	Genesis 2:9	Attr
Genesis 2:9	Genesis 2:9	Coor
Genesis 2:10	Genesis 2:10	Adju
Genesis 2:11	Genesis 2:11	PreC
Genesis 2:11	Genesis 2:11	Attr
Genesis 2:13	Genesis 2:13	PreC
Genesis 2:14	Genesis 2:14	PreC
Genesis 2:14	Genesis 2:14	Resu
Genesis 2:15	Genesis 2:15	Adju
Genesis 2:15	Genesis 2:15	Coor
Genesis 2:16	Genesis 2:16	Adju
Genesis 2:17	Genesis 2:17	Resu
Genesis 2:17	Genesis 2:17	RgRc
Genesis 2:18	Genesis 2:18	Subj
Genesis 2:19	Genesis 2:19	Adju
Genesis 2:19	Genesis 2:19	Objc
Genesis 2:19	Genesis 2:19	RgRc
Genesis 2:19	Genesis 2:19	Resu
