# Directional BHSA construct chains (smikhut): regens (governing) -> rectum (dependent/genitive). Kind/part evidence, NOT IS-A. See build_hierarchy_relations.py.
regens_strong	rectum_strong	count
H3605	H5971	353
H3605	H0776	321
H3605	H3117	193
H1121	H8141	166
H1121	H0120	155
H1004	H0001	152
H0168	H4150	141
H3605	H1697	139
H3605	H1121	120
H3605	H1004	113
H3605	H3627	111
H3605	H0376	105
H3605	H5892	103
H3605	H1471	99
H1004	H0430	97
H7651	H3117	91
H3605	H4428	78
H5971	H0776	76
H0376	H0430	76
H3605	H5713	74
H3605	H2416	72
H3605	H5315	69
H6440	H4428	66
H1004	H4428	66
H6607	H0168	61
H0430	H0001	60
H4639	H3027	54
H1697	H3117	53
H2568	H3967	52
H1121	H6242	52
H7218	H0001	51
H3605	H6086	50
H3605	H1320	48
H0727	H0430	48
H2077	H8002	47
H6607	H4150	46
H3605	H6635	45
H3605	H6951	45
H3605	H4639	45
H3499	H1697	45
H3605	H5656	44
H7381	H5207	43
H3427	H0776	43
H4294	H1121	43
H3605	H8269	43
H3605	H2428	42
H3605	H1870	42
H1121	H1241	41
H3605	H3427	41
H1368	H2428	41
H7651	H3967	40
H3605	H5650	40
H0727	H1285	40
H3027	H4428	40
H5775	H8064	38
H3605	H3820	37
H0702	H3967	37
H8269	H6635	37
H3605	H7462	37
H0376	H4421	37
H1121	H4428	37
H5612	H1697	37
H3605	H0120	36
H8432	H1121	36
H5869	H3605	36
H5612	H3117	36
H8337	H3967	35
H6310	H2719	35
H3605	H4687	35
H6440	H0127	34
H3117	H2416	34
H2740	H0639	33
H6440	H1121	32
H3605	H0341	32
H3605	H3824	32
H3605	H7704	31
H2416	H7704	31
H3605	H0929	31
H6440	H0430	31
H3605	H4399	31
H3605	H4467	31
H8147	H1121	30
H3605	H8441	30
H8034	H0517	30
H3605	H8064	29
H3605	H2145	29
H3605	H7626	29
H6440	H3605	28
H8163	H5795	28
H6235	H0505	28
H3605	H1060	27
H8438	H8144	27
H6607	H8179	27
H5676	H5104	27
H1121	H2568	26
H7218	H2022	26
H3605	H4725	26
H5713	H1121	26
H3117	H7676	26
H5002	H6635	26
H3605	H4082	26
H3605	H0430	25
H8269	H3967	25
H8255	H6944	25
H3605	H3027	25
H0214	H1004	25
H2022	H6944	25
H1004	H5650	24
H3220	H5488	24
H7097	H0776	24
H6086	H7848	24
H6285	H3220	24
H7227	H2876	24
H1004	H0424	24
H6440	H0776	23
H3605	H2022	23
H6607	H1004	23
H6440	H5971	23
H3605	H1366	23
H2708	H5769	23
H3605	H6944	23
H6440	H0341	23
H4428	H0567	23
H8034	H1121	22
H3027	H5650	22
H2677	H7626	22
H3605	H4940	21
H1121	H5971	21
H3605	H0001	21
H3605	H3915	21
H8432	H5971	21
H8081	H4888	21
H8034	H6944	21
H3027	H0341	21
H5375	H3627	21
H3605	H1995	21
H0376	H2428	20
H3605	H2205	20
H2100	H2461	20
H2100	H1706	20
H8269	H0505	20
H6963	H7782	20
H5930	H8548	20
H1121	H2428	20
H1697	H4428	20
H3027	H3605	19
H3605	H0251	19
H1121	H5236	19
H3605	H2896	19
H4744	H6944	19
H6249	H6240	19
H3605	H2460	19
H4196	H5930	19
H7130	H5971	19
H6440	H0727	19
H4217	H8121	19
H3605	H4421	19
H4467	H0776	19
H5612	H8451	19
H4428	H0776	19
H8269	H2428	19
H6440	H1004	19
H3605	H5775	18
H8034	H5892	18
H3967	H8141	18
H6106	H3117	18
H3709	H7272	18
H1285	H5769	18
H3605	H0802	18
H3605	H1419	18
H6213	H4399	18
H4557	H8034	18
H7651	H0505	18
H5892	H4014	18
H6635	H8064	18
H3027	H6430	18
H5650	H4428	18
H0430	H6635	18
H2691	H1004	18
H6285	H6921	18
H4940	H1121	17
H0376	H5892	17
H8179	H5892	17
H3027	H1121	17
H5771	H0001	17
H8147	H3871	17
H3605	H8451	17
H5892	H4733	17
H5633	H6430	17
H7307	H0430	16
H8034	H4725	16
H3627	H2091	16
H3627	H1004	16
H3605	H4264	16
H3605	H3318	16
H3605	H7451	16
H8337	H3117	16
H8147	H2885	16
H6086	H0730	16
H2491	H2719	16
H2205	H5892	16
H8141	H8147	16
H1323	H5971	16
H8672	H3967	15
H3605	H3701	15
H0241	H5971	15
H3117	H6869	15
H6440	H6547	15
H3605	H6256	15
H6440	H0168	15
H7161	H4196	15
H6440	H4196	15
H1697	H8451	15
H5159	H1121	15
H0776	H2416	15
H5656	H1004	15
H8034	H0259	14
H6529	H0127	14
H2568	H6240	14
H1121	H3967	14
H3027	H0120	14
H8432	H5892	14
H0776	H6430	14
H8141	H2416	14
H5869	H5971	14
H1121	H0376	14
H3605	H2233	14
H8337	H6240	14
H3605	H4186	14
H8034	H0430	14
H7004	H5561	14
