# Direction verdicts for hierarchy_dag.tsv edges -- held-out weighted asymmetry
# (WeedsPrec + invCL), computed on TEST-book slot profiles never used to infer
# these edges. See direction_yardstick.py and
# internal-docs/phase-c-instrument-calibration-plan.md.
broader_strong	narrower_strong	source	verdict	weeds_fwd	weeds_rev	inv_cl
H0001	H1241	apposition	CONFIRMED	0.1538	0.0312	0.3902
H0001	H1323	apposition	UNDETERMINED	0.1644	0.0990	0.3769
H0001	H3548	apposition	CONFIRMED	0.3784	0.0938	0.5062
H0001	H3627	apposition	CONFIRMED	0.4231	0.0990	0.5430
H0001	H4138	both	CONFIRMED	1.0000	0.0469	0.9895
H0001	H6343	apposition	CONFIRMED	0.3333	0.1354	0.5758
H0001	H6629	apposition	CONFIRMED	0.2955	0.1094	0.4642
H0001	H6996	apposition	CONFIRMED	0.4286	0.0156	0.6495
H0001	H8269	apposition	CONFIRMED	0.2857	0.0938	0.5233
H0060	H4553	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0068	H1285	apposition	UNDETERMINED	0.1250	0.0800	0.1813
H0068	H1496	distributional	CONFIRMED	1.0000	0.0400	0.5657
H0068	H3871	apposition	CONFIRMED	0.8182	0.2400	0.6439
H0068	H7050	distributional	UNDETERMINED	0.0000	0.0000	0.0000
H0068	H7718	distributional	UNDETERMINED	0.0000	0.0000	0.0000
H0113	H4899	apposition	CONFIRMED	0.8000	0.0588	0.6199
H0113	H6635	apposition	UNDETERMINED	0.0286	0.0196	0.1674
H0120	H3205	apposition	CONFIRMED	0.2000	0.0169	0.4434
H0120	H7705	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0127	H0505	apposition	UNDETERMINED	0.0625	0.0417	0.2474
H0127	H6251	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0127	H7698	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0134	H7165	distributional	UNDETERMINED	0.0000	0.0000	0.0000
H0157	H5414	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0157	H6593	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0157	H6785	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0157	H8250	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0226	H4159	distributional	UNDETERMINED	0.0000	0.0000	0.0000
H0251	H1060	distributional	CONFIRMED	0.2941	0.0612	0.4751
H0269	H0761	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0269	H1330	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0269	H1377	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0310	H5414	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0310	H5984	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0310	H6593	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0310	H6722	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0310	H6785	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0310	H8081	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0310	H8250	apposition	UNDETERMINED	0.0000	0.0000	0.0000
H0310	H8251	apposition	UNDETERMINED	0.0000	0.0000	0.0000
