# Direction verdicts for hierarchy_dag.tsv edges -- held-out weighted asymmetry
# (WeedsPrec + invCL), majority verdict across 5 TEST-book splits (seeds 13,17,23,29,31), never used to infer these edges. See
# direction_yardstick.py and internal-docs/phase-c-instrument-calibration-plan.md.
broader_strong	narrower_strong	source	verdict	n_confirmed	n_contradicted	n_undetermined	n_seeds
H0001	H0430	apposition	UNDETERMINED	0	0	5	5
H0001	H0776	apposition	CONTRADICTED	0	3	2	5
H0001	H1121	apposition	UNDETERMINED	0	1	4	5
H0001	H3605	apposition	CONTRADICTED	0	5	0	5
H0001	H4428	apposition	UNDETERMINED	1	1	3	5
H0113	H0376	apposition	CONTRADICTED	0	5	0	5
H0113	H0430	apposition	CONTRADICTED	0	5	0	5
H0113	H4428	apposition	CONTRADICTED	0	5	0	5
H0120	H0802	apposition	CONTRADICTED	0	3	2	5
H0127	H0776	apposition	CONTRADICTED	0	4	1	5
H0127	H6629	apposition	UNDETERMINED	1	0	4	5
H0157	H1121	apposition	CONTRADICTED	0	3	2	5
H0157	H3027	apposition	UNDETERMINED	0	1	4	5
H0157	H3899	apposition	UNDETERMINED	0	0	5	5
H0157	H4325	apposition	UNDETERMINED	0	1	4	5
H0157	H8081	apposition	UNDETERMINED	0	1	4	5
H0214	H8064	apposition	CONTRADICTED	0	3	2	5
H0269	H0001	apposition	CONTRADICTED	0	5	0	5
H0269	H0517	apposition	UNDETERMINED	0	2	3	5
H0269	H1323	apposition	CONTRADICTED	0	5	0	5
H0310	H0001	apposition	CONTRADICTED	0	4	1	5
H0310	H0430	apposition	CONTRADICTED	0	5	0	5
H0310	H1121	apposition	CONTRADICTED	0	5	0	5
H0310	H3899	apposition	UNDETERMINED	0	0	5	5
H0310	H4325	apposition	UNDETERMINED	0	0	5	5
H0310	H5650	apposition	UNDETERMINED	0	1	4	5
H0341	H1121	apposition	CONTRADICTED	0	5	0	5
H0341	H4428	apposition	CONTRADICTED	0	4	1	5
H0352	H1167	apposition	UNDETERMINED	0	0	5	5
H0367	H1419	apposition	UNDETERMINED	0	0	5	5
H0398	H0068	apposition	UNDETERMINED	0	0	5	5
H0398	H1259	apposition	UNDETERMINED	0	0	5	5
H0413	H0001	apposition	CONTRADICTED	0	4	1	5
H0413	H0430	apposition	CONTRADICTED	0	5	0	5
H0413	H0776	apposition	CONTRADICTED	0	5	0	5
H0413	H4428	apposition	CONTRADICTED	0	5	0	5
H0413	H7307	apposition	UNDETERMINED	0	0	5	5
H0413	H8064	apposition	CONTRADICTED	0	4	1	5
H0441	H1121	apposition	UNDETERMINED	0	0	5	5
H0517	H4428	apposition	CONTRADICTED	0	3	2	5
H0567	H0776	apposition	CONTRADICTED	0	4	1	5
H0567	H1323	apposition	UNDETERMINED	0	2	3	5
H0567	H2022	apposition	CONTRADICTED	0	3	2	5
H0567	H3427	apposition	CONTRADICTED	0	3	2	5
H0567	H3605	apposition	CONTRADICTED	0	4	1	5
H0567	H4428	apposition	CONTRADICTED	0	4	1	5
H0612	H1004	apposition	UNDETERMINED	0	0	5	5
H0639	H0068	apposition	UNDETERMINED	0	0	5	5
H0639	H1121	apposition	CONTRADICTED	0	5	0	5
H0784	H0068	apposition	UNDETERMINED	0	0	5	5
H0801	H0430	apposition	UNDETERMINED	0	2	3	5
H0801	H3899	apposition	UNDETERMINED	0	2	3	5
H0802	H1004	apposition	CONTRADICTED	0	4	1	5
H0802	H1121	apposition	CONTRADICTED	0	5	0	5
H0802	H3605	apposition	CONTRADICTED	0	5	0	5
H0899	H6944	apposition	UNDETERMINED	0	1	4	5
H0901	H0269	apposition	UNDETERMINED	0	0	5	5
H0905	H0430	apposition	UNDETERMINED	0	2	3	5
H0905	H0899	apposition	UNDETERMINED	0	1	4	5
H0905	H6086	apposition	UNDETERMINED	0	0	5	5
H0905	H6944	apposition	UNDETERMINED	0	1	4	5
H0929	H0505	apposition	UNDETERMINED	0	0	5	5
H0929	H3605	apposition	CONTRADICTED	0	5	0	5
H0929	H6629	apposition	UNDETERMINED	0	0	5	5
H0969	H4014	apposition	UNDETERMINED	0	0	5	5
H0990	H1121	apposition	CONTRADICTED	0	4	1	5
H0990	H1320	apposition	UNDETERMINED	0	0	5	5
