# Directed Hebrew hierarchy (broader -> narrower), assembled from apposition
# direction (BHSA grammar) + distributional inclusion (held-out verified, see
# build_hierarchy_dag.py). First hierarchy this project has built -- everything
# before this was flat pairwise 'similar' edges. Text-anchored, no SDBH/MARBLE.
broader_strong	narrower_strong	sources
H0001	H1241	apposition:1
H0001	H1323	apposition:1
H0001	H3548	apposition:1
H0001	H3627	apposition:1
H0001	H4138	apposition:1|distributional:1.00
H0001	H6343	apposition:1
H0001	H6629	apposition:1
H0001	H6996	apposition:1
H0001	H8269	apposition:1
H0060	H4553	apposition:1
H0068	H1285	apposition:2
H0068	H1496	distributional:1.00
H0068	H3871	apposition:2
H0068	H7050	distributional:1.00
H0068	H7718	distributional:1.00
H0113	H4899	apposition:2
H0113	H6635	apposition:5
H0120	H3205	apposition:1
H0120	H7705	apposition:2
H0127	H0505	apposition:1
H0127	H6251	apposition:1
H0127	H7698	apposition:1
H0134	H7165	distributional:1.00
H0157	H5414	apposition:1
H0157	H6593	apposition:1
H0157	H6785	apposition:1
H0157	H8250	apposition:1
H0226	H4159	distributional:0.82
H0251	H1060	distributional:0.81
H0269	H0761	apposition:1
H0269	H1330	apposition:1
H0269	H1377	apposition:1
H0310	H5414	apposition:1
H0310	H5984	apposition:1
H0310	H6593	apposition:1
H0310	H6722	apposition:1
H0310	H6785	apposition:1
H0310	H8081	apposition:1
H0310	H8250	apposition:1
H0310	H8251	apposition:1
H0352	H4302	apposition:1
H0352	H4394	apposition:1|distributional:0.83
H0352	H7161	apposition:2
H0367	H2825	apposition:1
H0376	H1100	distributional:0.86
H0398	H2230	apposition:1
H0398	H5311	apposition:1
H0413	H3467	apposition:1
H0413	H7069	apposition:1
H0505	H6485	distributional:0.80
H0567	H1622	distributional:1.00
H0567	H1706	apposition:1
H0567	H2100	apposition:1
H0567	H2340	distributional:0.80
H0567	H2461	apposition:1
H0567	H6522	distributional:1.00
H0639	H1259	apposition:1
H0639	H2230	apposition:1
H0639	H2740	distributional:0.92
H0639	H4899	apposition:1
H0639	H5311	apposition:1
H0713	H0948	distributional:1.00
H0727	H0712	distributional:1.00
H0727	H6532	distributional:0.80
H0730	H0231	distributional:1.00
H0776	H4033	distributional:0.83
H0776	H4138	distributional:0.86
H0784	H1259	apposition:1
H0784	H2230	apposition:1
H0784	H3940	distributional:0.80
H0784	H5311	apposition:1
H0802	H0269	apposition:1
H0802	H0490	apposition:4
H0802	H1173	apposition:1
H0802	H2181	apposition:2
H0802	H2850	apposition:1
H0802	H3243	apposition:1
H0802	H3618	distributional:0.82
H0802	H3761	apposition:3
H0802	H5031	distributional:1.00
H0802	H6370	apposition:4|distributional:0.93
H0802	H7017	apposition:2
H0802	H7986	apposition:1
H0802	H7998	apposition:1
H0802	H8283	apposition:1
H0899	H8162	apposition:1
H0905	H7848	apposition:1
H0929	H6251	apposition:1
H0929	H7698	apposition:1
H0929	H7998	apposition:1
H0929	H8318	distributional:0.80
H0953	H7665	apposition:1
H0957	H4933	distributional:1.00
H1004	H0001	apposition:1
H1004	H0168	apposition:1
H1004	H0214	distributional:0.93
H1004	H0361	distributional:1.00
H1004	H1473	distributional:0.86
H1004	H1588	apposition:1
H1004	H1964	apposition:2|distributional:0.86
H1004	H2270	apposition:1
H1004	H2315	distributional:0.80
H1004	H2691	apposition:1|distributional:0.86
H1004	H3548	apposition:1
H1004	H3608	distributional:0.83
H1004	H3627	apposition:1
H1004	H3957	distributional:0.89
H1004	H4138	distributional:1.00
H1004	H4805	apposition:1|distributional:0.83
H1004	H5608	apposition:2
H1004	H5650	apposition:1
H1004	H5944	distributional:1.00
H1004	H5947	apposition:1
H1004	H6442	distributional:1.00
H1004	H6918	apposition:1
H1004	H6944	apposition:2
H1004	H6996	apposition:1
H1004	H7151	apposition:1
H1060	H6363	apposition:1
H1060	H7358	apposition:1
H1121	H0761	distributional:0.83
H1121	H0972	distributional:0.80
H1121	H1060	distributional:0.90
H1121	H2677	distributional:0.90
H1121	H2945	distributional:0.83
H1121	H3205	distributional:0.86
H1121	H4940	distributional:0.93
H1121	H5003	distributional:1.00
H1121	H5387	distributional:0.81
H1121	H5608	distributional:0.94
H1121	H6956	distributional:1.00
H1167	H0567	apposition:1
H1167	H1622	apposition:1
H1167	H2340	apposition:1
H1167	H2850	apposition:1
H1167	H2983	apposition:1
H1167	H3669	apposition:1
H1167	H6522	apposition:1
H1241	H3532	distributional:0.82
H1259	H6986	apposition:1
H1259	H8178	apposition:1
H1323	H0269	apposition:3
H1323	H0517	apposition:1
H1323	H0761	apposition:1
H1323	H1330	apposition:2
H1323	H1389	apposition:1
H1323	H1569	apposition:1
H1323	H1730	apposition:1
H1323	H2340	apposition:1
H1323	H2850	apposition:1
H1323	H3669	apposition:1
H1323	H6370	distributional:0.87
H1323	H6722	apposition:1
H1347	H1998	apposition:1
H1350	H0046	apposition:2
H1389	H0972	apposition:1
H1397	H8365	apposition:2
H1419	H2850	apposition:1
H1419	H3974	apposition:1
H1419	H3996	apposition:1
H1419	H5104	apposition:3
H1419	H8121	apposition:1
H1471	H0341	apposition:1
H1471	H2233	apposition:1
H1471	H3515	apposition:1
H1471	H4421	apposition:1
H1471	H4940	apposition:1
H1471	H5771	apposition:1
H1471	H7489	apposition:1
H1471	H7604	apposition:2
H1471	H7843	apposition:1
H1530	H4583	apposition:1
H1530	H8565	apposition:1
H1612	H1706	apposition:1
H1612	H2132	apposition:1
H1616	H8453	apposition:1|distributional:0.83
H1697	H1100	apposition:1
H1697	H1293	apposition:2
H1697	H5030	apposition:2
H1697	H7045	apposition:2
H1818	H4888	distributional:0.86
H1870	H4546	distributional:0.82
H1870	H4611	apposition:1
H1870	H6529	apposition:1
H1926	H3712	apposition:1
H1926	H5687	apposition:1
H1926	H6057	apposition:1
H1926	H8559	apposition:1
H2022	H1389	apposition:1
H2022	H4791	apposition:1
H2077	H8002	apposition:2|distributional:0.81
H2091	H4219	distributional:0.83
H2091	H5145	apposition:1
H2091	H5458	apposition:1
H2091	H8641	apposition:1
H2114	H6184	apposition:1
H2197	H5311	apposition:1
H2205	H4294	apposition:1
H2220	H2389	apposition:1
H2220	H7665	apposition:1
H2230	H6986	apposition:1
H2230	H8178	apposition:1
H2233	H0157	apposition:1
H2398	H7843	apposition:1
H2416	H4940	apposition:1
H2416	H5775	apposition:1
H2416	H6635	apposition:1
H2416	H7431	apposition:1|distributional:0.83
H2428	H0214	apposition:1
H2428	H0571	apposition:1
H2428	H1215	apposition:1
H2428	H4082	apposition:1
H2428	H8130	apposition:1
H2450	H3045	apposition:1
H2450	H6256	apposition:1
H2450	H6953	distributional:1.00
H2472	H2377	apposition:1
H2472	H2492	distributional:1.00
H2491	H2181	apposition:1
H2491	H6913	apposition:1
H2491	H7901	apposition:1
H2534	H1606	apposition:1
H2677	H1425	distributional:1.00
