# Biblical Hebrew syntactic-structure word pairs, via Context-Fabric (ETCBC/BHSA).
# coordination (subphrase rela=par): "X and Y" constructions. apposition (phrase_atom
# rela=Appo): "the man, the prophet" restatement pairs. Independent of BDB/UBS MARBLE/
# Hebrew WordNet — syntactic structure, not lexical/etymological derivation.
# Extraction: all-cross-product (default since 2026-08-15) — see build_bhsa_structural_pairs.py and internal-docs/text-anchored-semantics-plan.md.
# count: independent occurrences across the OT (corroboration strength).
strong_a	strong_b	relation	count
H0113	H4428	apposition	73
H0430	H6635	apposition	46
H1121	H3548	apposition	38
H0251	H1121	apposition	26
H1121	H4428	apposition	24
H1121	H6499	apposition	23
H1241	H6499	apposition	23
H4428	H6547	apposition	23
H5030	H5650	apposition	17
H0001	H0430	apposition	13
H0259	H1121	apposition	13
H0259	H1241	apposition	13
H0269	H1323	apposition	11
H1060	H1121	apposition	11
H0376	H1121	apposition	10
H2568	H4428	apposition	10
H0727	H3548	apposition	9
H3548	H5375	apposition	9
H0001	H4428	apposition	8
H0430	H6440	apposition	8
H0430	H1004	apposition	8
H1121	H5387	apposition	8
H3427	H8064	apposition	8
H0310	H1121	apposition	7
H0376	H2428	apposition	7
H1121	H5971	apposition	7
H1121	H4940	apposition	7
H0001	H1121	apposition	6
H0001	H8478	apposition	6
H0251	H3878	apposition	6
H0251	H3605	apposition	6
H0310	H0430	apposition	6
H4349	H8064	apposition	6
H0001	H5650	apposition	5
H0113	H6635	apposition	5
H0251	H1004	apposition	5
H0413	H0430	apposition	5
H0567	H4428	apposition	5
H0776	H3669	apposition	5
H1285	H3548	apposition	5
H3117	H4428	apposition	5
H3605	H5971	apposition	5
H5387	H7218	apposition	5
H0001	H0269	apposition	4
H0251	H0376	apposition	4
H0251	H3548	apposition	4
H0269	H0517	apposition	4
H0376	H1100	apposition	4
H0376	H1368	apposition	4
H0430	H1167	apposition	4
H0430	H2070	apposition	4
H0490	H0802	apposition	4
H0505	H4735	apposition	4
H0802	H1121	apposition	4
H0802	H6370	apposition	4
H1004	H1121	apposition	4
H1121	H3605	apposition	4
H1121	H3878	apposition	4
H1121	H3228	apposition	4
H1121	H3027	apposition	4
H2428	H8269	apposition	4
H3427	H3669	apposition	4
H3605	H5892	apposition	4
H3605	H4467	apposition	4
H3627	H5288	apposition	4
H5288	H5375	apposition	4
H5971	H6957	apposition	4
H7218	H8269	apposition	4
H0001	H5387	apposition	3
H0113	H0376	apposition	3
H0251	H0517	apposition	3
H0251	H6440	apposition	3
H0376	H5971	apposition	3
H0430	H3027	apposition	3
H0430	H4196	apposition	3
H0430	H6963	apposition	3
H0430	H5945	apposition	3
H0567	H0776	apposition	3
H0776	H4033	apposition	3
H0776	H1706	apposition	3
H0802	H3761	apposition	3
H1004	H3605	apposition	3
H1121	H3173	apposition	3
H1121	H1730	apposition	3
H1121	H3532	apposition	3
H1121	H7074	apposition	3
H1121	H5030	apposition	3
H1121	H1697	apposition	3
H1121	H7891	apposition	3
H1323	H3548	apposition	3
H1323	H3605	apposition	3
H1323	H4428	apposition	3
H1330	H5291	apposition	3
H1419	H5104	apposition	3
H1419	H4428	apposition	3
H1471	H5971	apposition	3
H2022	H3605	apposition	3
H2416	H3605	apposition	3
H3027	H4428	apposition	3
H3027	H5030	apposition	3
H3220	H6160	apposition	3
H3532	H8141	apposition	3
H3548	H6440	apposition	3
H3548	H3605	apposition	3
H3548	H8334	apposition	3
H3878	H8104	apposition	3
H4054	H5892	apposition	3
H4054	H4733	apposition	3
H4210	H7892	apposition	3
H4417	H6160	apposition	3
H4428	H8104	apposition	3
H4541	H5695	apposition	3
H5631	H8104	apposition	3
H6485	H8269	apposition	3
H6944	H7677	apposition	3
H8147	H8269	apposition	3
H0001	H4294	apposition	2
H0001	H2859	apposition	2
H0001	H3605	apposition	2
H0001	H5892	apposition	2
H0001	H0251	apposition	2
H0046	H3467	apposition	2
H0046	H1350	apposition	2
H0068	H3871	apposition	2
H0068	H1285	apposition	2
H0113	H4899	apposition	2
H0120	H7705	apposition	2
H0251	H3027	apposition	2
H0251	H5680	apposition	2
H0251	H5971	apposition	2
H0251	H1353	apposition	2
H0251	H1060	apposition	2
H0269	H0901	apposition	2
H0341	H1121	apposition	2
H0352	H1167	apposition	2
H0352	H7161	apposition	2
H0376	H0776	apposition	2
H0376	H8269	apposition	2
H0376	H1755	apposition	2
H0376	H3605	apposition	2
H0376	H1167	apposition	2
H0376	H1004	apposition	2
H0376	H2205	apposition	2
H0376	H5650	apposition	2
H0376	H4428	apposition	2
H0430	H4687	apposition	2
H0430	H4428	apposition	2
H0430	H2022	apposition	2
H0430	H1121	apposition	2
H0430	H8451	apposition	2
H0430	H3627	apposition	2
H0644	H8147	apposition	2
H0671	H3674	apposition	2
H0702	H7651	apposition	2
H0702	H3117	apposition	2
H0727	H3878	apposition	2
H0776	H6522	apposition	2
H0776	H2896	apposition	2
H0776	H2100	apposition	2
H0776	H2461	apposition	2
H0776	H2983	apposition	2
H0776	H8147	apposition	2
H0776	H4428	apposition	2
H0776	H4057	apposition	2
H0776	H8048	apposition	2
H0802	H8147	apposition	2
H0802	H1697	apposition	2
H0802	H1323	apposition	2
H0802	H3605	apposition	2
H0802	H5971	apposition	2
H0802	H7017	apposition	2
H0802	H3878	apposition	2
H0802	H2181	apposition	2
H0802	H5631	apposition	2
H0802	H4428	apposition	2
H0940	H1121	apposition	2
H0972	H1121	apposition	2
H1004	H5650	apposition	2
H1004	H7704	apposition	2
H1004	H6944	apposition	2
H1004	H8147	apposition	2
H1004	H5971	apposition	2
H1004	H3627	apposition	2
H1004	H5608	apposition	2
H1004	H1964	apposition	2
H1060	H6363	apposition	2
H1060	H7358	apposition	2
H1060	H8130	apposition	2
H1121	H1323	apposition	2
H1121	H5869	apposition	2
H1121	H8198	apposition	2
H1121	H5375	apposition	2
H1121	H4908	apposition	2
H1121	H2859	apposition	2
H1121	H5713	apposition	2
H1121	H1419	apposition	2
H1121	H2568	apposition	2
H1121	H8621	apposition	2
H1121	H7307	apposition	2
H1121	H5650	apposition	2
H1285	H3871	apposition	2
H1285	H3878	apposition	2
H1293	H3605	apposition	2
H1293	H1697	apposition	2
H1323	H1330	apposition	2
H1323	H5315	apposition	2
H1323	H7622	apposition	2
H1368	H6635	apposition	2
H1389	H2022	apposition	2
H1397	H8365	apposition	2
H1397	H5869	apposition	2
H1419	H3974	apposition	2
H1471	H7604	apposition	2
H1471	H3605	apposition	2
H1697	H7045	apposition	2
H1697	H5030	apposition	2
H2022	H6944	apposition	2
H2022	H7626	apposition	2
H2077	H8002	apposition	2
H2233	H4899	apposition	2
H2428	H3967	apposition	2
H2428	H4428	apposition	2
H2428	H2568	apposition	2
H2472	H3915	apposition	2
H2568	H4735	apposition	2
H2859	H5291	apposition	2
H2983	H3427	apposition	2
H3027	H5104	apposition	2
H3027	H5650	apposition	2
H3117	H8141	apposition	2
H3117	H6240	apposition	2
H3117	H7651	apposition	2
H3117	H6256	apposition	2
H3220	H4417	apposition	2
H3548	H7218	apposition	2
H3605	H4421	apposition	2
H3605	H7045	apposition	2
