# source=derived from resources/aligned_lex/asm.tsv (roadmap R1: Strong's -> surface family)
# derived_from=aligned_lex; license=inherits aligned_lex (Clear-Bible/Alignments); share=surface→Strong's confidence (filter noise)
strong	surface	count	share
G0000	অর্ণী	1	1.000
G0000	অর্ণীৰ	1	1.000
G0000	মচলা	1	1.000
G0001	আলফা	2	1.000
G0002	হাৰোণৰ	3	1.000
G0002	হাৰোণক	2	1.000
G0003	আবদ্দোন	1	1.000
G0004	ওপৰত	1	0.004
G0004	নিদিয়াকৈ	1	0.200
G0004	ভাৰ	1	0.048
G0005	আব্বা	3	1.000
G0006	হেবলৰ	2	1.000
G0006	হেবলতকৈ	1	1.000
G0006	হেবলে	1	1.000
G0007	অবিয়ৰ	1	1.000
G0008	অবিয়াথ	1	1.000
G0009	অবিলীনী	1	1.000
G0011	অব্ৰাহামৰ	27	0.900
G0011	অব্ৰাহাম	16	0.941
G0011	অব্ৰাহামে	8	0.727
G0011	অব্রাহামৰ	4	0.667
G0011	অব্রাহাম	2	1.000
G0011	অব্রাহামে	2	0.667
G0011	অব্ৰাহামক	2	1.000
G0011	অব্রাহামক	1	0.250
G0011	অব্ৰাহামতকৈয়ো	1	1.000
G0011	অব্ৰাহামেতো	1	1.000
G0011	অব্ৰাহামৰেই	1	1.000
G0011	আছিল	1	0.002
G0011	আৰু	1	0.000
G0011	উভয়েই	1	0.500
G0011	তাৰ	1	0.002
G0011	দায়ুদ	1	0.143
G0011	পৰিৱর্তে	1	0.100
G0011	বংশৰ	1	0.040
G0011	সন্তান৷	1	0.500
G0012	অগাধ	9	0.818
G0012	ঠাইৰ	6	0.130
G0012	সেই	2	0.001
G0012	এনেদৰে	1	0.019
G0012	ঠাইত	1	0.011
G0012	তেতিয়া	1	0.001
G0012	সি	1	0.010
G0013	আগাব	2	1.000
G0013	চালিত	1	0.100
G0013	জনালে	1	0.053
G0013	যে	1	0.002
G0013	হৈ	1	0.002
G0014	কৰে	1	0.002
G0014	তেওঁ	1	0.001
G0014	মঙ্গল	1	0.200
G0014	সকলোৰে	1	0.009
G0015	কৰ্ম	6	0.054
G0015	কৰা	5	0.006
G0015	কৰি	4	0.005
G0015	সৎ	4	0.114
G0015	উপকাৰ	3	0.150
G0015	কৰে	2	0.004
G0015	ভাল	2	0.020
G0015	আপোনালোকে	1	0.002
G0015	আপোনালোকেও	1	0.040
G0015	উচিত	1	0.014
G0015	এতিয়া	1	0.008
G0015	কর্ম	1	0.042
G0015	কেৱল	1	0.011
G0015	কৰিবা	1	0.013
G0015	তোমালোকে	1	0.003
G0015	ধৰণৰ	1	0.033
G0015	বেয়া	1	0.048
G0015	যদি	1	0.002
G0015	সকলকে	1	0.200
G0016	কৰি	1	0.001
G0016	কৰ্ম	1	0.009
G0016	সৎ	1	0.029
G0017	আৰু	1	0.000
G0017	সৎকৰ্মকাৰী	1	1.000
G0018	উত্তম	23	0.348
G0018	ভাল	22	0.224
G0018	সৎ	19	0.543
G0018	মঙ্গলৰ	5	1.000
G0018	বস্তু	4	0.054
G0018	ভালৰ	2	0.667
G0018	যি	2	0.001
G0018	অন্তৰত	1	0.027
G0018	আদি	1	0.036
G0018	আপোনালোকে	1	0.002
G0018	উত্তমতা	1	0.500
G0018	উত্তমতালৈ	1	1.000
G0018	ওচৰত	1	0.007
G0018	কথা	1	0.001
G0018	কাৰণে	1	0.001
G0018	কৰ্ম	1	0.009
G0018	জনাজাত	1	0.250
G0018	তেওঁৰ	1	0.001
G0018	থকা	1	0.002
G0018	দ্ৰব্য	1	0.200
G0018	ধাৰ্মিক	1	0.012
G0018	বস্তুৰ	1	0.062
G0018	ভাবি	1	0.040
G0018	ভাললৈ	1	0.500
G0018	ভৰি	1	0.028
G0018	ভৱিষ্যত	1	1.000
G0018	মোৰ	1	0.001
G0018	শুভবাৰ্তা	1	0.018
G0018	স্বভাৱৰ	1	0.143
G0018	সৎকৰ্ম	1	0.250
G0018	সৎকৰ্মত	1	0.250
G0018	সৎলোকৰ	1	1.000
G0018	সৰল	1	0.200
G0018	হিচাপে	1	0.040
G0019	মঙ্গলভাৱ	1	1.000
G0019	মঙ্গলভাৱত	1	1.000
G0019	মঙ্গলভাৱেৰে	1	1.000
G0019	যেন	1	0.003
G0020	অসীম	1	0.500
G0020	আনন্দেৰে	1	0.048
G0020	আনন্দৰ	1	0.125
G0020	আনন্দৰূপ	1	1.000
G0020	ঈশ্বৰৰ	1	0.001
G0020	উল্লাস	1	0.143
G0020	উল্লাসত	1	0.500
G0020	কৰি	1	0.001
G0020	স্তুতি	1	0.032
G0021	উল্লাসিত	4	1.000
G0021	উল্লাস	3	0.429
G0021	আপোনালোকে	2	0.004
G0021	হৈ	2	0.004
G0021	অনির্বচনীয়	1	1.000
G0021	অানন্দ	1	1.000
G0021	আনন্দ	1	0.013
G0021	আপোনালোক	1	0.004
G0021	আশাত	1	0.250
G0021	উপভোগ	1	0.500
G0021	উল্লাসত	1	0.500
G0021	কথা	1	0.001
G0021	কিন্তু	1	0.001
G0021	কৰিবলৈ	1	0.002
G0021	তেওঁ	1	0.001
G0021	ভাবি	1	0.040
G0021	হৈছিল	1	0.009
G0021	হোৱা	1	0.004
G0022	অবিবাহিত	1	0.500
G0022	উচিত	1	0.014
G0022	জনে	1	0.003
G0022	নকৰাকৈ	1	0.077
G0023	হৈ	4	0.007
G0023	কুপিত	3	0.750
G0023	অসন্তুষ্ট	1	0.500
G0023	ওপৰত	1	0.004
G0023	ক্ৰুদ্ধ	1	0.250
G0023	ক্ৰোধিত	1	1.000
G0023	লোকে	1	0.011
G0023	হ’ব	1	0.009
G0024	বিৰক্তি	1	0.500
G0025	প্ৰেম	115	0.612
G0025	কৰা	19	0.023
G0025	কৰে	19	0.035
G0025	কৰিবা	10	0.128
G0025	কৰোঁ	9	0.052
G0025	কৰিলে	8	0.012
G0025	কৰিলোঁ	6	0.061
G0025	কৰিব	5	0.010
G0025	কৰি	4	0.005
G0025	আপোনালোকে	3	0.005
G0025	কৰক	3	0.017
G0025	কৰাৰ	3	0.027
G0025	কৰা৷	3	0.273
G0025	কৰিছিল	3	0.023
G0025	তেওঁ	3	0.002
G0025	তেওঁক	3	0.004
G0025	প্ৰেমৰ	3	0.136
G0025	কৰিলা	2	0.065
G0025	তুমি	2	0.005
G0025	প্রেম	2	0.250
G0025	প্ৰিয়	2	0.200
G0025	মই	2	0.001
G0025	ইমান	1	0.050
G0025	উচিত	1	0.014
G0025	কিন্তু	1	0.001
G0025	কেৱল	1	0.011
G0025	কোনোৱে	1	0.004
G0025	কৰিছে	1	0.008
G0025	কৰিবলৈ	1	0.002
G0025	কৰিলা৷	1	1.000
G0025	কৰিলে৷	1	0.012
G0025	কৰোঁহক	1	0.111
G0025	তেওঁলোককে	1	1.000
G0025	তোমালোকক	1	0.004
G0025	তোমালোকে	1	0.003
G0025	দিলে	1	0.003
G0025	পাত্ৰ	1	0.015
G0025	প্ৰকৃত	1	0.059
G0025	প্ৰভুক	1	0.048
G0025	প্ৰমাণ	1	0.042
G0025	প্ৰেমত	1	0.083
G0025	পৰি	1	0.020
G0025	বিষয়বোৰক	1	0.500
G0025	বুলি	1	0.003
G0025	যাক	1	0.067
G0025	যি	1	0.001
G0025	যে	1	0.002
G0025	স্নেহ	1	0.143
G0026	প্ৰেম	43	0.229
G0026	প্ৰেমৰ	17	0.773
G0026	প্ৰেমত	10	0.833
G0026	প্ৰেমে	7	0.875
G0026	কৰক	2	0.011
G0026	নাথাকিলে	2	0.500
G0026	প্রেমৰ	2	0.500
G0026	প্ৰেমক	2	1.000
G0026	প্ৰেমতে	2	1.000
G0026	প্ৰেমেৰে	2	1.000
G0026	হোৱা	2	0.007
G0026	আপোনালোকে	1	0.002
G0026	ঈশ্বৰৰ	1	0.001
G0026	কেইটাৰ	1	0.500
G0026	কৰা	1	0.001
G0026	কৰে	1	0.002
G0026	গভীৰ	1	0.077
G0026	জন্ম	1	0.022
G0026	তেওঁ	1	0.001
G0026	থাকিবা	1	0.056
G0026	থাকে	1	0.008
G0026	প্রতি	1	0.045
G0026	প্রেমত	1	0.250
G0026	প্ৰেম-ভোজত	1	1.000
G0026	প্ৰেমেই	1	1.000
G0026	বাবে	1	0.003
G0026	বিশ্বাসত	1	0.036
G0026	বৃদ্ধি	1	0.028
G0026	যেনে	1	0.043
G0026	হ’ল	1	0.003
G0027	হে	19	0.045
G0027	সকল	13	0.033
G0027	প্রিয়	3	0.214
G0027	প্ৰিয়	2	0.200
G0027	প্ৰিয়জন	2	1.000
G0027	বন্ধু	2	0.062
G0027	লোক	2	0.003
G0027	সেই	2	0.001
G0027	এজন	1	0.003
G0027	জন	1	0.003
G0027	তেওঁৰ	1	0.001
G0027	প্ৰকাৰৰ	1	0.167
G0027	প্ৰিয়পাত্ৰ	1	0.500
G0027	প্ৰেমৰ	1	0.045
G0027	বাবে	1	0.003
G0027	ভাই	1	0.007
G0027	সকলো	1	0.002
G0027	হ’ল	1	0.003
G0028	হাগাৰ	1	1.000
G0028	হাগাৰ৷	1	1.000
G0029	জবৰদস্তিৰে	1	1.000
G0029	তেওঁলোকে	1	0.001
G0029	ধৰি	1	0.009
G0029	নিয়ে	1	0.167
G0029	নিলে	1	0.083
G0029	বলেৰে	1	0.125
G0029	মানুহবোৰে	1	0.025
G0029	সেই	1	0.000
G0030	খালৈত	1	1.000
G0030	ৰাখিলে	1	0.091
G0031	বার্তা	1	0.200
G0031	বার্তাই	1	0.500
G0032	দূত	54	0.720
G0032	দূতে	37	0.804
G0032	স্বৰ্গৰ	24	0.264
G0032	দূতক	18	0.947
G0032	দূতৰ	15	0.882
G0032	স্বর্গৰ	14	0.583
G0032	এজন	11	0.031
G0032	জন	8	0.025
G0032	দূতলৈ	7	0.778
G0032	সকলৰ	7	0.009
G0032	সকলক	6	0.013
G0032	সকলে	6	0.009
G0032	দূতবোৰৰ	5	1.000
G0032	সকল	3	0.008
G0032	সেই	3	0.001
G0032	আৰু	2	0.000
G0032	বার্তাবাহকক	2	1.000
G0032	অৰ্থাৎ	1	0.018
G0032	আগত	1	0.004
G0032	আগেয়ে	1	0.018
G0032	আমি	1	0.001
G0032	ঈশ্বৰে	1	0.004
G0032	এই	1	0.001
G0032	কথা	1	0.001
G0032	কিছুমান	1	0.016
G0032	কৰা	1	0.001
