# source=derived from resources/aligned_lex/ben.tsv (roadmap R1: Strong's -> surface family)
# derived_from=aligned_lex; license=inherits aligned_lex (Clear-Bible/Alignments); share=surface→Strong's confidence (filter noise)
strong	surface	count	share
G0000	অর্ণির	1	1.000
G0000	ইনি	1	0.010
G0000	এলাচি	1	1.000
G0000	পুত্র	1	0.007
G0001	আলফা	1	1.000
G0002	হারোণের	2	1.000
G0002	তাঁকে	1	0.002
G0002	হারোণ	1	1.000
G0002	হারোণকে	1	1.000
G0003	আবদ্দোন	1	1.000
G0004	না	1	0.001
G0004	ভার	1	0.067
G0004	স্বরূপ	1	0.100
G0004	হই	1	0.030
G0005	আব্বা	2	1.000
G0005	যিনি	1	0.004
G0006	হেবলের	3	1.000
G0006	হেবল	2	1.000
G0006	এনেছিল	1	1.000
G0006	ঐ	1	0.007
G0006	কারণ	1	0.001
G0006	যা	1	0.002
G0009	অবিলীনির	1	1.000
G0009	লূষানিয়	1	1.000
G0010	অবীহূদ	1	1.000
G0010	অবীহূদের	1	1.000
G0010	ছেলে	1	0.012
G0011	অব্রাহামের	35	0.897
G0011	অব্রাহাম	22	0.815
G0011	অব্রাহামকে	3	0.600
G0011	আমি	2	0.001
G0011	তারা	2	0.002
G0011	যে	2	0.001
G0011	আদিপিতা	1	1.000
G0011	ইনি	1	0.010
G0011	ইস্রায়েলীয়	1	0.250
G0011	একজন	1	0.003
G0011	কবর	1	0.032
G0011	কি	1	0.001
G0011	গিয়ে	1	0.009
G0011	তিনি	1	0.001
G0011	নিয়ে	1	0.006
G0011	পারে	1	0.007
G0011	পুত্র	1	0.007
G0011	বলেন	1	0.020
G0011	ভাইয়েরা	1	0.008
G0011	ভাবে	1	0.006
G0011	ভাল	1	0.013
G0011	যেতে	1	0.010
G0011	স্ত্রীলোক	1	0.045
G0012	অতল	6	1.000
G0012	গভীর	3	0.150
G0012	গর্তের	3	0.600
G0012	গর্ত	2	0.250
G0012	সেই	2	0.001
G0012	কে	1	0.008
G0012	গর্তে	1	0.167
G0012	তারাটা	1	0.500
G0012	নরকে	1	0.100
G0012	সে	1	0.001
G0013	আগাব	2	1.000
G0014	উপকার	1	0.067
G0014	করে	1	0.001
G0014	করেছেন	1	0.007
G0014	পরের	1	0.032
G0014	মঙ্গল	1	0.143
G0014	যেন	1	0.001
G0015	ভালো	6	0.041
G0015	কাজ	4	0.013
G0015	করে	3	0.002
G0015	উপকার	2	0.133
G0015	কর	2	0.004
G0015	করতে	2	0.004
G0015	তাদের	2	0.002
G0015	করা	1	0.004
G0015	কাজের	1	0.012
