# source=derived from resources/aligned_lex/eng.tsv (roadmap R1: Strong's -> surface family)
# derived_from=aligned_lex; license=inherits aligned_lex (Clear-Bible/Alignments); share=surface→Strong's confidence (filter noise)
strong	surface	count	share
G0000	of	2	0.000
G0000	aram	1	0.005
G0000	arni	1	1.000
G0000	spice	1	0.083
G0001	alpha	5	0.833
G0001	the	1	0.000
G0002	aaron	8	0.012
G0002	of	4	0.000
G0002	to	2	0.000
G0002	aaron’s	1	0.022
G0003	abaddon	2	0.250
G0003	is	1	0.000
G0004	a	1	0.000
G0004	being	1	0.002
G0004	burden	1	0.007
G0004	burdenless	1	1.000
G0004	from	1	0.000
G0005	abba	6	1.000
G0006	abel	8	0.286
G0006	of	4	0.000
G0007	abijah	6	0.107
G0007	of	2	0.000
G0008	abiathar	2	0.033
G0008	of	1	0.000
G0009	abilene	2	1.000
G0009	of	2	0.000
G0010	abiud	4	1.000
G0011	abraham	133	0.277
G0011	of	39	0.001
G0011	to	19	0.000
G0011	abraham’s	7	0.219
G0011	from	2	0.000
G0011	a	1	0.000
G0011	for	1	0.000
G0011	hast	1	0.000
G0011	he	1	0.000
G0011	is	1	0.000
G0011	isaac	1	0.004
G0011	tenth	1	0.007
G0011	that	1	0.000
G0011	thou	1	0.000
G0012	abyss	17	0.895
G0012	of	4	0.000
G0012	go	1	0.000
G0013	agabus	4	1.000
G0014	good	3	0.002
G0014	to	3	0.000
G0014	do	2	0.000
G0014	doing	1	0.003
G0014	goodness	1	0.015
G0014	his	1	0.000
G0014	instruct	1	0.037
G0014	them	1	0.000
G0015	good	17	0.012
G0015	do	8	0.001
G0015	doing	8	0.021
G0015	to	6	0.000
G0015	for	2	0.000
G0015	if	2	0.001
G0015	is	2	0.000
G0015	you	2	0.000
G0015	by	1	0.000
G0015	does	1	0.002
G0015	right	1	0.001
G0015	them	1	0.000
G0015	those	1	0.000
G0015	what	1	0.000
G0015	who	1	0.000
G0016	good	2	0.001
G0016	do	1	0.000
G0016	doing	1	0.003
G0016	to	1	0.000
G0017	those	2	0.001
G0017	do	1	0.000
G0017	doing	1	0.003
G0017	good	1	0.001
G0017	of	1	0.000
G0017	right	1	0.001
G0017	who	1	0.000
G0018	good	181	0.123
G0018	things	18	0.011
G0018	a	9	0.000
G0018	thing	7	0.010
G0018	man	4	0.001
G0018	of	4	0.000
G0018	the	4	0.000
G0018	to	3	0.000
G0018	is	2	0.000
G0018	and	1	0.000
G0018	anything	1	0.003
G0018	choose	1	0.009
G0018	clear	1	0.016
G0018	conscience	1	0.017
G0018	deed	1	0.025
G0018	did	1	0.000
G0018	fond	1	1.000
G0018	generous	1	0.100
G0018	goodness	1	0.015
G0018	goods	1	0.021
G0018	helpful	1	0.333
G0018	hope	1	0.003
G0018	i	1	0.000
G0018	kind	1	0.006
G0018	kindness	1	0.003
G0018	memories	1	1.000
G0018	ones	1	0.002
G0018	right	1	0.001
