# source=derived from resources/aligned_lex/fra.tsv (roadmap R1: Strong's -> surface family)
# derived_from=aligned_lex; license=inherits aligned_lex (Clear-Bible/Alignments); share=surface→Strong's confidence (filter noise)
strong	surface	count	share
G0001	et	2	0.000
G0001	l’oméga	1	0.333
G0002	aaron	2	0.667
G0003	abaddon	1	1.000
G0004	charge	1	0.100
G0005	abba	3	1.000
G0006	abel	3	1.000
G0006	offrit	1	0.250
G0007	abia	3	1.000
G0008	abiathar	1	1.000
G0009	abilène	1	1.000
G0010	abiud	2	1.000
G0011	abraham	50	0.893
G0011	ce	1	0.002
G0011	enfants	1	0.010
G0011	et	1	0.000
G0011	fils	1	0.003
G0011	isaac	1	0.059
G0011	ne	1	0.003
G0011	notre	1	0.005
G0011	offrit	1	0.250
G0011	ou	1	0.005
G0012	abîme	8	0.889
G0013	agabus	2	1.000
G0014	bien	1	0.009
G0015	bien	7	0.064
G0015	ou	1	0.005
G0015	sans	1	0.011
G0015	vous	1	0.001
G0016	bien	1	0.009
G0017	bien	1	0.009
G0018	bien	15	0.138
G0018	bon	14	0.269
G0018	bonne	10	0.345
G0018	biens	5	0.227
G0018	bonnes	5	0.357
G0018	et	5	0.001
G0018	bons	2	0.200
G0018	que	2	0.001
G0018	œuvre	2	0.143
G0018	œuvres	2	0.023
G0018	action	1	0.333
G0018	aucune	1	0.040
G0018	chose	1	0.026
G0018	choses	1	0.005
G0018	conscience	1	0.045
G0018	de	1	0.000
G0018	dire	1	0.011
G0018	envers	1	0.032
G0018	est	1	0.002
G0018	excellente	1	0.333
G0018	fruits	1	0.045
G0018	mal	1	0.018
G0018	ne	1	0.003
G0018	parfaite	1	0.091
G0018	pour	1	0.001
G0018	privilège	1	1.000
G0018	serviteur	1	0.014
G0018	un	1	0.002
G0018	à	1	0.001
G0019	bonté	1	0.071
G0019	dispositions	1	1.000
G0019	et	1	0.000
G0020	allégresse	3	0.500
G0020	joie	1	0.015
G0020	tes	1	0.013
G0021	allégresse	2	0.333
G0021	joie	2	0.030
G0021	réjouit	2	0.500
G0021	dans	1	0.001
G0021	d’une	1	0.045
G0021	réjouir	1	0.250
G0022	s’	2	0.054
G0022	mariés	1	0.500
G0022	ou	1	0.005
G0023	indigné	2	1.000
G0023	indignés	2	1.000
G0023	indignation	1	0.333
G0023	indigner	1	1.000
G0023	indignèrent	1	1.000
G0025	aime	17	0.630
G0025	aimez	11	1.000
G0025	aimeras	9	1.000
G0025	aiment	7	0.538
G0025	les	7	0.008
G0025	aimons	5	0.833
G0025	aimé	5	0.714
G0025	aimés	4	0.333
G0025	aimait	3	0.500
G0025	vous	3	0.002
G0025	a	2	0.007
G0025	aima	2	1.000
G0025	aimer	2	0.400
G0025	aimera	2	1.000
G0025	aussi	2	0.006
G0025	dieu	2	0.002
G0025	nous	2	0.003
G0025	pas	2	0.002
G0025	son	2	0.005
G0025	aimèrent	1	1.000
G0025	amour	1	0.020
G0025	celui	1	0.004
G0025	comme	1	0.002
G0025	de	1	0.000
G0025	en	1	0.001
G0025	est	1	0.002
G0025	et	1	0.000
G0025	fondation	1	0.167
G0025	jacob	1	0.042
G0025	je	1	0.002
G0025	la	1	0.001
G0025	le	1	0.001
G0025	leurs	1	0.007
G0025	livré	1	0.059
G0025	lui-même	1	0.048
G0025	peu	1	0.027
G0025	pour	1	0.001
G0025	premier	1	0.020
G0025	père	1	0.003
G0025	sa	1	0.003
G0025	soit	1	0.010
G0025	vie	1	0.006
G0025	être	1	0.014
G0026	charité	42	0.933
G0026	amour	36	0.735
G0026	que	4	0.002
G0026	de	3	0.001
G0026	la	3	0.003
G0026	et	2	0.000
G0026	affection	1	0.143
G0026	agapes	1	1.000
G0026	dans	1	0.001
G0026	est	1	0.002
G0026	extrême	1	1.000
G0026	les	1	0.001
G0026	ne	1	0.003
G0026	par	1	0.002
G0026	parfait	1	0.083
G0026	pour	1	0.001
G0026	venant	1	0.067
G0026	votre	1	0.005
G0027	aimés	1	0.083
G0027	chers	1	1.000
G0028	agar	1	0.500
G0029	faire	1	0.010
G0029	forcèrent	1	0.500
G0029	à	1	0.001
G0030	ce	1	0.002
G0030	vases	1	0.143
G0031	annoncé	1	0.091
G0032	ange	71	0.910
G0032	anges	61	0.884
G0032	qui	4	0.003
G0032	devant	3	0.015
G0032	de	2	0.001
G0032	lui	2	0.002
G0032	pour	2	0.003
G0032	que	2	0.001
G0032	qu’il	2	0.025
G0032	des	1	0.002
G0032	dieu	1	0.001
G0032	du	1	0.003
G0032	désirent	1	0.333
G0032	envoyés	1	0.053
G0032	et	1	0.000
G0032	fussent	1	0.200
G0032	la	1	0.001
G0032	leur	1	0.002
G0032	légions	1	1.000
G0032	me	1	0.006
G0032	messager	1	0.333
G0032	messagers	1	1.000
G0032	ni	1	0.006
G0032	quitta	1	0.059
G0032	son	1	0.003
G0032	tandis	1	0.032
G0032	à	1	0.001
G0034	troupeau	7	0.438
G0035	généalogie	1	0.500
G0036	viles	1	1.000
G0037	sanctifie	7	1.000
G0037	sanctifié	6	1.000
G0037	sanctifiés	6	0.857
G0037	et	1	0.000
G0037	le	1	0.001
G0037	sanctifier	1	1.000
G0037	sanctifiez	1	1.000
G0037	sanctifiée	1	1.000
G0038	sanctification	4	0.667
G0038	et	2	0.000
G0038	sainteté	2	0.222
G0039	sanctuaire	5	1.000
G0039	saint	4	0.083
G0039	avec	1	0.002
G0039	saints	1	0.018
G0040	saints	44	0.800
G0040	saint	26	0.542
G0040	sainte	10	0.714
G0040	saintes	4	0.571
G0040	tous	3	0.007
G0040	dans	2	0.002
G0040	et	2	0.000
G0040	prophètes	2	0.029
G0040	apôtres	1	0.020
G0040	au	1	0.003
G0040	ayant	1	0.014
G0040	corps	1	0.008
G0040	de	1	0.000
G0040	la	1	0.001
G0040	les	1	0.001
G0040	par	1	0.002
G0040	prières	1	0.045
G0040	qui	1	0.001
G0040	sainteté	1	0.111
G0040	serviteur	1	0.014
G0040	à	1	0.001
G0041	sainteté	1	0.111
G0042	achevant	1	0.500
G0042	devant	1	0.005
G0042	sainteté	1	0.111
G0043	bras	1	0.167
G0044	hameçon	1	1.000
G0045	ancres	3	1.000
G0045	ancre	1	1.000
G0046	neuf	2	0.333
G0047	pureté	2	0.400
G0048	purifia	1	1.000
G0048	purifie	1	0.500
G0048	purifier	1	0.500
G0048	purifiez	1	0.500
G0048	purifié	1	0.250
G0048	temple	1	0.015
G0049	purification	1	0.143
G0050	pas	5	0.005
G0050	ignorance	2	0.286
G0050	ignorer	2	0.667
G0050	ignoriez	2	1.000
G0050	dans	1	0.001
G0050	de	1	0.000
G0050	ignorants	1	0.250
G0050	ils	1	0.003
G0050	inconnus	1	1.000
G0050	méconnu	1	1.000
G0051	péchés	1	0.014
G0052	ignorance	4	0.571
G0053	chaste	1	1.000
G0053	chastes	1	1.000
G0053	dans	1	0.001
G0053	même	1	0.005
G0053	pur	1	0.048
G0054	pureté	1	0.200
G0055	ne	1	0.003
G0056	et	1	0.000
G0058	publique	4	0.800
G0058	publiques	4	1.000
G0058	des	1	0.002
G0058	place	1	0.059
G0059	acheter	4	0.667
G0059	rachetés	4	0.667
G0059	achetaient	3	1.000
G0059	achète	3	0.750
G0059	achetèrent	2	1.000
G0059	acheté	1	0.500
G0059	achetée	1	1.000
G0059	achètent	1	1.000
G0059	achèterons	1	1.000
G0059	allions	1	0.500
G0059	ce	1	0.002
G0059	champ	1	0.050
G0059	cinq	1	0.031
G0059	pour	1	0.001
G0059	racheté	1	0.500
G0059	été	1	0.012
G0060	audience	1	0.500
G0060	populace	1	1.000
G0061	pêcher	1	0.500
G0061	qu’	1	0.007
G0062	instruction	1	0.200
G0063	champs	1	0.059
G0064	surprendre	1	0.333
G0065	olivier	1	0.333
G0065	sauvage	1	0.333
G0066	sauvage	2	0.667
G0066	furieuses	1	1.000
G0067	agrippa	10	0.909
G0068	champs	11	0.647
G0068	champ	10	0.500
G0068	campagnes	3	1.000
G0068	et	2	0.000
G0068	a	1	0.004
G0068	campagne	1	1.000
G0068	dans	1	0.001
G0068	du	1	0.003
G0068	terres	1	0.333
G0069	veillez	3	0.188
G0069	veillent	1	1.000
G0070	veilles	1	0.333
G0071	conduisit	6	0.545
G0071	conduisirent	5	0.625
G0071	amenèrent	4	1.000
G0071	allons	3	0.429
G0071	amené	3	0.600
G0071	conduits	3	0.750
G0071	menèrent	3	0.750
G0071	amena	2	0.143
G0071	amène	2	0.286
G0071	conduire	2	0.250
G0071	par	2	0.003
G0071	amener	1	0.143
G0071	amenez	1	0.500
G0071	amenât	1	1.000
G0071	cet	1	0.021
G0071	chercher	1	0.125
G0071	conduisait	1	1.000
G0071	devant	1	0.005
G0071	emmenèrent	1	0.143
G0071	emmènera	1	1.000
G0071	en	1	0.001
G0071	et	1	0.000
G0071	il	1	0.001
G0071	jusqu’	1	0.030
G0071	la	1	0.001
G0071	mené	1	1.000
G0071	menés	1	1.000
G0071	pousse	1	0.333
G0071	ramené	1	0.333
G0071	retournons	1	1.000
G0071	vers	1	0.007
G0071	vous	1	0.001
G0071	à	1	0.001
G0072	conduite	1	0.111
G0073	combat	3	0.300
G0073	combats	1	0.500
G0073	qui	1	0.001
G0074	agonie	1	1.000
G0075	avec	1	0.002
G0075	combats	1	0.500
G0075	combattent	1	0.500
G0075	combattre	1	0.250
G0075	le	1	0.001
G0075	pour	1	0.001
G0076	adam	5	0.714
G0076	a	1	0.004
G0076	est	1	0.002
G0077	l’évangile	1	0.250
G0078	addi	1	1.000
G0080	frères	177	0.908
G0080	frère	78	0.772
G0080	de	9	0.004
G0080	et	6	0.001
G0080	dans	2	0.002
G0080	les	2	0.002
G0080	qui	2	0.002
G0080	une	2	0.008
G0080	à	2	0.002
G0080	aux	1	0.006
G0080	comme	1	0.002
G0080	damas	1	0.071
G0080	devaient	1	0.333
G0080	du	1	0.003
G0080	d’entre	1	1.000
G0080	est-ce	1	0.111
G0080	fidèle	1	0.029
G0080	fraude	1	0.167
G0080	hommes	1	0.005
G0080	mon	1	0.004
G0080	méprises	1	1.000
G0080	ne	1	0.003
G0080	ou	1	0.005
G0080	parce	1	0.032
G0080	prions	1	0.200
G0080	qu’	1	0.007
G0080	saints	1	0.018
G0080	sont	1	0.006
G0080	ton	1	0.006
G0080	tu	1	0.005
G0080	vous	1	0.001
G0081	frères	1	0.005
G0081	à	1	0.001
G0082	confus	1	0.200
G0082	pas	1	0.001
G0083	incertaines	1	1.000
G0084	aventure	1	1.000
G0085	angoisses	2	1.000
G0085	peine	1	0.077
G0086	morts	8	0.071
G0086	et	1	0.000
G0086	l’	1	0.004
G0087	de	1	0.000
G0088	continuellement	1	0.100
G0089	cesse	1	0.167
G0089	grâces	1	0.019
G0089	mention	1	0.250
G0091	mal	3	0.053
G0091	injuste	2	0.500
G0091	à	2	0.002
G0091	et	1	0.000
G0091	hommes	1	0.005
G0091	il	1	0.001
G0091	injustement	1	0.333
G0091	injustice	1	0.111
G0091	la	1	0.001
G0091	maltraitait	1	1.000
G0091	nuire	1	1.000
G0091	pourquoi	1	0.013
G0091	tort	1	0.500
G0092	crime	1	0.200
G0092	ou	1	0.005
G0093	iniquité	8	0.533
G0093	injustice	6	0.667
G0093	crime	1	0.200
G0093	en	1	0.001
G0093	infidèle	1	0.333
G0093	inique	1	1.000
G0093	iniquités	1	0.333
G0093	la	1	0.001
G0093	les	1	0.001
G0093	moi	1	0.003
G0094	injustes	5	0.833
G0094	dans	1	0.001
G0094	injuste	1	0.250
G0094	les	1	0.001
G0094	ravisseurs	1	0.500
G0096	réprouvés	2	0.667
G0096	ce	1	0.002
G0096	incapables	1	1.000
G0096	ne	1	0.003
G0096	rejeté	1	0.111
G0096	réprouvé	1	1.000
G0096	réprouvée	1	1.000
