# source=derived from resources/aligned_lex/hau.tsv (roadmap R1: Strong's -> surface family)
# derived_from=aligned_lex; license=inherits aligned_lex (Clear-Bible/Alignments); share=surface→Strong's confidence (filter noise)
strong	surface	count	share
G0000	sinnamon	1	1.000
G0000	ɗan	1	0.004
G0001	alfa	3	1.000
G0002	haruna	5	1.000
G0003	abaddon	1	1.000
G0004	nawaita	1	0.200
G0005	abba	3	1.000
G0005	uba	3	0.026
G0006	habila	4	1.000
G0007	abiya	3	1.000
G0008	abiyatar	1	1.000
G0010	abiyud	2	1.000
G0011	ibrahim	74	0.987
G0012	abis	8	0.889
G0012	zurfin	1	0.125
G0013	agabus	2	1.000
G0014	alheri	1	0.013
G0014	umarce	1	0.032
G0015	alheri	3	0.039
G0015	aikata	2	0.020
G0015	nagari	2	0.087
G0015	daidai	1	0.019
G0015	kana	1	0.033
G0015	kyau	1	0.007
G0015	maka	1	0.100
G0015	nagarta	1	0.059
G0015	yi	1	0.002
G0015	yin	1	0.009
G0016	daidai	1	0.019
G0017	aikata	1	0.010
G0018	kyau	36	0.263
G0018	kirki	12	0.600
G0018	nagari	12	0.522
G0018	nagarta	8	0.471
G0018	alheri	5	0.065
G0018	kyawawan	5	1.000
G0018	kyakkyawan	3	0.600
G0018	amfani	2	0.037
G0018	daidai	2	0.038
G0018	kyautata	2	0.667
G0018	mai	2	0.010
G0018	managarci	2	1.000
G0018	masu	2	0.038
G0018	nagarin	2	1.000
G0018	abu	1	0.024
G0018	abubuwa	1	0.021
G0018	abubuwan	1	0.043
G0018	alherin	1	0.017
G0018	dace	1	0.030
G0018	kayana	1	0.500
G0018	kyakkyawa	1	0.250
G0018	kyakkyawar	1	0.143
G0018	kyauta	1	0.143
G0018	na	1	0.010
G0018	nan	1	0.006
G0019	nagarta	2	0.118
G0019	kirki	1	0.050
G0019	manufarku	1	1.000
G0020	ciki	2	0.041
G0020	farin	2	0.018
G0020	murna	1	0.026
G0021	ciki	4	0.082
G0021	farin	4	0.035
G0021	murna	3	0.079
G0021	daɗin	1	0.056
G0021	mu	1	0.013
G0021	yi	1	0.002
G0022	aure	4	0.082
G0022	ba	1	0.001
G0023	fushi	5	0.156
G0023	haushi	2	0.500
G0024	kuskure	1	0.143
G0025	ƙaunaci	38	0.905
G0025	ƙaunar	26	0.406
G0025	ƙaunace	20	0.909
G0025	ƙauna	18	0.194
G0025	ƙaunata	10	0.714
G0025	ƙaunarsa	6	0.462
G0025	son	3	0.100
G0025	so	2	0.011
G0025	ƙaunatacciyata	2	0.667
G0025	ƙaunatattu	2	0.167
G0025	daɗin	1	0.056
G0025	ji	1	0.003
G0025	marmarin	1	0.056
G0025	masoyarku	1	1.000
G0025	maƙwabcinka	1	1.000
G0025	muna	1	0.029
G0025	ƙaunarka	1	0.143
G0025	ƙaunarku	1	0.100
G0025	ƙaunarmu	1	0.500
G0025	ƙaunarsu	1	1.000
G0025	ƙaunarta	1	1.000
G0025	ɗansa	1	0.025
G0026	ƙauna	60	0.645
G0026	ƙaunar	26	0.406
G0026	ƙaunarku	6	0.600
G0026	ƙaunarsa	6	0.462
G0026	ƙaunarka	5	0.714
G0026	ƙaunaci	2	0.048
G0026	ƙaunata	2	0.143
G0026	gaisuwar	1	0.333
G0026	soyayya	1	1.000
G0026	ƙaunan	1	1.000
G0027	abokaina	16	0.800
G0027	ƙauna	11	0.118
G0027	ƙaunatattu	10	0.833
G0027	ƙaunataccen	9	0.900
G0027	ƙaunatacce	4	0.800
G0027	abokina	2	0.667
G0027	ƙaunataccena	2	1.000
G0027	ƙaunatattuna	2	1.000
G0027	ƙaunatattun	1	1.000
G0027	ƙaunatattunsa	1	1.000
G0028	hagar	2	1.000
G0029	tilasta	2	0.222
G0029	wani	1	0.005
G0030	kifi	1	0.071
G0030	tulunan	1	0.250
G0031	saƙon	2	0.069
G0032	mala’iku	51	0.944
G0032	mala’ikan	50	1.000
G0032	mala’ika	32	1.000
G0032	mala’ikun	16	1.000
G0032	mala’ikunsa	13	1.000
G0032	mala’ikansa	4	1.000
G0032	saƙona	2	0.667
G0032	aikena	1	1.000
G0032	almajiran	1	0.017
G0032	asirin	1	0.053
G0032	hatiman	1	1.000
G0032	leƙen	1	0.500
G0032	mala’ikana	1	1.000
G0032	mala’ikunsu	1	1.000
G0032	saƙo	1	0.250
G0032	saƙon	1	0.034
G0033	saurara	2	0.125
G0034	garken	7	0.500
G0035	asali	1	0.250
G0036	martaba	1	0.167
G0037	tsarkake	19	0.487
G0037	wurin	3	0.036
G0037	da	2	0.005
G0037	keɓe	2	0.200
G0037	tsarki	2	0.011
G0037	abin	1	0.013
G0037	ci	1	0.005
G0037	gaba	1	0.015
G0037	shiryayye	1	0.500
G0037	tsarkakewa	1	0.250
G0037	yake	1	0.004
G0037	yin	1	0.009
G0037	yă	1	0.016
G0038	tsarki	5	0.027
G0038	tsarkakewar	2	1.000
G0038	zaman	2	0.080
G0038	tsarkake	1	0.026
G0038	tsarkinmu	1	1.000
G0039	tsarki	8	0.043
G0039	mafi	1	0.053
G0039	tsattsarka	1	0.250
G0039	tsattsarkan	1	0.250
G0039	wuri	1	0.033
G0040	tsarki	146	0.789
G0040	tsarkaka	39	0.951
G0040	ruhu	18	0.075
G0040	mutanen	10	0.099
G0040	allah	7	0.006
G0040	tsarkakan	6	1.000
G0040	tsarkin	4	0.667
G0040	tsarkakanka	3	1.000
G0040	ubangiji	3	0.006
G0040	mutanensa	2	0.133
G0040	tsattsarka	2	0.500
G0040	ba	1	0.001
G0040	bi	1	0.007
G0040	da	1	0.002
G0040	ga	1	0.002
G0040	juna	1	0.077
G0040	kanta	1	0.083
G0040	keɓe	1	0.100
G0040	kira	1	0.004
G0040	tsarkakansa	1	0.500
G0040	tsattsarkan	1	0.250
G0040	tsattsarkar	1	1.000
G0041	tsarkinsa	1	1.000
G0042	tsarki	2	0.011
G0042	ubangijimmu	1	1.000
G0043	hannuwansa	1	0.043
G0044	ƙugiyarka	1	1.000
G0045	ƙugiyoyin	2	1.000
G0045	anka	1	1.000
G0045	ƙugiyoyi	1	1.000
G0046	tsohuwar	1	0.167
G0047	tsarki	2	0.011
G0047	zaman	1	0.040
G0048	tsarkake	6	0.154
G0048	tsarkaka	1	0.024
G0049	tsarkakewarsu	1	0.500
G0050	ba	13	0.011
G0050	jahilci	2	0.400
G0050	ƙi	2	0.026
G0050	da	1	0.002
G0050	dabarunsa	1	1.000
G0050	fahimta	1	0.053
G0050	jahilai	1	0.333
G0050	kula	1	0.038
G0050	rashin	1	0.022
G0050	san	1	0.003
G0050	sanannu	1	1.000
G0050	sani	1	0.012
G0050	shi	1	0.007
G0050	su	1	0.006
G0051	ciki-ciki	1	0.333
G0052	jahilci	3	0.600
G0052	jahilcin	1	0.500
G0053	tsabta	3	0.086
G0053	tsarki	3	0.016
G0053	ba	1	0.001
G0053	laifi	1	0.017
G0053	zalla	1	0.167
G0054	amintacciya	1	1.000
G0054	tsarki	1	0.005
G0056	ba	1	0.001
G0056	jahilcin	1	0.500
G0056	san	1	0.003
