# source=derived from resources/aligned_lex/por.tsv (roadmap R1: Strong's -> surface family)
# derived_from=aligned_lex; license=inherits aligned_lex (Clear-Bible/Alignments); share=surface→Strong's confidence (filter noise)
strong	surface	count	share
G0000	arão	1	0.333
G0001	alpha	1	1.000
G0001	o	1	0.000
G0002	aarão	4	1.000
G0002	d’aarão	1	1.000
G0004	pesado	1	0.500
G0005	abba	3	1.000
G0006	abel	3	1.000
G0007	abia	2	1.000
G0007	abias	1	1.000
G0008	abiathar	1	1.000
G0009	abylinia	1	1.000
G0010	abiud	2	1.000
G0011	abrahão	63	0.940
G0011	da	1	0.002
G0011	d’abrahão	1	1.000
G0012	abysmo	9	0.900
G0013	agabo	2	1.000
G0014	bem	1	0.008
G0015	bem	5	0.039
G0015	e	2	0.000
G0015	fazer	1	0.023
G0015	o	1	0.000
G0015	quem	1	0.005
G0016	bem	1	0.008
G0017	o	1	0.000
G0018	boa	23	0.426
G0018	bem	19	0.148
G0018	bom	12	0.231
G0018	bens	7	0.438
G0018	boas	7	0.333
G0018	bons	4	0.333
G0018	chamas	3	1.000
G0018	que	3	0.001
G0018	o	2	0.001
G0018	os	2	0.001
G0018	beneficio	1	0.500
G0018	e	1	0.000
G0018	philippe	1	0.029
G0018	senão	1	0.012
G0018	um	1	0.003
G0019	bondade	2	0.500
G0019	de	1	0.001
G0020	alegria	4	0.154
G0021	alegraes	2	1.000
G0021	exultou	2	1.000
G0021	se	2	0.003
G0021	alegrar-vos	1	1.000
G0021	alegremo-nos	1	1.000
G0021	exultae	1	0.500
G0022	casar	1	0.167
G0022	solteiro	1	1.000
G0022	solteiros	1	1.000
G0022	virgem	1	0.167
G0023	dois	1	0.010
G0023	indignado	1	0.333
G0023	indignar-se	1	1.000
G0023	indignaram	1	1.000
G0023	indignaram-se	1	1.000
G0023	isto	1	0.005
G0024	indignação	1	0.333
G0025	ama	20	0.800
G0025	amou	12	1.000
G0025	amado	9	0.281
G0025	amarás	9	1.000
G0025	amam	7	0.700
G0025	amae	6	1.000
G0025	amar	6	0.857
G0025	amamos	5	1.000
G0025	amava	5	0.833
G0025	ameis	5	0.833
G0025	amo	4	0.500
G0025	amada	3	0.750
G0025	amados	3	0.125
G0025	amaes	3	1.000
G0025	amei	3	1.000
G0025	amemos	3	1.000
G0025	amardes	2	1.000
G0025	amará	2	1.000
G0025	ame	2	1.000
G0025	uns	2	0.057
G0025	ama-se	1	1.000
G0025	amal-o	1	1.000
G0025	amando	1	1.000
G0025	amaram	1	0.500
G0025	amarei	1	1.000
G0025	amarieis	1	1.000
G0025	amasseis	1	1.000
G0025	amavam	1	1.000
G0025	amemo-nos	1	1.000
G0025	amor	1	0.017
G0025	ardentemente	1	1.000
G0025	deus	1	0.001
G0025	dá	1	0.036
G0025	havia	1	0.018
G0025	proximo	1	0.042
G0025	que	1	0.000
G0025	quem	1	0.005
G0026	caridade	50	0.847
G0026	amor	38	0.644
G0026	a	9	0.004
G0026	aproveitaria	1	0.500
G0026	comvosco	1	0.014
G0026	da	1	0.002
G0026	de	1	0.001
G0026	do	1	0.001
G0026	festas	1	1.000
G0026	o	1	0.000
G0026	uns	1	0.029
G0027	amado	22	0.688
G0027	amados	19	0.792
G0027	amada	1	0.250
G0027	dae	1	0.111
G0027	erreis	1	1.000
G0027	meu	1	0.007
G0027	ministro	1	0.067
G0027	o	1	0.000
G0027	para	1	0.001
G0027	talvez	1	1.000
G0027	todo	1	0.006
G0028	agar	2	1.000
G0029	constrangeram	2	0.667
G0029	obrigar	1	1.000
G0030	os	1	0.001
G0030	vasos	1	0.167
G0031	annunciação	1	0.500
G0031	que	1	0.000
G0032	anjo	84	0.966
G0032	anjos	68	0.932
G0032	mensageiros	2	1.000
G0032	ti	2	0.029
G0032	buscaes	1	0.125
G0032	emissarios	1	1.000
G0032	instante	1	0.333
G0032	lhe	1	0.005
G0032	mensageiro	1	1.000
G0032	mostrava	1	1.000
G0032	o	1	0.000
G0032	os	1	0.001
G0033	eia	2	1.000
G0034	manada	7	1.000
G0035	sem	1	0.016
G0037	sanctificados	6	0.857
G0037	sanctifica	4	1.000
G0037	sanctificado	4	0.667
G0037	sanctificada	2	1.000
G0037	para	1	0.001
G0037	sanctifica-os	1	1.000
G0037	sanctificae	1	1.000
G0037	sanctificar	1	1.000
G0037	sanctifico	1	1.000
G0037	sanctificou	1	1.000
G0037	sanctifique	1	1.000
G0037	seja	1	0.014
G0037	são	1	0.007
G0038	sanctificação	8	0.667
G0039	sanctuario	7	0.778
G0039	o	1	0.000
G0040	sancto	92	0.836
G0040	sanctos	69	0.945
G0040	espirito	16	0.049
G0040	sancta	12	0.857
G0040	sanctas	3	0.750
G0040	consagrado	1	1.000
G0040	céu	1	0.006
G0040	de	1	0.001
G0040	deus	1	0.001
G0040	eu	1	0.003
G0040	necessidades	1	0.333
G0040	o	1	0.000
G0040	os	1	0.001
G0040	quaes	1	0.015
G0040	são	1	0.007
G0040	vossos	1	0.020
G0042	sanctificação	2	0.167
G0042	a	1	0.000
G0043	braços	1	0.500
G0044	anzol	1	1.000
G0045	ancoras	3	1.000
G0045	segura	1	1.000
G0047	pureza	2	0.667
G0048	já	1	0.008
G0048	purifica-se	1	1.000
G0048	purificae	1	0.500
G0048	purificarem	1	1.000
G0048	sanctificado	1	0.167
G0050	ignoreis	3	0.750
G0050	conhecendo	2	0.182
G0050	entendiam	2	0.500
G0050	sabeis	2	0.053
G0050	sejaes	2	0.087
G0050	ardis	1	1.000
G0050	conhecido	1	0.071
G0050	desconhecidos	1	1.000
G0050	entendem	1	0.500
G0050	ignora	1	1.000
G0050	ignorando	1	1.000
G0050	ignorantemente	1	1.000
G0050	ignorantes	1	1.000
G0050	ignore	1	1.000
G0052	ignorancia	4	0.800
G0053	pura	2	0.400
G0053	puro	2	0.222
G0053	castas	1	1.000
G0053	casto	1	1.000
G0053	mesmo	1	0.011
G0053	puros	1	1.000
