# source=derived from resources/aligned_lex/rus.tsv (roadmap R1: Strong's -> surface family)
# derived_from=aligned_lex; license=inherits aligned_lex (Clear-Bible/Alignments); share=surface→Strong's confidence (filter noise)
strong	surface	count	share
G0001	альфа	3	0.750
G0002	аарону	1	0.018
G0002	завета	1	0.016
G0003	по-гречески	1	0.500
G0005	авва	1	1.000
G0006	авель	1	0.500
G0006	авеля	1	0.250
G0006	захарии	1	0.167
G0007	авию	1	1.000
G0007	авия	1	0.100
G0007	захария	1	0.125
G0008	авиафаре	1	1.000
G0010	авиуд	1	0.143
G0010	авиуда	1	1.000
G0011	авраам	13	0.169
G0011	в	3	0.001
G0011	и	3	0.000
G0011	авраама	2	0.062
G0011	авраамово	2	0.286
G0011	аврааму	2	0.061
G0011	бог	2	0.002
G0011	из	2	0.002
G0011	по	2	0.002
G0011	семени	2	0.087
G0011	умер	2	0.019
G0011	бы	1	0.003
G0011	ваш	1	0.015
G0011	все	1	0.001
G0011	высшим	1	0.500
G0011	дать	1	0.021
G0011	дела	1	0.007
G0011	его	1	0.000
G0011	искушаем	1	0.500
G0011	ищете	1	0.083
G0011	между	1	0.004
G0011	мною	1	0.007
G0011	наш	1	0.014
G0011	обетования	1	0.143
G0011	от	1	0.001
G0011	плоти	1	0.014
G0011	поражения	1	0.100
G0011	праведность	1	0.050
G0011	связал	1	0.500
G0011	серебра	1	0.015
G0012	бездну	1	0.333
G0012	бездны	1	0.083
G0012	в	1	0.000
G0012	вышел	1	0.007
G0012	живущих	1	0.056
G0012	заключил	1	0.043
G0012	победит	1	0.333
G0013	духом	1	0.013
G0014	добрыми	1	0.250
G0015	зло	2	0.029
G0015	добро	1	0.029
G0015	за	1	0.001
G0015	от	1	0.001
G0015	то	1	0.003
G0015	это	1	0.002
G0018	доброе	5	0.104
G0018	добрую	3	0.214
G0018	добрый	3	0.214
G0018	благим	2	0.667
G0018	верный	2	0.091
G0018	добра	2	0.222
G0018	добро	2	0.059
G0018	доброго	2	0.133
G0018	злой	2	0.167
G0018	и	2	0.000
G0018	только	2	0.017
G0018	а	1	0.001
G0018	благий	1	0.333
G0018	благодати	1	0.040
G0018	благом	1	0.500
G0018	благую	1	0.500
G0018	богатящихся	1	1.000
G0018	более	1	0.009
G0018	будет	1	0.001
G0018	быть	1	0.007
G0018	в	1	0.000
G0018	возрастая	1	1.000
G0018	воскресением	1	0.500
G0018	делать	1	0.011
G0018	деле	1	0.034
G0018	до	1	0.003
G0018	доброй	1	0.111
G0018	добром	1	0.071
G0018	добрыми	1	0.250
G0018	добрых	1	0.143
G0018	друг	1	0.012
G0018	если	1	0.002
G0018	есть	1	0.002
G0018	злы	1	0.167
G0018	которые	1	0.005
G0018	кто	1	0.002
G0018	мне	1	0.002
G0018	много	1	0.007
G0018	назидания	1	1.000
