# source=derived from resources/aligned_lex/spa.tsv (roadmap R1: Strong's -> surface family)
# derived_from=aligned_lex; license=inherits aligned_lex (Clear-Bible/Alignments); share=surface→Strong's confidence (filter noise)
strong	surface	count	share
G0000	aram	1	0.100
G0001	alpha	3	1.000
G0002	aarón	5	0.014
G0003	es	1	0.001
G0004	gravoso	1	0.500
G0005	abba	3	1.000
G0006	abel	4	0.286
G0007	abía	2	0.667
G0007	abías	1	0.045
G0008	abiathar	1	0.032
G0009	abilinia	1	1.000
G0010	abiud	2	0.667
G0011	abraham	73	0.298
G0012	abismo	9	0.310
G0013	agabo	2	1.000
G0014	bien	1	0.003
G0015	bien	7	0.019
G0015	hacer	1	0.004
G0015	haciendo	1	0.020
G0015	que	1	0.000
G0016	bien	1	0.003
G0017	bien	1	0.003
G0018	bueno	25	0.185
G0018	buena	24	0.207
G0018	bien	19	0.051
G0018	bienes	8	0.320
G0018	buen	8	0.174
G0018	buenas	8	0.205
G0018	buenos	5	0.200
G0018	beneficio	1	0.333
G0018	los	1	0.000
G0018	recto	1	0.017
G0019	bondad	3	0.143
G0019	de	1	0.000
G0020	alegría	5	0.059
G0021	se	3	0.001
G0021	alegráis	2	0.667
G0021	alegraos	1	0.083
G0021	alegrémonos	1	0.500
G0021	en	1	0.000
G0021	gozó	1	0.250
G0021	gozóse	1	1.000
G0021	recrearos	1	1.000
G0022	casar	1	0.500
G0022	doncella	1	0.125
G0022	soltero	1	1.000
G0022	solteros	1	1.000
G0023	enojaron	3	0.500
G0023	enojado	1	0.067
G0023	enojarse	1	0.500
G0023	indignaron	1	1.000
G0023	se	1	0.000
G0024	enojo	1	0.021
G0025	ama	24	0.333
G0025	amado	15	0.161
G0025	amó	12	0.400
G0025	aman	10	0.244
G0025	amarás	10	0.769
G0025	amad	6	0.667
G0025	amaba	5	0.227
G0025	amamos	5	1.000
G0025	amo	5	0.125
G0025	améis	5	0.625
G0025	amar	4	0.667
G0025	amará	4	0.500
G0025	amemos	4	1.000
G0025	amáis	4	0.571
G0025	amada	3	0.333
G0025	amados	3	0.086
G0025	amas	2	0.200
G0025	ame	2	1.000
G0025	amaban	1	1.000
G0025	amando	1	0.333
G0025	amaos	1	1.000
G0025	amareis	1	1.000
G0025	amarle	1	1.000
G0025	amarnos	1	1.000
G0025	amaron	1	0.200
G0025	amaros	1	1.000
G0025	amaré	1	1.000
G0025	amaríais	1	1.000
G0025	amaseis	1	1.000
G0025	amé	1	0.200
G0025	amémonos	1	1.000
G0025	amóle	1	1.000
G0025	había	1	0.001
G0025	han	1	0.004
G0025	he	1	0.001
G0026	amor	71	0.683
G0026	caridad	27	0.931
G0026	la	11	0.003
G0026	de	3	0.000
G0026	amado	1	0.011
G0026	convites	1	1.000
G0026	tu	1	0.000
G0027	amados	28	0.800
G0027	amado	26	0.280
G0027	carísimos	5	1.000
G0027	amada	1	0.111
G0028	agar	2	0.143
G0029	cargaron	2	0.500
G0029	cargare	1	1.000
G0030	vasos	2	0.061
G0031	mensaje	2	0.500
G0032	ángel	88	0.489
G0032	ángeles	77	0.875
G0032	mensajero	4	0.118
G0032	mensajeros	3	0.052
G0032	angel	1	1.000
G0032	angélicas	1	1.000
G0032	á	1	0.000
G0033	ea	2	0.222
G0034	hato	5	0.500
G0034	manada	2	0.154
G0035	sin	1	0.003
G0036	vil	1	0.125
G0037	santificados	8	0.500
G0037	santificado	6	0.207
G0037	santifica	4	0.800
G0037	santificad	1	0.167
G0037	santificada	1	0.250
G0037	santificar	1	0.333
G0037	santifico	1	0.100
G0037	santificó	1	0.167
G0037	santifique	1	1.000
G0037	santifícalos	1	0.500
G0037	sea	1	0.004
G0038	santificación	7	0.875
G0038	santidad	3	0.120
G0039	santuario	9	0.049
G0039	el	1	0.000
G0040	santo	122	0.424
G0040	santos	77	0.647
G0040	santa	13	0.194
G0040	santas	3	0.097
G0040	es	1	0.001
G0040	espíritu	1	0.002
G0040	santísima	1	0.111
G0041	santificación	1	0.125
G0042	santidad	2	0.080
G0042	la	1	0.000
G0043	brazos	1	0.023
G0044	anzuelo	1	1.000
G0045	anclas	3	1.000
G0045	ancla	1	1.000
G0046	recio	2	0.286
G0047	limpieza	1	0.143
G0047	pureza	1	1.000
G0048	purificado	3	0.300
G0048	purifica	1	0.091
G0048	purificad	1	1.000
G0048	purificarse	1	0.333
G0048	purifícate	1	1.000
G0049	purificación	1	0.077
G0050	ignoréis	5	0.833
G0050	entendían	2	0.333
G0050	ignorando	2	0.667
G0050	conocerle	1	0.500
G0050	conocido	1	0.014
G0050	conociendo	1	0.091
G0050	entienden	1	0.143
G0050	ignora	1	0.333
G0050	ignorados	1	1.000
G0050	ignoramos	1	1.000
G0050	ignorancia	1	0.100
G0050	ignorantes	1	0.200
G0050	ignore	1	1.000
G0050	ignoráis	1	0.500
G0050	sabéis	1	0.013
G0051	ignorancia	1	0.100
G0052	ignorancia	4	0.400
G0053	pura	2	0.333
G0053	casta	1	1.000
G0053	castas	1	1.000
G0053	en	1	0.000
G0053	limpio	1	0.010
G0053	limpios	1	0.059
G0053	puro	1	0.029
G0054	castidad	1	1.000
G0056	conocen	1	0.050
G0056	ignorancia	1	0.100
G0057	conocido	1	0.014
G0058	plazas	5	0.179
G0058	plaza	4	0.167
G0058	calles	1	0.021
G0058	foro	1	1.000
G0059	comprar	4	0.235
G0059	compra	3	0.300
G0059	compraban	3	0.750
G0059	comprado	2	0.222
G0059	comprados	2	0.667
G0059	compraron	2	1.000
G0059	compren	2	1.000
G0059	compró	2	0.125
G0059	comprad	1	0.200
G0059	compran	1	1.000
G0059	compraremos	1	0.333
G0059	compre	1	0.500
G0059	compremos	1	1.000
G0059	compres	1	1.000
G0059	fueron	1	0.003
G0059	los	1	0.000
G0059	redimido	1	0.125
G0059	rescató	1	0.200
G0060	audiencias	1	1.000
G0060	ociosos	1	0.100
G0061	pescar	1	0.500
G0061	presa	1	0.027
G0062	letras	1	0.048
G0063	velaban	1	0.333
G0064	sorprendiesen	1	1.000
G0065	acebuche	2	1.000
G0066	silvestre	2	1.000
G0066	fieras	1	0.111
G0067	agripa	11	1.000
G0068	campo	23	0.083
G0068	heredades	5	0.238
G0068	hacienda	2	0.083
G0068	campos	1	0.029
G0068	cortijos	1	0.500
G0068	heredad	1	0.005
G0068	labranza	1	0.200
G0068	tierras	1	0.010
G0069	velad	2	0.133
G0069	velan	1	1.000
G0069	velando	1	0.250
G0070	vigilias	2	0.400
G0071	vamos	7	0.226
G0071	llevaron	6	0.188
G0071	trajeron	4	0.080
G0071	llevó	3	0.091
G0071	traer	3	0.088
G0071	traído	3	0.056
G0071	guiados	2	1.000
G0071	llevado	2	0.056
G0071	llevar	2	0.054
G0071	lleváronle	2	1.000
G0071	trajese	2	0.500
G0071	trajo	2	0.061
G0071	y	2	0.000
G0071	erais	1	0.167
G0071	es	1	0.001
G0071	guía	1	0.200
G0071	llevaban	1	0.045
G0071	llevadas	1	0.500
G0071	llevados	1	0.091
G0071	llevarle	1	0.500
G0071	llevóle	1	1.000
G0071	traedlo	1	0.500
G0071	traedlos	1	1.000
G0071	traen	1	0.167
G0071	traerá	1	0.034
G0071	traigo	1	0.045
G0071	trajeren	1	1.000
G0071	trajisteis	1	0.250
G0071	trajéronle	1	0.333
G0071	trajéronlo	1	0.333
G0071	trayendo	1	0.071
G0071	traédme	1	1.000
G0071	traían	1	0.043
G0071	traídos	1	0.143
G0072	instrucción	1	1.000
G0073	batalla	2	0.020
G0073	carrera	1	0.125
G0073	combate	1	0.250
G0073	conflicto	1	0.500
G0073	solicitud	1	0.091
G0074	agonía	1	1.000
G0075	combatiendo	1	0.250
G0075	lucha	1	0.500
G0075	pelea	1	0.100
G0075	peleado	1	0.200
G0075	pelearían	1	1.000
G0075	porfiad	1	1.000
G0075	solícito	1	0.200
G0076	adam	9	0.391
G0077	de	1	0.000
G0078	abdi	1	0.250
G0079	hermana	16	0.147
G0079	hermanas	8	0.421
G0080	hermanos	221	0.397
G0080	hermano	118	0.309
G0081	fraternidad	1	1.000
G0081	hermanos	1	0.002
G0082	incierto	1	1.000
G0082	ven	1	0.010
G0083	la	1	0.000
G0084	á	1	0.000
G0085	angustiarse	2	0.667
G0085	angustió	1	0.500
G0086	infierno	4	0.308
G0086	el	2	0.001
G0086	del	1	0.001
G0086	infiernos	1	1.000
G0086	los	1	0.000
G0087	no	1	0.000
G0088	cesar	1	0.038
G0088	continuo	1	0.026
G0089	cesar	3	0.115
G0090	integridad	1	0.050
G0091	que	4	0.000
G0091	daño	3	0.214
G0091	agravio	2	0.154
G0091	injusto	2	0.222
G0091	dañan	1	1.000
G0091	dañar	1	1.000
G0091	dañará	1	0.500
