# Hebrew Strong's pairs with highly similar per-book occurrence profiles — a free
# approximation of SDBH's `ctx` (contextual/situational) domain axis, NOT the `core`
# (concept/synonymy) axis every other signal in this pipeline targets. Derived entirely
# from public-domain WLC occurrence counts. Validated 2026-08 at 45.6% SDBH ctx-agreement
# vs. 13.81% random baseline. NOT wired into build_semantic_neighbors.py — see
# build_genre_context_pairs.py's docstring for why.
strong_a	strong_b	cosine
	H6440	0.9844
	H4480	0.9842
	H3605	0.9832
	H5921	0.9732
	H3117	0.9681
	H3027	0.9668
	H0935	0.9659
	H1961	0.9651
	H3318	0.9625
	H0413	0.9555
	H5414	0.9468
	H1931	0.9413
	H0853	0.94
	H5704	0.9394
	H1696	0.9326
	H5971	0.9307
	H7725	0.9304
	H6213	0.9288
	H0834	0.927
	H7200	0.9257
	H3651	0.9255
	H5869	0.9254
	H3772	0.9252
	H1992	0.9236
	H5927	0.9222
	H3068	0.9163
	H1285	0.9153
	H5375	0.9127
	H3427	0.9124
	H7760	0.9111
H0001	H8141	0.9004
H0003	H7690	0.9386
H0003	H4448	0.9061
H0003	H2445	0.9045
H0003	H3961	0.9045
H0003	H5135	0.9045
H0003	H1113	0.9045
H0003	H0317	0.9045
H0003	H0321	0.9045
H0003	H7985	0.9045
H0003	H6922	0.9045
H0011	H2714	0.967
H0011	H4985	0.9574
H0011	H0652	0.9418
H0011	H8615	0.9349
H0011	H0433	0.9292
H0011	H1846	0.9284
H0011	H6757	0.9281
H0011	H6275	0.9206
H0011	H2441	0.9113
H0011	H8503	0.9091
H0011	H8535	0.9045
H0011	H8454	0.9027
H0024	H7603	0.9909
H0024	H5572	0.9668
H0024	H8438	0.9337
H0024	H2805	0.9295
H0024	H7848	0.9255
H0024	H2833	0.9253
H0024	H7794	0.923
H0024	H3547	0.9209
H0024	H8144	0.9198
H0024	H3727	0.9145
H0024	H7067	0.9037
H0024	H3871	0.9035
H0026	H1555	0.9996
H0026	H3902	0.9974
H0026	H3129	0.9872
H0026	H7586	0.9871
H0026	H0293	0.981
H0026	H0288	0.981
H0026	H2595	0.9702
H0026	H6430	0.969
H0026	H3448	0.9677
H0026	H6860	0.9533
H0026	H3003	0.9079
H0027	H0460	1.0
H0027	H4371	1.0
H0027	H1441	1.0
H0027	H6686	1.0
H0027	H5996	1.0
H0027	H6701	1.0
H0027	H6295	1.0
H0027	H5918	1.0
H0027	H6301	1.0
H0027	H0299	1.0
H0027	H5881	1.0
H0027	H6302	1.0
H0027	H1109	0.9972
H0027	H1714	0.9971
H0027	H2023	0.9959
H0027	H7086	0.9912
H0027	H4084	0.9864
H0027	H1885	0.9847
