old_code	current_code
aam	aas
acc	acr
adp	dzo
aex	eng
ahe	knx
ajp	apc
ajt	aeb
asd	snz
aue	ktz
auv	oci
ayx	nun
bgh	bbh
bgm	bcg
bic	bir
bjd	drl
bke	pse
blg	iba
bnh	jaa
boc	xkl
bqe	eus
bsd	bsb
bsz	eus
btb	beb
bxt	bgk
cbm	cak
ccq	rki
cjr	mom
cka	cmr
ckc	cak
ckd	cak
cke	cak
ckf	cak
cki	cak
ckj	cak
ckk	cak
ckw	cak
cmk	xch
cnm	cac
coy	pij
cqu	quh
cru	bwi
cti	ctu
cun	quc
dat	mhu
dek	sqm
dit	dif
drh	khk
drr	kzk
drw	prs
eni	pse
fri	fry
gav	dev
gen	mxj
gfx	vaj
ggn	gvr
gli	kzk
gsc	oci
gti	nyc
guv	duz
hrr	jal
hsf	hus
hva	hus
ibi	opa
ilw	gal
itu	mzu
ixi	ixl
ixj	ixl
jai	jac
jap	jaa
jeg	oyb
kgc	tdf
kgh	kml
kgm	plu
kob	xsu
koj	kwv
krg	khe
krm	bmf
krq	ljp
ktr	dtp
kvs	gdj
kwq	yam
kxe	tvd
kxg	nij
kxl	kru
kzj	dtp
kzt	dtp
lak	ksp
lii	raq
llo	ngt
lmm	rmx
lms	oci
lmt	mui
lnc	oci
lnt	pse
meg	cir
miv	amj
mms	mam
mol	ron
mpf	mam
mqd	xkl
mst	mry
mtz	mam
mvc	mam
mvj	mam
mwj	vaj
myd	aog
myt	mry
nad	xny
ncp	kdz
nfg	nfd
nfk	nfd
nhj	nhi
nns	nbr
nnx	ngv
nom	cbr
nte	eko
nts	pij
nxj	byd
nxu	bpp
occ	ile
ogn	pse
ope	peo
oun	vaj
paj	kpc
pat	kxr
pcr	adx
pec	ljp
pen	mui
plm	mui
pmc	huw
pmk	crr
pmu	phr
poa	poc
pob	poh
poj	pkb
pou	poc
ppa	bfy
ppr	lcq
prp	guj
prv	oci
pry	prt
pun	ljp
puz	pub
quj	quc
qut	quc
quu	quc
qxi	quc
rae	ljp
rws	mui
sca	hle
scc	srp
scr	hrv
sdd	pse
sdi	liw
skk	oyb
skl	knx
slb	loe
smd	kmb
snb	iba
srj	pse
suu	ljp
szd	umi
szk	ikz
tdu	dtp
thc	tpo
thw	ola
thx	oyb
tie	ras
tkk	twm
tle	enb
tlw	weo
tlz	rob
tmk	tdg
tmp	tyj
tmx	ybi
tne	kak
tnf	prs
tnj	kxn
tpw	tpn
tsf	taj
ttx	bsb
tzb	tzh
tzc	tzo
tze	tzo
tzs	tzo
tzt	tzj
tzu	tzo
tzz	tzo
uok	ema
vky	kge
vmo	min
xah	nij
xba	cax
xia	acn
xkh	waw
xrq	dmw
xsk	kho
xss	zko
xuf	awn
ybd	rki
yib	eng
yio	lpo
yma	lrr
ymt	mtm
yol	enm
yos	zom
yus	yua
yuu	yug
ywm	ywu
zir	scv
zkb	kjh
ztc	zty
