iso639_3	iso639_1	name	glottocode	stock	group	branch	scripts	macrolanguage	classification
aaa		Ghotuo	ghot1243	Atlantic-Congo	Volta-Congo	Benue-Congo			atla1278/volt1241/benu1247/akpe1249/edoi1239/nort3182/afen1234
aab		Alumu-Tesu	alum1246	Atlantic-Congo	Volta-Congo	Benue-Congo			atla1278/volt1241/benu1247/benu1248/alum1250/alum1251
aac		Ari	arii1243	Suki-Gogodala	Gogodalic	Ari-Waruna			suki1244/gogo1264/ariw1234
aad		Amal	amal1242	Sepik					sepi1257
aae		Arbëreshë Albanian	arbe1236	Indo-European	Classical Indo-European	Albanian	Latn	sqi	indo1319/clas1257/alba1267/alba1268/sout3378
aaf		Aranadan	aran1261	Dravidian	South Dravidian	South Dravidian I			drav1251/sout3133/sout3138/tami1291/tami1292/tami1293/tami1294/tami1297/tami1298/mala1541
aag		Ambrak	ambr1239	Nuclear Torricelli	Wapei-Palei	Central Torricelli			nucl1708/wape1249/cent2407/nucl1722/yang1294
aah		Abu' Arapesh	abua1245	Nuclear Torricelli	Kombio-Arapesh-Urat	Arapesh			nucl1708/komb1276/arap1279/mufi1239/buki1250
aai		Arifama-Miniafia	arif1239	Austronesian	Malayo-Polynesian	Eastern Malayo-Polynesian			aust1307/mala1545/east2712/ocea1241/west2818/papu1253/nucl1744/nort2848/aret1241/arei1235
aak		Ankave	anka1246	Angan	Nuclear Angan	Ankave-Tainae-Akoye			anga1289/nucl1763/sout3130
aal		Afade	afad1236	Afro-Asiatic	Chadic	Biu-Mandara			afro1255/chad1250/bium1280/nort3156/koto1267/koto1265/koto1268
aan		Anambé	anam1249	Tupian	Eastern Tupian	Maweti-Guarani			tupi1275/east2909/mawe1252/awet1245/tupi1276/subg1264/araw1290
aao		Algerian Saharan Arabic	alge1240	Afro-Asiatic	Semitic	West Semitic	Arab	ara	afro1255/semi1276/west2786/cent2236/arab1394/arab1395/nort3191/west3017/magh1239
aap		Pará Arára	para1310	Cariban	Pekodian	Xinguan			cari1283/peko1235/xing1247
aaq		Eastern Abnaki	east2544	Algic	Algonquian-Blackfoot	Algonquian			algi1248/algo1256/algo1257/east2700/mari1452/nort3414/aben1250
aar	aa	Afar	afar1241	Afro-Asiatic	Cushitic	East Cushitic	Latn		afro1255/cush1243/east2699/lowl1267/saho1245
