iso639_3	rank	related_iso639_3	distance	basis
aaa	1	une	1.0	genetic-glottolog
aaa	2	ets	1.0	genetic-glottolog
aaa	3	bin	2.0	genetic-glottolog
aaa	4	ish	2.0	genetic-glottolog
aaa	5	ikh	3.0	genetic-glottolog
aaa	6	oke	3.0	genetic-glottolog
aaa	7	ema	3.0	genetic-glottolog
aaa	8	ibe	3.0	genetic-glottolog
aaa	9	iso	3.0	genetic-glottolog
aaa	10	evh	3.0	genetic-glottolog
aaa	11	urh	3.0	genetic-glottolog
aaa	12	erh	3.0	genetic-glottolog
aaa	13	epi	3.0	genetic-glottolog
aaa	14	olm	4.0	genetic-glottolog
aaa	15	iya	4.0	genetic-glottolog
aaa	16	opa	4.0	genetic-glottolog
aaa	17	uha	4.0	genetic-glottolog
aaa	18	oso	4.0	genetic-glottolog
aaa	19	oks	4.0	genetic-glottolog
aaa	20	kcf	4.0	genetic-glottolog
aaa	21	enn	4.0	genetic-glottolog
aaa	22	ged	4.0	genetic-glottolog
aaa	23	deg	4.0	genetic-glottolog
aaa	24	env	5.0	genetic-glottolog
aaa	25	igw	5.0	genetic-glottolog
aab	1	tdv	1.0	genetic-glottolog
aab	2	xab	2.0	genetic-glottolog
aab	3	ybj	2.0	genetic-glottolog
aab	4	nfd	2.0	genetic-glottolog
aab	5	afo	2.0	genetic-glottolog
aab	6	aqk	3.0	genetic-glottolog
aab	7	rin	3.0	genetic-glottolog
aab	8	jid	3.0	genetic-glottolog
aab	9	nbr	3.0	genetic-glottolog
aab	10	ayu	3.0	genetic-glottolog
aab	11	mae	3.0	genetic-glottolog
aab	12	ged	3.0	genetic-glottolog
aab	13	sha	3.0	genetic-glottolog
aab	14	ikv	3.0	genetic-glottolog
aab	15	klo	3.0	genetic-glottolog
aab	16	ybl	3.0	genetic-glottolog
aab	17	oks	3.0	genetic-glottolog
aab	18	kcf	3.0	genetic-glottolog
aab	19	ego	4.0	genetic-glottolog
aab	20	hoe	4.0	genetic-glottolog
aab	21	aik	4.0	genetic-glottolog
aab	22	mgi	4.0	genetic-glottolog
aab	23	kni	4.0	genetic-glottolog
aab	24	kdp	4.0	genetic-glottolog
aab	25	etx	4.0	genetic-glottolog
aac	1	wrv	0.0	genetic-glottolog
aac	2	ggw	1.0	genetic-glottolog
aac	3	sui	2.0	genetic-glottolog
aad	1	aau	0.0	genetic-glottolog
aad	2	aww	1.0	genetic-glottolog
aad	3	nnm	1.0	genetic-glottolog
aad	4	kmn	1.0	genetic-glottolog
aad	5	akq	1.0	genetic-glottolog
aad	6	kmo	1.0	genetic-glottolog
aad	7	iwm	2.0	genetic-glottolog
aad	8	iws	2.0	genetic-glottolog
aad	9	bye	2.0	genetic-glottolog
aad	10	xrw	2.0	genetic-glottolog
aad	11	cjn	2.0	genetic-glottolog
aad	12	lgt	2.0	genetic-glottolog
aad	13	wog	2.0	genetic-glottolog
aad	14	sny	2.0	genetic-glottolog
aad	15	yss	2.0	genetic-glottolog
aad	16	nux	2.0	genetic-glottolog
aad	17	kwj	2.0	genetic-glottolog
aad	18	sim	2.0	genetic-glottolog
aad	19	ywa	3.0	genetic-glottolog
aad	20	psq	3.0	genetic-glottolog
aad	21	ayq	3.0	genetic-glottolog
aad	22	gbe	3.0	genetic-glottolog
aad	23	pin	3.0	genetic-glottolog
aad	24	ham	3.0	genetic-glottolog
aad	25	knr	3.0	genetic-glottolog
aae	1	aat	0.0	genetic-glottolog
aae	2	als	1.0	genetic-glottolog
aae	3	aln	2.0	genetic-glottolog
aae	4	xve	4.0	genetic-glottolog
aae	5	xpg	4.0	genetic-glottolog
aae	6	prg	4.0	genetic-glottolog
aae	7	xce	4.0	genetic-glottolog
aae	8	xcl	4.0	genetic-glottolog
aae	9	txb	4.0	genetic-glottolog
aae	10	xto	4.0	genetic-glottolog
aae	11	cms	5.0	genetic-glottolog
aae	12	osc	5.0	genetic-glottolog
aae	13	xfa	5.0	genetic-glottolog
aae	14	xum	5.0	genetic-glottolog
aae	15	txh	5.0	genetic-glottolog
aae	16	xdc	5.0	genetic-glottolog
aae	17	yms	5.0	genetic-glottolog
aae	18	got	5.0	genetic-glottolog
aae	19	xsv	5.0	genetic-glottolog
aae	20	hit	5.0	genetic-glottolog
aae	21	lit	5.0	genetic-glottolog
aae	22	lav	5.0	genetic-glottolog
aae	23	xls	5.0	genetic-glottolog
aae	24	hyw	5.0	genetic-glottolog
aae	25	hye	5.0	genetic-glottolog
aaf	1	kfh	0.0	genetic-glottolog
aaf	2	thn	0.0	genetic-glottolog
aaf	3	ctt	0.0	genetic-glottolog
aaf	4	kpb	0.0	genetic-glottolog
aaf	5	all	0.0	genetic-glottolog
aaf	6	kej	0.0	genetic-glottolog
aaf	7	mjq	0.0	genetic-glottolog
aaf	8	vis	0.0	genetic-glottolog
aaf	9	mal	0.0	genetic-glottolog
aaf	10	ull	0.0	genetic-glottolog
aaf	11	mjr	0.0	genetic-glottolog
aaf	12	mjo	0.0	genetic-glottolog
aaf	13	kev	0.0	genetic-glottolog
aaf	14	wkl	1.0	genetic-glottolog
aaf	15	pcg	1.0	genetic-glottolog
aaf	16	wku	1.0	genetic-glottolog
aaf	17	pty	1.0	genetic-glottolog
aaf	18	yea	1.0	genetic-glottolog
aaf	19	kfa	2.0	genetic-glottolog
aaf	20	url	2.0	genetic-glottolog
aaf	21	ima	2.0	genetic-glottolog
aaf	22	oty	2.0	genetic-glottolog
aaf	23	mjp	2.0	genetic-glottolog
aaf	24	era	3.0	genetic-glottolog
