# source=llm; anchored on the original lemma (Hebrew/Greek), English gloss used only as a hint
strong	lemma_ref	en_ref	gloss
G0001	ἄλφα	Alpha	ألف
G0010	Ἀβιούδ	Abiud	أبيود
G0100	ἁδρότης	abundance	كثرة
G1000	βολή	throwing	رمية
G1001	βολίζω	sound	قاس
G1002		arrow	سهم
G1003	Βόες	Boaz	بوعز
G1004	βόρβορος	mire	وحل
G1005	βορρᾶς	north	شمال
G1006	βόσκω	feed	رعى
G1007	Βοσόρ	Beor	بصور
G1008	βοτάνη	crop	نبات
G1009	βότρυς	bunch of grapes	عنقود
G0101	ἀδυνατέω	be impossible	عجز
G1010	βουλευτής	member of a council	مستشار
G1011	βουλεύω	plan	تشاور
G1012	βουλή	plan	مشورة
G1013	βούλημα	plan	مشيئة
G1014	βούλομαι	plan	أراد
G1015	βουνός	hill	تل
G1016	βοῦς	ox	ثور
G1017	βραβεῖον	prize	جائزة
G1018	βραβεύω	rule	حكم
G1019	βραδύνω	delay	أبطأ
G1020	βραδυπλοέω	sail slowly	أبحر بطيئا
G1021	βραδύς	slow	بطيء
G1022	βραδύτης	slowness	بطء
G1023	βραχίων	arm	ذراع
G1024	βραχύς	little	قليل
G1025	βρέφος	infant	رضيع
G1026	βρέχω	rain down	أمطر
G1027	βροντή	thunder	رعد
G1028	βροχή	rain	مطر
G1029	βρόχος	restraint	قيد
G0103	ᾄδω	sing	غنى
G1030	βρυγμός	gnashing	طحن
G1031	βρύχω	gnash	طحن
G1032	βρύω	pour	فاض
G1033	βρῶμα	food	طعام
G1034	βρώσιμος	edible	صالح للأكل
G1035	βρῶσις	eating	طعام
G1036	βυθίζω	sink	غرق
G1037	βυθός	deep	عمق
G1038	βυρσεύς	tanner	دباغ
G1039	βύσσινος	fine linen	كتان ناعم
G1040	βύσσος	fine linen	كتان ناعم
G1041	βωμός	altar	مذبح
G1042	Γαββαθᾶ	Gabbatha	جباثا
G1043	Γαβριήλ	Gabriel	جبرائيل
G1044	γάγγραινα	gangrene	غنغرينا
G1045	Γάδ	Gad	جاد
G1046	Γαδαρηνός	Gadara	جدري
G1047	γάζα	treasury	خزانة
G1048	Γάζα	Gaza	غزة
G1049	γαζοφυλάκιον	treasury	خزانة
G0105	ἀετός	eagle	نسر
G1050	Γάϊος	Gaius	جايس
G1051	γάλα	milk	لبن
G1052	Γαλάτης	Galatian	جلاطي
G1053	Γαλατία	Galatia	جلاطية
G1054	Γαλατικός	Galatia	جلاطي
G1055	γαλήνη	calm	هدوء
G1056	Γαλιλαία	Galilee	الجليل
G1057	Γαλιλαῖος	Galilean	جليلي
G1058	Γαλλίων	Gallio	جاليون
G1059	Γαμαλιήλ	Gamaliel	جمالائيل
G0106	ἄζυμος	unleavened	فطير
G1060	γαμέω	marry	تزوج
G1061	γαμίζω	give in marriage	زوج
G1062	γάμος	wedding	عرس
G1063	γάρ	for	لأن
G1064	γαστήρ	belly	بطن
G1065	γέ	indeed	بل
G1066	Γεδεών	Gideon	جدعون
G1067	Γέεννα	hell	جهنم
G1068	Γεθσημανεί	Gethsemane	جثسيماني
G1069	γείτων	neighbour	جار
G0107	Ἀζώρ	Azor	آزور
G1070	γελάω	laugh	ضحك
G1071	γέλως	laughter	ضحك
G1072	γεμίζω	fill	ملأ
G1073	γέμω	be full	امتلأ
G1074	γενεά	generation	جيل
G1075	γενεαλογέω	trace genealogy	نسب
G1076	γενεαλογία	genealogy	نسب
G1077	γενέσια	birthday	عيد ميلاد
G1078	γένεσις	origin	ولادة
G1079	γενετή	birth	ولادة
G0108	Ἄζωτος	Azotus	أزوتس
G1080	γεννάω	beget	ولد
G1081	γένημα	offspring	نسل
G1082	Γεννησαρέτ	Gennesaret	جنيسارت
G1083		birth	ولادة
G1084	γεννητός	born	مولود
G1085	γένος	family	جنس
G1086		Gerasene	جراسيني
G1087	γερουσία	council of elders	مجلس الشيوخ
G1088	γέρων	old man	شيخ
G1089	γεύομαι	taste	ذاق
G0109	ἀήρ	air	هواء
G1090	γεωργέω	farm	حرث
G1091	γεώργιον	farm field	حقل
G1092	γεωργός	farmer	فلاح
G1093	γῆ	earth	أرض
G1094	γῆρας	old age	شيخوخة
G1095	γηράσκω	grow old	شاخ
G1096	γίνομαι	be	صار
G1097	γινώσκω	know	عرف
G1098	γλεῦκος	sweet wine	خمر حلوة
G1099	γλυκύς	sweet	حلو
G0011	Ἀβραάμ	Abraham	إبراهيم
G0110	ἀθανασία	immortality	عدم الموت
G1100	γλῶσσα	tongue	لسان
G1101	γλωσσόκομον	moneybag	صندوق النقود
G1102	γναφεύς	one who bleaches	قصار
G1103	γνήσιος	genuine	حقيقي
G1104	γνησίως	genuinely	بصدق
G1105	γνόφος	darkness	ظلام
G1106	γνώμη	resolution	رأي
G1107	γνωρίζω	make known	عرّف
G1108	γνῶσις	knowledge	معرفة
G1109	γνώστης	expert in	خبير
G0111	ἀθέμιτος	unlawful	محرّم
G1110	γνωστός	acquainted with	معروف
G1111	γογγύζω	murmur	تذمّر
G1112	γογγυσμός	murmuring	تذمّر
G1113	γογγυστής	murmurer	متذمّر
G1114	γόης	imposter	ساحر
G1115	Γολγοθᾶ	Golgotha	الجلجثة
G1116	Γόμορρα	Gomorrah	عمورة
G1117	γόμος	cargo	حمولة
G1118	γονεύς	parent	والد
G1119	γόνυ	knee	ركبة
G0112	ἄθεος	without God	بلا إله
G1120	γονυπετέω	kneel	ركع
G1121	γράμμα	something written	كتاب
G1122	γραμματεύς	scribe	كاتب
G1123	γραπτός	written	مكتوب
G1124	γραφή	writing	كتاب
G1125	γράφω	write	كتب
G1126	γραώδης	old wives’ tale	خرافة
G1127	γρηγορέω	keep watch	سهر
G1128	γυμνάζω	train	مرّن
G1129	γυμνασία	training	تمرين
G0113	ἄθεσμος	lawless	شرير
G1130	γυμνιτεύω	be naked	عريان
G1131	γυμνός	naked	عريان
G1132	γυμνότης	nakedness	عري
G1133	γυναικάριον	weak-willed woman	امرأة ضعيفة
G1134	γυναικεῖος	feminine	نسائي
G1135	γυνή	woman	امرأة
G1136	Γώγ	Gog	جوج
G1137	γωνία	corner	زاوية
G1138	Δαυείδ	David	داود
G1139	δαιμονίζομαι	be demonised	تلبّس
G0114	ἀθετέω	reject	رفض
G1140	δαιμόνιον	demon	شيطان
G1141	δαιμονιώδης	demonic	شيطاني
G1142	δαίμων	demon	جِنّ
G1143	δάκνω	bite	عَضّ
G1144	δάκρυον	teardrop	دَمْعة
G1145	δακρύω	weep	بَكَى
G1146	δακτύλιος	ring	خاتَم
G1147	δάκτυλος	finger	إِصْبَع
G1148	Δαλμανουθά	Dalmanutha	دَلْمانوثا
G1149	Δαλματία	Dalmatia	دَلْماتِيَّة
G0115	ἀθέτησις	nullification	إِلْغاء
G1150	δαμάζω	tame	ذَلَّل
G1151	δάμαλις	heifer	عِجْلة
G1152	Δάμαρις	Damaris	دامارِس
G1153	Δαμασκηνός	Damascus	دِمَشْقِيّ
G1154	Δαμασκός	Damascus	دِمَشْق
G1155	δανίζω	lend	أَقْرَض
G1156	δάνιον	debt	دَيْن
G1157	δανιστής	moneylender	مُرْتَاه
G1158	Δανιήλ	Daniel	دانِيال
G1159	δαπανάω	spend	أَنْفَق
G0116	Ἀθῆναι	Athens	أَثِينا
G1160	δαπάνη	cost	نَفَقة
G1161	δέ	then	وَ
G1162	δέησις	petition	دَعاء
G1163	δέω	be necessary	يَجِب
G1164	δεῖγμα	example	مِثال
G1165	δειγματίζω	disgrace	فَضَح
G1166	δεικνύω	show	أَرى
G1167	δειλία	timidity	جُبْن
G1168	δειλιάω	be timid	جَبُن
G1169	δειλός	timid	جَبان
G0117	Ἀθηναῖος	Athenian	أَثِينِيّ
G1170	δεῖνα	certain one	فُلان
G1171	δεινῶς	terribly	بِشِدَّة
G1172	δειπνέω	dine	تَعَشَّى
G1173	δεῖπνον	dinner	عَشاء
G1174	δεισιδαιμονέστερος	religious	وَرِع
G1175	δεισιδαιμονία	religion	وَرَع
G1176	δέκα	ten	عَشَرة
G1177	δεκαοκτώ	twelve	ثَمانِيَة عَشَرة
G1178	δεκαπέντε	fifteen	خَمْسَة عَشَرة
G1179	Δεκάπολις	Decapolis	عشر مدن
G0118	ἀθλέω	compete	تنافس
G1180	δεκατέσσαρες	fourteen	أربعة عشر
G1181		tenth	العاشرة
G1182	δέκατος	tenth	العاشر
G1183	δεκατόω	tithe	عشّر
G1184	δεκτός	acceptable	مقبول
G1185	δελεάζω	entice	أغوى
G1186	δένδρον	tree	شجرة
G1187	δεξιολάβος	slinger	رامي حجارة
G1188	δεξιός	right	يمين
G1189	δέος	pray	خشية
G0119	ἀθροίζω	struggle	تجمع
G1190	Δερβαῖος	Derbe	درباوي
G1191	Δέρβη	Derbe	دربة
G1192	δέρμα	leather	جلد
G1193	δερμάτινος	made of leather	جلدي
G1194	δέρω	beat up	ضرب
G1195	δεσμεύω	bind	قيّد
G1196		shackle	قيد
G1197	δέσμη	bundle	حزمة
G1198	δέσμιος	prisoner	سجين
G1199	δεσμός	chain	سلسلة
G0012	ἄβυσσος	abyss	هاوية
G0120	ἀθυμέω	be discouraged	يأس
G1200	δεσμοφύλαξ	jailer	حارس السجن
G1201	δεσμωτήριον	prison	سجن
G1202	δεσμώτης	prisoner	سجين
G1203	δεσπότης	master	سيد
G1204	δεῦρο	come	هنا
G1205	δεῦτε	come	تعالوا
G1206	δευτεραῖος	next day	في اليوم التالي
G1207	δεύτερον	second-first	ثاني أول
G1208	δεύτερος	secondly	ثاني
G1209	δέχομαι	receive	قبل
G0121	ἀθῷος	innocent	بريء
G1210	δέω	bind	ربط
G1211	δή	so	إذن
G1212	δῆλος	Urim	واضح
G1213	δηλόω	make clear	أوضح
G1214	Δημᾶς	Demas	ديماس
G1215	δημηγορέω	give a speech	خطب
G1216	Δημήτριος	Demetrius	ديمتريوس
G1217	δημιουργός	builder	صانع
G1218	δῆμος	people	شعب
G1219	δημόσιος	public	علني
G0122	αἴγιος	goat's	معزي
G1220	δηνάριον	denarius	دينار
G1221	δηνάριον	whatever	أي
G1222	δήπου	surely	بلى
G1223	διά	through	بـ
G1224	διαβαίνω	cross	عبر
G1225	διαβάλλω	accuse	اتهم
G1226	διαβεβαιόομαι	insist	أكد
G1227	διαβλέπω	see clearly	أبصر
G1228	διάβολος	devilish	شيطان
G1229	διαγγέλλω	proclaim	أعلن
G0123	αἰγιαλός	shore	ساحل
G1230	διαγίνομαι	pass	مضى
G1231	διαγινώσκω	decide	حكم
G1232		report	أذاع
G1233	διάγνωσις	decision	حكم
G1234	διαγογγύζω	murmur	تذمر
G1235	διαγρηγορέω	wake	استيقظ
G1236	διάγω	live	عاش
G1237	διαδέχομαι	receive in turn	خلف
G1238	διάδημα	diadem	تاج
G1239	διαδίδωμι	distribute	وزع
G0124	Αἰγύπτιος	Egyptian	مصري
G1240	διάδοχος	successor	خليفة
G1241	διαζώννυμι	tie around	شد
G1242	διαθήκη	covenant	عهد
G1243	διαίρεσις	variety	تنوع
G1244	διαιρέω	distribute	قسم
G1245	διακαθαρίζω	clear out	نقى
G1246	διακατελέγχομαι	refute	دحض
G1247	διακονέω	serve	خدم
G1248	διακονία	service	خدمة
G1249	διάκονος	servant	خادم
G0125	Αἴγυπτος	Egypt	مصر
G1250	διακόσιοι	two hundred	مائتان
G1251	διακούω	give a hearing	استمع
G1252	διακρίνω	judge	ميز
G1253	διάκρισις	discernment	تمييز
G1254	διακωλύω	hinder	منع
G1255	διαλαλέω	discuss	تحدث
G1256	διαλέγω	dispute	تحاور
G1257	διαλίπω	stop	توقف
G1258	διάλεκτος	language	لسان
G1259	διαλλάσσω	be reconciled	صالح
G0126	ἀΐδιος	eternal	أزلي
G1260	διαλογίζομαι	discuss	تفكر
G1261	διαλογισμός	reasoning	فكر
G1262	διαλύω	disperse	تفرق
