# source=llm; anchored on the original lemma (Hebrew/Greek), English gloss used only as a hint
strong	lemma_ref	en_ref	gloss
G0001	ἄλφα	Alpha	আলিফ
G0010	Ἀβιούδ	Abiud	অবিউদ
G0100	ἁδρότης	abundance	প্রাচুর্য
G1000	βολή	throwing	নিক্ষেপ
G1001	βολίζω	sound	মাপ
G1002		arrow	তীর
G1003	Βόες	Boaz	বোয়াজ
G1004	βόρβορος	mire	পঙ্কিল
G1005	βορρᾶς	north	উত্তর
G1006	βόσκω	feed	চরান
G1007	Βοσόρ	Beor	বেয়র
G1008	βοτάνη	crop	উদ্ভিদ
G1009	βότρυς	bunch of grapes	আঙ্গুরের গুচ্ছ
G0101	ἀδυνατέω	be impossible	অসম্ভব
G1010	βουλευτής	member of a council	পরিষদের সদস্য
G1011	βουλεύω	plan	পরিকল্পনা
G1012	βουλή	plan	পরামর্শ
G1013	βούλημα	plan	ইচ্ছা
G1014	βούλομαι	plan	চাওয়া
G1015	βουνός	hill	পাহাড়
G1016	βοῦς	ox	গরু
G1017	βραβεῖον	prize	পুরস্কার
G1018	βραβεύω	rule	নিয়ন্ত্রণ
G1019	βραδύνω	delay	বিলম্ব
G0102	ἀδύνατος	unable	অক্ষম
G1020	βραδυπλοέω	sail slowly	ধীরে যাত্রা
G1021	βραδύς	slow	ধীর
G1022	βραδύτης	slowness	ধীরতা
G1023	βραχίων	arm	বাহু
G1024	βραχύς	little	ছোট
G1025	βρέφος	infant	শিশু
G1026	βρέχω	rain down	বৃষ্টি
G1027	βροντή	thunder	বজ্র
G1028	βροχή	rain	বৃষ্টিপাত
G1029	βρόχος	restraint	বাধা
G0103	ᾄδω	sing	গান
G1030	βρυγμός	gnashing	দন্তমর্দন
G1031	βρύχω	gnash	দাঁত কড়া
G1032	βρύω	pour	ঢেলে দেওয়া
G1033	βρῶμα	food	খাবার
G1034	βρώσιμος	edible	খাদ্যযোগ্য
G1035	βρῶσις	eating	খাদ্য
G1036	βυθίζω	sink	ডুবান
G1037	βυθός	deep	গভীরতা
G1038	βυρσεύς	tanner	চামড়া কর্মী
G1039	βύσσινος	fine linen	সূক্ষ্ম শণ
G0104	ἀεί	always	সর্বদা
G1040	βύσσος	fine linen	সূক্ষ্ম শণ
G1041	βωμός	altar	বেদী
G1042	Γαββαθᾶ	Gabbatha	গব্বাথা
G1043	Γαβριήλ	Gabriel	গাব্রিয়েল
G1044	γάγγραινα	gangrene	গ্যাংগ্রিন
G1045	Γάδ	Gad	গাদ
G1046	Γαδαρηνός	Gadara	গাদারেনীয়
G1047	γάζα	treasury	ধন
G1048	Γάζα	Gaza	গাজা
G1049	γαζοφυλάκιον	treasury	ভাণ্ডার
G0105	ἀετός	eagle	ঈগল
G1050	Γάϊος	Gaius	গাইউস
G1051	γάλα	milk	দুধ
G1052	Γαλάτης	Galatian	গালাতীয়
G1053	Γαλατία	Galatia	গালাতিয়া
G1054	Γαλατικός	Galatia	গালাতিয়া
G1055	γαλήνη	calm	শান্তি
G1056	Γαλιλαία	Galilee	গালীল
G1057	Γαλιλαῖος	Galilean	গালীলী
G1058	Γαλλίων	Gallio	গল্লিও
G1059	Γαμαλιήλ	Gamaliel	গামালিয়েল
G0106	ἄζυμος	unleavened	খামিরশূন্য
G1060	γαμέω	marry	বিবাহ করা
G1061	γαμίζω	give in marriage	বিবাহ দেওয়া
G1062	γάμος	wedding	বিবাহ
G1063	γάρ	for	কারণ
G1064	γαστήρ	belly	পেট
G1065	γέ	indeed	নিশ্চিতভাবে
G1066	Γεδεών	Gideon	গিদিয়ন
G1067	Γέεννα	hell	জাহান্নাম
G1068	Γεθσημανεί	Gethsemane	গেথসেমানে
G1069	γείτων	neighbour	প্রতিবেশী
G0107	Ἀζώρ	Azor	আজোর
G1070	γελάω	laugh	হাসা
G1071	γέλως	laughter	হাসি
G1072	γεμίζω	fill	পূর্ণ করা
G1073	γέμω	be full	পূর্ণ থাকা
G1074	γενεά	generation	প্রজন্ম
G1075	γενεαλογέω	trace genealogy	বংশপরম্পরা তালিকা করা
G1076	γενεαλογία	genealogy	বংশপরম্পরা
