# source=llm; anchored on the original lemma (Hebrew/Greek), English gloss used only as a hint
strong	lemma_ref	en_ref	gloss
G0001	ἄλφα	Alpha	alifa
G0010	Ἀβιούδ	Abiud	Abiud
G0100	ἁδρότης	abundance	yalwa
G1000	βολή	throwing	jefa
G1001	βολίζω	sound	auna
G1002		arrow	kibiya
G1003	Βόες	Boaz	Boaz
G1004	βόρβορος	mire	laka
G1005	βορρᾶς	north	arewa
G1006	βόσκω	feed	kiwo
G1007	Βοσόρ	Beor	Beor
G1008	βοτάνη	crop	ciyawa
G1009	βότρυς	bunch of grapes	sura
G0101	ἀδυνατέω	be impossible	wai ba ya iya
G1010	βουλευτής	member of a council	memba
G1011	βουλεύω	plan	tunani
G1012	βουλή	plan	shawarar
G1013	βούλημα	plan	burin
G1014	βούλομαι	plan	so
G1015	βουνός	hill	tudu
G1016	βοῦς	ox	saniya
G1017	βραβεῖον	prize	gida
G1018	βραβεύω	rule	zage
G1019	βραδύνω	delay	jiya
G1020	βραδυπλοέω	sail slowly	slugo
G1021	βραδύς	slow	sannu
G1022	βραδύτης	slowness	sannu
G1023	βραχίων	arm	hannu
G1024	βραχύς	little	kadan
G1025	βρέφος	infant	jariri
G1026	βρέχω	rain down	ruwa
G1027	βροντή	thunder	runtumi
G1028	βροχή	rain	ruwa
G1029	βρόχος	restraint	sarfi
G0103	ᾄδω	sing	wakoki
G1030	βρυγμός	gnashing	gajiya
G1031	βρύχω	gnash	gajiya
G1032	βρύω	pour	zubo
G1033	βρῶμα	food	abinci
G1034	βρώσιμος	edible	cin ƙarfi
G1035	βρῶσις	eating	cin
G1036	βυθίζω	sink	nutsewa
G1037	βυθός	deep	zurfafa
G1038	βυρσεύς	tanner	mai satar fata
G1039	βύσσινος	fine linen	allaba mai kyau
G0104	ἀεί	always	koyaushe
G1040	βύσσος	fine linen	allaba
G1041	βωμός	altar	babbar
G1042	Γαββαθᾶ	Gabbatha	Gabbata
G1043	Γαβριήλ	Gabriel	Gabriyel
G1044	γάγγραινα	gangrene	ciwon do'i
G1045	Γάδ	Gad	Gad
G1046	Γαδαρηνός	Gadara	Gadariyya
G1047	γάζα	treasury	baje
G1048	Γάζα	Gaza	Gaza
G1049	γαζοφυλάκιον	treasury	akasuri
G0105	ἀετός	eagle	gida
G1050	Γάϊος	Gaius	Gaius
G1051	γάλα	milk	madara
G1052	Γαλάτης	Galatian	Galatiyya
G1053	Γαλατία	Galatia	Galatiya
G1054	Γαλατικός	Galatia	Galatiyya
G1055	γαλήνη	calm	jiya
G1056	Γαλιλαία	Galilee	Jaliliya
G1057	Γαλιλαῖος	Galilean	Jaliliyya
G1058	Γαλλίων	Gallio	Galliyon
G1059	Γαμαλιήλ	Gamaliel	Gamaliyel
G0106	ἄζυμος	unleavened	maibu da jajjimewa
G1060	γαμέω	marry	aura
G1061	γαμίζω	give in marriage	miski aura
G1062	γάμος	wedding	walima
G1063	γάρ	for	domin
G1064	γαστήρ	belly	hazo
G1065	γέ	indeed	tabbas
G1066	Γεδεών	Gideon	Gideyon
G1067	Γέεννα	hell	jahannam
G1068	Γεθσημανεί	Gethsemane	Getsemani
G1069	γείτων	neighbour	maƙwabta
G0107	Ἀζώρ	Azor	Azor
G1106	γνώμη	resolution	tunanin
G1107	γνωρίζω	make known	sanar da
G1108	γνῶσις	knowledge	ilmi
G1109	γνώστης	expert in	mai ilmi
G0111	ἀθέμιτος	unlawful	labari da ba a halatta ba
G1110	γνωστός	acquainted with	sananniya
G1111	γογγύζω	murmur	gunaguni
G1112	γογγυσμός	murmuring	gunaguni
G1113	γογγυστής	murmurer	mai gunaguni
G1114	γόης	imposter	mahaukaci
G1115	Γολγοθᾶ	Golgotha	Golgotha
G1116	Γόμορρα	Gomorrah	Gomora
G1117	γόμος	cargo	kayaya
G1118	γονεύς	parent	iyaye
G1119	γόνυ	knee	gwiwa
G0112	ἄθεος	without God	ba Allah ba
G1120	γονυπετέω	kneel	jajaye gwiwa
G1121	γράμμα	something written	rubutu
G1122	γραμματεύς	scribe	malami
G1123	γραπτός	written	rubuffu
G1124	γραφή	writing	Littafi
G1125	γράφω	write	rubuta
G1126	γραώδης	old wives’ tale	tatsuniyar tsofua
G1127	γρηγορέω	keep watch	tsananta
G1128	γυμνάζω	train	koyaushe
G1129	γυμνασία	training	koyaushe
G0113	ἄθεσμος	lawless	mara ka'ida
G1130	γυμνιτεύω	be naked	kasua
G1131	γυμνός	naked	kasua
G1132	γυμνότης	nakedness	kasuwa
G1133	γυναικάριον	weak-willed woman	mace mai rauyi
G1134	γυναικεῖος	feminine	mace
G1135	γυνή	woman	mace
G1136	Γώγ	Gog	Gog
G1137	γωνία	corner	kusurwa
G1138	Δαυείδ	David	Dauda
G1139	δαιμονίζομαι	be demonised	jajiya da iska
G0114	ἀθετέω	reject	yi watsi
G1140	δαιμόνιον	demon	iska
G1141	δαιμονιώδης	demonic	na iska
G1142	δαίμων	demon	iblis
G1143	δάκνω	bite	kamtse
G1144	δάκρυον	teardrop	hawaye
G1145	δακρύω	weep	kuka
G1146	δακτύλιος	ring	zofa
G1147	δάκτυλος	finger	yatsa
G1148	Δαλμανουθά	Dalmanutha	Dalmanutha
G1149	Δαλματία	Dalmatia	Dalmatiya
G0115	ἀθέτησις	nullification	soke
G1150	δαμάζω	tame	jareta
G1151	δάμαλις	heifer	budurwa
G1152	Δάμαρις	Damaris	Damaris
G1153	Δαμασκηνός	Damascus	Damashkawa
G1154	Δαμασκός	Damascus	Damashku
G1155	δανίζω	lend	karanta
G1156	δάνιον	debt	bashi
G1157	δανιστής	moneylender	mai-karanta
G1158	Δανιήλ	Daniel	Daniyala
G1159	δαπανάω	spend	kashewa
G0116	Ἀθῆναι	Athens	Athens
G1160	δαπάνη	cost	shara
G1161	δέ	then	kuma
G1162	δέησις	petition	nemewa
G1163	δέω	be necessary	dole
G1164	δεῖγμα	example	alame
G1165	δειγματίζω	disgrace	baiki
G1166	δεικνύω	show	nuna
G1167	δειλία	timidity	tsoro
G1168	δειλιάω	be timid	ji-tsoro
G1169	δειλός	timid	mai-tsoro
G0117	Ἀθηναῖος	Athenian	Athenawa
G1170	δεῖνα	certain one	wani
G1171	δεινῶς	terribly	sosai
G1172	δειπνέω	dine	ci-da-sha
G1173	δεῖπνον	dinner	abinci
G1174	δεισιδαιμονέστερος	religious	mai-bautar-gida
G1175	δεισιδαιμονία	religion	bautar-gida
G1176	δέκα	ten	goma
G1177	δεκαοκτώ	twelve	sha-tamanin
G1178	δεκαπέντε	fifteen	sha-biyar
G1179	Δεκάπολις	Decapolis	Dekapolis
G0118	ἀθλέω	compete	gaggara
G1180	δεκατέσσαρες	fourteen	goma sha
G1181		tenth	goma
G1182	δέκατος	tenth	goma
G1183	δεκατόω	tithe	ba da jari
G1184	δεκτός	acceptable	karɓa
G1185	δελεάζω	entice	jajereze
G1186	δένδρον	tree	bishiya
G1187	δεξιολάβος	slinger	maida
G1188	δεξιός	right	dama
G1189	δέος	pray	tsoron
G0119	ἀθροίζω	struggle	gaggara
G1190	Δερβαῖος	Derbe	Derbe
G1191	Δέρβη	Derbe	Derbe
G1192	δέρμα	leather	fata
G1193	δερμάτινος	made of leather	fata
G1194	δέρω	beat up	buge
G1195	δεσμεύω	bind	ɗaure
G1196		shackle	ɗaure
G1197	δέσμη	bundle	daure
G1198	δέσμιος	prisoner	fursuna
G1199	δεσμός	chain	sarƙi
G0012	ἄβυσσος	abyss	shuni
G0120	ἀθυμέω	be discouraged	bacewa
G1200	δεσμοφύλαξ	jailer	mai-gida
G1201	δεσμωτήριον	prison	gida
G1202	δεσμώτης	prisoner	fursuna
G1203	δεσπότης	master	mai
G1204	δεῦρο	come	zo
G1205	δεῦτε	come	zo
G1206	δευτεραῖος	next day	jiya
G1207	δεύτερον	second-first	na biyu
G1208	δεύτερος	secondly	na biyu
G1209	δέχομαι	receive	karɓa
G0121	ἀθῷος	innocent	mariya
G1210	δέω	bind	ɗaure
G1211	δή	so	kawai
G1212	δῆλος	Urim	a gida
G1213	δηλόω	make clear	ɓata
G1214	Δημᾶς	Demas	Dimas
G1215	δημηγορέω	give a speech	jawaɓi
G1216	Δημήτριος	Demetrius	Dimitiriyos
G1217	δημιουργός	builder	mai ƙira
G1218	δῆμος	people	jama'a
G1219	δημόσιος	public	jama'antaka
G0122	αἴγιος	goat's	naman akuyi
G1220	δηνάριον	denarius	dinari
G1221	δηνάριον	whatever	duk
G1222	δήπου	surely	tabbas
G1223	διά	through	ta
G1224	διαβαίνω	cross	wuce
G1225	διαβάλλω	accuse	zargi
G1226	διαβεβαιόομαι	insist	nuni
G1227	διαβλέπω	see clearly	gani kyau
G1228	διάβολος	devilish	shaida
G1229	διαγγέλλω	proclaim	sanar
G0123	αἰγιαλός	shore	bakin tekun
G1230	διαγίνομαι	pass	wuce
G1231	διαγινώσκω	decide	yanke hukunci
G1233	διάγνωσις	decision	hukunci
G1234	διαγογγύζω	murmur	gunaguni
G1235	διαγρηγορέω	wake	farka
G1236	διάγω	live	rayuwa
G1237	διαδέχομαι	receive in turn	dauki
G1238	διάδημα	diadem	korona
G1239	διαδίδωμι	distribute	rarraba
G0124	Αἰγύπτιος	Egyptian	Masaryan
G1240	διάδοχος	successor	magaji
