# source=llm; anchored on the original lemma (Hebrew/Greek), English gloss used only as a hint
strong	lemma_ref	en_ref	gloss
G0001	ἄλφα	Alpha	альфа
G0010	Ἀβιούδ	Abiud	Авиуд
G0100	ἁδρότης	abundance	изобилие
G1000	βολή	throwing	бросок
G1001	βολίζω	sound	измерять
G1002		arrow	стрела
G1003	Βόες	Boaz	Вооз
G1004	βόρβορος	mire	грязь
G1005	βορρᾶς	north	север
G1006	βόσκω	feed	пасти
G1007	Βοσόρ	Beor	Бесор
G1008	βοτάνη	crop	растение
G1009	βότρυς	bunch of grapes	гроздь
G0101	ἀδυνατέω	be impossible	быть невозможным
G1010	βουλευτής	member of a council	советник
G1011	βουλεύω	plan	совещаться
G1012	βουλή	plan	совет
G1013	βούλημα	plan	намерение
G1014	βούλομαι	plan	желать
G1015	βουνός	hill	холм
G1016	βοῦς	ox	бык
G1017	βραβεῖον	prize	награда
G1018	βραβεύω	rule	царствовать
G1019	βραδύνω	delay	задерживаться
G0102	ἀδύνατος	unable	невозможный
G1020	βραδυπλοέω	sail slowly	плыть медленно
G1021	βραδύς	slow	медленный
G1022	βραδύτης	slowness	медлительность
G1023	βραχίων	arm	рука
G1024	βραχύς	little	короткий
G1025	βρέφος	infant	младенец
G1026	βρέχω	rain down	идти дождю
G1027	βροντή	thunder	гром
G1028	βροχή	rain	дождь
G1029	βρόχος	restraint	узда
G0103	ᾄδω	sing	петь
G1030	βρυγμός	gnashing	скрежет
G1031	βρύχω	gnash	скрежетать
G1032	βρύω	pour	течь
G1033	βρῶμα	food	пища
G1034	βρώσιμος	edible	съедобный
G1035	βρῶσις	eating	пища
G1036	βυθίζω	sink	тонуть
G1037	βυθός	deep	пучина
G1038	βυρσεύς	tanner	кожевник
G1039	βύσσινος	fine linen	виссонный
G0104	ἀεί	always	всегда
G1040	βύσσος	fine linen	виссон
G1041	βωμός	altar	жертвенник
G1042	Γαββαθᾶ	Gabbatha	Гаввафа
G1043	Γαβριήλ	Gabriel	Гавриил
G1044	γάγγραινα	gangrene	гангрена
G1045	Γάδ	Gad	Гад
G1046	Γαδαρηνός	Gadara	гадаринский
G1047	γάζα	treasury	казна
G1048	Γάζα	Gaza	Газа
G1049	γαζοφυλάκιον	treasury	сокровищница
G0105	ἀετός	eagle	орёл
G1050	Γάϊος	Gaius	Гаий
G1051	γάλα	milk	молоко
G1052	Γαλάτης	Galatian	галат
G1053	Γαλατία	Galatia	Галатия
G1054	Γαλατικός	Galatia	галатийский
G1055	γαλήνη	calm	штиль
G1056	Γαλιλαία	Galilee	Галилея
G1057	Γαλιλαῖος	Galilean	галилеянин
G1058	Γαλλίων	Gallio	Галлион
G1059	Γαμαλιήλ	Gamaliel	Гамалиил
G1060	γαμέω	marry	жениться
G1061	γαμίζω	give in marriage	выдавать замуж
G1062	γάμος	wedding	брак
G1063	γάρ	for	ибо
G1064	γαστήρ	belly	чрево
G1065	γέ	indeed	же
G1066	Γεδεών	Gideon	Гедеон
G1067	Γέεννα	hell	геенна
G1068	Γεθσημανεί	Gethsemane	Гефсимания
G1069	γείτων	neighbour	сосед
G0107	Ἀζώρ	Azor	Азор
G1070	γελάω	laugh	смеяться
G1071	γέλως	laughter	смех
G1072	γεμίζω	fill	наполнять
G1073	γέμω	be full	быть полным
G1074	γενεά	generation	поколение
G1075	γενεαλογέω	trace genealogy	возводить родословную
G1076	γενεαλογία	genealogy	родословная
G1077	γενέσια	birthday	день рождения
G1078	γένεσις	origin	происхождение
G1079	γενετή	birth	рождение
G0108	Ἄζωτος	Azotus	Азот
G1080	γεννάω	beget	рождать
G1081	γένημα	offspring	плод
G1082	Γεννησαρέτ	Gennesaret	Геннисарет
G1083		birth	рождение
G1084	γεννητός	born	рождённый
G1085	γένος	family	род
G1086		Gerasene	гераса
G1087	γερουσία	council of elders	совет старейшин
G1088	γέρων	old man	старик
G1089	γεύομαι	taste	вкушать
G0109	ἀήρ	air	воздух
G1090	γεωργέω	farm	возделывать
G1091	γεώργιον	farm field	поле
G1092	γεωργός	farmer	земледелец
G1093	γῆ	earth	земля
G1094	γῆρας	old age	старость
G1095	γηράσκω	grow old	стареть
G1096	γίνομαι	be	становиться
G1097	γινώσκω	know	знать
G1098	γλεῦκος	sweet wine	молодое вино
G1099	γλυκύς	sweet	сладкий
G0011	Ἀβραάμ	Abraham	Авраам
G0110	ἀθανασία	immortality	бессмертие
G1100	γλῶσσα	tongue	язык
G1101	γλωσσόκομον	moneybag	кошелёк
G1102	γναφεύς	one who bleaches	белильщик
G1103	γνήσιος	genuine	подлинный
G1104	γνησίως	genuinely	подлинно
