hebrew_strong	greek_strong	count
H0001	G3962	358
H0001	G3965	42
H0001	G3624	30
H0001	G1510	22
H0006	G0622	36
H0006	G0684	4
H0006	G0765	4
H0006	G2962	3
H0014	G2309	9
H0014	G1014	5
H0014	G2962	4
H0024	G3501	3
H0026	G1135	6
H0027	G0958	3
H0029	G0007	7
H0030	G0010	6
H0030	G1648	3
H0033	G3962	4
H0034	G4434	6
H0034	G0080	3
H0040	G2036	7
H0040	G4198	5
H0040	G1510	3
H0041	G0284	3
H0044	G5207	3
H0048	G5207	3
H0050	G5207	3
H0052	G0080	6
H0052	G5207	3
H0053	G2036	9
H0053	G0935	7
H0053	G3956	5
H0053	G0649	4
H0054	G0008	4
H0054	G2409	4
H0054	G1510	3
H0056	G3996	10
H0056	G2992	3
H0056	G1093	3
H0060	G3997	3
H0062	G3508	6
H0068	G3037	49
H0068	G2962	8
H0068	G1510	7
H0068	G1325	6
H0074	G5207	5
H0074	G1138	4
H0074	G2036	4
H0074	G1515	3
H0085	G0011	47
H0085	G2036	10
H0085	G2316	7
H0085	G2464	6
H0087	G2036	5
H0087	G1510	4
H0087	G3004	3
H0087	G0028	3
H0107	G1992	3
H0113	G2962	85
H0113	G0935	25
H0113	G2036	6
H0113	G5207	6
H0116	G0935	8
H0116	G1158	7
H0119	G1192	3
H0120	G0444	132
H0120	G5207	47
H0120	G2934	16
H0120	G3956	12
H0123	G2401	12
H0123	G1093	6
H0123	G1510	5
H0123	G3004	3
H0127	G1093	59
H0127	G3962	9
H0127	G2474	9
H0127	G1510	7
H0134	G0939	7
H0134	G4769	5
H0134	G2945	5
H0134	G5140	3
H0136	G2962	196
H0136	G2316	18
H0136	G2036	7
H0136	G1203	6
H0140	G5207	3
H0155	G3374	4
H0157	G0025	42
H0157	G2962	9
H0157	G3956	8
H0157	G5368	4
H0160	G0025	4
H0160	G0026	4
H0162	G2036	4
H0168	G4633	63
H0168	G3142	55
H0168	G4638	15
H0168	G3624	11
H0173	G2232	3
H0175	G0002	102
H0175	G5207	28
H0175	G3475	19
H0175	G3004	14
H0176	G3956	11
H0176	G1192	11
H0176	G1510	8
H0176	G0444	7
H0183	G1937	7
H0191	G0878	5
H0194	G0622	4
H0194	G1510	3
H0197	G4083	5
H0197	G4439	4
H0197	G4383	3
H0197	G3485	3
H0198	G5207	3
H0200	G0878	4
H0200	G0877	3
H0205	G4192	3
H0205	G0458	3
H0205	G2962	3
H0205	G3152	3
H0208	G5207	3
H0212	G5164	11
H0212	G2192	3
H0214	G2344	20
H0214	G3956	5
H0214	G3624	5
H0214	G2962	3
H0215	G5461	3
H0216	G5457	34
H0216	G2316	3
H0216	G4655	3
H0216	G2962	3
H0223	G3774	11
H0223	G1138	3
H0223	G1135	3
H0226	G4592	20
H0226	G1510	4
H0226	G2316	3
H0226	G2962	3
H0227	G1510	5
