# LXX-only Greek lexemes (no Strong's number) grouped by wordid (validated per-lemma
# key, see lxx/parse.py) into a citation form + all attested inflected variants, with
# per-variant occurrence count + a sample verse ref. citation_confidence=standard means
# the chosen form is on a fixed priority list of lexicon-headword-shaped forms (nom.
# singular for nouns/adjectives; for verbs, present/aorist indicative or infinitive,
# preferring active + 1st singular, even if not literally the ideal PAI1S); fallback
# means nothing on that list was attested and the most frequent form was used regardless
# of shape — worth a lexicographer's eye before treating as a final headword.
# CATSS-derived (non-commercial) — see shoresh/legal/CATSS-user-declaration.md.
# See shoresh/lxx/build_orphan_lexemes.py.
wordid	citation_form	citation_morph	pos	citation_confidence	variant_surface	variant_plain	variant_morph	count	sample_ref
700003	Ααλαφ	N.AS	N	fallback	Ααλαφ	Ααλαφ	N.AS	1	JDG 1:31
700004	Ααρα	N.ASM	N	fallback	Ααρα	Ααρα	N.ASM	1	1CH 8:1
700006	Ααρωνίδης	N.NSM	N	standard	Ααρωνίδης	Ααρωνιδης	N.NSM	1	4MA 7:12
700007	Αβαδια	N.NSM	N	standard	Αβαδια	Αβαδια	N.NSM	1	EZR 8:9
700008	Αβαδιας	N.NSM	N	standard	Αβαδιας	Αβαδιας	N.NSM	1	1ES 8:35
700009	Αβαδων	N.NSM	N	standard	Αβαδων	Αβαδων	N.GSM	2	1CH 8:30
700009	Αβαδων	N.NSM	N	standard	Αβαδων	Αβαδων	N.NSM	1	1CH 8:23
700010	Αβαιαν	N.GSF	N	fallback	Αβαιαν	Αβαιαν	N.GSF	1	2CH 11:18
700011	Αβαισαν	N.NSM	N	standard	Αβαισαν	Αβαισαν	N.NSM	2	JDG 12:8
700012	αβακ	N.GSM	N	fallback	αβακ	αβακ	N.GSM	1	1CH 4:21
700013	Αβαλ	N.GSM	N	fallback	Αβαλ	Αβαλ	N.GSM	1	BEL 1:2
700014	Αβαμα	N.NS	N	standard	Αβαμα	Αβαμα	N.NS	1	EZK 20:29
700014	Αβαμα	N.NS	N	standard	Αβαμα	Αβαμα	N.AS	1	EZK 20:29
700015	Αβανα	N.NSF	N	standard	Αβανα	Αβανα	N.NSF	1	2KI 5:12
700016	Αβαρ	N.NSM	N	standard	Αβαρ	Αβαρ	N.NSM	1	1CH 8:17
700017	Αβαραν	N.ASF	N	fallback	Αβαραν	Αβαραν	N.ASF	1	1CH 6:59
700018	Αβαριμ	N.GSM	N	fallback	Αβαριμ	Αβαριμ	N.GSM	2	NUM 33:47
700019	Αβαριν	N.GSM	N	fallback	Αβαριν	Αβαριν	N.GSM	1	DEU 32:49
700020	αβαρκηνιν	N.DPF	N	fallback	αβαρκηνιν	αβαρκηνιν	N.DPF	1	JDG 8:7
700021	ἀβασίλευτόν	A.NSN	A	standard	ἀβασίλευτόν	αβασιλευτον	A.NSN	1	PRO 30:27
700022	Αβαταζα	N.DSM	N	fallback	Αβαταζα	Αβαταζα	N.DSM	1	EST 1:10
700023	ἄβατος	A.NSM	A	standard	ἄβατον	αβατον	A.ASM	14	3MA 5:43
700023	ἄβατος	A.NSM	A	standard	ἄβατος	αβατος	A.NSM	4	EST 8:12
700023	ἄβατος	A.NSM	A	standard	ἄβατον	αβατον	A.ASF	3	LEV 16:22
700023	ἄβατος	A.NSM	A	standard	ἀβάτῳ	αβατω	A.DSF	2	PSA 62:2
700023	ἄβατος	A.NSM	A	standard	ἀβάτῳ	αβατω	A.DSM	1	PSA 106:40
700023	ἄβατος	A.NSM	A	standard	ἀβάτους	αβατους	A.APF	1	WIS 5:7
700023	ἄβατος	A.NSM	A	standard	ἀβάτοις	αβατοις	A.DPN	1	WIS 11:2
700023	ἄβατος	A.NSM	A	standard	ἄβατος	αβατος	A.NSF	1	JER 28:43
700023	ἄβατος	A.NSM	A	standard	ἄβατός	αβατος	A.NSM	1	JER 39:43
700024	ἀβατωθῇ	V.APS3S	V	fallback	ἀβατωθῇ	αβατωθη	V.APS3S	1	JER 30:14
700026	Αβδεδομ	N.NSM	N	standard	Αβδεδομ	Αβδεδομ	N.NSM	6	1CH 15:18
700026	Αβδεδομ	N.NSM	N	standard	Αβδεδομ	Αβδεδομ	N.DSM	4	1CH 26:4
700026	Αβδεδομ	N.NSM	N	standard	Αβδεδομ	Αβδεδομ	N.GSM	2	1CH 15:25
700027	Αβδεμελεχ	N.NSM	N	standard	Αβδεμελεχ	Αβδεμελεχ	N.NSM	2	JER 45:7
700027	Αβδεμελεχ	N.NSM	N	standard	Αβδεμελεχ	Αβδεμελεχ	N.DSM	1	JER 45:10
700027	Αβδεμελεχ	N.NSM	N	standard	Αβδεμελεχ	Αβδεμελεχ	N.ASM	1	JER 46:16
700028	Αβδεναγω	N.NSM	N	standard	Αβδεναγω	Αβδεναγω	N.ASM	4	DAN 1:7
700028	Αβδεναγω	N.NSM	N	standard	Αβδεναγω	Αβδεναγω	N.NSM	3	DAN 3:12
700028	Αβδεναγω	N.NSM	N	standard	Αβδεναγω	Αβδεναγω	N.GSM	2	DAN 3:95
700028	Αβδεναγω	N.NSM	N	standard	Αβδεναγω	Αβδεναγω	N.VSM	1	DAN 3:14
700028	Αβδεναγω	N.NSM	N	standard	Αβδεναγω	Αβδεναγω	N.DSM	1	DAN 3:97
700029	Αβδησελμα	N.GSM	N	fallback	Αβδησελμα	Αβδησελμα	N.GSM	2	EZR 2:55
700030	Αβδι	N.NSM	N	standard	Αβδι	Αβδι	N.GSM	2	1CH 6:29
700030	Αβδι	N.NSM	N	standard	Αβδι	Αβδι	N.NSM	1	1CH 24:27
700031	Αβδια	N.NSM	N	standard	Αβδια	Αβδια	N.NSM	7	1CH 3:21
700031	Αβδια	N.NSM	N	standard	Αβδιαν	Αβδιαν	N.ASM	1	2CH 17:7
700032	Αβδιας	N.NSM	N	standard	Αβδιας	Αβδιας	N.NSM	1	2CH 34:12
700032	Αβδιας	N.NSM	N	standard	Αβδιου	Αβδιου	N.GSM	1	OBA 1:1
700033	Αβδιηλ	N.GSM	N	fallback	Αβδιηλ	Αβδιηλ	N.GSM	1	1CH 5:15
700034	Αβδιου	N.NSM	N	standard	Αβδιου	Αβδιου	N.NSM	7	1KI 18:3
700034	Αβδιου	N.NSM	N	standard	Αβδιου	Αβδιου	N.GSM	2	1KI 18:3
700034	Αβδιου	N.NSM	N	standard	Αβδιου	Αβδιου	N.ASM	1	1KI 18:5
700035	Αβδων	N.NSM	N	standard	Αβδων	Αβδων	N.NSM	2	JDG 12:13
700035	Αβδων	N.NSM	N	standard	Αβδων	Αβδων	N.DSM	1	2CH 34:20
700036	Αβεδ	N.NSM	N	standard	Αβεδ	Αβεδ	N.NSM	1	NEH 12:20
700037	Αβεδδαρα	N.GS	N	fallback	Αβεδδαρα	Αβεδδαρα	N.GS	5	2SA 6:10
700037	Αβεδδαρα	N.GS	N	fallback	Αβεδδαρα	Αβεδδαρα	N.GSM	2	1CH 13:13
700038	Αβεδδαραμ	N.ASM	N	fallback	Αβεδδαραμ	Αβεδδαραμ	N.ASM	1	1CH 13:14
700039	αβεδηριν	N.ASM	N	fallback	αβεδηριν	αβεδηριν	N.ASM	1	1CH 4:22
700041	Αβελβαιθαμααχα	N.ASF	N	fallback	Αβελβαιθαμααχα	Αβελβαιθαμααχα	N.ASF	1	2KI 15:29
700042	Αβελμαα	N.ASF	N	fallback	Αβελμαα	Αβελμαα	N.ASF	1	1KI 15:20
700043	Αβελμαιν	N.ASF	N	fallback	Αβελμαιν	Αβελμαιν	N.ASF	1	2CH 16:4
700044	Αβελμαουλα	N.GS	N	fallback	Αβελμαουλα	Αβελμαουλα	N.GS	1	1KI 19:16
