# multi-word expressions (M1): target phrase -> original lexeme(s); lang=arb; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
أبواق الهتاف	H7782	hbo:7782	fertility	1.0	3	eflomal
أبواق ٱلهتاف	H7782	hbo:7782	fertility	1.0	2	eflomal
أتستطيعان تشربا	G4095	grc:4095	fertility	1.0	2	eflomal
أجئت مسالما	H7965	hbo:7965	fertility	1.0	2	eflomal
أحدا لم	G3762	grc:3762	fertility	1.0	2	eflomal
أحضر رئيس	H5387	hbo:5387	fertility	1.0	10	eflomal
أحمالا عسرة	G5413	grc:5413	fertility	1.0	2	eflomal
أحمر وياقوت	H6357	hbo:6357	fertility	1.0	2	eflomal
أخطأ سهوا	H2398	hbo:2398	fertility	1.0	2	eflomal
أدار نظره	G4017	grc:4017	fertility	1.0	4	eflomal;gloss
أدوني بازق	H0137	hbo:0137	fertility	1.0	10	eflomal;gloss
أدوني صادق	H0139	hbo:0139	fertility	1.0	8	eflomal;gloss
أذرع أمتار	H0520	hbo:0520	fertility	1.0	3	eflomal
أذرع المتر	H0520	hbo:0520	fertility	1.0	2	eflomal
أذرع خمسة أمتار	H0520	hbo:0520	fertility	1.0	3	eflomal
أذرع متر	H0520	hbo:0520	fertility	1.0	2	eflomal
أذرع مترين	H0520	hbo:0520	fertility	1.0	8	eflomal
أذرع مترين المتر	H0520	hbo:0520	fertility	1.0	9	eflomal
أذرع نحو	H0520	hbo:0520	fertility	1.0	3	eflomal
أذرع نحو مترين	H0520	hbo:0520	fertility	1.0	2	eflomal
أرام دمشق	H0758	hbo:0758b	fertility	1.0	2	eflomal
أرام ٱلنهرين	H0763	hbo:0763	fertility	1.0	2	eflomal
أربع سنة	G2094	grc:2094	fertility	1.0	2	eflomal
أربع عشرة	G1180	grc:1180	fertility	1.0	4	eflomal;gloss
أربع مئة	G5071	grc:5071	fertility	1.0	4	eflomal;gloss
أربعة آلاف	G5070	grc:5070	fertility	1.0	10	eflomal;gloss
أربعة عشر	G1074	grc:1074	fertility	1.0	6	eflomal;gloss
أرض صخرية التربة	G4075	grc:4075	fertility	1.0	2	eflomal
أرطاميس أهل	G0735	grc:735	fertility	1.0	2	eflomal
أريوس باغوس	G0697	grc:697	fertility	1.0	4	eflomal;gloss
أزرق لتثبت	H8504	hbo:8504	fertility	1.0	2	eflomal
أزوجه عكسة	H5915	hbo:5915	fertility	1.0	2	eflomal
أسألك سؤالا	H7596	hbo:7596	fertility	1.0	4	eflomal;gloss
أسلم ٱلروح	H1478	hbo:1478	fertility	1.0	3	eflomal
أسلموه حسدا	G5355	grc:5355	fertility	1.0	2	gloss
أشجار ٱلبكا	H1057	hbo:1057	fertility	1.0	8	eflomal;gloss
أصناف الطيور	H6833	hbo:6833	fertility	1.0	4	eflomal;gloss
أطعمة شهية	H4303	hbo:4303	fertility	1.0	4	eflomal;gloss
أطلب منك	G1263	grc:1263	fertility	1.0	4	eflomal;gloss
أطلت ميكال	H4324	hbo:4324	fertility	1.0	2	eflomal
أعدوا أعدوا	H5549	hbo:5549	fertility	1.0	4	eflomal;gloss
أعشار الإيفة	H6241	hbo:6241	fertility	1.0	5	eflomal;gloss
أعماق الظلام	G2217	grc:2217	fertility	1.0	2	eflomal
أعود تذكر	G3403	grc:3403	fertility	1.0	2	eflomal
أفخر لباس	H4358	hbo:4358	fertility	1.0	4	eflomal;gloss
أفعالك المقتدرة	H1369	hbo:1369	fertility	1.0	2	eflomal
أقصبة الرياح	G0417	grc:417	fertility	1.0	2	eflomal
ألياساف دعوئيل	H0460	hbo:0460	fertility	1.0	4	eflomal
أماكن الصدارة	G4411	grc:4411	fertility	1.0	2	eflomal
أنبياء كذبة	G5578	grc:5578	fertility	1.0	3	eflomal
أنتم عصافير	G4765	grc:4765	fertility	1.0	2	eflomal
أنزلت البلاء	H6031	hbo:6031	fertility	1.0	2	eflomal
أوائل الشهور	H2320	hbo:2320	fertility	1.0	2	eflomal
أوفي نذوري	H5088	hbo:5088	fertility	1.0	4	eflomal
