# multi-word expressions (M1): target phrase -> original lexeme(s); lang=eng; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
a loud voice	G5456	grc:5456	fertility	1.0	2	eflomal
abel beth maachah	H0062	hbo:0062	fertility	1.0	5	eflomal;gloss
abel maacah	H0062	hbo:0062	fertility	1.0	2	eflomal
abel meholah	H0065	hbo:0065	fertility	1.0	12	eflomal;gloss
able teach	G1317	grc:1317	fertility	1.0	2	eflomal
acacia wood	H7848	hbo:7848	fertility	1.0	46	eflomal;gloss
accordance word	H1697	hbo:1697	fertility	1.0	2	eflomal
according genealogies	H8435	hbo:8435	fertility	1.0	3	eflomal
according kinds	H4327	hbo:4327	fertility	1.0	7	eflomal
according records	H8435	hbo:8435	fertility	1.0	14	eflomal
account when	H8435	hbo:8435	fertility	1.0	2	eflomal
across jericho	H3405	hbo:3405	fertility	1.0	7	eflomal
act as priest	H3547	hbo:3547	fertility	1.0	10	eflomal;gloss
acted foolishly	H5528	hbo:5528	fertility	1.0	6	eflomal;gloss
acted proudly	H2102	hbo:2102	fertility	1.0	8	eflomal;gloss
acted wisely	H7919	hbo:7919	fertility	1.0	10	eflomal;gloss
acting as priests	H3547	hbo:3547	fertility	1.0	4	eflomal;gloss
acting wisely	H7919	hbo:7919	fertility	1.0	9	eflomal;gloss
acts judgment	H8201	hbo:8201	fertility	1.0	2	eflomal
acute sayings	H2420	hbo:2420	fertility	1.0	6	eflomal;gloss
adan executioners	H2876	hbo:2876	fertility	1.0	3	eflomal
added unto	G4369	grc:4369	fertility	1.0	2	eflomal
additional rings	H2885	hbo:2885	fertility	1.0	2	eflomal
administrator shebna	H7644	hbo:7644	fertility	1.0	5	eflomal
adoni bezek	H0137	hbo:0137	fertility	1.0	8	eflomal;gloss
adoni zedek	H0139	hbo:0139	fertility	1.0	8	eflomal;gloss
adoption sons	G5206	grc:5206	fertility	1.0	3	eflomal
after kind	H4327	hbo:4327	fertility	1.0	3	eflomal
again again	H7925	hbo:7925	fertility	1.0	10	eflomal
against thee	G2649	grc:2649	fertility	1.0	3	gloss
aged wine	H8105	hbo:8105	fertility	1.0	2	eflomal
ahava canal	H0163	hbo:0163	fertility	1.0	2	eflomal
alabaster box	G0211	grc:211	fertility	1.0	8	eflomal;gloss
alabaster expensive perfume	G3464	grc:3464	fertility	1.0	2	eflomal
allowance allowance	H0737	hbo:0737	fertility	1.0	2	eflomal
almon diblathaim	H5963	hbo:5963	fertility	1.0	8	eflomal;gloss
almond tree	H8247	hbo:8247	fertility	1.0	4	eflomal
altar hearth	H0741	hbo:0741	fertility	1.0	2	eflomal
amaziah dismissed	H0558	hbo:0558a	fertility	1.0	2	eflomal
amid war	H8643	hbo:8643	fertility	1.0	4	eflomal;gloss
ammonite official	H5984	hbo:5984	fertility	1.0	2	eflomal
amount money	H3701	hbo:3701	fertility	1.0	2	eflomal
an ephah	H0374,H6241	hbo:0374,hbo:6241	phrasal	1.0	39	eflomal
an evil account	H1681	hbo:1681	fertility	1.0	5	eflomal;gloss
an evil report	H1681	hbo:1681	fertility	1.0	2	eflomal
anger burn	H0639	hbo:0639	fertility	1.0	2	eflomal
animals sexual immorality	G4202	grc:4202	fertility	1.0	2	eflomal
anointed with	G0218	grc:218	fertility	1.0	2	eflomal
another appeared	H0317	hbo:0317	fertility	1.0	2	eflomal
another every	G3037	grc:3037	fertility	1.0	6	eflomal;gloss
another s	G0245	grc:245	fertility	1.0	3	eflomal
answered prayers	H6279	hbo:6279	fertility	1.0	3	eflomal
any regular work	H4399	hbo:4399	fertility	1.0	7	eflomal
anything without	G3367	grc:3367	fertility	1.0	2	eflomal
appointed season	H4150	hbo:4150	fertility	1.0	8	eflomal
appointed seasons	H4150	hbo:4150	fertility	1.0	14	eflomal
appointed time	H4150	hbo:4150	fertility	1.0	23	eflomal
appointed times	H4150	hbo:4150	fertility	1.0	2	eflomal
aram naharaim	H0763	hbo:0763	fertility	1.0	7	eflomal;gloss
armed swords	G3162	grc:3162	fertility	1.0	2	eflomal
armed troops	H2502	hbo:2502a	fertility	1.0	3	eflomal
around long robes	G4749	grc:4749	fertility	1.0	2	eflomal
around neck	H1621	hbo:1621	fertility	1.0	2	eflomal
around waists	H4975	hbo:4975	fertility	1.0	3	eflomal
arrogance testifies	H1347	hbo:1347	fertility	1.0	4	eflomal;gloss
articles beyond	H3627	hbo:3627	fertility	1.0	2	eflomal
asherah pole	H0842	hbo:0842	fertility	1.0	12	eflomal
asherah poles	H0842	hbo:0842	fertility	1.0	18	eflomal
astray while	H7847	hbo:7847	fertility	1.0	2	eflomal
at sun rising	H4217	hbo:4217	fertility	1.0	3	eflomal
ataroth addar	H5853	hbo:5853	fertility	1.0	4	eflomal;gloss
atonement made	H3722	hbo:3722	fertility	1.0	4	eflomal
atoning sacrifice	G2434	grc:2434	fertility	1.0	4	eflomal;gloss
