# multi-word expressions (M1): target phrase -> original lexeme(s); lang=hau; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
abel bet	H0062	hbo:0062	fertility	1.0	6	eflomal;gloss
abel mehola	H0065	hbo:0065	fertility	1.0	6	eflomal;gloss
abin kyau	H2896	hbo:2896	fertility	1.0	2	eflomal
abin so	H2656	hbo:2656	fertility	1.0	3	eflomal
abin ƙyama	H8441,H2189	hbo:8441,hbo:2189	phrasal	1.0	29	eflomal;gloss
abinci daɗi	H4303	hbo:4303	fertility	1.0	4	eflomal
abincin dabbobi	H4554	hbo:4554	fertility	1.0	4	eflomal;gloss
abokaina ƙaunatattu	G0027	grc:27	fertility	1.0	17	eflomal
abokan aikina	G4904	grc:4904	fertility	1.0	8	eflomal;gloss
abokan gābanka	G2190	grc:2190	fertility	1.0	5	eflomal
abokan gābanta	H0341	hbo:0341	fertility	1.0	4	eflomal
abokin aikina	G4904	grc:4904	fertility	1.0	5	eflomal;gloss
abokin aikinmu	G4904	grc:4904	fertility	1.0	4	eflomal;gloss
abokin bautarsa	G4889	grc:4889	fertility	1.0	2	eflomal
abokin gābanka	G2190	grc:2190	fertility	1.0	2	eflomal
abokin gābanmu	H0341	hbo:0341	fertility	1.0	2	gloss
abokina ƙaunatacce	G0027	grc:27	fertility	1.0	6	eflomal;gloss
abubuwa banmamaki	H6381	hbo:6381	fertility	1.0	2	eflomal
abubuwa banƙyama	H8441	hbo:8441	fertility	1.0	7	eflomal
abubuwa yawa	G4183	grc:4183	fertility	1.0	3	eflomal
abubuwa ƙyama	H8441	hbo:8441	fertility	1.0	2	eflomal
abubuwan banmamakin	G4592	grc:4592	fertility	1.0	4	gloss
abubuwan banƙyama	H8441	hbo:8441	fertility	1.0	6	eflomal
abubuwan banƙyaman	H8441	hbo:8441	fertility	1.0	4	eflomal;gloss
abubuwan banƙyamar	H8441	hbo:8441	fertility	1.0	8	eflomal;gloss
abubuwan mamakin	H6381	hbo:6381	fertility	1.0	2	eflomal
adalci masu	H6662	hbo:6662	fertility	1.0	2	eflomal
addu o i	G1162	grc:1162	fertility	1.0	2	eflomal
adoni bezek	H0137	hbo:0137	fertility	1.0	2	eflomal
adoni zedek	H0139	hbo:0139	fertility	1.0	4	eflomal;gloss
afisa jirgin ruwa	G2181	grc:2181	fertility	1.0	2	eflomal
aika jakadu	H7971	hbo:7971	fertility	1.0	2	eflomal
aika ruwan sama	H4306	hbo:4306	fertility	1.0	2	eflomal
aika saƙo	H7971	hbo:7971	fertility	1.0	14	eflomal
aikata gaskiya	H3477	hbo:3477	fertility	1.0	18	eflomal
aikatan gadin	G4755	grc:4755	fertility	1.0	2	eflomal
aikatan haikali	H5411	hbo:5411	fertility	1.0	12	eflomal;gloss
aiki haikali	H5411	hbo:5411	fertility	1.0	3	eflomal
aiki manzanni	H7971	hbo:7971	fertility	1.0	3	eflomal
aikin dole	H4522	hbo:4522	fertility	1.0	9	eflomal;gloss
aikin fatu	G1038	grc:1038	fertility	1.0	6	eflomal;gloss
aikin gandu	H4522	hbo:4522	fertility	1.0	17	eflomal;gloss
aiko jakadu	H7971	hbo:7971	fertility	1.0	2	eflomal
ainihin surar	G3444	grc:3444	fertility	1.0	2	eflomal
ajiyar dukiya	G2344	grc:2344	fertility	1.0	2	eflomal
ajiye fitila	G3087	grc:3087	fertility	1.0	4	eflomal
ajiye fitilan	H4501	hbo:4501	fertility	1.0	2	eflomal
aka rina ja	H0119	hbo:0119	fertility	1.0	5	eflomal
akan shuka	G4687	grc:4687	fertility	1.0	5	eflomal
ake karɓar haraji	G5058	grc:5058	fertility	1.0	6	eflomal;gloss
al ummai	G1672,G1484	grc:1672,grc:1484	phrasal	1.0	108	eflomal;gloss
al ummai al	G1484	grc:1484	fertility	1.0	2	eflomal
aladun garken	G5519	grc:5519	fertility	1.0	3	eflomal
alama banmamaki	G4592	grc:4592	fertility	1.0	2	eflomal
alhakin jini	H1818	hbo:1818	fertility	1.0	3	eflomal
alhakin jininka	H1818	hbo:1818	fertility	1.0	2	eflomal
alheri ne	H2587	hbo:2587	fertility	1.0	2	eflomal
alheri tausayi	H2587	hbo:2587	fertility	1.0	2	eflomal
aljanun roƙi	G3870	grc:3870	fertility	1.0	2	eflomal
alkawari ilawa	H1285	hbo:1285	fertility	1.0	2	eflomal
allolin ƙarya	H8267	hbo:8267	fertility	1.0	2	eflomal
alluna na	H3871	hbo:3871	fertility	1.0	5	eflomal
almon dibilatayim	H5963	hbo:5963	fertility	1.0	4	eflomal;gloss
amfanin gona	H8393	hbo:8393	fertility	1.0	2	eflomal
amintacciyar birni	H7151	hbo:7151	fertility	1.0	2	eflomal
anamawa lehabiyawa	H3853	hbo:3853	fertility	1.0	4	eflomal;gloss
