# multi-word expressions (M1): target phrase -> original lexeme(s); lang=ind; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
abel mehola	H0065	hbo:0065	fertility	1.0	4	eflomal;gloss
abida eldaa	H0028	hbo:0028	fertility	1.0	2	eflomal
abimael seba	H7614	hbo:7614	fertility	1.0	2	eflomal
absalom absalom	H0053	hbo:0053	fertility	1.0	2	eflomal
acara perkabungan	H0060	hbo:0060	fertility	1.0	4	eflomal;gloss
adakanlah sensus	H6485	hbo:6485	fertility	1.0	3	eflomal
adalah keturunan	H1121	hbo:1121	fertility	1.0	5	eflomal
adat istiadat	G1485	grc:1485	fertility	1.0	8	eflomal;gloss
adat istiadat nenek moyang	G3862	grc:3862	fertility	1.0	5	eflomal
adat sunat	G4061	grc:4061	fertility	1.0	2	eflomal
adbeel mibsam	H4017	hbo:4017	fertility	1.0	2	eflomal
adik perempuan	H0269	hbo:0269	fertility	1.0	4	eflomal
adik perempuanmu	H0269	hbo:0269	fertility	1.0	2	eflomal
adik perempuannya	G0079	grc:79	fertility	1.0	2	eflomal
adma zeboim	H6636	hbo:6636	fertility	1.0	2	eflomal
adoni zedek	H0139	hbo:0139	fertility	1.0	4	eflomal;gloss
ahilud menjabat	H0286	hbo:0286	fertility	1.0	6	eflomal;gloss
ahinoam yisreel	H0293	hbo:0293	fertility	1.0	3	eflomal
ahli sihir	H2748	hbo:2748	fertility	1.0	7	eflomal;gloss
air anggur baru	H8492	hbo:8492	fertility	1.0	2	eflomal
air anggur minyak	H8492	hbo:8492	fertility	1.0	2	eflomal
air banjir keluar	H4325	hbo:4325	fertility	1.0	2	eflomal
akan berkata	G2046	grc:2046	fertility	1.0	2	eflomal
akan dibakar	H3341	hbo:3341	fertility	1.0	2	gloss
akan dipermalukan	H0954	hbo:0954	fertility	1.0	2	eflomal
akan hidup	H7931	hbo:7931	fertility	1.0	2	eflomal
akan malu	H0954	hbo:0954	fertility	1.0	3	eflomal
akan mati	G0622	grc:622	fertility	1.0	2	eflomal
akan peperangan	H2719	hbo:2719	fertility	1.0	2	eflomal
akan perang	H2719	hbo:2719	fertility	1.0	2	eflomal
aku sang anak	G5207	grc:5207	fertility	1.0	38	eflomal
