# multi-word expressions (M1): target phrase -> original lexeme(s); lang=spa; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
abel maachâ	H0062	hbo:0062	fertility	1.0	3	eflomal
abel mehola	H0065	hbo:0065	fertility	1.0	4	eflomal;gloss
abraham abraham	H0085	hbo:0085	fertility	1.0	2	eflomal
acción gracias	G2169	grc:2169	fertility	1.0	2	eflomal
aconsejáis responda	H3289	hbo:3289	fertility	1.0	2	eflomal
adoni bezec	H0137	hbo:0137	fertility	1.0	6	eflomal;gloss
alcanzado misericordia	G1653	grc:1653	fertility	1.0	3	eflomal
alegres nuevas	H1319	hbo:1319	fertility	1.0	2	eflomal
allanad allanad	H5549	hbo:5549	fertility	1.0	4	eflomal;gloss
almon diblathaim	H5963	hbo:5963	fertility	1.0	4	eflomal;gloss
alzaron grita	H7321	hbo:7321	fertility	1.0	2	eflomal
amador heridor	G3943	grc:3943	fertility	1.0	2	eflomal
amor fraternal	G5360	grc:5360	fertility	1.0	6	eflomal;gloss
animales engordados	H4806	hbo:4806	fertility	1.0	3	eflomal
antes de	H6440	hbo:6440	fertility	1.0	2	eflomal
anunciando evangelio	G2097	grc:2097	fertility	1.0	5	eflomal
anunciare evangelio	G2097	grc:2097	fertility	1.0	2	eflomal
apartaos apartaos	H5493	hbo:5493	fertility	1.0	2	eflomal
aposento alto	G5253	grc:5253	fertility	1.0	4	eflomal;gloss
arco celeste	G2463	grc:2463	fertility	1.0	4	eflomal;gloss
asentado campo	H2583	hbo:2583	fertility	1.0	3	eflomal
asentaron campo	H2583	hbo:2583	fertility	1.0	21	eflomal
asentó campo	H2583	hbo:2583	fertility	1.0	5	eflomal
asno montés	H6501	hbo:6501	fertility	1.0	6	eflomal;gloss
ataroth addar	H5853	hbo:5853	fertility	1.0	4	eflomal;gloss
baal berith	H1170	hbo:1170	fertility	1.0	4	eflomal;gloss
baal gad	H1171	hbo:1171	fertility	1.0	6	eflomal;gloss
baal hanán	H1177	hbo:1177	fertility	1.0	2	eflomal
baal hermón	H1179	hbo:1179	fertility	1.0	4	eflomal;gloss
baal meón	H1186	hbo:1186	fertility	1.0	6	eflomal;gloss
baal peor	H1187	hbo:1187	fertility	1.0	12	eflomal;gloss
baal perasim	H1188	hbo:1188	fertility	1.0	8	eflomal;gloss
baal zebub	H1176	hbo:1176	fertility	1.0	8	eflomal;gloss
barro cocido	H2635	hbo:2635	fertility	1.0	10	eflomal;gloss
bath sheba	H1339	hbo:1339	fertility	1.0	20	eflomal;gloss
beer seba	H0884	hbo:0884	fertility	1.0	55	eflomal;gloss
beer sebah	H0884	hbo:0884	fertility	1.0	6	eflomal;gloss
bene jaacán	H1142	hbo:1142	fertility	1.0	4	eflomal;gloss
bestias monteses	H6728	hbo:6728a	fertility	1.0	2	eflomal
beth aven	H1007	hbo:1007	fertility	1.0	12	eflomal;gloss
beth jesimoth	H1020	hbo:1020	fertility	1.0	8	eflomal;gloss
beth oron	H1032	hbo:1032	fertility	1.0	26	eflomal;gloss
beth peor	H1047	hbo:1047	fertility	1.0	6	eflomal;gloss
beth san	H1052	hbo:1052	fertility	1.0	7	eflomal
beth semes	H1053	hbo:1053	fertility	1.0	19	eflomal
buena gana	G2236	grc:2236	fertility	1.0	4	eflomal;gloss
buena voluntad	G2107	grc:2107	fertility	1.0	3	eflomal
cabras monteses	H3277	hbo:3277	fertility	1.0	4	eflomal;gloss
cachorro león	H3715	hbo:3715	fertility	1.0	2	eflomal
cada de	G1538	grc:1538	fertility	1.0	8	eflomal
cades barnea	H6947	hbo:6947	fertility	1.0	20	eflomal;gloss
caminaba derecho	H5676	hbo:5676	fertility	1.0	3	eflomal
campo fértil	H3759	hbo:3759	fertility	1.0	4	eflomal;gloss
campo labrado	H3759	hbo:3759	fertility	1.0	6	eflomal;gloss
cantad salmos	H2167	hbo:2167	fertility	1.0	2	eflomal
cantadle salmos	H2167	hbo:2167	fertility	1.0	4	eflomal;gloss
cantaré salmos	H2167	hbo:2167	fertility	1.0	2	eflomal
capital reino	H1002	hbo:1002	fertility	1.0	7	eflomal
causa hermosura	H3308	hbo:3308	fertility	1.0	2	eflomal
cayó enfermo	H2470	hbo:2470	fertility	1.0	4	eflomal
caña aromática	H7070	hbo:7070	fertility	1.0	2	eflomal
chapeos tiaras	H4021	hbo:4021	fertility	1.0	8	eflomal;gloss
chismoso parecen	H5372	hbo:5372	fertility	1.0	2	eflomal
chusan risathaim	H3573	hbo:3573	fertility	1.0	8	eflomal;gloss
chîriath arba	H7153	hbo:7153	fertility	1.0	5	eflomal
chîriath sepher	H7158	hbo:7158a	fertility	1.0	8	eflomal;gloss
cielos cielos	H8064	hbo:8064	fertility	1.0	2	eflomal
cinco mil	G4000	grc:4000	fertility	1.0	5	eflomal
color oscuro	H2345	hbo:2345	fertility	1.0	2	eflomal
comete adulterio	G3429	grc:3429	fertility	1.0	5	eflomal;gloss
como tarde	G3798	grc:3798	fertility	1.0	2	eflomal
comprimieron pechos	H1717	hbo:1717	fertility	1.0	2	eflomal
conforme número	H4557	hbo:4557	fertility	1.0	2	eflomal
consentía muerte	G4909	grc:4909	fertility	1.0	2	eflomal
cosas hablado	G2980	grc:2980	fertility	1.0	3	eflomal
crucifícale crucifícale	G4717	grc:4717	fertility	1.0	2	eflomal
cuando juntáis	G4905	grc:4905	fertility	1.0	2	eflomal
cuatro mil	G5070	grc:5070	fertility	1.0	10	eflomal;gloss
cuiden poner	H8104	hbo:8104	fertility	1.0	2	eflomal
dado gracias	G2168	grc:2168	fertility	1.0	6	eflomal
dado testimonio	G3140	grc:3140	fertility	1.0	4	eflomal
damos gracias	G2168	grc:2168	fertility	1.0	3	eflomal
daos priesa	H4116	hbo:4116	fertility	1.0	3	eflomal
date priesa	H4116	hbo:4116	fertility	1.0	3	eflomal
declarado quiere	G3177	grc:3177	fertility	1.0	2	eflomal
dedo pulgar	H0931	hbo:0931	fertility	1.0	4	eflomal
del otro lado del	H5675	hbo:5675	fertility	1.0	2	gloss
delante ojos	H5869	hbo:5869	fertility	1.0	2	eflomal
densas ramas	H5687	hbo:5687a	fertility	1.0	2	eflomal
derramar sangre	H1818	hbo:1818	fertility	1.0	2	eflomal
descender canas	H7872	hbo:7872	fertility	1.0	2	eflomal
