# multi-word expressions (M1): target phrase -> original lexeme(s); lang=swe; from bcv-commons/lexeme-alignments; content+same-testament, count>=2. CC0
surface	strongs	lexemes	kind	confidence	count	methods
abaddon avgrunden förgörelsens plats ords job	H0011	hbo:0011	fertility	1.0	2	eflomal
abel maaka	H0062	hbo:0062	fertility	1.0	2	eflomal
abel mehola	H0065	hbo:0065	fertility	1.0	6	eflomal;gloss
abram avram	H0087	hbo:0087	fertility	1.0	2	eflomal
abram slog	H0087	hbo:0087	fertility	1.0	2	eflomal
achinoam jizreliten	H0293	hbo:0293	fertility	1.0	2	eflomal
adoni besek	H0137	hbo:0137	fertility	1.0	4	eflomal;gloss
adoni bezek	H0137	hbo:0137	fertility	1.0	6	eflomal;gloss
adoni sedek	H0139	hbo:0139	fertility	1.0	4	eflomal;gloss
adumims sluttning	H4608	hbo:4608	fertility	1.0	2	eflomal
agenda ta upp	G0142	grc:142	fertility	1.0	3	eflomal
ahab hebr achav	H0256	hbo:0256	fertility	1.0	5	eflomal
ahab jehoshafat	H3092	hbo:3092	fertility	1.0	2	eflomal
ahabs hebr achav	H0256	hbo:0256	fertility	1.0	2	eflomal
ahabs hebr achavs	H0256	hbo:0256	fertility	1.0	3	eflomal
ahasveros xerxes	H0325	hbo:0325	fertility	1.0	59	eflomal;gloss
ahieser ammishaddajs	H0295	hbo:0295	fertility	1.0	4	eflomal
ahinoam jisreel	H0293	hbo:0293	fertility	1.0	4	eflomal
ahira enans	H0299	hbo:0299	fertility	1.0	4	eflomal
aldrig slocknar	G0762	grc:762	fertility	1.0	6	eflomal;gloss
alfa ω	G0001	grc:1	fertility	1.0	2	eflomal
alla allt	H3605	hbo:3605	fertility	1.0	2	eflomal
alla fått	G3956	grc:3956	fertility	1.0	2	eflomal
alla i	G3956	grc:3956	fertility	1.0	2	eflomal
alla på	G3956	grc:3956	fertility	1.0	2	eflomal
allra högste elion	H5945	hbo:5945a	fertility	1.0	8	eflomal;gloss
allsmäktig shaddaj	H7706	hbo:7706	fertility	1.0	3	eflomal
allsmäktige shaddaj	H7706	hbo:7706	fertility	1.0	19	eflomal;gloss
allsmäktiges shaddajs	H7706	hbo:7706	fertility	1.0	11	eflomal;gloss
allt allt	H3605	hbo:3605	fertility	1.0	5	eflomal
allt fyller	H4393	hbo:4393	fertility	1.0	2	eflomal
allt rymmer	H4393	hbo:4393	fertility	1.0	3	eflomal
allt varje	G3956	grc:3956	fertility	1.0	2	eflomal
allt väl	H7965	hbo:7965	fertility	1.0	2	eflomal
allt väl shalom	H7965	hbo:7965	fertility	1.0	3	eflomal
alltid för	H5769	hbo:5769	fertility	1.0	2	eflomal
allting allt	G3956	grc:3956	fertility	1.0	2	eflomal
allting begynnelsen ursprunget	G0746	grc:746	fertility	1.0	2	eflomal
almodad shelef	H0486	hbo:0486	fertility	1.0	2	eflomal
almon diblatajma	H5963	hbo:5963	fertility	1.0	8	eflomal;gloss
alnar långt	H0753	hbo:0753	fertility	1.0	2	eflomal
alnar m	H0520	hbo:0520	fertility	1.0	3	eflomal
alnar meter dess	H0520	hbo:0520	fertility	1.0	3	eflomal
alnar meter hög	H0520	hbo:0520	fertility	1.0	3	eflomal
alnar meter lång	H0520	hbo:0520	fertility	1.0	4	eflomal
alnar meter långt	H0520	hbo:0520	fertility	1.0	2	eflomal
alnar meter mätte	H0520	hbo:0520	fertility	1.0	2	eflomal
alnar mätte	H0520	hbo:0520	fertility	1.0	2	eflomal
altarets fot	H3247	hbo:3247	fertility	1.0	6	eflomal;gloss
altarets horn	H7161	hbo:7161	fertility	1.0	8	eflomal
amots bud	H0531	hbo:0531	fertility	1.0	2	eflomal
andar demoner	H0178	hbo:0178	fertility	1.0	5	gloss
andarna bad	G3870	grc:3870	fertility	1.0	2	eflomal
andarna demonerna	H0178	hbo:0178	fertility	1.0	2	gloss
andarnas driver	G1544	grc:1544	fertility	1.0	3	eflomal
ande ande	G4151	grc:4151	fertility	1.0	5	eflomal
ande andedräkt	H7307	hbo:7307	fertility	1.0	3	eflomal
ande genom	G4151	grc:4151	fertility	1.0	2	eflomal
ande roach	H7307	hbo:7307	fertility	1.0	2	eflomal
ande vind	H7307	hbo:7307	fertility	1.0	8	eflomal
anden ande	G4151	grc:4151	fertility	1.0	2	eflomal
andliga gåvorna	G4152	grc:4152	fertility	1.0	2	eflomal
andligt mogna	G5046	grc:5046	fertility	1.0	3	gloss
andligt öra	G3775	grc:3775	fertility	1.0	7	eflomal
andra exakt likadana sädeskorn	G0243	grc:243	fertility	1.0	5	eflomal
andra gudar	H0312	hbo:0312	fertility	1.0	55	eflomal
andra hjälpt	G0243	grc:243	fertility	1.0	2	eflomal
andra hälften	H2677	hbo:2677	fertility	1.0	9	eflomal
andra sidan	H5676	hbo:5676	fertility	1.0	97	eflomal
andra sidan floden	H5675	hbo:5675	fertility	1.0	3	eflomal
andra änden	H7097	hbo:7097	fertility	1.0	2	eflomal
andre brodern	G1208	grc:1208	fertility	1.0	2	eflomal
anförare här	H6635	hbo:6635	fertility	1.0	7	eflomal
angav vikten	H4948	hbo:4948	fertility	1.0	2	eflomal
annan begår	G0243	grc:243	fertility	1.0	2	eflomal
annat folk	H1471	hbo:1471	fertility	1.0	2	eflomal
ansikte framför	H6440	hbo:6440	fertility	1.0	2	eflomal
ansikte inför	H6440	hbo:6440	fertility	1.0	2	eflomal
ansikte mot	H0639	hbo:0639	fertility	1.0	5	eflomal
