# OT-in-NT quotations via LXX Strong's overlap (IDF-weighted); shoresh lxx.build_quotations
# ot_ref is Masoretic/English numbering; vrs=lxx? marks a boundary Psalm left in LXX numbering (needs V1 verse-map)
nt_ref	ot_ref	confidence	vrs	n_shared	score	shared_strongs
MAT 1:1	GEN 25:19	med	mt	3	0.442	G0011,1078,5207
MAT 1:2	1CH 1:34	high	mt	4	0.731	G0011,1080,2384,2464
MAT 1:2	GEN 25:19	high	mt	3	0.622	G0011,1080,2464
MAT 1:2	LEV 26:42	high	mt	3	0.552	G0011,2384,2464
MAT 1:3	RUT 4:18	high	mt	3	0.595	G1080,2074,5329
MAT 1:3	1CH 2:4	high	mt	3	0.572	G2196,2283,5329
MAT 1:4	1CH 2:10	high	mt	4	0.743	G0284,0689,1080,3476
MAT 1:4	1CH 2:11	high	mt	3	0.712	G1080,3476,4533
MAT 1:4	RUT 4:20	high	mt	3	0.675	G0284,1080,3476
MAT 1:5	1CH 2:12	high	mt	4	0.728	G1003,1080,2421,5601
MAT 1:5	RUT 4:21	high	mt	3	0.631	G1003,1080,5601
MAT 1:5	1CH 2:11	high	mt	3	0.627	G1003,1080,4533
MAT 1:6	2SA 8:7	high	mt	3	0.462	G0935,1138,4672
MAT 1:6	RUT 4:22	med	mt	3	0.446	G1080,1138,2421
MAT 1:7	1CH 3:10	high	mt	3	0.624	G0007,0760,4497
MAT 1:9	HOS 1:1	high	mt	4	0.722	G0881,1478,2488,3604
MAT 1:9	ISA 1:1	high	mt	4	0.616	G0881,1478,2488,3604
MAT 1:9	MIC 1:1	high	mt	3	0.598	G0881,1478,2488
MAT 1:17	2KI 24:16	med	mt	3	0.352	G0897,3350,3956
MAT 1:18	DEU 22:27	med	mt	3	0.32	G1510,2147,3423
MAT 1:19	DEU 25:7	med	mt	3	0.335	G0435,1014,2309
MAT 1:20	1CH 2:18	med	mt	3	0.339	G1080,1135,5207
MAT 1:20	GEN 50:19	med	mt	3	0.319	G1510,2501,5399
MAT 1:20	EXO 6:20	med	mt	3	0.319	G1080,1135,3137
MAT 1:21	GEN 30:21	high	mt	3	0.573	G2564,3686,5088
MAT 1:21	GEN 38:5	high	mt	4	0.569	G2564,3686,5088,5207
MAT 1:21	GEN 38:4	high	mt	4	0.547	G2564,3686,5088,5207
MAT 1:22	JER 13:13	high	mt	5	0.5	G2046,2962,3004,4137,4396
MAT 1:22	EZK 2:4	high	mt	3	0.495	G2046,2962,3004
MAT 1:22	HAG 1:3	high	mt	4	0.474	G1096,2962,3004,4396
MAT 1:23	ISA 7:14	high	mt	7	0.662	G1064,1694,2564,3686,3933,5088,5207
MAT 1:23	GEN 16:11	med	mt	6	0.394	G1064,2192,2564,3686,5088,5207
MAT 1:23	GEN 38:27	med	mt	3	0.39	G1064,1510,5088
MAT 1:24	JER 28:39	med	mt	3	0.406	G1453,2962,5258
MAT 1:24	JER 1:12	med	mt	3	0.353	G1453,2962,4160
MAT 1:25	GEN 30:21	high	mt	3	0.658	G2564,3686,5088
MAT 1:25	GEN 38:5	high	mt	4	0.654	G2564,3686,5088,5207
MAT 1:25	GEN 38:4	high	mt	4	0.629	G2564,3686,5088,5207
MAT 2:1	DAN 2:2	med	mt	3	0.343	G0935,3097,3854
MAT 2:2	ISA 47:13	med	mt	3	0.337	G0792,2064,3708
MAT 2:2	DEU 4:19	med	mt	3	0.309	G0792,3708,4352
MAT 2:6	2SA 5:2	med	mt	5	0.349	G1510,2233,2474,2992,4165
MAT 2:8	JDG 17:8	med	mt	4	0.362	G0965,2064,2147,4198
MAT 2:9	ISA 47:13	med	mt	4	0.36	G0792,2064,2476,3708
MAT 2:10	JON 4:6	med	mt	3	0.434	G3173,5463,5479
MAT 2:10	ISA 39:2	med	mt	3	0.339	G3173,5463,5479
MAT 2:11	GEN 43:26	med	mt	4	0.337	G1435,3614,4352,4374
MAT 2:13	PSA 113:5	med	lxx?	3	0.368	G0402,1510,5343
MAT 2:13	2CH 22:10	med	mt	4	0.303	G0622,1453,3384,3708
MAT 2:15	JOS 1:1	high	mt	4	0.459	G2962,3004,5054,5207
MAT 2:15	JER 13:13	med	mt	6	0.426	G2046,2962,3004,4137,4396,5207
MAT 2:15	EZK 2:4	med	mt	3	0.401	G2046,2962,3004
MAT 2:17	1ES 1:45	high	mt	3	0.514	G2046,2408,4396
MAT 2:17	JER 13:13	high	mt	4	0.493	G2046,3004,4137,4396
MAT 2:18	JER 38:15	high	mt	8	0.752	G0191,1510,2309,2805,3602,4471,4478,5456
MAT 2:18	GEN 29:11	med	mt	3	0.331	G2799,4478,5456
MAT 2:18	JDG 21:2	med	mt	3	0.321	G2799,2805,5456
MAT 2:19	GEN 50:26	med	mt	3	0.407	G0125,2501,5053
MAT 2:20	2CH 22:10	med	mt	3	0.435	G1453,2348,3384
MAT 2:20	1MA 6:56	med	mt	3	0.356	G2212,3880,4198
MAT 2:20	EXO 2:8	med	mt	3	0.356	G3384,3813,4198
MAT 2:23	JER 13:13	high	mt	5	0.534	G2046,2730,3004,4137,4396
MAT 2:23	EZK 33:33	med	mt	3	0.426	G2046,2064,4396
MAT 2:23	JER 23:33	med	mt	3	0.381	G2046,3004,4396
MAT 3:3	ISA 40:3	high	mt	9	0.807	G0994,2048,2090,2117,2962,3598,4160,5147,5456
MAT 3:3	EZK 33:17	high	mt	4	0.465	G2046,2117,2962,3598
MAT 3:3	ISA 38:4	med	mt	3	0.379	G2268,2962,3004
MAT 3:4	2KI 1:8	med	mt	4	0.448	G1193,1510,2223,3751
MAT 3:5	GEN 13:11	med	mt	3	0.345	G2446,3956,4066
MAT 3:5	1MA 7:24	med	mt	3	0.338	G1607,2449,3956
MAT 3:7	2CH 20:2	med	mt	4	0.361	G2064,3004,4183,5263
MAT 3:9	GEN 22:7	med	mt	4	0.351	G0011,3004,3962,5043
MAT 3:16	GEN 8:8	med	mt	3	0.316	G3708,4058,5204
MAT 3:17	GEN 22:16	med	mt	3	0.43	G0027,3004,5207
