# Biblical Hebrew poetic-parallelism word pairs — two tiers. tomim_confirmed: expert-
# verified (Berlin/Fokkelman/Kugel/Watson/Tsumura via T'OMIM, CC BY 4.0, DOI 10.5281/zenodo.19135731). detected: our own BHSA half_verse extraction (Psalms/Proverbs/Job
# only, min_verses>=3), not found in T'OMIM (T'OMIM is a curated sample, not exhaustive — absence isn't evidence against a pair). Independent of UBS MARBLE and Hebrew
# WordNet; the LLM signal is used only to LABEL relation, never to find pairs. `relation`:
# likely_synonym / likely_antonym / unclassified (parallelism found it, LLM has no opinion).
# See build_parallelism_pairs.py.
strong_a	strong_b	tier	evidence	relation	sample_ref
H6963	H8064	tomim_confirmed	pair_id=0	unclassified	2 Samuel 22:14
H5945	H8064	tomim_confirmed	pair_id=0	unclassified	2 Samuel 22:14
H5414	H8064	tomim_confirmed	pair_id=0	unclassified	2 Samuel 22:14
H1004	H2114	tomim_confirmed	pair_id=1	unclassified	Lamentations 5:2
H2114	H5237	tomim_confirmed	pair_id=1	likely_synonym	Lamentations 5:2
H1004	H2015	tomim_confirmed	pair_id=1	unclassified	Lamentations 5:2
H2015	H5237	tomim_confirmed	pair_id=1	unclassified	Lamentations 5:2
H1004	H5159	tomim_confirmed	pair_id=1	unclassified	Lamentations 5:2
H5159	H5237	tomim_confirmed	pair_id=1	unclassified	Lamentations 5:2
H0168	H4908	tomim_confirmed	pair_id=50	likely_synonym	Isaiah 54:2
H1481	H2022	tomim_confirmed	pair_id=3	unclassified	Psalms 15:1
H1481	H6944	tomim_confirmed	pair_id=3	unclassified	Psalms 15:1
H1481	H7931	tomim_confirmed	pair_id=3	likely_synonym	Psalms 15:1
H0168	H2022	tomim_confirmed	pair_id=3	unclassified	Psalms 15:1
H0168	H6944	tomim_confirmed	pair_id=3	unclassified	Psalms 15:1
H0168	H7931	tomim_confirmed	pair_id=3	unclassified	Psalms 15:1
H2399	H5771	tomim_confirmed	pair_id=4	likely_synonym	Psalms 103:10
H1580	H2399	tomim_confirmed	pair_id=4	unclassified	Psalms 103:10
H5771	H6213	tomim_confirmed	pair_id=4	unclassified	Psalms 103:10
H1580	H6213	tomim_confirmed	pair_id=4	unclassified	Psalms 103:10
H3034	H6218	tomim_confirmed	pair_id=5	unclassified	Psalms 33:2
H2167	H3034	tomim_confirmed	pair_id=5	likely_synonym	Psalms 33:2
H3658	H6218	tomim_confirmed	pair_id=5	unclassified	Psalms 33:2
H2167	H3658	tomim_confirmed	pair_id=5	unclassified	Psalms 33:2
