# Proper-noun lexicon (roadmap N1): biblical name Strong's -> localized renderings; shoresh macula.build_proper_nouns. OT/Hebrew (STEPBible Np); NT Greek needs TIPNR.
strong	translit	lang	surface	source	weight
H0029	a.viy.yah	eng	Abijah	gloss	1.0
H0029	a.viy.yah	fra	Abiya	gloss	1.0
H0029	a.viy.yah	por	Abias	gloss	1.0
H0029	a.viy.yah	spa	Abías	gloss	1.0
H0029	a.viy.yah	cmn-Hans	亚比雅，《思》阿彼雅	gloss	1.0
H0029	a.viy.yah	cmn-Hant	亞比雅，《思》阿彼雅	gloss	1.0
H0029	a.viy.yah	deu	Abija	gloss	1.0
H0029	a.viy.yah	nld	Abia	gloss	1.0
H0029	a.viy.yah	swa	abiya, abia	gloss	1.0
H0029	a.viy.yah	arb	أَبِيَّا	aligned	0.889
H0029	a.viy.yah	arb	وَأَبِيَّا	aligned	0.667
H0029	a.viy.yah	eng	abijah	aligned	0.786
H0029	a.viy.yah	hin	अबिय्याह	aligned	0.786
H0029	a.viy.yah	rus	авии	aligned	0.75
H0029	a.viy.yah	rus	авия	aligned	0.7
H0029	a.viy.yah	spa	abia	aligned	1.0
H0029	a.viy.yah	spa	abías	aligned	0.955
H0030	a.vi.hu	eng	Abihu	gloss	1.0
H0030	a.vi.hu	fra	Abihou	gloss	1.0
H0030	a.vi.hu	por	Abiú	gloss	1.0
H0030	a.vi.hu	spa	Abiú	gloss	1.0
H0030	a.vi.hu	cmn-Hans	亚比户，《思》阿彼胡	gloss	1.0
H0030	a.vi.hu	cmn-Hant	亞比戶，《思》阿彼胡	gloss	1.0
H0030	a.vi.hu	deu	Abihu	gloss	1.0
H0030	a.vi.hu	nld	Abihu	gloss	1.0
H0030	a.vi.hu	swa	abihu, mfiki	gloss	1.0
H0030	a.vi.hu	arb	وَأَبِيهُو	aligned	1.0
H0030	a.vi.hu	arb	وَأَبِيهُوَ	aligned	1.0
H0030	a.vi.hu	eng	abihu	aligned	0.565
H0030	a.vi.hu	hin	अबीहू	aligned	0.167
H0030	a.vi.hu	rus	авиуд	aligned	0.429
H0030	a.vi.hu	spa	abiú	aligned	1.0
H0039	a.vi.ma.el	eng	Abimael	gloss	1.0
H0039	a.vi.ma.el	fra	Abimaël	gloss	1.0
H0039	a.vi.ma.el	por	Abimael	gloss	1.0
H0039	a.vi.ma.el	spa	Abimael	gloss	1.0
H0039	a.vi.ma.el	cmn-Hans	亚比玛利，《思》阿彼玛耳	gloss	1.0
H0039	a.vi.ma.el	cmn-Hant	亞比瑪利，《思》阿彼瑪耳	gloss	1.0
H0039	a.vi.ma.el	deu	Abimaël	gloss	1.0
H0039	a.vi.ma.el	nld	Abimaël	gloss	1.0
H0039	a.vi.ma.el	swa	abimaeli, obali	gloss	1.0
H0039	a.vi.ma.el	arb	وَأَبِيمَايِلَ	aligned	1.0
H0039	a.vi.ma.el	eng	abimael	aligned	1.0
H0039	a.vi.ma.el	hin	अबीमाएल	aligned	1.0
H0039	a.vi.ma.el	spa	abimael	aligned	1.0
H0041	a.vi.na.dav	eng	Abinadab	gloss	1.0
H0041	a.vi.na.dav	fra	Abinadab	gloss	1.0
H0041	a.vi.na.dav	por	Abinadabe	gloss	1.0
H0041	a.vi.na.dav	spa	Abinadab	gloss	1.0
H0041	a.vi.na.dav	cmn-Hans	亚比拿达，《思》阿彼纳达布	gloss	1.0
H0041	a.vi.na.dav	cmn-Hant	亞比拿達，《思》阿彼納達布	gloss	1.0
H0041	a.vi.na.dav	deu	Abinadab	gloss	1.0
H0041	a.vi.na.dav	nld	Abinadab	gloss	1.0
H0041	a.vi.na.dav	swa	nafath-dori	gloss	1.0
H0041	a.vi.na.dav	arb	أَبِينَادَابَ	aligned	1.0
H0041	a.vi.na.dav	arb	وَأَبِينَادَابَ	aligned	1.0
H0041	a.vi.na.dav	eng	abinadab	aligned	0.818
H0041	a.vi.na.dav	hin	अबीनादाब	aligned	0.846
H0041	a.vi.na.dav	spa	abinadab	aligned	0.923
H0043	ev.ya.saph	eng	Ebiasaph	gloss	1.0
H0043	ev.ya.saph	fra	Ébiasaph	gloss	1.0
H0043	ev.ya.saph	por	Ebiasafe	gloss	1.0
H0043	ev.ya.saph	spa	Ebiasaf	gloss	1.0
H0043	ev.ya.saph	cmn-Hans	以比雅撒，《思》厄贝雅撒夫	gloss	1.0
H0043	ev.ya.saph	cmn-Hant	以比雅撒，《思》厄貝雅撒夫	gloss	1.0
H0043	ev.ya.saph	deu	Abiasaf	gloss	1.0
H0043	ev.ya.saph	nld	Ebjasaf	gloss	1.0
H0043	ev.ya.saph	swa	ebiasafu, abiasafu	gloss	1.0
H0043	ev.ya.saph	eng	ebiasaph	aligned	0.833
