iso639_3	rank	related_iso639_3	basis
afr	1	deu	curated
afr	2	nld	curated
afr	3	yid	curated
afr	4	dan	curated
afr	5	nor	curated
afr	6	swe	curated
afr	7	isl	curated
afr	8	fao	curated
afr	9	eng	curated
amh	1	tir	curated
amh	2	gez	curated
amh	3	ara	curated
amh	4	eng	curated
ara	1	amh	curated
ara	2	tir	curated
ara	3	gez	curated
ara	4	eng	curated
bel	1	rus	curated
bel	2	ukr	curated
bel	3	pol	curated
bel	4	ces	curated
bel	5	slk	curated
bel	6	bul	curated
bel	7	srp	curated
bel	8	hrv	curated
bel	9	slv	curated
bel	10	mkd	curated
bel	11	eng	curated
ben	1	pan	curated
ben	2	guj	curated
ben	3	mar	curated
ben	4	nep	curated
ben	5	hin	curated
ben	6	urd	curated
ben	7	eng	curated
bul	1	srp	curated
bul	2	hrv	curated
bul	3	slv	curated
bul	4	mkd	curated
bul	5	rus	curated
bul	6	ukr	curated
bul	7	bel	curated
bul	8	pol	curated
bul	9	ces	curated
bul	10	slk	curated
bul	11	eng	curated
cat	1	spa	curated
cat	2	por	curated
cat	3	glg	curated
cat	4	fra	curated
cat	5	oci	curated
cat	6	ita	curated
cat	7	ron	curated
cat	8	eng	curated
ces	1	pol	curated
ces	2	slk	curated
ces	3	rus	curated
ces	4	ukr	curated
ces	5	bel	curated
ces	6	bul	curated
ces	7	srp	curated
ces	8	hrv	curated
ces	9	slv	curated
ces	10	mkd	curated
ces	11	eng	curated
cmn	1	yue	curated
cmn	2	eng	curated
dan	1	nor	curated
dan	2	swe	curated
dan	3	isl	curated
dan	4	fao	curated
dan	5	deu	curated
dan	6	nld	curated
dan	7	afr	curated
dan	8	yid	curated
dan	9	eng	curated
deu	1	nld	curated
deu	2	afr	curated
deu	3	yid	curated
deu	4	dan	curated
deu	5	nor	curated
deu	6	swe	curated
deu	7	isl	curated
deu	8	fao	curated
deu	9	eng	curated
eng	1	dan	curated
eng	2	nor	curated
eng	3	swe	curated
eng	4	isl	curated
eng	5	fao	curated
eng	6	deu	curated
eng	7	nld	curated
eng	8	afr	curated
eng	9	yid	curated
fao	1	dan	curated
fao	2	nor	curated
fao	3	swe	curated
fao	4	isl	curated
fao	5	deu	curated
fao	6	nld	curated
fao	7	afr	curated
fao	8	yid	curated
fao	9	eng	curated
fra	1	oci	curated
fra	2	spa	curated
fra	3	por	curated
fra	4	cat	curated
fra	5	glg	curated
fra	6	ita	curated
fra	7	ron	curated
fra	8	eng	curated
gez	1	amh	curated
gez	2	tir	curated
gez	3	ara	curated
gez	4	eng	curated
glg	1	spa	curated
glg	2	por	curated
glg	3	cat	curated
glg	4	fra	curated
glg	5	oci	curated
glg	6	ita	curated
glg	7	ron	curated
glg	8	eng	curated
guj	1	ben	curated
guj	2	pan	curated
guj	3	mar	curated
guj	4	nep	curated
guj	5	hin	curated
guj	6	urd	curated
guj	7	eng	curated
hin	1	urd	curated
hin	2	ben	curated
hin	3	pan	curated
hin	4	guj	curated
hin	5	mar	curated
hin	6	nep	curated
hin	7	eng	curated
hrv	1	bul	curated
hrv	2	srp	curated
hrv	3	slv	curated
hrv	4	mkd	curated
hrv	5	rus	curated
hrv	6	ukr	curated
hrv	7	bel	curated
hrv	8	pol	curated
hrv	9	ces	curated
hrv	10	slk	curated
hrv	11	eng	curated
isl	1	dan	curated
isl	2	nor	curated
isl	3	swe	curated
isl	4	fao	curated
isl	5	deu	curated
isl	6	nld	curated
isl	7	afr	curated
isl	8	yid	curated
isl	9	eng	curated
ita	1	spa	curated
ita	2	por	curated
ita	3	cat	curated
ita	4	glg	curated
ita	5	fra	curated
ita	6	oci	curated
ita	7	ron	curated
ita	8	eng	curated
lin	1	zul	curated
lin	2	xho	curated
lin	3	sna	curated
lin	4	swa	curated
lin	5	eng	curated
mar	1	ben	curated
mar	2	pan	curated
mar	3	guj	curated
mar	4	nep	curated
mar	5	hin	curated
mar	6	urd	curated
mar	7	eng	curated
mkd	1	bul	curated
mkd	2	srp	curated
mkd	3	hrv	curated
mkd	4	slv	curated
mkd	5	rus	curated
mkd	6	ukr	curated
mkd	7	bel	curated
mkd	8	pol	curated
mkd	9	ces	curated
mkd	10	slk	curated
mkd	11	eng	curated
nep	1	ben	curated
nep	2	pan	curated
nep	3	guj	curated
nep	4	mar	curated
nep	5	hin	curated
nep	6	urd	curated
nep	7	eng	curated
nld	1	deu	curated
nld	2	afr	curated
nld	3	yid	curated
nld	4	dan	curated
nld	5	nor	curated
nld	6	swe	curated
nld	7	isl	curated
nld	8	fao	curated
nld	9	eng	curated
nor	1	dan	curated
nor	2	swe	curated
nor	3	isl	curated
nor	4	fao	curated
nor	5	deu	curated
nor	6	nld	curated
nor	7	afr	curated
nor	8	yid	curated
nor	9	eng	curated
oci	1	fra	curated
oci	2	spa	curated
oci	3	por	curated
oci	4	cat	curated
oci	5	glg	curated
oci	6	ita	curated
oci	7	ron	curated
oci	8	eng	curated
pan	1	ben	curated
pan	2	guj	curated
pan	3	mar	curated
pan	4	nep	curated
pan	5	hin	curated
