# source=UBS MARBLE SDBG (Louw-Nida) domain-name mapping; license=CC-BY-SA (UBS open-license); reference-only
code	label
001001	宇宙，万物
001002	地面之上的地方
001003	地面以下的地方
001004	天体
001005	大气的物体
001006	地球的表面
001007	凸起的地形
001008	洼地及洞穴
001009	与海洋形成对比的陆地
001010	水体
001011	社会政治区域
001012	政府行政区域
001013	无人居住或人烟稀少的地区
001014	人口集中的地区
001015	牧地及耕地
001016	通路：道路、街道、小径等
002001	元素
002003	火
002004	水
002005	土，泥，沙，石
002006	宝石、半宝石及珍贵的天然物质
002007	金属
003001	植物（一般意义）
003002	树木
003003	树木以外的植物
003004	植物的果实部分
003005	植物的非果实部分
003006	木材及木制品
004001	动物
004002	鸟类
004003	昆虫
004004	爬虫类及其他“爬行动物”
004005	鱼类及其他海洋生物
005001	食物
005002	调味品
006001	人工制品（一般意义）
006002	耕种及畜牧用的工具
006003	捕鱼用的工具
006004	捆扎及固定用的工具
006005	陷阱，罗网
006006	刑罚及处死用的工具
006007	武器及盔甲
006008	船只及船只各部分
006009	车辆
006010	用于标记及书写的工具
006011	货币及货币单位
006012	乐器
006013	塑像及偶像
006014	灯火及支托物
006015	家具
006016	容器
006017	布料、皮革及制成物品
006018	装饰品
006019	植物产品
006020	药物
006021	香料、香膏及燃香
006022	测量工具
006023	其他人工制品
007001	建造物（一般意义）
007002	建筑物
007003	建筑物的部分及区域
007004	露天建造物
007005	蓄水建造物
007006	围墙及篱笆
007007	其他建造物
007008	建筑材料
008001	身体
008002	身体各部分
008003	身体的生理产物
009001	人类
009002	男性
009003	女性
009004	孩童
009005	被深情关怀的人
010001	有血缘关系但不限定前后代关系的群体及群体的成员
010002	不同代的亲属关系
010003	同一代的亲属关系
010004	基于婚姻的亲属关系
011001	一般性的
011002	社会宗教的
011003	社会政治的
011004	种族文化的
011005	哲学思想的
012001	超自然生物
012002	超自然力量
013001	状态
013002	状态的改变
013003	存在
013004	发生
014001	天气
014002	风
014003	雨
014004	雷电
014005	与液体和干物质有关的事件或活动
014006	光
014007	黑暗
014008	燃烧
014009	声音
014010	大地的移动
015001	移动，来／去
015002	旅行，旅程
015003	经过，跨越，穿过，绕过
015004	离开，起程，逃走，逃脱，差遣
015005	靠近，趋近
015006	来，来到，到达
015007	返回
015008	来到，进入
015009	登上，骑上
015010	上来／上去，上升
015011	下来／下去，下降
015012	掉落
015013	聚集，召集
015014	散开，驱散
015015	先来／先去
015016	走在前面
015017	走在后面
015018	绕着走，围绕
015019	同行，结伴
015020	跟随，伴随
015021	追赶，追逐
015022	驱动，带动
015023	引领，带来，带领
015024	携带，负担
015025	拉，拖，拽
015026	投掷，扔掉
015027	快速移动
015028	向着目标移动
015029	步行，踩踏
015030	奔跑
015031	跳起，跳跃
015032	跳舞
015033	飞行
015034	游泳
015035	滚动
016	非线性运动
017001	站立
017002	坐下
017003	跪下
017004	俯卧、趴着
017005	俯伏敬拜或恳求
017006	斜倚（用餐）
017007	躺卧
017008	弯身，挺直
018001	抓紧，抓住
018002	系上，粘住
019001	击打，撞击
019002	刺穿，切割
019003	裂开，撕破
019004	打破，冲破
019005	挤压
019006	挖掘
020001	暴力
020002	伤害，伤口
020003	摧毁
020004	杀死
021001	危险
021002	冒险
021003	安全，没有危险
021004	变得安全，没有危险
021005	使安全，没有危险
021006	宗教意义上的拯救
022001	烦恼，困难，危难
022002	经历烦恼、困难
022003	引起烦恼、困难
022004	困难的，艰难的
022005	摆脱烦恼
022006	容易的，轻松的
022007	有利的情况或状态
023001	吃，喝
023002	吃、喝以外，涉及口腔的活动
023003	诞生，生育
023004	性关系
023005	睡觉，醒来
023006	疲倦，休息
023007	活着，死去
023008	健康，活力，力气
023009	疾病，恶疾，衰弱
023010	呼气，呼吸
023011	生长
023012	成熟，结果子，结种籽
023013	腐烂，腐朽
024001	看
024002	听
024003	嗅
024004	尝味
024005	触摸，感觉
024006	痛苦，苦难
024007	一般感官知觉
025001	意欲，希望，愿望
025002	强烈地渴望
025003	爱，情感，同情
025004	盼望，期待
025005	愿意
025006	热切，认真，全心全意
025007	知足，满足
025008	蒙悦纳，喜悦
025009	感恩的，感激的
025010	享受，享乐，喜爱做
025011	快乐，高兴，喜乐
025012	喜笑，哀哭，悲叹
025013	鼓励，安慰
025014	勇气，胆量
025015	忍耐，忍受，容忍，坚忍
025016	冒犯，被冒犯
025017	憎恶
025018	羞愧，耻辱，屈辱
025019	自豪，骄傲，光荣
025020	惊奇，惊诧
025021	担忧，忧虑，忧伤，平静
025022	惧怕，惊骇，惊慌
025023	悲伤，遗憾
025024	沮丧
026	心理官能
027001	学习
027002	得知某物的位置
027003	得知某人的错处
027004	尝试学习
027005	愿意学习
027006	准备好去学习，留心
027007	认出
028001	知道
028002	已知的
028003	知名的，清楚显示的，显露的
028004	可知的
028005	不可知的，秘密的
029001	资讯的储存
029002	想起来
029003	不记得，忘记
029004	回忆并以适当行动回应
030001	思考，思想
030002	探讨、考虑，有作出适当回应的隐含目的
030003	考虑未来的偶发事件
030004	打算，企图，计划
030005	决定，作出结论
030006	选择，拣选，宁取
030007	区别，评价，评断
031001	有意见，持有观点
031002	持有错误观点，被误导
031003	赞同，同意
031004	承认
031005	假设，认为有可能
031006	相信是真的
031007	接受为真实的
031008	改变对事实／真理的看法
031009	信赖，依靠
031010	成为信徒，对基督的信仰
032001	理解
032002	终于理解或明白过来
032003	容易理解或难于理解
032004	理解能力
032005	缺乏理解能力
033001	语言
033002	言语，段落
033003	话语类型
033004	语言层次
033005	书面语言
033006	说话，谈话
033007	唱歌，唱哀歌
033008	保持沉默
033009	名字
033010	翻译，表示……的意思，说明
033011	交谈，讨论
033012	请求，要求
033013	祷告
033014	问题，答案
033015	通知，宣布
033016	断言，声明
033017	教导
033018	说真话，说假话
033019	传道，宣扬
033020	见证，证明
033021	宣称效忠
033022	承认，宣认，否认
033023	赞同
033024	预告，占卜
033025	承诺
033026	威胁
033027	建议
033028	劝告，力劝
033029	召唤，呼召
033030	邀请
033031	坚持
033032	吩咐，命令
033033	法律，规则，条例
033034	推荐，提议
033035	求情
033036	感谢
033037	赞美
033038	奉承
033039	吹嘘
033040	愚蠢的话
033041	埋怨
033042	侮辱，中伤
033043	说闲话
033044	嘲笑，戏弄
033045	批评
033046	指责
033047	警告
033048	控告，谴责
033049	辩护，藉口
033050	辩论，争论
033051	争辩，争吵
033052	反对，驳斥
033053	预言
033054	发誓，宣誓，许愿
033055	祝福，诅咒
033056	非语言的沟通
034001	联系
034002	加入，开始联系
034003	属于，包括在成员中，排除在外
034004	限制或避免联系
034005	建立或确认关系
034006	探望
034007	迎接，接待
034008	殷勤招待
034009	亲吻，拥抱
034010	结婚，离婚
035001	帮助
035002	服侍
035003	供应，支持
035004	照顾，照应
035005	托付
035006	抚养，养育
035007	收养
035008	遗弃，放弃
036001	引导，引领
036002	管教，锻炼
036003	服从，不服从
036004	跟从，成为门徒
037001	控制，限制
037002	迫使，强迫
037003	运用权力
037004	管理，统治
037005	任命，分配职能
037006	捉拿，扣留
037007	交出，出卖
037008	监禁
037009	守卫，看守
037010	释放，解放
038001	惩罚
038002	报应，赏罚
039001	对抗，敌意
039002	分裂
039003	抵抗
039004	屈服
039005	冲突，斗争
039006	报复
039007	反叛
039008	暴乱
039009	迫害
039010	攻击
039011	伏击
039012	征服
040001	和解
040002	宽恕
041001	行为，品行
041002	习俗，传统
041003	特定行为模式
041004	模仿行为
041005	改变行为
042001	发挥功用
042002	做，执行
042003	制作，创造
042004	工作，劳碌
042005	工艺，职业
043	农耕
044	畜牧，捕鱼
045	建造，兴建
046	家务活动
047001	液体或干物质的移动
047002	液体的使用
047003	液体或干物质的应用及清除
048	涉及布料的活动
049	涉及衣着及装饰的活动
050	竞赛及游戏
051	节日
052	丧礼及葬礼
053001	宗教行为
053002	奉献，献祭
053003	净化，洁净
053004	玷污，不洁，俗物
053005	施洗
053006	献身，成为圣洁
053007	敬拜，尊崇
053008	禁食
053009	角色及作用
053010	邪术
053011	驱鬼
053012	亵渎神
054	海上活动
055001	配备武器
055002	战斗
055003	军队
055004	士兵及军官
055005	战俘
056001	法庭
056002	法律诉讼，案件
056003	起诉
056004	法庭聆讯，审讯
056005	审判，判刑，宣告无罪
056006	伸张正义
056007	辩士，律师
056008	领去受刑
057	拥有，转移，交换
057001	有，拥有，财产，所有者
057002	有足够的
057003	有钱，富裕的
057004	财宝
057005	需要，缺乏
057006	贫乏，贫困，贫穷
057007	拿去，获得，赢得，失去
057008	给予
057009	接受
057010	交换
057011	花费，浪费
057012	支付，价钱，费用
057013	雇用，出租
057014	税款，贡品
057015	售卖，购买，价钱
057016	赚取，赢利，做生意
057017	借出，贷款，利息，借入，银行
057018	欠债，债项，销账
057019	成为财务负担
057020	记账
057021	偷窃，盗取
058001	性质，特征
058002	外貌，形式的外在显现
058003	界定事物性质的基本原则或特征
058004	类别，种类
058005	同类或同等
058006	不同类或不同等
058007	独特的，独一无二的
058008	不寻常的，与众不同的
058009	样式，模式，榜样及对应的表现
058010	原型，对应的类型（对型）
058011	新的，旧的（主要指非时间性的事物）
059001	多，少（可数的事物）
059002	多，少（大量，总体，延伸）
059003	所有，任何，各个，每个（整体）
059004	满的，空的
059005	足够的，充足的
059006	充裕，过量，极少
059007	增加，减少
059008	相加，相减
060001	数目，无数的
060002	一，二，三，等等（基数）
060003	第一，第二，第三，等等（序数）
060004	二分之一，三分之一，四分之一（分数）
060005	一次，两次，三次，等等（时间基数）
