# source=authored translation of the English labels (build_domain_labels_de.py); license=CC-BY-SA; not UBS-encumbered
code	label
001001	Universum, Schöpfung
001002	Regionen über der Erde
001003	Regionen unter der Erdoberfläche
001004	Himmelskörper
001005	Objekte der Atmosphäre
001006	Erdoberfläche
001007	Erhöhte Landformationen
001008	Senken und Löcher
001009	Land im Gegensatz zum Meer
001010	Gewässer
001011	Soziopolitische Gebiete
001012	Verwaltungsgebiete der Regierung
001013	Unbewohnte oder nur dünn besiedelte Gebiete
001014	Bevölkerungszentren
001015	Weiden und Kulturland
001016	Verkehrswege: Straßen, Gassen, Pfade usw.
002001	Elemente
002003	Feuer
002004	Wasser
002005	Erde, Schlamm, Sand, Gestein
002006	Edle und halbedle Steine und Substanzen
002007	Metalle
003001	Pflanzen [Allgemeine Bedeutung]
003002	Bäume
003003	Pflanzen, die keine Bäume sind
003004	Fruchtteile von Pflanzen
003005	Nicht-Frucht-Teile von Pflanzen
003006	Holz und Holzprodukte
004001	Tiere
004002	Vögel
004003	Insekten
004004	Reptilien und andere 'kriechende Tiere'
004005	Fische und andere Meerestiere
005001	Nahrung
005002	Gewürze
006001	Artefakte [Allgemeine Bedeutung]
006002	Geräte für Ackerbau und Viehzucht
006003	Geräte für den Fischfang
006004	Geräte zum Binden und Befestigen
006005	Fallen, Schlingen
006006	Geräte für Bestrafung und Hinrichtung
006007	Waffen und Rüstung
006008	Boote und Bootsteile
006009	Fahrzeuge
006010	Geräte zum Markieren und Schreiben
006011	Geld und Währungseinheiten
006012	Musikinstrumente
006013	Bilder und Götzen
006014	Lampen und Leuchter
006015	Möbel
006016	Behälter
006017	Stoff, Leder und daraus gefertigte Gegenstände
006018	Schmuck
006019	Pflanzenprodukte
006020	Arzneien
006021	Parfüms und Weihrauch
006022	Messinstrumente
006023	Verschiedenes
007001	Bauwerke [Allgemeine Bedeutung]
007002	Gebäude
007003	Teile und Bereiche von Gebäuden
007004	Offene Bauwerke
007005	Bauwerke zum Wasserhalten
007006	Mauern und Zäune
007007	Verschiedene Bauwerke
007008	Baumaterialien
008001	Körper
008002	Körperteile
008003	Physiologische Produkte des Körpers
009001	Menschen
009002	Männer
009003	Frauen
009004	Kinder
009005	Personen, denen liebevolle Fürsorge gilt
010001	Gruppen und Mitglieder von Personengruppen, die als blutsverwandt gelten, ohne besonderen Bezug auf aufeinanderfolgende Generationen
010002	Verwandtschaftsbeziehungen über aufeinanderfolgende Generationen
010003	Verwandtschaftsbeziehungen derselben Generation
010004	Verwandtschaftsbeziehungen durch Heirat
011001	Allgemein
011002	Sozial-religiös
011003	Sozial-politisch
011004	Ethnisch-kulturell
011005	Philosophisch
012001	Übernatürliche Wesen
012002	Übernatürliche Mächte
013001	Zustand
013002	Zustandsänderung
013003	Existieren
013004	Geschehen
014001	Wetter
014002	Wind
014003	Regen
014004	Donner und Blitz
014005	Vorgänge mit Flüssigkeiten und trockenen Massen
014006	Licht
014007	Dunkelheit
014008	Brennen
014009	Klang
014010	Bewegung der Erde
015001	Sich bewegen, Kommen/Gehen
015002	Reisen, eine Reise machen
015003	Vorbeigehen, Überqueren, Hindurchgehen, Herumgehen
015004	Verlassen, Weggehen, Fliehen, Entkommen, Senden
015005	Näher kommen, sich nähern
015006	Kommen, Kommen zu, Ankommen
015007	Zurückkehren
015008	Hineinkommen/Hineingehen
015009	Hinaufkommen/Hinaufgehen (auf etwas)
015010	Hinaufkommen/Hinaufgehen, Aufsteigen
015011	Hinabkommen/Hinabgehen, Herabsteigen
015012	Fallen
015013	Sammeln, Zusammenkommen lassen
015014	Zerstreuen
015015	Kommen/Gehen vor
015016	Kommen/Gehen voraus
015017	Kommen/Gehen hinterher
015018	Herumgehen, Umgeben
015019	Mitkommen/Mitgehen, Mitreisen
015020	Folgen, Begleiten
015021	Verfolgen, Nachfolgen
015022	Vorantreiben, Forttragen
015023	Führen, Bringen, Nehmen
015024	Tragen, Befördern
015025	Ziehen, Zerren, Schleppen
015026	Werfen, Schleudern
015027	Bewegung mit Geschwindigkeit
015028	Zielgerichtete Bewegung
015029	Gehen, Schreiten
015030	Laufen
015031	Springen, Hüpfen
015032	Tanzen
015033	Fliegen
015034	Schwimmen
015035	Rollen
016	Nichtlineare Bewegung
017001	Stehen
017002	Sitzen
017003	Knien
017004	Sich niederwerfen
017005	Sich niederwerfen als Akt der Ehrerbietung oder des Flehens
017006	Sich lagern [zum Essen]
017007	Liegen
017008	Sich beugen, sich aufrichten
018001	Ergreifen, Halten
018002	Befestigen, Anhaften
019001	Schlagen, Treffen
019002	Durchbohren, Schneiden
019003	Spalten, Zerreißen
019004	Zerbrechen, Durchbrechen
019005	Pressen
019006	Graben
020001	Gewalt
020002	Schaden, Verwunden
020003	Zerstören
020004	Töten
021001	Gefahr
021002	Sich der Gefahr aussetzen
021003	Sicher, frei von Gefahr
021004	Sicher werden, frei von Gefahr
021005	Sicher machen, frei von Gefahr
021006	Retten im religiösen Sinn
022001	Not, Bedrängnis, Elend
022002	Not, Bedrängnis erfahren
022003	Not, Bedrängnis verursachen
022004	Schwierig, hart
022005	Linderung von Not
022006	Leicht, mühelos
022007	Günstige Umstände oder Lage
023001	Essen, Trinken
023002	Vorgänge des Mundes, außer Essen und Trinken
023003	Geburt, Zeugung
023004	Sexuelle Beziehungen
023005	Schlafen, Wachen
023006	Ermüden, Ruhen
023007	Leben, Sterben
023008	Gesundheit, Vitalität, Kraft
023009	Krankheit, Leiden, Schwäche
023010	Atmen, Atem
023011	Wachsen, Wachstum
023012	Reifen, Frucht bringen, Samen tragen
023013	Verwesen, Verderben
024001	Sehen
024002	Hören
024003	Riechen
024004	Schmecken
024005	Berühren, Fühlen
024006	Schmerz, Leiden
024007	Allgemeine Sinneswahrnehmung
025001	Verlangen, Wollen, Wünschen
025002	Stark verlangen
