# source=UBS MARBLE SDBG (Louw-Nida) domain-name mapping; license=CC-BY-SA (UBS open-license); reference-only
code	label
001001	Univers, Création
001002	Régions au-dessus de la Terre
001003	Régions sous la surface de la Terre
001004	Corps célestes
001005	Objets de l'atmosphère
001006	La surface de la Terre
001007	Reliefs
001008	Dépressions et cavités
001009	Terres contrastant avec la mer
001010	Masses d'eau
001011	Zones sociopolitiques
001012	Zones administratives gouvernementales
001013	Zones inhabitées ou peu peuplées
001014	Centres de population
001015	Pâturages et terres cultivées
001016	Voies de circulation : routes, rues, chemins, etc.
002001	Éléments
002003	Feu
002004	Eau
002005	Terre, boue, sable, roche
002006	Pierres et substances précieuses et semi-précieuses
002007	Métaux
003001	Plantes [Sens général]
003002	Arbres
003003	Plantes qui ne sont pas des arbres
003004	Fruits Parties de plantes
003005	Parties de plantes autres que les fruits
003006	Bois et produits dérivés du bois
004001	Animaux
004002	Oiseaux
004003	Insectes
004004	Reptiles et autres « bestioles rampantes »
004005	Poissons et autres créatures marines
005001	Aliments
005002	Condiments
006001	Artefacts [Sens général]
006002	Instruments utilisés en agriculture et en élevage
006003	Instruments utilisés pour la pêche
006004	Instruments utilisés pour attacher et fixer
006005	Pièges, collets
006006	Instruments utilisés pour punir et exécuter
006007	Armes et armures
006008	Bateaux et parties de bateaux
006009	Véhicules
006010	Instruments utilisés pour marquer et écrire
006011	Monnaie et unités monétaires
006012	Instruments de musique
006013	Images et idoles
006014	Lumières et supports de lumière
006015	Mobilier
006016	Récipients
006017	Tissus, cuir et objets fabriqués à partir de ces matériaux
006018	Parures
006019	Produits végétaux
006020	Médicaments
006021	Parfums et encens
006022	Instruments de mesure
006023	Divers
007001	Constructions [Sens général]
007002	Bâtiments
007003	Parties et zones des bâtiments
007004	Constructions ouvertes
007005	Constructions destinées à retenir l'eau
007006	Murs et clôtures
007007	Constructions diverses
007008	Matériaux de construction
008001	Corps
008002	Parties du corps
008003	Produits physiologiques du corps
009001	Êtres humains
009002	Hommes
009003	Femmes
009004	Enfants
009005	Personnes pour lesquelles on éprouve une affection particulière
010001	Groupes et membres de groupes de personnes considérées comme apparentées par le sang, mais sans référence particulière aux générations successives
010002	Relations de parenté impliquant des générations successives
010003	Relations de parenté de la même génération
010004	Relations de parenté fondées sur le mariage
011001	Généralités
011002	Socio-religieux
011003	Socio-politiques
011004	Ethnico-culturelles
011005	Philosophiques
012001	Êtres surnaturels
012002	Pouvoirs surnaturels
013001	État
013002	Changement d'état
013003	Exister
013004	Se produire
014001	Conditions météorologiques
014002	Vent
014003	Pluie
014004	Tonnerre et éclairs
014005	Manifestations impliquant des liquides et des masses sèches
014006	Lumière
014007	Ténèbres
014008	Brûler
014009	Son
014010	Mouvement de la Terre
015001	Se déplacer, aller/venir
015002	Voyager, faire un voyage
015003	Passer, traverser, contourner
015004	Quitter, partir, fuir, échapper, envoyer
015005	S'approcher
015006	Venir, arriver
015007	Revenir
015008	Entrer
015009	Monter
015010	Descendre/Monter
015011	Descendre
015012	Tomber
015013	Rassembler, faire venir ensemble
015014	Se disperser, se disperser
015015	Venir/Aller avant
015016	Venir/Aller devant
015017	Venir/Aller derrière
015018	Contourner, entourer
015019	Venir/Aller avec, voyager avec
015020	Suivre, accompagner
015021	Poursuivre, suivre
015022	Rouler, transporter
015023	Diriger, apporter, prendre
015024	Porter, soutenir, supporter
015025	Tirer, extraire, traîner/glisser
015026	Lancer, jeter, projeter
015027	Mouvement rapide
015028	Mouvement orienté vers un but
015029	Marcher, faire un pas
015030	Courir
015031	Sauter, bondir
015032	Danser
015033	Voler
015034	Nager
015035	Rouler
016	Mouvement non linéaire
017001	Être debout
017002	S'asseoir
017003	S'agenouiller
017004	Se prosterner
017005	Se prosterner en signe de révérence ou de supplication
017006	Incliner [pour manger]
017007	S'allonger
017008	Se pencher, se redresser
018001	Saisir, tenir
018002	Fixer, coller
019001	Frapper, donner un coup
019002	Transpercer, couper
019003	Fendre, déchirer
019004	Casser, briser
019005	Presser
019006	Creuser
020001	Violence
020002	Blesser, blesser
020003	Détruire
020004	Tuer
021001	Danger
021002	S'exposer au danger
021003	Sécurité, à l'abri du danger
021004	Devenir en sécurité, à l'abri du danger
021005	Rendre en sécurité, à l'abri du danger
021006	Sauver au sens religieux
022001	Problèmes, épreuves, détresse
022002	Vivre des difficultés, des épreuves
022003	Provoquer des difficultés, des épreuves
022004	Difficile, dur
022005	Soulagement des difficultés
022006	Facile, léger
022007	Circonstances ou état favorables
023001	Manger, boire
023002	Processus impliquant la bouche, autres que manger et boire
023003	Naissance, procréation
023004	Relations sexuelles
023005	Sommeil, éveil
023006	Fatigue, repos
023007	Vivre, mourir
023008	Santé, vigueur, force
023009	Maladie, affaiblissement
023010	Respirer, souffle
023011	Grandir, croissance
023012	Mûrir, produire des fruits, porter des graines
023013	Pourrir, se décomposer
024001	Voir
024002	Entendre
024003	Sentir
024004	Goûter
024005	Toucher, sentir
024006	Douleur, souffrance
024007	Perception sensorielle générale
025001	Désirer, vouloir, souhaiter
025002	Désirer fortement
025003	Amour, affection, compassion
025004	Espérer, avoir hâte de
025005	Être disposé
025006	Être impatient, être sérieux, d’une manière dévouée
025007	Content, satisfait
025008	Acceptable, être satisfait de
025009	Reconnaissance, gratitude
025010	Apprécier, prendre plaisir à, aimer faire
025011	Heureux, content, joyeux
025012	Rire, pleurer, gémir
025013	Encouragement, consolation
025014	Courage, audace
025015	Patience, endurance, persévérance
025016	Offenser, être offensé
025017	Détester
025018	Honte, déshonneur, humiliation
025019	Fierté [légitime]
025020	Surprise, étonnement
025021	Inquiétude, anxiété, détresse, paix
025022	Peur, terreur, alarme
025023	Chagrin, regret
025024	Découragement
026	Facultés psychologiques
027001	Apprendre
027002	Apprendre l'emplacement de quelque chose
027003	Apprendre quelque chose contre quelqu'un
027004	Essayer d’apprendre
027005	Être disposé à apprendre
027006	Être prêt à apprendre, prêter attention
027007	Reconnaître
028001	Connaître
028002	Connu [le contenu de la connaissance]
028003	Bien connu, clairement montré, révélé
028004	Pouvant être connu
028005	Ne pouvant être connu, secret
029001	Stockage d’informations
029002	Se souvenir
029003	Ne pas se souvenir, oublier
029004	Se souvenir et réagir par une action appropriée
030001	Penser, Pensée
030002	Réfléchir, avec le but implicite de répondre de façon appropriée
030003	Penser concernant les éventualités futures
030004	Avoir l'intention, se proposer, planifier
030005	Décider, conclure
030006	Choisir, sélectionner, préférer
030007	Distinguer, Évaluer, Juger
031001	Avoir une opinion, Avoir un point de vue
031002	Avoir un point de vue erroné, Se tromper
031003	Être d'accord, consentir
031004	Reconnaissance
031005	Supposer, penser que c'est possible
031006	Croire que c'est vrai
031007	Accepter comme vrai
031008	Changer d'avis concernant la vérité
031009	Faire confiance, compter sur
031010	Être croyant, la foi chrétienne
032001	Comprendre
