# source=UBS MARBLE SDBG (Louw-Nida) domain-name mapping; license=CC-BY-SA (UBS open-license); reference-only
code	label
001001	Universo, Creación
001002	Regiones sobre la Tierra
001003	Regiones bajo la superficie de la Tierra
001004	Cuerpos Celestiales
001005	Cuerpos Atmosféricos
001006	La Superficie de la Tierra
001007	Elevaciones terrestres
001008	Depresiones y agujeros
001009	Tierra en contraste con el mar
001010	Cuerpos Acuáticos
001011	Áreas Sociopolíticas
001012	Áreas Administrativas de Gobierno
001013	Zonas deshabitadas o escasamente pobladas
001014	Centros Poblados
001015	Pastos y tierras cultivadas
001016	Vías de comunicación: Carreteras, calles, caminos, etc.
002001	Elementos
002003	Fuego
002004	Agua
002005	Tierra, Barro, Arena, Roca
002006	Piedras y sustancias preciosas y semipreciosas
002007	Metales
003001	Plantas [Significado general]
003002	Árboles
003003	Plantas que no son árboles
003004	Partes frutales de las plantas
003005	Partes no frutales de las plantas
003006	Madera y derivados de la madera
004001	Animales
004002	Aves
004003	Insectos
004004	Reptiles y otros seres que se arrastran
004005	Peces y otras criaturas marinas
005001	Alimentos
005002	Condimentos
006001	Artefactos [Significado general]
006002	Instrumentos usados en agricultura y labranza
006003	Instrumentos utilizados en la pesca
006004	Instrumentos utilizados para atar y sujetar
006005	Trampas, lazos
006006	Instrumentos utilizados para castigo y ejecución
006007	Armas y armaduras
006008	Barcos y partes de barcos
006009	Vehículos
006010	Instrumentos utilizados para marcar y escribir
006011	Dinero y unidades monetarias
006012	Instrumentos musicales
006013	Imágenes e ídolos
006014	Luces y soportes de luz
006015	Muebles
006016	Contenedores
006017	Telas, cueros y objetos hechos con estos materiales
006018	Adornos
006019	Productos vegetales
006020	Medicamentos
006021	Perfumes e Incienso
006022	Instrumentos para medir
006023	Misceláneos
007001	Construcciones [Significado general]
007002	Edificios
007003	Partes y áreas de edificios
007004	Construcciones abiertas
007005	Construcciones para retener agua
007006	Muros y vallas
007007	Construcciones varias
007008	Materiales de construcción
008001	Cuerpo
008002	Partes del cuerpo
008003	Productos fisiológicos corporales
009001	Seres humanos
009002	Hombres
009003	Mujeres
009004	Niños
009005	Personas por las que se siente afecto
010001	Grupos y miembros de grupos de personas considerados como parientes por consanguinidad, pero sin referencia especial a las generaciones sucesivas
010002	Relaciones de parentesco que implican generaciones sucesivas
010003	Relaciones de parentesco de la misma generación
010004	Relaciones de parentesco basadas en el matrimonio
011001	General
011002	Socio-Religioso
011003	Socio-Político
011004	Étno-Cultural
011005	Filosófico
012001	Seres sobrenaturales
012002	Poderes sobrenaturales
013001	Subdominio Estado
013002	Cambio de Estado
013003	Existir
013004	Ocurrir
014001	Clima
014002	Viento
014003	Lluvia
014004	Truenos y relámpagos
014005	Eventos que involucran líquidos y masas secas
014006	Luz
014007	Oscuridad
014008	Ardor
014009	Sonido
014010	Movimiento de la Tierra
015001	Mover, ir/venir
015002	Viaje, Trayecto
015003	Pasar, Cruzar, Atravesar, Rodear
015004	Dejar, Salir, Huir, Escapar, Enviar
015005	Acercarse, Abordar
015006	Venir, llegar
015007	Regresar
015008	Venir/Ir hacia
015009	Venir/Ir hacia
015010	Subir, ascender
015011	Bajar, descender
015012	Caer
015013	Reunir, hacer que se reúna
015014	Dispersar, esparcir
015015	Venir/Ir antes de
015016	Venir/ir delante de
015017	Venir/ir detrás de
015018	Ir alrededor, rodear
015019	Venir/ir con, viajar con
015020	Seguir, Acompañar
015021	Perseguir, Seguir
