strong	domain_type	domain	label	count	share
G0000	sdbg	093001	Persons	1	0.500
G0001	sdbg	061	Sequence	3	1.000
G0002	sdbg	093001	Persons	5	1.000
G0003	sdbg	093001	Persons	1	1.000
G0004	sdbg	057019	Be a Financial Burden	1	1.000
G0005	sdbg	012001	Supernatural Beings	3	1.000
G0006	sdbg	093001	Persons	4	1.000
G0007	sdbg	093001	Persons	3	1.000
G0008	sdbg	093001	Persons	1	1.000
G0009	sdbg	093002	Places	1	1.000
G0010	sdbg	093001	Persons	2	1.000
G0011	sdbg	093001	Persons	73	0.986
G0012	sdbg	001003	Regions Below the Surface of the Earth	9	1.000
G0013	sdbg	093001	Persons	2	1.000
G0014	sdbg	088001	Goodness	2	1.000
G0015	sdbg	088001	Goodness	9	1.000
G0016	sdbg	088001	Goodness	1	1.000
G0017	sdbg	088001	Goodness	1	1.000
G0018	sdbg	088001	Goodness	81	0.757
G0018	sdbg	065003	Good, Bad	23	0.215
G0018	sdbg	057003	Be Rich, Be Wealthy	2	0.019
G0019	sdbg	088001	Goodness	4	0.800
G0020	sdbg	025011	Happy, Glad, Joyful	5	1.000
G0021	sdbg	025011	Happy, Glad, Joyful	11	1.000
G0022	sdbg	034010	Marriage, Divorce	4	1.000
G0023	sdbg	088024	Anger, Be Indignant With	7	1.000
G0024	sdbg	088024	Anger, Be Indignant With	1	1.000
G0025	sdbg	025003	Love, Affection, Compassion	131	0.916
G0025	sdbg	025010	Enjoy, Take Pleasure In, Be Fond of Doing	12	0.084
G0026	sdbg	025003	Love, Affection, Compassion	115	0.991
G0027	sdbg	025003	Love, Affection, Compassion	55	0.873
G0027	sdbg	058007	Distinctive, Unique	8	0.127
G0028	sdbg	093001	Persons	2	1.000
G0029	sdbg	037002	Compel, Force	3	1.000
G0030	sdbg	006016	Containers	2	1.000
G0031	sdbg	033015	Inform, Announce	2	1.000
G0032	sdbg	012001	Supernatural Beings	169	0.966
G0032	sdbg	033015	Inform, Announce	6	0.034
G0034	sdbg	004001	Animals	7	1.000
G0035	sdbg	010002	Kinship Relations Involving Successive Generations	1	1.000
G0036	sdbg	087004	Low Status or Rank [including persons of low status]	1	1.000
G0037	sdbg	088003	Holy, Pure	21	0.600
G0037	sdbg	053006	Dedicate, Consecrate	14	0.400
