strong	domain_type	domain	label	count	share
H0001	core	089	Kinship	1181	0.659
H0001	core	113	Parenthood	555	0.31
H0001	core	170	Town	33	0.018
H0001	core	089005	Kinship > Well-Being	17	0.009
H0001	core	089003	Kinship > Creation	4	0.002
H0001	ctx	092	Life and Death	59	0.396
H0001	ctx	014	Authority	47	0.315
H0001	ctx	075002	Human > Divine	17	0.114
H0001	ctx	020	Burial	13	0.087
H0001	ctx	139	Royalty	5	0.034
H0001	ctx	075	Human	3	0.02
H0001	ctx	089004	Kinship > Priesthood	2	0.013
H0001	lex	001001002003005	Kinship	999	0.826
H0001	lex	001001002003004	Groups	205	0.169
H0001	lex	003001017	Titles	6	0.005
H0001	sdbg	012001	Supernatural Beings	685	0.582
H0001	sdbg	010002	Kinship Relations Involving Successive Generations	366	0.311
H0002	core	089	Kinship	9	0.6
H0002	core	113	Parenthood	6	0.4
H0002	lex	001001002003005	Kinship	9	1.0
H0003	core	117	Plant	2	1.0
H0003	lex	001003	Vegetation	2	1.0
H0004	core	117	Plant	3	1.0
H0004	lex	001003	Vegetation	3	1.0
H0005	lex	003001007	Names of People	1	1.0
H0006	core	184	Well-Being	173	0.23
H0006	core	005	Aggression	142	0.189
H0006	core	092	Life and Death	142	0.189
H0006	core	047	Destruction	141	0.188
H0006	core	132	Recompense	141	0.188
H0006	core	155	Space	9	0.012
H0006	core	071	Hiding and Searching	2	0.003
H0006	ctx	075	Human	30	0.357
H0006	ctx	050	Divine	27	0.321
H0006	ctx	148	Shepherding	6	0.071
H0006	ctx	105	Name	5	0.06
H0006	ctx	009003	Animal > Human	4	0.048
H0006	ctx	009	Animal	2	0.024
H0006	ctx	071	Hiding and Searching	2	0.024
H0006	lex	002001001019	Dead	142	0.436
H0006	lex	002002002006	Non-Exist	141	0.433
H0006	lex	002002003004	Non-Happen	32	0.098
H0006	lex	002002001016	Non-Space	11	0.034
H0006	sdbg	020003	Destroy	60	0.426
H0006	sdbg	057007	Take, Obtain, Gain, Lose	30	0.218
H0007	core	184	Well-Being	7	0.226
H0007	core	005	Aggression	6	0.194
H0007	core	047	Destruction	6	0.194
H0007	core	092	Life and Death	6	0.194
H0007	core	132	Recompense	6	0.194
H0007	ctx	075	Human	4	0.8
H0007	lex	002001001019	Dead	6	0.462
H0007	lex	002002002006	Non-Exist	6	0.462
H0007	sdbg	020003	Destroy	1	0.409
H0007	sdbg	057007	Take, Obtain, Gain, Lose	1	0.226
H0008	core	005	Aggression	2	0.2
H0008	core	047	Destruction	2	0.2
H0008	core	092	Life and Death	2	0.2
H0008	core	132	Recompense	2	0.2
H0008	core	184	Well-Being	2	0.2
H0008	lex	002001001019	Dead	2	0.333
H0008	lex	002002002006	Non-Exist	2	0.333
H0008	lex	002002003001	Endure	2	0.333
H0009	core	071	Hiding and Searching	4	1.0
H0009	lex	002002001016	Non-Space	4	1.0
H0009	sdbg	020003	Destroy	4	0.889
H0010	core	092	Life and Death	1	0.5
H0010	ctx	062	Food	1	0.5
H0010	lex	001005006	Universe	1	1.0
H0011	core	092	Life and Death	5	0.5
H0011	core	173	Universe	5	0.5
H0011	ctx	001	Access	2	0.333
H0011	lex	001005006	Universe	5	1.0
H0011	sdbg	020003	Destroy	3	0.889
H0012	core	005	Aggression	1	0.25
H0012	lex	002001001019	Dead	1	0.5
H0013	core	005	Aggression	1	0.25
H0013	lex	002001001019	Dead	1	0.5
H0014	core	185	Willingness	53	1.0
H0014	ctx	050	Divine	2	0.333
H0014	ctx	187	Wisdom	2	0.333
H0014	lex	002001002029	Willing	53	1.0
H0014	sdbg	025001	Desire, Want, Wish	28	0.629
H0014	sdbg	030004	To Intend, To Purpose, To Plan	12	0.259
H0015	lex	003001017	Titles	1	0.5
H0016	core	117	Plant	1	0.5
H0016	ctx	108	Navigation	1	1.0
H0016	lex	001003001	Plants	1	1.0
H0017	lex	004005	Evaluators	1	1.0
H0018	core	009	Animal	3	0.25
H0018	core	025	Crafts	3	0.25
H0018	core	062	Food	3	0.25
H0018	core	159	Storage	3	0.25
H0018	ctx	148	Shepherding	3	1.0
H0018	lex	001004001003	Containers	3	1.0
H0019	core	093	Light and Darkness	1	1.0
H0019	ctx	005	Aggression	1	0.5
H0019	lex	002001001049	Shine	1	0.333
H0020	core	006	Agriculture	1	0.5
H0020	ctx	062	Food	1	1.0
H0020	lex	001004003002	Crops	1	1.0
H0021	lex	003001007	Names of People	1	1.0
H0022	ctx	075	Human	1	1.0
H0022	lex	003001007	Names of People	3	1.0
H0023	lex	003001007	Names of People	1	1.0
H0024	core	168	Time	6	0.75
H0024	core	117	Plant	2	0.25
H0024	ctx	006	Agriculture	1	0.333
H0024	lex	003001013	Names of Times	6	0.75
H0026	ctx	098	Marriage	1	1.0
H0026	lex	003001007	Names of People	17	1.0
H0027	lex	003001007	Names of People	5	1.0
H0028	lex	003001007	Names of People	2	1.0
H0029	lex	003001007	Names of People	25	1.0
H0030	lex	003001007	Names of People	12	1.0
H0031	lex	003001007	Names of People	1	1.0
H0032	lex	003001007	Names of People	6	1.0
H0033	lex	003001006	Names of Groups	3	1.0
H0034	core	180	Wealth and Poverty	61	1.0
H0034	ctx	005	Aggression	34	0.315
H0034	ctx	184	Well-Being	30	0.278
H0034	ctx	050	Divine	17	0.157
H0034	ctx	091	Law	14	0.13
H0034	ctx	088	Justice	12	0.111
H0034	lex	002001001040	Poor	61	1.0
H0034	sdbg	057006	Be Poor, Be Needy, Poverty	34	1.0
H0035	core	117	Plant	1	1.0
H0035	ctx	146	Sex	1	0.5
H0035	lex	001003001	Plants	1	1.0
H0036	lex	003001007	Names of People	1	1.0
H0037	lex	003001007	Names of People	2	1.0
H0038	lex	003001007	Names of People	5	1.0
H0039	lex	003001007	Names of People	2	1.0
H0040	lex	003001007	Names of People	67	1.0
H0041	lex	003001007	Names of People	13	1.0
H0042	lex	003001007	Names of People	4	1.0
H0043	lex	003001007	Names of People	3	1.0
H0044	lex	003001007	Names of People	6	1.0
H0046	lex	002001001060	Strong	6	1.0
H0046	sdbg	012001	Supernatural Beings	3	1.0
H0047	core	160	Strength	7	0.412
H0047	core	009	Animal	5	0.294
H0047	core	099	Mind	2	0.118
H0047	ctx	176	Warfare	6	0.353
H0047	ctx	005	Aggression	2	0.118
H0047	ctx	050	Divine	2	0.118
H0047	ctx	039	Confidence and Fear	2	0.118
H0047	lex	001001002001002	Domestic Animals	9	0.5
H0047	lex	002001001060	Strong	6	0.333
H0047	lex	001001001	Deities	2	0.111
H0048	lex	003001007	Names of People	11	1.0
H0049	lex	003001007	Names of People	5	1.0
H0050	lex	003001007	Names of People	5	1.0
H0051	lex	003001007	Names of People	2	1.0
H0052	lex	003001007	Names of People	25	1.0
H0053	ctx	075	Human	1	1.0
H0053	lex	003001007	Names of People	111	1.0
H0054	lex	003001007	Names of People	30	1.0
H0054	sdbg	093001	Persons	29	1.0
H0055	core	103	Motion	1	1.0
H0055	ctx	060	Fire	1	1.0
H0055	lex	002002001009	Move	1	1.0
H0056	core	184	Well-Being	39	0.265
H0056	core	086	Joy and Grief	29	0.197
H0056	core	102	Mourning	29	0.197
H0056	core	050	Divine	10	0.068
H0056	core	052	Drought	10	0.068
H0056	core	107	Nature	10	0.068
H0056	core	117	Plant	10	0.068
H0056	core	132	Recompense	10	0.068
H0056	ctx	132	Recompense	11	0.297
H0056	ctx	092	Life and Death	6	0.162
H0056	ctx	075	Human	4	0.108
H0056	ctx	047	Destruction	3	0.081
H0056	ctx	170	Town	2	0.054
H0056	ctx	188	Work	2	0.054
H0056	lex	002001002014	Grieve	39	1.0
H0057	core	086	Joy and Grief	8	0.333
H0057	core	102	Mourning	8	0.333
H0057	core	184	Well-Being	8	0.333
H0057	ctx	075	Human	1	1.0
H0057	lex	002001002014	Grieve	8	1.0
H0059	lex	003001010	Names of Locations	2	1.0
H0060	core	086	Joy and Grief	24	0.333
H0060	core	102	Mourning	24	0.333
H0060	core	184	Well-Being	24	0.333
H0060	ctx	092	Life and Death	17	0.944
H0060	lex	002001002014	Grieve	24	1.0
H0060	sdbg	025012	Laugh, Cry, Groan	12	1.0
H0061	lex	004002	Contrastors	8	0.727
H0061	lex	004005	Evaluators	3	0.273
H0062	lex	003001010	Names of Locations	2	1.0
H0068	core	107	Nature	205	0.537
H0068	core	015	Beauty	53	0.139
H0068	core	174	Value	53	0.139
H0068	core	025	Crafts	51	0.134
H0068	core	181	Weather	6	0.016
H0068	core	050	Divine	2	0.005
H0068	core	132	Recompense	2	0.005
H0068	core	185	Willingness	2	0.005
H0068	ctx	025	Crafts	69	0.204
H0068	ctx	141	Sanctuary	56	0.166
H0068	ctx	019	Building	35	0.104
H0068	ctx	132	Recompense	24	0.071
H0068	ctx	031	Clothing	21	0.062
H0068	ctx	178	Weight	15	0.044
H0068	ctx	032	Commerce	15	0.044
H0068	ctx	124	Priesthood	14	0.041
H0068	ctx	176	Warfare	11	0.033
H0068	ctx	170	Town	11	0.033
H0068	ctx	041	Construction	10	0.03
H0068	ctx	120	Possession	9	0.027
H0068	ctx	139	Royalty	7	0.021
H0068	ctx	140	Sacrifices and Offerings	7	0.021
H0068	ctx	100	Mining	5	0.015
H0068	ctx	183	Well	5	0.015
H0068	ctx	012	Apparition	4	0.012
H0068	ctx	101	Monument	3	0.009
H0068	ctx	006	Agriculture	3	0.009
H0068	ctx	020	Burial	2	0.006
H0068	ctx	047	Destruction	2	0.006
H0068	ctx	050	Divine	2	0.006
H0068	lex	001006015	Stone	155	0.572
H0068	lex	001004001009	Gemstones	53	0.196
H0068	lex	001005001	Constructions	50	0.185
H0068	lex	001006011	Rain	6	0.022
H0068	lex	003001008	Names of Landforms	3	0.011
H0068	lex	002001002032	Unwilling	2	0.007
H0068	sdbg	002005	Earth, Mud, Sand, Rock	151	0.731
H0068	sdbg	002006	Precious and Semiprecious Stones and Substances	52	0.249
H0069	core	107	Nature	6	0.75
H0069	core	025	Crafts	2	0.25
H0069	ctx	019	Building	2	0.286
H0069	ctx	141	Sanctuary	2	0.286
H0069	ctx	025	Crafts	2	0.286
H0069	lex	001006015	Stone	6	0.75
H0069	lex	001005001	Constructions	2	0.25
H0069	sdbg	002005	Earth, Mud, Sand, Rock	3	0.742
H0069	sdbg	002006	Precious and Semiprecious Stones and Substances	1	0.258
H0070	core	028	Childbirth	1	0.5
H0070	lex	001004001017	Tools	2	1.0
H0073	core	031	Clothing	9	1.0
H0073	ctx	124	Priesthood	8	0.889
H0073	lex	001004001002	Clothing	9	1.0
H0073	sdbg	006017	Cloth, Leather, and Objects Made of Such Materials	6	1.0
H0074	lex	003001007	Names of People	63	1.0
H0075	core	009	Animal	2	0.5
H0075	core	062	Food	2	0.5
H0075	lex	002001001027	Fat	2	1.0
H0076	core	018	Body	2	0.5
H0076	core	069	Health and Sickness	2	0.5
H0076	lex	002001001023	Impact	2	1.0
H0077	lex	003001010	Names of Locations	1	1.0
H0078	lex	003001007	Names of People	2	1.0
H0079	core	190	Wrestling	2	1.0
H0079	ctx	075	Human	2	1.0
H0079	lex	002003001021	Wrestle	2	1.0
H0080	core	107	Nature	4	1.0
H0080	ctx	181	Weather	1	0.25
H0080	lex	001006005	Dust	6	1.0
H0081	core	031	Clothing	1	1.0
H0081	ctx	032	Commerce	1	1.0
H0081	lex	001006013	Spices	1	1.0
H0082	core	009	Animal	1	0.5
H0082	lex	002001001048	Shape	1	0.5
H0083	core	009	Animal	3	0.75
H0083	ctx	009003	Animal > Human	2	0.5
H0083	lex	001001002	Creatures	3	1.0
H0084	core	009	Animal	4	1.0
H0084	ctx	143	Security	2	0.667
H0084	lex	001001002	Creatures	4	1.0
H0085	lex	003001007	Names of People	175	1.0
H0085	sdbg	093001	Persons	172	1.0
H0086	lex	002001001058	Stance	1	1.0
H0087	lex	003001007	Names of People	61	1.0
H0088	lex	003001010	Names of Locations	4	1.0
H0089	lex	003001007	Names of People	1	1.0
H0090	lex	003001007	Names of People	8	1.0
H0091	lex	003001006	Names of Groups	5	1.0
H0092	core	036	Control	1	0.333
H0092	ctx	117	Plant	1	0.167
H0092	lex	002003001002	Bind	1	0.25
H0093	core	117	Plant	1	1.0
H0093	ctx	006	Agriculture	1	1.0
H0093	lex	001004003004	Fruits	1	1.0
H0094	lex	003001007	Names of People	1	1.0
H0095	core	130	Quantity	1	1.0
H0095	ctx	180	Wealth and Poverty	1	0.5
H0095	lex	002001001066	Weight	1	1.0
H0096	core	094	Liquids	1	0.5
H0096	ctx	181	Weather	1	1.0
H0096	lex	002001001042	Quantity	1	1.0
H0097	lex	003001010	Names of Locations	1	1.0
H0098	core	094	Liquids	9	0.45
H0098	core	107	Nature	9	0.45
H0098	ctx	184	Well-Being	4	1.0
H0098	lex	001005007	Waterbodies	9	0.9
H0099	core	086	Joy and Grief	1	0.5
H0099	ctx	188	Work	1	1.0
H0099	lex	002001002014	Grieve	1	1.0
H0100	core	117	Plant	2	0.286
H0100	core	177	Water	2	0.286
H0100	core	158	Status	2	0.286
H0100	ctx	009	Animal	1	0.25
H0100	lex	001003001	Plants	4	0.8
H0101	core	025	Crafts	3	0.333
H0101	core	094	Liquids	3	0.333
H0101	core	159	Storage	3	0.333
H0101	ctx	025	Crafts	2	0.5
H0101	lex	001004001003	Containers	3	1.0
H0102	core	176	Warfare	7	1.0
H0102	lex	001001002003004	Groups	7	0.5
H0102	lex	001001002003013	Soldiers	7	0.5
H0103	core	006	Agriculture	3	1.0
H0103	ctx	075	Human	1	1.0
H0103	lex	002003002014	Gather	3	1.0
H0104	core	014	Authority	3	0.333
H0104	core	037	Communication	3	0.333
H0104	core	179	Writing	3	0.333
H0104	lex	001004001014	Scrolls	3	1.0
H0105	core	025	Crafts	2	0.5
H0105	core	159	Storage	2	0.5
H0105	ctx	141	Sanctuary	2	1.0
H0105	lex	001004001003	Containers	2	1.0
H0106	core	005	Aggression	2	0.5
H0106	core	018	Body	2	0.5
H0106	lex	001001002	Creatures	2	1.0
H0107	core	014	Authority	10	0.333
H0107	core	037	Communication	10	0.333
H0107	core	179	Writing	10	0.333
H0107	lex	001004001014	Scrolls	10	1.0
H0107	sdbg	033005	Written Language	6	0.613
H0107	sdbg	006010	Instruments Used in Marking and Writing	4	0.387
H0108	core	173	Universe	2	0.5
H0108	core	177	Water	2	0.5
H0108	lex	001005007	Waterbodies	2	1.0
H0109	core	086	Joy and Grief	1	1.0
H0109	lex	002001002014	Grieve	1	1.0
H0110	lex	003001007	Names of People	2	1.0
H0111	lex	003001007	Names of People	1	1.0
H0112	lex	003001007	Names of People	2	1.0
H0113	core	014	Authority	334	0.499
H0113	core	158	Status	334	0.499
H0113	ctx	075	Human	303	0.386
H0113	ctx	037	Communication	178	0.227
H0113	ctx	188	Work	73	0.093
H0113	ctx	139	Royalty	71	0.091
H0113	ctx	063	Freedom and Bondage	58	0.074
H0113	ctx	050	Divine	25	0.032
H0113	ctx	176	Warfare	25	0.032
H0113	ctx	106	Nation	23	0.029
H0113	ctx	119	Politics	23	0.029
H0113	ctx	098	Marriage	3	0.004
H0113	lex	001001002003006	Leaders	334	0.997
H0113	sdbg	012001	Supernatural Beings	142	0.63
H0113	sdbg	092004	Whom or What Spoken or Written About	54	0.24
H0114	lex	003001010	Names of Locations	1	1.0
H0115	lex	003001010	Names of Locations	1	1.0
H0116	lex	003002005	Temporal Referents	57	1.0
H0116	sdbg	067002	A Point of Time with Reference to Other Points of Time: Before, Long Ago, Now, At the Same Time, When, About, After	38	0.844
H0117	core	014	Authority	12	1.0
H0117	ctx	160	Strength	10	0.244
H0117	ctx	050	Divine	7	0.171
H0117	ctx	148	Shepherding	4	0.098
H0117	ctx	176	Warfare	3	0.073
H0117	ctx	158	Status	3	0.073
H0117	ctx	015	Beauty	3	0.073
H0117	ctx	117	Plant	3	0.073
H0117	ctx	151	Size	3	0.073
H0117	ctx	177	Water	2	0.049
H0117	lex	002001002013	Great	27	1.0
H0118	lex	003001007	Names of People	1	1.0
H0119	core	025	Crafts	7	0.7
H0119	core	015	Beauty	2	0.2
H0119	ctx	141	Sanctuary	6	0.545
H0119	lex	002001001015	Color	10	1.0
H0120	ctx	158	Status	167	0.898
H0120	ctx	089	Kinship	19	0.102
H0120	lex	001001002003	People	550	0.996
H0120	lex	003001007	Names of People	2	0.004
H0120	sdbg	009001	Human Beings	350	0.685
H0120	sdbg	009002	Males	135	0.264
H0121	ctx	089	Kinship	1	1.0
H0121	lex	003001007	Names of People	9	0.692
H0121	lex	001001002003	People	2	0.154
H0121	lex	003001010	Names of Locations	2	0.154
H0121	sdbg	093001	Persons	8	1.0
H0122	ctx	009	Animal	4	0.4
H0122	ctx	062	Food	2	0.2
H0122	ctx	018	Body	2	0.2
H0122	lex	002001001015	Color	9	1.0
H0123	lex	003001006	Names of Groups	96	0.96
H0123	lex	003001007	Names of People	4	0.04
H0124	core	015	Beauty	3	0.333
H0124	core	107	Nature	3	0.333
H0124	core	174	Value	3	0.333
H0124	ctx	031	Clothing	3	0.5
H0124	ctx	124	Priesthood	2	0.333
H0124	lex	001004001009	Gemstones	3	1.0
H0124	sdbg	002006	Precious and Semiprecious Stones and Substances	3	1.0
H0125	core	069	Health and Sickness	6	1.0
H0125	ctx	018	Body	5	0.833
H0125	lex	002001001015	Color	6	1.0
H0126	lex	003001010	Names of Locations	5	1.0
H0127	core	090	Land	225	1.0
H0127	ctx	075	Human	108	0.332
H0127	ctx	120	Possession	97	0.298
H0127	ctx	006	Agriculture	42	0.129
H0127	ctx	117	Plant	16	0.049
H0127	ctx	188	Work	15	0.046
H0127	ctx	090	Land	10	0.031
H0127	ctx	009	Animal	9	0.028
H0127	ctx	092	Life and Death	4	0.012
H0127	ctx	017	Blessing and Cursing	4	0.012
H0127	ctx	050	Divine	4	0.012
H0127	ctx	062	Food	3	0.009
H0127	ctx	025	Crafts	3	0.009
H0127	ctx	047	Destruction	2	0.006
H0127	ctx	039	Confidence and Fear	2	0.006
H0127	lex	001005002	Land	225	1.0
H0127	sdbg	001006	The Earth's Surface	108	0.53
H0128	lex	003001010	Names of Locations	1	1.0
H0130	lex	003001006	Names of Groups	12	1.0
H0130	sdbg	093002	Places	4	1.0
H0132	ctx	018	Body	3	0.6
H0132	ctx	015	Beauty	2	0.4
H0132	lex	002001001015	Color	3	1.0
H0133	lex	003001007	Names of People	1	1.0
H0134	core	019	Building	57	1.0
H0134	ctx	141	Sanctuary	56	0.966
H0134	ctx	019	Building	2	0.034
H0134	lex	001005001	Constructions	57	1.0
H0134	sdbg	008002	Parts of the Body	11	1.0
H0135	lex	003001010	Names of Locations	1	1.0
H0136	core	050	Divine	437	0.995
H0136	ctx	075	Human	1	1.0
H0136	lex	003001017	Titles	437	0.998
H0136	sdbg	092004	Whom or What Spoken or Written About	21	0.467
H0136	sdbg	012001	Supernatural Beings	18	0.394
H0138	lex	003001007	Names of People	26	1.0
H0140	lex	003001007	Names of People	3	1.0
H0141	lex	003001007	Names of People	2	1.0
H0142	core	158	Status	3	1.0
H0142	ctx	160	Strength	1	0.333
H0142	lex	002001002013	Great	3	1.0
H0143	lex	003001013	Names of Times	8	1.0
H0144	lex	003001013	Names of Times	1	1.0
H0145	core	158	Status	2	1.0
H0145	ctx	031	Clothing	1	0.333
H0145	lex	002001002013	Great	2	1.0
H0146	lex	003001010	Names of Locations	1	0.5
H0147	core	006	Agriculture	1	1.0
H0147	lex	001005001	Constructions	1	1.0
H0148	core	014	Authority	2	0.5
H0148	core	187	Wisdom	2	0.5
H0148	lex	001001002003006	Leaders	2	0.5
H0148	lex	001001002003008	Officials	2	0.5
H0149	core	188	Work	1	1.0
H0149	lex	002001002006	Diligent	1	1.0
H0150	core	130	Quantity	2	0.5
H0150	core	178	Weight	2	0.5
H0150	lex	002001001066	Weight	2	1.0
H0151	lex	003001007	Names of People	2	1.0
H0152	lex	003001007	Names of People	2	0.667
H0153	core	050	Divine	1	0.5
H0153	lex	001001002	Creatures	1	1.0
H0154	lex	003001010	Names of Locations	8	1.0
H0155	core	031	Clothing	10	0.833
H0155	core	158	Status	2	0.167
H0155	ctx	126	Prophecy	6	0.545
H0155	lex	001004001002	Clothing	10	0.833
H0155	lex	002001002013	Great	2	0.167
H0157	core	003	Affection	214	0.995
H0157	ctx	075	Human	119	0.395
H0157	ctx	098	Marriage	43	0.143
H0157	ctx	016	Behavior	38	0.126
H0157	ctx	050	Divine	25	0.083
H0157	ctx	091	Law	23	0.076
H0157	ctx	078	Idolatry	14	0.047
H0157	ctx	119	Politics	12	0.04
H0157	ctx	089	Kinship	8	0.027
H0157	ctx	062	Food	5	0.017
H0157	ctx	170	Town	4	0.013
H0157	ctx	092	Life and Death	3	0.01
H0157	ctx	187	Wisdom	2	0.007
H0157	lex	002001002019	Love	214	0.995
H0157	sdbg	025003	Love, Affection, Compassion	144	0.844
H0158	core	003	Affection	2	0.667
H0158	ctx	009003	Animal > Human	1	0.2
H0158	lex	002001001028	Good	1	0.5
H0159	core	146	Sex	1	1.0
H0159	ctx	086	Joy and Grief	1	1.0
H0159	lex	002003001004	Copulate	1	1.0
H0160	core	003	Affection	34	1.0
H0160	ctx	075	Human	35	0.729
H0160	ctx	050	Divine	5	0.104
H0160	lex	002001002019	Love	34	1.0
H0160	sdbg	025003	Love, Affection, Compassion	20	0.976
H0161	lex	003001007	Names of People	2	1.0
H0162	lex	004005	Evaluators	15	1.0
H0162	sdbg	091004	Marker of Direct Address	6	1.0
H0163	lex	003001015	Names of Waterbodies	3	1.0
H0164	lex	003001007	Names of People	9	1.0
H0166	ctx	093	Light and Darkness	1	1.0
H0166	lex	002001001049	Shine	1	1.0
H0167	core	074	Household	3	0.333
H0167	core	109	Nomad	3	0.333
H0167	core	155	Space	3	0.333
H0167	lex	002002001004	Dwell	3	1.0
H0168	core	019	Building	280	0.508
H0168	core	141	Sanctuary	151	0.274
H0168	core	074	Household	57	0.103
H0168	core	155	Space	57	0.103
H0168	core	106	Nation	6	0.011
H0168	ctx	075002	Human > Divine	56	0.424
H0168	ctx	141	Sanctuary	50	0.379
H0168	ctx	176	Warfare	7	0.053
H0168	ctx	109	Nomad	7	0.053
H0168	ctx	106	Nation	5	0.038
H0168	ctx	026	Creation	2	0.015
H0168	lex	001005001008	Tents	337	0.983
H0168	lex	002002001004	Dwell	6	0.017
H0168	sdbg	007002	Buildings	224	0.886
H0169	lex	003001007	Names of People	1	1.0
H0170	lex	003001007	Names of People	5	1.0
H0171	lex	003001007	Names of People	5	1.0
H0172	lex	003001007	Names of People	6	1.0
H0173	lex	003001007	Names of People	8	1.0
H0174	core	117	Plant	4	0.667
H0174	core	145	Senses	2	0.333
H0174	ctx	015	Beauty	2	0.4
H0174	ctx	045	Decoration	2	0.4
H0174	lex	001003002	Trees	4	1.0
H0175	lex	003001007	Names of People	347	1.0
H0175	sdbg	093001	Persons	336	1.0
H0176	lex	002003	Connection	317	0.991
H0176	lex	004008	Stipulators	2	0.006
H0176	sdbg	089024	Alternative Relation	225	0.811
H0177	lex	003001007	Names of People	1	1.0
H0178	core	092	Life and Death	16	0.356
H0178	core	097	Magic	16	0.356
H0178	core	075	Human	5	0.111
H0178	core	188	Work	5	0.111
H0178	ctx	091	Law	4	0.8
H0178	lex	001001002002	Spirits	16	0.941
H0179	lex	003001007	Names of People	1	1.0
H0180	core	041	Construction	3	0.5
H0180	core	094	Liquids	3	0.5
H0180	lex	001005007	Waterbodies	3	1.0
H0181	core	060	Fire	3	0.5
H0181	core	117	Plant	3	0.5
H0181	ctx	060	Fire	3	0.5
H0181	ctx	117003	Plant > Human	3	0.5
H0181	lex	001003	Vegetation	3	1.0
H0182	lex	002002003003	Happen	11	0.917
H0183	core	099	Mind	14	0.538
H0183	core	018	Body	12	0.462
H0183	ctx	075	Human	21	0.512
H0183	ctx	062	Food	10	0.244
H0183	ctx	050	Divine	4	0.098
H0183	ctx	120	Possession	2	0.049
H0183	ctx	014	Authority	2	0.049
H0183	lex	002004002001001	Wish	14	0.538
H0183	lex	002004001001001	Desire	12	0.462
H0183	sdbg	025002	Desire Strongly	6	1.0
H0184	core	037	Communication	1	0.5
H0184	lex	002004002007	Know	1	1.0
H0185	core	018	Body	4	0.571
H0185	core	099	Mind	3	0.429
H0185	ctx	075	Human	5	0.5
H0185	ctx	062	Food	3	0.3
H0185	lex	002004001001001	Desire	7	1.0
H0186	lex	003001007	Names of People	1	1.0
H0187	core	025	Crafts	1	1.0
H0187	ctx	032	Commerce	1	1.0
H0187	lex	003001007	Names of People	2	0.5
H0188	lex	004005	Evaluators	24	1.0
H0188	sdbg	022001	Trouble, Hardship, Distress	14	0.824
H0188	sdbg	091004	Marker of Direct Address	3	0.176
H0189	lex	003001007	Names of People	2	1.0
H0190	lex	004005	Evaluators	1	1.0
H0191	core	187	Wisdom	26	1.0
H0191	ctx	040	Conflict	5	0.278
H0191	ctx	037	Communication	5	0.278
H0191	ctx	132	Recompense	3	0.167
H0191	ctx	014	Authority	2	0.111
H0191	lex	002001002011	Foolish	26	1.0
H0191	sdbg	032005	Lack of Capacity for Understanding	12	1.0
H0193	core	018	Body	1	1.0
H0193	ctx	069	Health and Sickness	1	0.5
H0193	lex	001001002003	People	1	1.0
H0194	lex	004001	Affirmers	45	1.0
H0194	sdbg	089010	Condition	15	0.545
H0194	sdbg	089009	Purpose	6	0.214
H0195	lex	003001015	Names of Waterbodies	2	1.0
H0196	core	187	Wisdom	1	1.0
H0196	lex	002001002011	Foolish	1	1.0
H0198	lex	003001007	Names of People	4	1.0
H0199	lex	004002	Contrastors	19	1.0
H0199	sdbg	089023	Contrast	9	0.903
H0200	core	187	Wisdom	25	1.0
H0200	ctx	037	Communication	6	0.375
H0200	ctx	132	Recompense	4	0.25
H0200	ctx	016	Behavior	3	0.188
H0200	ctx	040	Conflict	3	0.188
H0200	lex	002001002011	Foolish	25	1.0
H0200	sdbg	032005	Lack of Capacity for Understanding	4	1.0
H0201	lex	003001007	Names of People	3	1.0
H0202	core	160	Strength	10	0.417
H0202	core	018	Body	9	0.375
H0202	core	180	Wealth and Poverty	3	0.125
H0202	ctx	075	Human	7	0.538
H0202	ctx	028	Childbirth	4	0.308
H0202	lex	002001001060	Strong	9	0.562
H0202	lex	001	Objects	3	0.188
H0202	lex	002003002020	Possess	3	0.188
H0203	lex	003001007	Names of People	1	1.0
H0204	lex	003001010	Names of Locations	3	1.0
H0205	core	016	Behavior	64	0.736
H0205	core	184	Well-Being	12	0.138
H0205	core	158	Status	4	0.046
H0205	core	086	Joy and Grief	2	0.023
H0205	core	102	Mourning	2	0.023
H0205	ctx	132	Recompense	24	0.304
H0205	ctx	185	Willingness	11	0.139
H0205	ctx	099	Mind	11	0.139
H0205	ctx	078	Idolatry	6	0.076
H0205	ctx	037	Communication	6	0.076
H0205	ctx	143	Security	4	0.051
H0205	ctx	062	Food	3	0.038
H0205	ctx	028001	Childbirth > Behavior	3	0.038
H0205	ctx	006002	Agriculture > Behavior	2	0.025
H0205	ctx	018	Body	2	0.025
H0205	ctx	187	Wisdom	2	0.025
H0205	lex	002001003020	Wrong	64	0.762
H0205	lex	002003003020	Unsafe	10	0.119
H0205	lex	002002002006	Non-Exist	4	0.048
H0205	lex	002001002014	Grieve	2	0.024
H0205	sdbg	088018	Act Lawlessly	26	0.667
H0206	lex	003001010	Names of Locations	1	1.0
H0207	lex	003001010	Names of Locations	5	1.0
H0208	lex	003001007	Names of People	4	1.0
H0209	lex	003001007	Names of People	8	1.0
H0210	lex	003001010	Names of Locations	2	1.0
H0211	lex	003001010	Names of Locations	11	0.846
H0211	lex	003001007	Names of People	2	0.154
H0211	sdbg	084002	Extension To a Goal	1	0.498
H0212	core	103	Motion	35	1.0
