# Louvain communities over the semantic_neighbors graph (BEREL+sense-split, xling-free clustering input). Canonical config: high+LLM-prior tiers, resolution=5.0 (median cluster size 23, ~45% same-domain agreement vs SDBH yardstick). NOT LLM-labeled yet — cluster_id is arbitrary, not a domain name. CC0 lineage. See build_domain_clusters.py.
lexeme	strong	cluster_id	cluster_size
hbo:0006#1	H0006	0	28
hbo:0006#2	H0006	0	28
hbo:0006#3	H0006	0	28
hbo:0006#_nosense	H0006	0	28
hbo:0007	H0007	0	28
hbo:0008	H0008	0	28
hbo:0009#1	H0009	0	28
hbo:0010a	H0010	0	28
hbo:0012	H0012	0	28
hbo:0013	H0013	0	28
hbo:2763#1	H2763	0	28
hbo:2763#_nosense	H2763	0	28
hbo:3582#2	H3582	0	28
hbo:3582#_nosense	H3582	0	28
hbo:3772#1	H3772	0	28
hbo:3772#2	H3772	0	28
hbo:3772#_nosense	H3772	0	28
hbo:3773	H3773	0	28
hbo:4220	H4220	0	28
hbo:4221	H4221	0	28
hbo:4229#1	H4229	0	28
hbo:4229#2	H4229	0	28
hbo:4239	H4239	0	28
hbo:6783	H6783	0	28
hbo:6789#1	H6789	0	28
hbo:6789#_nosense	H6789	0	28
hbo:8045#1	H8045	0	28
hbo:8045#_nosense	H8045	0	28
hbo:0018	H0018	1	18
hbo:0075	H0075	1	18
hbo:0220	H0220	1	18
hbo:0717	H0717	1	18
hbo:0723#1	H0723	1	18
hbo:0738#1	H0738	1	18
hbo:0744	H0744	1	18
hbo:1668#_nosense	H1668	1	18
hbo:1677#1	H1677	1	18
hbo:1791#_nosense	H1791	1	18
hbo:1797#_nosense	H1797	1	18
hbo:2061#1	H2061	1	18
hbo:3715#1	H3715	1	18
hbo:3833#1	H3833	1	18
hbo:3965	H3965	1	18
hbo:5246#1	H5246	1	18
hbo:7826#1	H7826	1	18
hbo:7827	H7827	1	18
hbo:0034#1	H0034	2	18
hbo:0034#_nosense	H0034	2	18
hbo:0490#1	H0490	2	18
hbo:0491#1	H0491	2	18
hbo:1790#1	H1790	2	18
hbo:1795	H1795	2	18
hbo:1800#1	H1800	2	18
hbo:1800#_nosense	H1800	2	18
hbo:1803a#1	H1803	2	18
hbo:1809#1	H1809	2	18
hbo:3490#1	H3490	2	18
hbo:4434	H4434	2	18
hbo:4542#1	H4542	2	18
hbo:6041#1	H6041	2	18
hbo:6041#2	H6041	2	18
hbo:6041#_nosense	H6041	2	18
hbo:7326#1	H7326	2	18
hbo:7389#1	H7389	2	18
hbo:0046#1	H0046	3	28
hbo:0047#1	H0047	3	28
hbo:0047#_nosense	H0047	3	28
hbo:0082	H0082	3	28
hbo:0083#1	H0083	3	28
hbo:0084#1	H0084	3	28
hbo:0117#1	H0117	3	28
hbo:0117#_nosense	H0117	3	28
hbo:0142#1	H0142	3	28
hbo:0145	H0145	3	28
hbo:0386#1	H0386	3	28
hbo:0386#2	H0386	3	28
hbo:0657#1	H0657	3	28
hbo:0657#_nosense	H0657	3	28
hbo:1368#1	H1368	3	28
hbo:1368#_nosense	H1368	3	28
hbo:2389#1	H2389	3	28
hbo:2428#1	H2428	3	28
hbo:3524#1	H3524	3	28
hbo:3527	H3527	3	28
hbo:3530	H3530	3	28
hbo:3670	H3670	3	28
hbo:3671#1	H3671	3	28
hbo:5133#1	H5133	3	28
hbo:5303#1	H5303	3	28
hbo:5794#1	H5794	3	28
hbo:7757#1	H7757	3	28
hbo:7757#2	H7757	3	28
hbo:0080#1	H0080	4	13
hbo:0081	H0081	4	13
hbo:0572#1	H0572	4	13
hbo:0665#1	H0665	4	13
hbo:0830#1	H0830	4	13
hbo:0830#2	H0830	4	13
hbo:4942	H4942	4	13
hbo:6080	H6080	4	13
hbo:6083#1	H6083	4	13
hbo:6428#1	H6428	4	13
hbo:8239	H8239	4	13
hbo:8240a	H8240	4	13
hbo:8242#1	H8242	4	13
hbo:0101#1	H0101	5	14
hbo:2846	H2846	5	14
hbo:3257#1	H3257	5	14
hbo:3261	H3261	5	14
hbo:4207#1	H4207	5	14
hbo:4219#1	H4219	5	14
hbo:4289#1	H4289	5	14
hbo:4289#2	H4289	5	14
hbo:4518#1	H4518	5	14
hbo:5592a#1	H5592	5	14
hbo:7083#1	H7083	5	14
hbo:7086#1	H7086	5	14
hbo:7184#1	H7184	5	14
hbo:8258	H8258	5	14
hbo:3244	H3244	6	11
hbo:3563#1	H3563	6	11
hbo:3563a#1	H3563	6	11
hbo:5398	H5398	6	11
hbo:5399#1	H5399	6	11
hbo:5847#1	H5847	6	11
hbo:6893#1	H6893	6	11
hbo:7477	H7477	6	11
hbo:7478	H7478	6	11
hbo:7479	H7479	6	11
hbo:8653#1	H8653	6	11
hbo:0102#1	H0102	7	21
hbo:0247#1	H0247	7	21
hbo:2296#1	H2296	7	21
hbo:2488	H2488	7	21
hbo:2502#1	H2502	7	21
hbo:2502#2	H2502	7	21
hbo:2502#_nosense	H2502	7	21
hbo:2502a#1	H2502	7	21
hbo:2502a#_nosense	H2502	7	21
hbo:2504	H2504	7	21
hbo:2508	H2508	7	21
hbo:4189	H4189	7	21
hbo:4254	H4254	7	21
hbo:4255	H4255	7	21
hbo:4900#1	H4900	7	21
hbo:4900#2	H4900	7	21
hbo:4900#_nosense	H4900	7	21
hbo:4901	H4901	7	21
hbo:6633	H6633	7	21
hbo:6635#1	H6635	7	21
hbo:6635#2	H6635	7	21
hbo:0108	H0108	8	19
hbo:0181#1	H0181	8	19
hbo:0343#1	H0343	8	19
hbo:0611#1	H0611	8	19
hbo:1942#1	H1942	8	19
hbo:1942a#1	H1942	8	19
hbo:1943#1	H1943	8	19
hbo:4827	H4827	8	19
hbo:4834	H4834	8	19
hbo:4875#_nosense	H4875	8	19
hbo:6365#1	H6365	8	19
hbo:7451#1	H7451	8	19
hbo:7451b#1	H7451	8	19
hbo:7455#1	H7455	8	19
hbo:7455#2	H7455	8	19
hbo:7489#1	H7489	8	19
hbo:7489#2	H7489	8	19
hbo:7489a#_nosense	H7489	8	19
hbo:7722a#_nosense	H7722	8	19
hbo:0068#1	H0068	9	15
hbo:0070	H0070	9	15
hbo:0113#1	H0113	9	15
hbo:0134#1	H0134	9	15
hbo:0136#1	H0136	9	15
hbo:0136#_nosense	H0136	9	15
hbo:0410	H0410	9	15
hbo:0430#1	H0430	9	15
hbo:0433#1	H0433	9	15
hbo:1491	H1491	9	15
hbo:1496#1	H1496	9	15
hbo:3871#1	H3871	9	15
hbo:3871#2	H3871	9	15
hbo:4756#1	H4756	9	15
hbo:7175#1	H7175	9	15
hbo:4428#1	H4428	10	23
hbo:4474	H4474	10	23
hbo:4896	H4896	10	23
hbo:4910#1	H4910	10	23
hbo:5057#1	H5057	10	23
hbo:5461#1	H5461	10	23
hbo:5631#1	H5631	10	23
hbo:5633#1	H5633	10	23
hbo:6346#1	H6346	10	23
hbo:7101#1	H7101	10	23
hbo:7101#2	H7101	10	23
hbo:7287#1	H7287	10	23
hbo:7333	H7333	10	23
hbo:7336#1	H7336	10	23
hbo:7860#1	H7860	10	23
hbo:7980	H7980	10	23
hbo:7983	H7983	10	23
hbo:7986	H7986	10	23
hbo:7989#1	H7989	10	23
hbo:7991#1	H7991	10	23
hbo:8269#1	H8269	10	23
hbo:8323	H8323	10	23
hbo:8660#1	H8660	10	23
hbo:0122#1	H0122	11	18
