strong	sense	gloss	count	share
G0000	1	Arni	2	1.0
G0004	1	unburdensome	1	1.0
G0005	1	Abba	1	1.0
G0011	1	Abraham	3	1.0
G0012	1	abyss	9	1.0
G0014	1	doing good	2	1.0
G0015	1	doing good	9	1.0
G0016	1	well doing	1	1.0
G0017	1	well doers	1	1.0
G0018	1	good	100	1.0
G0019	1	goodness	4	1.0
G0020	1	gladness	2	0.4
G0020	2	gladness	2	0.4
G0021	1	rejoiced	8	0.727
G0021	2	rejoice	2	0.182
G0022	1	unmarried	4	1.0
G0023	1	were indignant	6	0.857
G0024	1	indignation	1	1.0
G0025	1	loving	137	0.972
G0025	2	having been loved	4	0.028
G0026	1	love	114	0.991
G0027	1	beloved	60	1.0
G0029	1	they compelled	2	0.667
G0030	1	vessels	2	1.0
G0031	1	message	2	1.0
G0032	1	angel	165	0.959
G0032	2	messenger	7	0.041
G0034	1	herd	7	1.0
G0035	1	without genealogy	1	1.0
G0036	1	low-born	1	1.0
G0037	1	having been sanctified	25	0.893
G0037	2	hallowed be	2	0.071
G0038	1	sanctification	8	0.8
G0038	2	holiness	2	0.2
G0040	1	Holy	162	0.717
G0040	2	saints	62	0.274
G0040	3	Holy	2	0.009
G0041	3	holiness	1	0.5
G0042	1	holiness	3	1.0
G0043	1	arms	1	1.0
G0044	1	hook	1	1.0
G0045	1	anchors	4	1.0
G0046	1	unshrunk	2	1.0
G0047	1	purity	2	1.0
G0048	1	they might purify	7	1.0
G0049	1	purification	1	1.0
G0050	1	be ignorant	11	0.5
G0050	2	they did not understand	2	0.091
G0050	4	not having known	2	0.091
G0050	3	be ignorant	2	0.091
G0050	5	is ignorant	2	0.091
G0050	6	being unknown	2	0.091
G0051	1	sins of ignorance	1	1.0
G0052	1	ignorance	4	1.0
G0053	1	pure	8	1.0
G0054	1	purity	2	1.0
G0056	1	ignorance	2	1.0
G0057	1	an unknown	1	1.0
G0058	1	marketplaces	11	1.0
G0059	1	buying	23	0.92
G0059	2	You purchased	2	0.08
G0060	1	market-loungers	1	0.5
G0061	1	catch	2	1.0
G0062	1	unschooled	1	1.0
G0063	1	lodging in the fields	1	1.0
G0064	1	they might catch	1	1.0
G0065	1	wild olive tree	2	1.0
G0066	1	wild	3	1.0
G0068	1	field	27	0.771
G0068	2	country	4	0.114
G0068	3	country	4	0.114
G0069	1	watch	2	0.5
G0069	2	watching	2	0.5
G0070	1	watchings	2	1.0
G0071	1	brought [him	46	0.667
G0071	2	they might lead away	11	0.159
G0071	3	let us go	7	0.101
G0071	4	they led [Him] away	3	0.043
G0072	1	conduct	1	1.0
G0073	2	conflict	2	0.333
G0073	1	fight	2	0.333
G0074	1	agony	1	1.0
G0075	1	Strive	4	0.571
G0075	2	Fight	2	0.286
G0077	1	free of charge	1	1.0
G0079	1	sister	25	1.0
G0080	1	brothers	334	0.994
G0080	2	brother	2	0.006
G0081	1	brotherhood	2	1.0
