strong	sense	gloss	count	share
H0001	1	father	682	0.565
H0001	2	fathers	400	0.331
H0001	3	ancestral	126	0.104
H0002	1	father	9	1.0
H0003	1	flower	2	1.0
H0004	1	fruit	3	1.0
H0006	1	perish	101	0.58
H0006	2	destroy	61	0.351
H0006	3	lost	8	0.046
H0007	1	destroyed	4	0.571
H0007	2	perish	2	0.286
H0008	1	destruction	2	1.0
H0009	1	lost	4	1.0
H0010	1	abaddon	1	1.0
H0011	1	abaddon	5	1.0
H0012	1	destroying	1	1.0
H0013	1	destruction	1	1.0
H0014	1	willing	48	0.889
H0014	2	consent	6	0.111
H0016	1	papyrus	1	1.0
H0018	1	manger	3	1.0
H0019	1	slaughter	1	1.0
H0020	1	melons	1	1.0
H0024	1	abib	6	0.75
H0024	2	ear	2	0.25
H0034	1	needy	17	1.0
H0035	1	desire	1	1.0
H0046	1	mighty one	6	1.0
H0047	1	mighty	6	0.353
H0047	3	stallions	4	0.235
H0047	2	bulls	4	0.235
H0055	1	swirled upward	1	1.0
H0056	1	mourn	36	0.947
H0057	1	mourners	5	0.625
H0057	2	mourning	3	0.375
H0060	1	mourning	23	0.958
H0068	1	stones	214	0.787
H0068	2	stones	36	0.132
H0068	3	weight	13	0.048
H0068	4	stones	6	0.022
H0068	5	stone	3	0.011
H0069	1	stone	8	1.0
H0070	1	birthstool	1	0.5
H0073	1	sash	9	1.0
H0075	1	fattened	2	1.0
H0076	1	sores	2	1.0
H0079	1	wrestled	2	1.0
H0080	1	dust	6	1.0
H0081	1	fragrant powders	1	1.0
H0082	1	soars	1	1.0
H0083	1	wings	2	0.667
H0084	1	pinions	4	1.0
H0092	1	bunch	1	0.25
H0093	1	nut trees	1	1.0
H0095	1	piece	1	1.0
H0096	1	drops	1	1.0
H0098	1	pool	8	0.889
H0099	1	grieved	1	1.0
H0100	1	reed	4	0.8
H0101	1	bowl	2	0.667
H0102	1	troops	7	1.0
H0103	1	gathers	3	1.0
H0104	1	letter	3	1.0
H0105	1	basins	2	1.0
H0106	1	fist	2	1.0
H0107	1	letters	10	1.0
H0108	1	mist	2	1.0
H0109	1	grieve	1	1.0
H0113	1	lord	313	0.937
H0113	2	Lord	21	0.063
H0117	1	nobles	7	0.259
H0117	2	mighty	6	0.222
H0117	4	majestic	4	0.148
H0117	3	leaders	4	0.148
H0117	5	mighty	3	0.111
H0117	6	nobles	2	0.074
H0119	1	dyed red	5	1.0
H0120	1	man	549	1.0
H0122	1	red	9	1.0
H0124	1	carnelian	3	1.0
H0125	1	reddish	4	0.667
H0125	2	reddish	2	0.333
H0127	1	land	211	0.946
H0127	2	dust	4	0.018
H0127	3	land	4	0.018
H0127	4	earth	2	0.009
H0127	5	ground	2	0.009
H0132	1	ruddy	2	0.667
H0134	1	bases	56	0.982
H0136	1	Lord	416	1.0
H0142	1	glorious	2	0.667
H0145	1	robe	1	0.5
H0147	1	threshing floors	1	1.0
H0148	1	counselors	2	1.0
H0150	1	darics	2	1.0
H0153	1	force	1	1.0
H0155	1	mantle	10	0.833
H0155	2	splendid	2	0.167
H0157	1	love	171	0.851
H0157	3	lovers	17	0.085
H0157	2	friends	13	0.065
H0158	1	loving	1	0.5
H0159	1	love	1	1.0
H0160	1	love	30	1.0
H0166	1	bright	1	1.0
H0167	1	moved ~ tent	2	0.667
H0168	1	tent	171	0.514
H0168	2	tent	148	0.444
H0168	3	tent	14	0.042
H0174	1	aloes	2	1.0
H0178	1	mediums	14	1.0
H0180	1	canal	3	1.0
H0181	1	burning stick	2	0.667
H0182	1	reasons of	11	1.0
H0183	1	desire	26	1.0
H0184	1	draw a line	1	1.0
H0185	1	desire	6	0.857
H0191	1	fool	19	1.0
H0193	1	bodies	1	1.0
H0196	1	foolish	1	1.0
H0200	1	folly	23	1.0
H0202	1	strength	9	0.75
H0202	2	wealth	3	0.25
H0205	1	iniquity	63	0.797
H0205	2	misfortune	8	0.101
H0205	3	delusion	3	0.038
H0205	4	mourning	2	0.025
H0205	6	idol	2	0.025
H0212	1	wheels	29	1.0
H0213	1	hasty	4	0.4
H0213	3	urged	2	0.2
H0213	2	hurry	2	0.2
H0214	1	treasuries	53	0.671
H0214	2	treasures	24	0.304
H0215	1	shine	29	0.707
H0215	3	lit up	4	0.098
H0215	2	brightened	4	0.098
H0215	5	light	3	0.073
H0216	1	light	101	0.842
H0216	2	light	9	0.075
H0216	5	lightning	5	0.042
H0216	3	light	4	0.033
H0217	1	fire	4	0.667
H0219	1	light	2	0.667
H0220	1	sheepfolds	1	1.0
H0224	1	urim	7	1.0
H0225	1	agree	4	1.0
H0226	2	sign	47	0.595
H0226	1	signs	30	0.38
H0226	3	banners	2	0.025
H0228	1	heat	2	0.667
H0230	1	firm	2	1.0
H0231	1	hyssop	10	1.0
H0232	1	loincloth	13	1.0
H0234	1	memorial portion	7	1.0
H0235	1	gone	3	0.75
H0236	1	went	6	1.0
H0238	1	listen	25	1.0
H0239	1	weighing	1	1.0
H0240	1	utensils	1	1.0
H0241	2	hearing	92	0.492
H0241	1	ears	84	0.449
H0241	3	ear of	11	0.059
H0246	1	chains	2	1.0
H0247	1	girded	14	0.875
H0248	1	arm	2	1.0
H0249	1	native	13	1.0
H0251	1	brother	368	0.585
H0251	2	brothers	227	0.361
H0251	3	another	29	0.046
H0251	4	brothers	5	0.008
H0252	1	brothers	1	1.0
H0254	1	brazier	3	1.0
H0255	1	howling creatures	1	1.0
H0258	1	slash	1	1.0
H0260	1	reeds	3	1.0
H0262	1	declaration	1	1.0
H0264	1	brotherhood	1	1.0
H0268	1	back	28	0.683
H0268	2	back	6	0.146
H0268	5	hindquarters	2	0.049
H0268	4	backward	2	0.049
H0268	3	future	2	0.049
H0269	1	sister	98	0.867
H0269	2	another	8	0.071
H0269	3	sister	5	0.044
H0269	4	sister	2	0.018
H0270	2	seized	33	0.508
H0270	3	hold	6	0.092
H0270	5	acquire property	5	0.077
H0270	4	drawn	5	0.077
H0270	13	caught	3	0.046
H0270	6	hold	3	0.046
H0270	9	joined	2	0.031
H0270	7	handle	2	0.031
H0270	8	bar	2	0.031
H0270	1	supports	2	0.031
H0272	1	property	66	1.0
H0280	1	riddles	1	1.0
H0306	1	amethyst	2	1.0
H0309	1	delay	15	0.882
H0309	2	linger	2	0.118
H0310	1	after	3	0.6
H0312	1	other	162	0.976
H0312	2	next	4	0.024
H0314	1	last	13	0.255
H0314	2	next	10	0.196
H0314	3	last	9	0.176
H0314	7	next	6	0.118
H0314	4	second	5	0.098
H0314	5	western	5	0.098
H0314	6	last	3	0.059
H0317	1	another	6	1.0
H0319	1	end	32	0.525
H0319	2	latter	15	0.246
H0319	3	future	5	0.082
H0319	5	future	4	0.066
H0319	4	survivors	4	0.066
H0320	1	end	1	1.0
H0321	1	one	3	0.6
H0321	2	someone else	2	0.4
H0323	1	satraps	4	1.0
H0324	1	satraps	9	1.0
H0327	1	royal	2	1.0
H0328	2	slowly	1	0.5
H0329	1	bramble	4	1.0
H0330	1	linen	1	1.0
H0331	1	narrow	4	1.0
H0332	1	close	1	1.0
H0334	1	bound of	2	1.0
H0338	1	hyenas	3	1.0
H0339	1	coastlands	36	1.0
H0340	1	be an enemy	1	1.0
H0341	1	enemies	281	1.0
H0342	1	hostility	5	1.0
H0343	1	calamity	15	1.0
H0344	1	falcon	3	1.0
H0352	1	ram	156	0.848
H0352	2	jambs	19	0.103
H0352	3	leading men	5	0.027
H0352	4	oaks	3	0.016
H0353	1	strength	1	1.0
H0354	1	deer	8	0.727
H0354	2	stags	3	0.273
H0355	1	deer	8	1.0
H0360	1	help	1	1.0
H0361	1	portico	33	1.0
H0363	1	tree	6	1.0
H0365	1	doe	3	1.0
H0366	1	awesome	3	1.0
H0367	1	terror	15	1.0
H0369	1	nothing	7	1.0
H0374	1	ephah	30	0.75
H0374	3	measure	5	0.125
H0374	2	basket	5	0.125
H0376	1	man	1770	0.811
H0376	2	each	338	0.155
H0376	3	husband	72	0.033
H0376	4	male	2	0.001
H0377	1	consider	1	1.0
H0380	1	apple	3	0.75
H0383	1	there is	16	1.0
H0386	1	perennial	3	0.231
H0386	2	ever-flowing	3	0.231
H0386	4	steady	2	0.154
H0386	3	enduring	2	0.154
H0388	1	ethanim	1	1.0
H0391	1	deceitful	2	1.0
H0393	1	cruel	2	0.5
H0394	1	cruel	8	1.0
H0395	1	cruel	1	1.0
H0396	1	food	1	1.0
H0398	1	eat	631	0.78
H0398	2	devour	171	0.211
H0398	3	food	3	0.004
H0398	4	using up	2	0.002
H0399	1	devour	5	0.714
H0399	2	they chewed up	2	0.286
H0400	1	food	36	0.837
H0400	2	eat	6	0.14
H0402	1	food	15	1.0
H0404	1	urges ~ on	1	1.0
H0405	1	pressure	1	1.0
H0406	1	farmers	7	1.0
H0410	1	God	232	0.963
H0410	2	power	5	0.021
H0410	3	mighty	3	0.012
H0417	1	hail	3	1.0
H0418	1	algum	3	1.0
H0421	1	lament	1	1.0
