# source=MACULA Quotation and Speaker Data, (c) 2023 by Clear Bible, Inc, CC-BY-4.0, https://github.com/Clear-Bible/speaker-quotations/
# anchor=verse range (START/END VS → BBCCCVVV); consensus (Clear-Aligned-Projections)
speaker	alt_speaker	start_bbcccvvv	end_bbcccvvv	quote_type	delivery	divine
God		1001003	1001003	Normal		Y
God		1001006	1001006	Normal		Y
God		1001009	1001009	Normal		Y
God		1001011	1001011	Normal		Y
God		1001014	1001015	Normal		Y
God		1001020	1001020	Normal		Y
God		1001022	1001022	Normal		Y
God		1001024	1001024	Normal		Y
God		1001026	1001026	Normal		Y
God		1001028	1001030	Normal	blessing	Y
God		1002016	1002018	Normal		Y
Adam		1002023	1002023	Normal		
serpent		1003001	1003001	Normal		
Eve		1003002	1003003	Normal		
serpent		1003004	1003005	Normal		
God		1003009	1003009	Normal	calling out	Y
Adam		1003010	1003010	Normal		
God		1003011	1003011	Normal		Y
Adam		1003012	1003012	Normal		
Eve		1003013	1003013	Normal		
God		1003013	1003019	Normal		Y
God		1003022	1003022	Normal		Y
Eve		1004001	1004001	Normal		
God		1004006	1004007	Normal		Y
Cain		1004009	1004009	Normal		
God		1004009	1004009	Normal		Y
God		1004010	1004012	Normal		Y
Cain		1004013	1004014	Normal		
God		1004015	1004015	Normal		Y
Lamech (descendent of Cain)		1004023	1004024	Normal		
Eve		1004025	1004025	Normal		
Lamech (descendent of Seth)		1005029	1005029	Normal		
God		1006003	1006003	Normal		Y
God		1006007	1006007	Normal		Y
God		1006013	1006021	Normal		Y
God		1007001	1007004	Normal		Y
God		1008016	1008017	Normal		Y
God		1008021	1009007	Normal	said in his heart	Y
God		1009009	1009017	Implicit		Y
Noah		1009025	1009027	Normal		
saying about Nimrod		1010009	1010009	Quotation		
men of Babel		1011003	1011004	Normal		
God		1011006	1011007	Normal		Y
God		1012001	1012003	Normal		Y
God		1012007	1012007	Normal		Y
Abraham (Abram)		1012011	1012013	Normal		
Pharaoh (1st)		1012018	1012019	Normal		
Abraham (Abram)		1013008	1013009	Normal		
God		1013014	1013017	Normal		Y
Melchizedek, king of Salem (priest of God Most High)		1014019	1014020	Normal		
Bera, king of Sodom		1014021	1014021	Normal		
Abraham (Abram)		1014022	1014024	Normal		
God		1015001	1015001	Normal		Y
Abraham (Abram)		1015002	1015003	Normal		
God		1015004	1015005	Normal		Y
God		1015007	1015007	Normal		Y
Abraham (Abram)		1015008	1015008	Normal		
God		1015009	1015009	Normal		Y
God		1015013	1015016	Normal		Y
God		1015018	1015021	Normal		Y
Sarah (Sarai)		1016002	1016002	Normal		
Sarah (Sarai)		1016005	1016005	Normal		
Abraham (Abram)		1016006	1016006	Normal		
Hagar, Sarai's maid		1016008	1016008	Normal		
Jesus		1016008	1016012	Normal		Y
Hagar, Sarai's maid		1016013	1016013	Normal		
God		1017001	1017002	Normal		Y
God		1017004	1017016	Implicit		Y
Abraham (Abram)		1017017	1017018	Normal		
God		1017019	1017021	Normal		Y
Abraham (Abram)		1018003	1018005	Normal		
Abraham (Abram)		1018006	1018006	Normal		
Abraham (Abram)		1018009	1018009	Normal		
angels at Sodom, two	God	1018009	1018010	Normal		
Sarah (Sarai) (old)		1018012	1018012	Normal		
God		1018013	1018015	Normal		Y
God		1018017	1018021	Normal		Y
Abraham (Abram)		1018023	1018025	Normal		
God		1018026	1018026	Normal		Y
Abraham (Abram)		1018027	1018028	Normal		
Abraham (Abram)		1018029	1018029	Normal		
God		1018029	1018029	Normal		Y
Abraham (Abram)		1018030	1018030	Normal		
God		1018030	1018030	Normal		Y
Abraham (Abram)		1018031	1018031	Normal		
God		1018031	1018031	Normal		Y
Abraham (Abram)		1018032	1018032	Normal		
God		1018032	1018032	Normal		Y
Lot		1019002	1019002	Normal		
angels at Sodom, two		1019002	1019002	Normal		
men of Sodom (wicked)		1019005	1019005	Normal		
Lot		1019007	1019008	Normal		
men of Sodom (wicked)		1019009	1019009	Normal		
angels at Sodom, two		1019012	1019013	Normal		
Lot		1019014	1019014	Normal		
angels at Sodom, two		1019015	1019015	Normal		
angels at Sodom, two		1019017	1019017	Normal		
Lot		1019018	1019020	Normal		
angels at Sodom, two		1019021	1019022	Normal		
older daughter of Lot		1019031	1019032	Normal		
older daughter of Lot		1019034	1019034	Normal		
Abraham (Abram)		1020002	1020002	Normal		
God		1020003	1020003	Normal		Y
Abimelech 1, king of the Philistines (in Gerar)		1020004	1020005	Normal		
God		1020006	1020007	Normal		Y
Abimelech 1, king of the Philistines (in Gerar)		1020009	1020010	Normal		
Abraham (Abram)		1020011	1020013	Normal		
Abimelech 1, king of the Philistines (in Gerar)		1020015	1020016	Normal		
Sarah (Sarai) (old)		1021006	1021007	Normal		
Sarah (Sarai) (old)		1021010	1021010	Normal		
God		1021012	1021013	Normal		Y
Hagar, Sarai's maid		1021016	1021016	Normal		
Jesus		1021017	1021018	Normal		Y
Abimelech 1, king of the Philistines (in Gerar)		1021022	1021023	Normal		
Abraham (Abram)		1021024	1021024	Normal		
Abimelech 1, king of the Philistines (in Gerar)		1021026	1021026	Normal		
