# source=derived from resources/aligned_lex/arb.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
آخَرُونَ	G0243	0.714
آمِين	G0281	1.000
آمِينَ	G0281,H0543	0.586
آهِ	H0162,H0577,H1945	0.368
أَأَنْتَ	G4771,H0859	0.448
أَبَداً	G1519,G2532,G3756	0.463
أَثْنَاءِ	G1722,G2532,G3342	0.438
أَجْلِ	G1223,H5921	0.217
أَجْلِكُمْ	G1223,G4012,G5228	0.292
أَجْلِنَا	G1223,G5228,H1157,H4480	0.600
أَجْلِهِ	G0846,G1223,G4012	0.444
أَجْلِي	G1752,G5228,H1157	0.619
أَسَاسِ	G1223,G1537,G2596	0.571
أَسْفَلُ	G2736,H4295,H8478	0.435
أَفَلا	G3756,G3780	0.500
أَفَلَا	G3756,G3780,H3808	0.533
أَفَمَا	G3756,H3808	0.500
أَلا	G3756,G3768,G3780	0.684
أَلَا	G3756,H3808	0.615
أَلَسْتَ	G3361,G3756,G3780,H3808	0.400
أَلَسْتُمْ	G3756,G3780	0.750
أَلَعَلَّ	G3361,G3385	0.692
أَلَمْ	G3756,H3808	0.525
أَلَيْسَ	G3756,G3780,H3808	0.532
أَلَيْسَتْ	G3756,G3780,H3808	0.542
أَلّا	G3361,G3756	0.674
أَمَا	G3756,H3808	0.514
أَمَّا	G1161	0.713
أَمِ	G1535,G2228	0.484
أَمَّا	G1161	0.128
أَمْ	G1535,G2228,H0518	0.508
أَنَا	G1473,H0589,H0595	0.368
أَنَّ	G1161,G3754	0.491
أَنَّكَ	G3754	0.806
أَنَّكُمْ	G3754	0.444
أَنَّنَا	G1161,G3754	0.512
أَنَّهُ	G3754	0.523
أَنَّهُمْ	G1161,G2532,G3754	0.205
أَنِّي	G1161,G3754	0.414
أَنَّ	G3754,H3588	0.255
أَنَّكَ	G3754,H3588	0.321
أَنَّكُمْ	G3754,H3588	0.300
أَنَّنَا	G3754,H3588	0.615
أَنَّهَا	G3754,H3588	0.477
أَنَّهُ	G3754,H3588	0.316
أَنَّهُمْ	G3754,H0834,H3588	0.263
أَنِّي	G3754,H3588	0.508
أَنْتَ	G4771,H0859	0.560
أَنْتُمُ	G3588,G5210,H0859	0.250
أَنْتُمْ	G5210,H0859	0.392
أَنْتِ	H0859	0.638
أَوَ	G2228,G3361,G3761,G3780,H0518	0.500
أَوِ	G2228,H0176	0.346
أَوْ	G2228,H0176	0.406
أَيَّ	G3367,G3739,G5101	0.273
أَيُّ	G5101,H4100,H4310	0.273
أَيْضاً	G2532	0.842
أَيْضًا	G2532,H1571	0.432
أَيْنَ	G4159,G4226,H0346	0.326
أُولئِكَ	G1565,G3588	0.222
أُولَئِكَ	G1565,H0428,H1992	0.320
إِذًا	G0686,G3767,G5620	0.309
إِذَا	H3588	0.272
إِذَنْ	G0686,G3767,G5620	0.591
إِذْ	G1063	0.111
إِلَا	H3588,H7535	0.500
إِلَى	G1519,H0413,H5704	0.212
إِلَيَّ	G3427,G4314	0.490
إِلَيَّ	H0413	0.788
إِلَيْكَ	G4314,H0413	0.613
إِلَيْكُمْ	G4314,G5213,H0413	0.384
إِلَيْكِ	H0413,H5704,H5921	0.500
إِلَيْنَا	G4314,H0413	0.300
إِلَيْهَا	H0413,H8033	0.413
إِلَيْهِ	G0846,G4314,H0413	0.333
إِلَيْهِمَا	G0846,H0413	0.364
إِلَيْهِمْ	G0846,G4314,H0413	0.306
إِلّا	G1161,G1487	0.335
إِلَّا	G1487,H3588,H7535	0.410
إِنَّ	G3754	0.356
إِنَّمَا	G0235,G1161	0.265
إِنَّهُ	G3754	0.255
إِنِ	G1437,G1487,H0518	0.344
إِنَّ	G3754,H3588	0.221
إِنَّكَ	G3754,H0859,H3588	0.231
إِنَّكُمْ	G3754,H0859,H3588	0.357
إِنَّمَا	H0389,H3588,H7535	0.353
إِنَّنَا	G3754,H0587	0.179
إِنَّهَا	H1931,H1992	0.521
إِنَّهُ	G3754,H1931,H3588	0.245
إِنَّهُمْ	G3754,H1992,H3588	0.152
إِنِّي	H0589,H3588	0.131
إِنْ	G1437,G1487,H0518	0.300
اثْنَا	G1427	1.000
اثْنَتَيْ	G1427	0.923
اثْنَيْنِ	G1417	0.952
الآبَ	G3588	0.931
الآبِدِينَ	G3588	0.950
الآخَرَ	G0240,G3588	0.471
الآنَ	G0737,G3568	0.517
الأَبَدِ	G3588	0.875
الأَرْضِ	G3588	0.845
الأَرْغِفَةَ	G3588	0.909
الأَمْرِ	G3588	0.355
الأَيَّامِ	G3588	0.897
الأُرْدُنِّ	G3588	1.000
الأُمَمَ	G3588	0.917
الأُولَى	G2532,G3588	0.667
الإِنْجِيلِ	G3588,G3739	0.852
الاِبْنَ	G3588	1.000
الاِبْنُ	G3588	1.000
الاِثْنَيْ	G3588	0.938
التَّالِي	G1161,G3588	0.333
التَّلامِيذُ	G3588	0.765
التَّلامِيذِ	G3588	0.893
الدَّاخِلِ	G2080,G2081	0.667
الرَّجُلُ	G3588,G3778	0.600
الرُّسُلُ	G3588	0.882
الرُّسُلِ	G3588	0.818
الزَّمَانِ	G3588	0.714
السَّبَبِ	G1223,G5484	0.650
السَّبْعَةُ	G2033,G3588	0.833
السَّبْعَةِ	G2033,G3588	0.615
السَّمَاءَ	G3588	1.000
الشَّاطِئِ	G3588	0.769
الشَّعْبُ	G3588	0.842
الشَّعْبِ	G3588	0.943
الشَّمْسُ	G3588	0.833
الشَّيْطَانُ	G3588	0.870
الشُّيُوخُ	G3588	0.909
الشِّرِّيرِ	G3588	0.917
الصَّلِيبِ	G3588	0.909
الصِّغَارِ	G3588	1.000
الضَّفَّةِ	G3588,G4008	0.600
الطَّرِيقَ	G3588	0.929
الطَّرِيقِ	G3588	0.829
اللهُ	G3588	0.680
النَّبِيِّ	G3588	1.000
الَّتِي	G3588,G3739	0.262
الَّذِي	G3739	0.310
