# source=derived from resources/aligned_lex/eng.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
above	H4480,H5921	0.437
accomplishments	H0834	0.923
accord	G3661	0.600
after	G3326,H0310	0.469
afterwards	H0310	0.795
ago	G0575,G3819,G4253,H4480	0.308
ah	H0162,H1945	0.519
aha	H1889	0.957
already	G2235,H3528	0.420
amen	G0281,H0543	0.464
because	G1223,G3754,H3588	0.247
behind	H0310	0.451
beneath	H4480,H8478	0.388
beside	G3844,H0681,H5921	0.340
besides	H4480,H5921	0.314
between	H0996	0.815
certain	G5100	0.763
concerning	G4012,H0413,H5921	0.359
either	G2228,H1571,H4480	0.188
especially	G3122	0.667
everywhere	G1722,G3837	0.667
exceedingly	H3966	0.566
except	G1487,H3588	0.479
from	H4480	0.631
greatly	H3966	0.477
hither	G5602,H2008	0.463
hitherto	H4480,H5704	0.789
hosanna	G5614	1.000
how	G4459,H0349	0.187
indeed	G3303	0.388
itself	G0846,G1438	0.202
less	H0637	0.311
lest	G3361,H6435	0.700
longer	G3765,H5750	0.338
manner	G3668,G5615	0.342
more	H5750	0.239
my	G3450,H2967	0.408
myself	G1683,H2967	0.201
nay	H0408,H3808	0.625
neither	G3761,G3777,H3808	0.222
nevertheless	G4133,H0389,H7535	0.136
none	H0369,H3808	0.430
not	G3756,H3808	0.454
nought	H2600	0.545
often	G3740,G4178,G4212	0.325
oh	H0162,H4310	0.294
otherwise	G1893,G3379,H6435	0.328
perhaps	H0194	0.589
please	H4994	0.605
presently	G3916	0.889
privately	G2596,G2977	0.429
rather	G3123,H4480	0.474
reason	G1223	0.210
regard	G1519,G4012	0.313
sake	G1752,H4616	0.523
selah	H5542	0.925
side	H4480	0.135
since	H3588,H4480	0.220
someone	G5100	0.279
something	G5100	0.320
stead	H8478	0.979
surely	H3588	0.227
than	H4480	0.574
that	H0834,H3588	0.200
themselves	G1438	0.161
thence	G1564,H4480,H8033	0.434
thither	H8033	0.817
thou	H0859	0.148
thrice	G5151	0.923
thus	H3541	0.728
till	G2193,H5704	0.746
too	G2532,H1571	0.139
toward	G1519,H0413	0.263
truly	G0230,G0281	0.556
under	G5259,H8478	0.478
unless	G1437,H0518,H3884	0.429
until	G2193,H5704	0.610
unto	H0413	0.757
upon	G1909,H5921	0.377
verily	G0281	0.961
very	H3966	0.452
what	G5101,H3541,H4100	0.259
whence	G3606,G4159,H4480	0.356
where	G3699,H0834	0.223
wherefore	G1223,G1352,H4069	0.430
which	G3739,H0834	0.625
whither	H0575,H0834	0.649
who	G3588,H0834	0.150
whom	G3739,H0834	0.404
whomsoever	G3739,H0834	0.727
without	H4480	0.134
wo	G3759,H0188,H1945	0.413
woe	G3759,H0188,H1945	0.396
yea	H0637,H1571	0.494
yes	G3483	0.517
yesterday	G5504,H8543	0.389
