# source=derived from resources/aligned_lex/fra.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
abord	G4412	0.778
afin	G2443	0.425
ainsi	G2532,G3779	0.324
alors	G1161,G2532,G5119	0.575
amen	G0281	0.941
après	G1161,G2532,G3326	0.390
au	G1519,G1722	0.206
auprès	G4314	0.467
aussi	G2532	0.665
aussitôt	G2112	0.561
autrefois	G4218	0.684
aux	G1519	0.179
avant	G4250,G4253	0.426
avec	G3326,G4862	0.362
car	G1063,G3754	0.727
cause	G1223,G1909	0.233
celui	G2532,G3588,G3739	0.154
cependant	G1161,G2532	0.485
ces	G1565	0.167
ceux	G1161,G2532	0.114
chez	G1519,G3844,G4314	0.358
chose	G5100	0.410
cinq	G4002	0.781
combien	G4214,G4459	0.833
comme	G2531,G5613	0.392
comment	G4459	0.693
concerne	G2596,G4012	0.579
contre	G1519,G1909,G2596	0.252
cœurs	G0846,G1722,G2257,G5216	0.273
c’est	G0235,G1063	0.149
dans	G1519,G1722	0.448
de	G1537	0.104
dehors	G1854	0.588
depuis	G0575	0.518
des	G1537,G2532	0.141
deux	G1417	0.820
devant	G1715,G1799	0.263
dix	G1176	0.857
donc	G3767	0.725
dont	G3739	0.507
douze	G1427	0.881
du	G1537	0.212
dès	G0575,G1537	0.412
déjà	G2235	0.667
effet	G1063	0.909
elle	G0846,G2532	0.297
elles	G0846,G2532	0.341
en	G1519,G1722	0.424
encore	G2089,G2532,G3825	0.264
ensuite	G1161,G1899,G2532	0.324
entre	G1537,G4314	0.341
envers	G1519,G1909,G4314	0.290
environ	G5613,G5616	0.450
et	G2532	0.768
eux	G0846	0.620
hors	G1622,G1854	0.579
ici	G5602	0.508
il	G0846,G1161,G2532	0.338
ils	G0846,G1161,G2532	0.373
instant	G3916	0.652
jamais	G3763,G4218	0.333
je	G1473,G2532	0.258
la	G2532	0.143
laquelle	G3739	0.611
le	G0846,G2532	0.226
lequel	G3739,G5101	0.492
les	G0846,G2532	0.220
leur	G0846	0.761
leurs	G0846	0.658
loin	G0575,G3113,G3361	0.192
lorsque	G3752,G3753	0.281
lorsqu’	G1161,G2532	0.462
lui	G0846	0.736
là	G1563,G1564	0.271
ma	G3450	0.531
maintenant	G3568	0.588
mais	G0235,G1161	0.503
malheur	G3759	0.875
me	G3165,G3427	0.321
mes	G3450	0.672
moi	G1473,G1698	0.256
mon	G3450	0.609
même	G0846,G2532,G3779	0.208
ne	G2532,G3756	0.239
ni	G2532,G3761,G3777	0.159
non	G3756	0.616
nos	G2257	0.692
notre	G2257	0.764
nous	G2248,G2249,G2254	0.182
n’	G3361,G3756	0.233
on	G2532	0.339
or	G1161	0.661
ou	G2228	0.668
oui	G3483	0.731
où	G3699,G4226	0.201
par	G1223,G1722	0.255
parmi	G1722	0.385
pas	G3361,G3756	0.398
pendant	G1161,G1722	0.277
plus	G3765	0.104
plutôt	G3123	0.545
point	G3361,G3756	0.385
pour	G1519	0.169
pourquoi	G5101	0.641
premièrement	G4412,G5213	0.706
prochain	G4139	0.929
près	G1451,G3844	0.275
présence	G1715,G1799,G1909	0.353
puis	G2532	0.734
puisque	G1063,G1893,G3754	0.207
quand	G1161,G3752,G3753	0.236
quarante	G5062	0.688
que	G2443,G3739,G3754	0.254
quelques	G5100	0.575
quelques-uns	G1161,G2531,G2532	0.316
qui	G3588,G3739	0.204
quoi	G3767,G5101	0.561
qu’	G3754	0.141
sa	G0846	0.677
sans	G3361,G3756,G5565	0.258
se	G1438,G2532	0.185
selon	G2531,G2596	0.485
sept	G2033	0.809
ses	G0846	0.738
si	G1437,G1487	0.424
soit	G1535	0.216
son	G0846	0.643
sous	G1722,G5259	0.453
sujet	G4012	0.356
sur	G1909	0.479
ta	G4675	0.725
tandis	G1161	0.484
te	G4571,G4671	0.416
tes	G4675	0.733
toi	G4671,G4675,G4771	0.211
ton	G4675	0.728
toujours	G1519,G3842	0.357
tu	G4771	0.272
une	G2532	0.100
uns	G0240,G0243,G3303	0.312
vers	G1519,G4314	0.563
voici	G2400	0.776
vos	G5216	0.742
votre	G5216	0.676
vous	G5209,G5210,G5213	0.285
y	G0846,G1519,G1563,G2532	0.190
à	G1519	0.190
égard	G0846,G1519,G1909,G4012	0.235
éternellement	G1519	0.833
