# source=derived from resources/aligned_lex/hin.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
अचानक	H6597	0.500
अत्यन्त	H3966	0.424
अपने-अपने	G0846,G1438	0.818
आपको	G1438	0.200
आमीन	G3588,H0543	0.786
उनमें	G0846,H4480	0.122
कदाचित्	H0194	0.842
कब	G4219,H4970	0.319
कभी	H3808	0.158
कि	H3588	0.111
कितनों	G5100	0.457
किसके	G5101,H4310	0.484
किसने	G5101,H4310	0.567
कैसा	H4100	0.204
क्योंकि	G1063,H3588	0.524
जहाँ	G3699,H0834	0.293
जानकर	G5613	0.109
जिनका	G3739,H0834	0.275
जिनके	G3739,H0834	0.328
जिनको	H0834	0.297
जिनमें	H0834	0.154
जिन्हें	G3739,H0834	0.385
जिन्होंने	G3588,H0834	0.216
जिस	H0834	0.324
जिसकी	G3739,H0834	0.153
जिसके	G3739,H0834	0.187
जिसको	H0834	0.350
जिसने	G3588,H0834	0.236
जिसमें	H0834	0.239
जिसे	G3739,H0834	0.364
जो	G3588,H0834	0.240
ताकि	G2443	0.310
तुम्हें	G5209,G5213	0.254
पद	G3588,H4480	0.159
पर	H5921	0.238
पश्चात्	H0310	0.724
बातों	G3588	0.105
बारहों	G1427	0.571
मत	G3361,H0408	0.567
यहीं	H6311	0.268
लगभग	G5613,G5616	0.273
विरोध	G2596	0.268
विषय	G4012	0.156
वैसे	H3651	0.121
सच-सच	G0281	0.893
सम्भव	H0194	0.435
साथ	G3326	0.124
सेला	H5542	0.939
हमारी	G2257	0.217
हमारे	G2257	0.229
हमें	G2248,G2254	0.202
