# source=derived from resources/aligned_lex/rus.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
а	G1161	0.313
без	G5565	0.107
в	G1722	0.109
вам	G5213	0.264
вами	G5216	0.181
вас	G5209	0.167
ваша	G3588,G5216	0.172
ваше	G5216	0.282
весьма	H3966	0.408
вместе	H3162	0.147
во	G1722	0.147
впрочем	G1161,G3303	0.346
вы	G5210	0.167
где	G4226	0.156
дабы	G2443	0.311
другие	G0243	0.238
его	G0846	0.106
ей	G0846	0.404
ему	G0846	0.393
если	G1437,G1487	0.358
еще	G2089	0.137
же	G1161	0.592
здесь	G5602	0.308
и	G2532	0.196
ибо	G1063	0.517
из	G1537	0.112
или	G2228	0.231
им	G0846	0.438
истинно	G0281	0.479
итак	G3767	0.535
к	G4314	0.102
какой	G3739,G5101	0.280
когда	G3752,G3753	0.133
которого	G3739	0.180
между	G1722	0.107
моя	G3450	0.101
мы	G2249	0.170
нам	G2254	0.161
нас	G2248	0.130
наши	G2257	0.174
не	G3756	0.151
него	G0846	0.112
некогда	G4218	0.688
некоторые	G5100	0.643
некоторый	G5100	0.769
нем	G0846	0.170
нему	G0846	0.298
нет	G3756	0.187
никогда	G3763,G4218,G4455	0.160
ним	G0846	0.166
ними	G0846	0.109
них	G0846	0.121
но	G0235,G1161	0.309
о	G4012	0.148
об	G4012	0.209
около	G4012,G5616	0.135
откуда	G4159,H0370	0.333
очень	H3966	0.270
посему	G1223,G1352,G3767	0.185
после	G3326,H0310	0.443
прежде	G4412	0.146
сам	G0846	0.267
сами	G0846	0.286
своим	G0846	0.118
своими	G0846	0.130
себе	G1438	0.131
себя	G1438	0.100
сильно	H3966	0.324
со	G3326	0.142
собою	G1438	0.193
сюда	G2532,G5602,H1988	0.148
так	G3779	0.139
также	G1161,G2532	0.189
там	G1563	0.132
твоя	G4675	0.143
те	G1565	0.283
теперь	G3568	0.165
тогда	G3767,G5119,H0116	0.342
тут	G1563,G3767	0.450
уже	G2235	0.144
чего	G5101	0.200
через	G1223	0.378
я	G1473	0.121
