# source=derived from resources/aligned_lex/spa.tsv + strongs_freq.tsv (roadmap R2: function-word stopwords); license=inherits aligned_lex
surface	codes	max_share
a	H0413	0.367
acerca	G4012,H0413,H5921	0.292
acá	G1759,G5602,H2008	0.300
adonde	H0834	0.812
ah	H0162,H0994,H1889	0.550
ahora	G3568,H4994,H6258	0.455
al	G3588,H0413	0.336
algo	G5100	0.673
algunos	G5100	0.837
allá	H8033	0.788
allí	G1563,H8033	0.762
amén	G0281,H0543	0.509
aquel	G1565,G3588,H1931	0.310
aquella	G1565,G3588,H1931	0.400
aquellos	G1565,G3588,H1992	0.385
aquél	G1565,G3588	0.304
asimismo	G2532,G3668,H1571	0.171
así	G3779,H3541,H3651	0.471
aun	G2089,G2532,H1571,H5750	0.279
aunque	G1487,H0518,H3588	0.280
ay	G3759,H0188,H1945	0.333
aún	G2089,H5750	0.557
bajo	G5259,H8478	0.341
causa	G1223,H5921	0.220
ciertamente	G3303,H0389,H3588	0.223
cierto	G0281	0.495
contra	H0413,H5921	0.474
cual	G3739,H0834	0.380
cuales	G3739,H0834	0.496
cuando	G3752,H3588	0.304
cuanto	H0834,H3282,H3588	0.302
cuya	G3739,H0834	0.333
cuyo	G3739,H0834	0.379
cuál	G5101,H4100	0.373
cuándo	G4219,H0575,H4970	0.487
cuántas	G4212,G4214,H4100	0.500
cuánto	G4214,H0637	0.500
cómo	G4459,H0349	0.397
de	H4480	0.158
debajo	H8478	0.840
del	G3588,H4480	0.368
desde	G0575,H4480	0.548
después	G3326,H0310	0.608
detrás	G3693,H0310	0.519
donde	G3699,H0834	0.451
dónde	G4159,G4226,H0335,H0346	0.234
el	G3588	0.695
ella	G0846,H1931,H5921	0.171
ellas	G0846	0.252
ellos	G0846,H1992,H5921	0.248
empero	G0235,G1161	0.572
en	G1519,G1722,H5921	0.367
encima	G1909,H4605,H5921	0.478
entonces	G1161,G2532,G3767,G5119,H0227	0.221
eso	G5124,H3651,H5921	0.338
este	G3778,H2088	0.293
esto	G5124,H2063	0.258
estos	G3778,H0428	0.605
hasta	G2193,H5704	0.736
juntamente	H3162	0.638
junto	H0681,H5921	0.515
juntos	H3162	0.500
la	G3588	0.652
las	G3588	0.571
le	G0846,H0413	0.592
les	G0846,H0413	0.522
lo	G3588	0.324
los	G3588	0.658
manera	H3966	0.272
mas	G0235,G1161	0.560
mayormente	G3122	1.000
me	G3165,G3427,H0413	0.165
menos	H0637	0.323
mismas	G0846	0.769
mismo	G0846,H1931	0.385
muy	H3966	0.605
más	G3123,H5750	0.333
míos	G3450	0.618
ni	H3808	0.527
no	G3756,H3808	0.498
nuestra	G2257	0.243
nunca	H3808	0.733
o	G2228,H0176	0.492
oh	G5599,H4430	0.286
os	G5209,G5213,H0853	0.338
pero	G0235,G1161	0.595
por	G1223,H5921	0.142
porque	G1063,H3588	0.583
pos	H0310	0.863
pues	G3767,H3588	0.345
que	H0834	0.374
quien	G3739,H0834	0.235
quienes	G3739,H0834	0.714
quizá	H0194	0.805
quién	G5101,H4310	0.683
qué	G5101,H4100	0.409
ruégote	H4994	0.778
selah	H5542	0.986
si	G1437,G1487,H0518	0.436
sino	G0235,G1487,H3588	0.503
sobre	H5921	0.786
su	G0846	0.120
sus	G0846	0.104
sí	G1438,G3483	0.563
también	G2532,H1571	0.494
tampoco	G3761,H1571,H3808	0.273
tan	G3779,H3966	0.238
te	G4571,G4671	0.112
todavía	G2089,H5750	0.517
tras	H0310	0.793
tú	G4771,H0859	0.596
verdaderamente	G0230,G3689	0.500
vosotros	G5210,H0859	0.156
vuestra	G5216	0.332
y	G2532	0.482
ya	G2235,G3765	0.356
yo	G1473,H0589,H0595	0.364
á	G1519,H0413	0.199
él	G0846,H1931	0.311
ésta	G3778,H1931,H2063	0.324
éstos	G3778,H0428	0.342
ó	G2228,H0176	0.433
