strong	count	is_function
G3588	102883	1
G2532	66615	1
G0846	32948	1
G1722	16231	1
H0853	11866	1
G2962	9009	0
G1510	8921	0
G1519	8772	1
G1909	7871	1
G3956	7709	0
G3756	7708	1
G1161	7630	1
H3068	6827	0
G4675	6090	1
G3739	6061	1
H5921	5876	1
G3778	5623	1
H0413	5511	1
H0834	5501	1
H3605	5413	0
G5207	5308	0
H0559	5308	0
H3808	5176	1
G2316	5094	0
G3754	5080	1
H1121	4929	0
G4314	4796	1
G0575	4597	1
G1537	4510	1
H3588	4486	1
G3004	4444	0
G3450	4410	1
G3361	4088	1
G1473	4001	1
G4771	3960	1
G4160	3774	0
G2036	3729	0
H1961	3561	0
G0935	3296	0
G1093	3295	0
G2474	2811	0
G2250	2805	0
G3326	2777	1
G1096	2741	0
H6213	2629	0
H0430	2598	0
H0935	2569	0
G1063	2561	1
G2596	2531	1
H4428	2522	0
H3478	2506	0
H0776	2504	0
G5613	2481	1
G1325	2413	0
H3117	2303	0
H0376	2227	0
H6440	2126	0
G2992	2103	0
G3624	2085	0
G1223	2057	1
H1004	2053	0
G3708	2039	0
H5414	2011	0
G5495	1994	0
G5101	1985	1
G0444	1923	0
G0435	1885	0
H1931	1878	1
H5971	1868	0
G3962	1734	0
G4571	1654	1
G1437	1642	1
G4172	1637	0
G5216	1635	1
G3165	1634	1
G2064	1625	0
H3027	1618	0
G2193	1580	1
H1980	1549	0
G2983	1521	0
G3056	1513	0
G0191	1446	0
H1697	1442	0
G2980	1426	0
G2257	1399	1
G4671	1350	1
G4383	1316	0
H7200	1304	0
G1520	1303	0
G4198	1290	0
G2228	1279	1
G1487	1272	1
H5704	1262	1
G2443	1260	1
H4480	1227	1
G3686	1225	0
H0001	1213	0
G0080	1193	0
G0235	1189	1
G2424	1189	0
G2192	1180	0
G1135	1178	0
H2088	1177	1
H2005	1159	1
H8085	1159	0
G1484	1155	0
G1138	1149	0
H1696	1142	0
G4012	1141	1
G4183	1118	0
H5892	1094	0
H0859	1092	1
H3427	1082	0
H1732	1075	0
G2588	1069	0
H0518	1069	1
H3318	1067	0
G2400	1064	1
G5590	1058	0
H7725	1056	0
H5973	1049	1
G3779	1037	1
G3173	1035	0
G0040	1027	0
G3844	1024	1
H0259	970	0
H3947	966	0
G1438	948	1
G3598	946	0
H3045	944	0
G1565	919	1
G2409	913	0
G1097	912	0
G3475	901	0
G3772	895	0
G1831	892	0
H5927	889	0
H5869	886	0
G3427	884	1
H8141	877	0
H0589	874	1
H8034	864	0
G2476	861	0
G5100	861	1
G1563	849	1
G2419	849	0
H7971	847	0
G3319	845	0
G1525	841	0
H4191	837	0
H8033	834	1
H3063	819	0
H0398	812	0
H5650	800	0
G3568	795	1
G0649	792	0
H0369	788	1
G0165	784	0
G0302	781	1
G1417	781	1
H0802	781	0
H3651	770	1
H1571	769	1
H8147	768	0
H4872	766	0
H5315	754	0
H3548	750	0
H0428	746	1
H4100	746	1
G2147	745	0
G2041	741	0
G3767	741	1
G5456	740	0
G3788	738	0
H7121	735	0
G5204	734	0
G3761	731	1
G4151	729	0
H0408	724	1
G2094	723	0
H0310	715	1
H4713	711	0
H1870	706	0
G3735	704	0
G5259	702	1
G0305	700	0
