strong	keyness	anchor	modern_he	koine_general
G4091	5.6	grc		0.0
H7489	5.52	he	0.0	
G2385	5.48	grc		0.0
G4624	5.32	grc		0.0
G0921	5.31	grc		0.0
H5381	5.21	he	0.0	
G5552	5.12	grc		0.0
G2584	5.06	grc		0.0
G2976	5.04	grc		0.0
G4461	5.04	grc		0.0
G5218	5.04	grc		0.0
H2244	5.03	he	0.0	
G4523	5.01	grc		0.0
H2689	4.98	he	0.0	
H6260	4.98	he	0.0	
H5665	4.96	arc		
G0963	4.94	grc		0.0
G2199	4.94	grc		0.0
G3094	4.94	grc		0.0
G3478	4.94	grc		0.0
G4240	4.94	grc		0.0
G4609	4.94	grc		0.0
G4697	4.94	grc		0.0
G0912	4.9	grc		0.0
G2197	4.9	grc		0.0
G2469	4.9	grc		0.0
G0038	4.86	grc		0.0
H5428	4.84	he	0.0	
H7817	4.84	he	0.0	
G0752	4.82	grc		0.0
G1665	4.82	grc		0.0
G2475	4.82	grc		0.0
G2533	4.82	grc		0.0
G2786	4.82	grc		0.0
G4541	4.82	grc		0.0
G4549	4.82	grc		0.0
H6879	4.82	he	0.0	
H8457	4.82	he	0.0	
G1250	4.76	grc		0.0
G2215	4.76	grc		0.0
G3017	4.76	grc		0.0
G3198	4.76	grc		0.0
H6722	4.72	he	0.0	
G0954	4.71	grc		0.0
G0966	4.71	grc		0.0
G1496	4.71	grc		0.0
G2045	4.64	grc		0.0
G2266	4.64	grc		0.0
G3082	4.64	grc		0.0
G3479	4.64	grc		0.0
G3482	4.64	grc		0.0
G3640	4.64	grc		0.0
G4252	4.64	grc		0.0
H1854	4.63	he	0.0	
H3270	4.63	he	0.0	
G0020	4.56	grc		0.0
G0256	4.56	grc		0.0
G0500	4.56	grc		0.0
G1180	4.56	grc		0.0
G3156	4.56	grc		0.0
G4411	4.56	grc		0.0
G4603	4.56	grc		0.0
G4957	4.56	grc		0.0
G5070	4.56	grc		0.0
H1855	4.51	arc		
H3364	4.51	he	0.0	
H8419	4.51	he	0.0	
H1238	4.47	he	0.0	
H4865	4.47	he	0.0	
H8173	4.47	he	0.0	
G0284	4.46	grc		0.0
G0332	4.46	grc		0.0
G0452	4.46	grc		0.0
G0586	4.46	grc		0.0
G0697	4.46	grc		0.0
G0707	4.46	grc		0.0
G0918	4.46	grc		0.0
G0958	4.46	grc		0.0
G1116	4.46	grc		0.0
G1362	4.46	grc		0.0
G1598	4.46	grc		0.0
G2620	4.46	grc		0.0
G2778	4.46	grc		0.0
G3003	4.46	grc		0.0
G3126	4.46	grc		0.0
G3350	4.46	grc		0.0
G3785	4.46	grc		0.0
G4050	4.46	grc		0.0
G4136	4.46	grc		0.0
G4210	4.46	grc		0.0
G4382	4.46	grc		0.0
G4564	4.46	grc		0.0
G5076	4.46	grc		0.0
H1393	4.42	he	0.0	
H1413	4.42	he	0.0	
H3369	4.42	he	0.0	
H7260	4.42	arc		
H8333	4.36	he	0.0	
H3240	4.35	he	1.04	
G0029	4.34	grc		0.0
G0301	4.34	grc		0.0
G0423	4.34	grc		0.0
G0604	4.34	grc		0.0
G0656	4.34	grc		0.0
G0689	4.34	grc		0.0
G0903	4.34	grc		0.0
G0967	4.34	grc		0.0
G0974	4.34	grc		0.0
G1082	4.34	grc		0.0
G1115	4.34	grc		0.0
G1230	4.34	grc		0.0
G1662	4.34	grc		0.0
G1778	4.34	grc		0.0
G1802	4.34	grc		0.0
G1889	4.34	grc		0.0
G2074	4.34	grc		0.0
G2099	4.34	grc		0.0
G2194	4.34	grc		0.0
G2195	4.34	grc		0.0
G2216	4.34	grc		0.0
G2265	4.34	grc		0.0
G2269	4.34	grc		0.0
G2408	4.34	grc		0.0
G2500	4.34	grc		0.0
G2655	4.34	grc		0.0
G2892	4.34	grc		0.0
G3069	4.34	grc		0.0
G3128	4.34	grc		0.0
G3405	4.34	grc		0.0
G3476	4.34	grc		0.0
G3508	4.34	grc		0.0
G3536	4.34	grc		0.0
G3547	4.34	grc		0.0
G4244	4.34	grc		0.0
G4528	4.34	grc		0.0
G4545	4.34	grc		0.0
G4611	4.34	grc		0.0
G4641	4.34	grc		0.0
G4734	4.34	grc		0.0
G4874	4.34	grc		0.0
G5075	4.34	grc		0.0
G5329	4.34	grc		0.0
G5601	4.34	grc		0.0
H0634	4.29	he	0.0	
H5670	4.29	he	0.0	
H5955	4.29	he	0.0	
H7336	4.29	he	0.0	
H7426	4.29	he	0.0	
H7711	4.29	he	0.0	
H8458	4.29	he	0.0	
H0266	4.21	he	0.0	
H0862	4.21	he	0.0	
H1587	4.21	he	0.0	
H2994	4.21	he	0.0	
H3114	4.21	he	0.0	
H3159	4.21	he	0.0	
H3505	4.21	he	0.0	
H4099	4.21	he	0.0	
H6069	4.21	he	0.0	
H6553	4.21	he	0.0	
H7747	4.21	he	0.0	
H8155	4.21	he	0.0	
H8463	4.21	he	0.0	
H8660	4.21	he	0.0	
H3881	4.18	he	1.79	
G0010	4.16	grc		0.0
G0014	4.16	grc		0.0
G0028	4.16	grc		0.0
G0041	4.16	grc		0.0
G0054	4.16	grc		0.0
G0107	4.16	grc		0.0
G0178	4.16	grc		0.0
G0204	4.16	grc		0.0
G0341	4.16	grc		0.0
G0342	4.16	grc		0.0
G0421	4.16	grc		0.0
G0426	4.16	grc		0.0
G0441	4.16	grc		0.0
G0468	4.16	grc		0.0
G0508	4.16	grc		0.0
G0603	4.16	grc		0.0
G0675	4.16	grc		0.0
G0733	4.16	grc		0.0
G0760	4.16	grc		0.0
G0768	4.16	grc		0.0
G0881	4.16	grc		0.0
G0885	4.16	grc		0.0
G0923	4.16	grc		0.0
G0956	4.16	grc		0.0
G1001	4.16	grc		0.0
G1059	4.16	grc		0.0
G1068	4.16	grc		0.0
G1183	4.16	grc		0.0
G1245	4.16	grc		0.0
G1323	4.16	grc		0.0
G1374	4.16	grc		0.0
G1383	4.16	grc		0.0
G1478	4.16	grc		0.0
G1592	4.16	grc		0.0
G1650	4.16	grc		0.0
G1664	4.16	grc		0.0
G1675	4.16	grc		0.0
G1677	4.16	grc		0.0
G1703	4.16	grc		0.0
G1737	4.16	grc		0.0
G1740	4.16	grc		0.0
G1757	4.16	grc		0.0
G1780	4.16	grc		0.0
G1820	4.16	grc		0.0
G1902	4.16	grc		0.0
G1967	4.16	grc		0.0
G1977	4.16	grc		0.0
G2020	4.16	grc		0.0
G2024	4.16	grc		0.0
G2085	4.16	grc		0.0
G2183	4.16	grc		0.0
G2275	4.16	grc		0.0
G2280	4.16	grc		0.0
G2383	4.16	grc		0.0
G2406	4.16	grc		0.0
G2415	4.16	grc		0.0
G2423	4.16	grc		0.0
G2454	4.16	grc		0.0
G2488	4.16	grc		0.0
G2489	4.16	grc		0.0
G2496	4.16	grc		0.0
G2498	4.16	grc		0.0
G2502	4.16	grc		0.0
G2536	4.16	grc		0.0
G2581	4.16	grc		0.0
G2589	4.16	grc		0.0
G2636	4.16	grc		0.0
G2732	4.16	grc		0.0
G3134	4.16	grc		0.0
G3157	4.16	grc		0.0
G3158	4.16	grc		0.0
G3159	4.16	grc		0.0
G3161	4.16	grc		0.0
G3197	4.16	grc		0.0
G3323	4.16	grc		0.0
G3531	4.16	grc		0.0
G3604	4.16	grc		0.0
G3684	4.16	grc		0.0
G3787	4.16	grc		0.0
G3881	4.16	grc		0.0
G3894	4.16	grc		0.0
G4015	4.16	grc		0.0
G4173	4.16	grc		0.0
G4278	4.16	grc		0.0
G4279	4.16	grc		0.0
G4323	4.16	grc		0.0
G4460	4.16	grc		0.0
G4462	4.16	grc		0.0
G4473	4.16	grc		0.0
G4497	4.16	grc		0.0
G4518	4.16	grc		0.0
G4524	4.16	grc		0.0
G4532	4.16	grc		0.0
G4533	4.16	grc		0.0
G4542	4.16	grc		0.0
G4583	4.16	grc		0.0
G4777	4.16	grc		0.0
G4806	4.16	grc		0.0
G4883	4.16	grc		0.0
G4952	4.16	grc		0.0
G4966	4.16	grc		0.0
G5000	4.16	grc		0.0
G5063	4.16	grc		0.0
G5102	4.16	grc		0.0
G5248	4.16	grc		0.0
G5474	4.16	grc		0.0
G5477	4.16	grc		0.0
