strong	tw_article	category	is_kt	lemma	n
G0002	bible/names/aaron	names	0	Ἀαρών	5
G0006	bible/names/abel	names	0	Ἂβελ	4
G0007	bible/names/abijah	names	0	Ἀβιά	3
G0008	bible/names/abiathar	names	0	Ἀβιαθάρ	1
G0011	bible/names/abraham	names	0	Ἀβραάμ	73
G0012	bible/other/abyss	other	0	ἄβυσσος	9
G0014	bible/kt/good	kt	1	ἀγαθουργέω	1
G0015	bible/kt/good	kt	1	ἀγαθοποιέω	10
G0017	bible/kt/good	kt	1	ἀγαθοποιός	1
G0018	bible/kt/good	kt	1	ἀγαθός	101
G0019	bible/kt/good	kt	1	ἀγαθωσύνη	4
G0020	bible/other/exult	other	0	ἀγαλλίασις	4
G0020	bible/other/joy	other	0	ἀγαλλίασις	1
G0021	bible/other/exult	other	0	ἀγαλλιάω	8
G0021	bible/other/joy	other	0	ἀγαλλιάω	3
G0025	bible/kt/love	kt	1	ἀγαπάω	140
G0025	bible/kt/beloved	kt	1	ἀγαπάω	2
G0026	bible/kt/love	kt	1	ἀγάπη	115
G0027	bible/kt/beloved	kt	1	ἀγαπητός	61
G0028	bible/names/hagar	names	0	Ἁγάρ	2
G0031	bible/other/report	other	0	ἀγγέλλω	1
G0032	bible/kt/angel	kt	1	ἄγγελος	167
G0032	bible/other/messenger	other	0	ἄγγελος	7
G0037	bible/kt/sanctify	kt	1	ἁγιάζω	27
G0037	bible/kt/holy	kt	1	ἁγιάζω	1
G0038	bible/kt/sanctify	kt	1	ἁγιασμός	6
G0038	bible/kt/holy	kt	1	ἁγιασμός	4
G0040	bible/kt/holyspirit	kt	1	ἅγιος	87
G0040	bible/kt/holy	kt	1	ἅγιος	79
G0040	bible/kt/saint	kt	1	ἅγιος	62
G0040	bible/other/holycity	other	0	ἅγιος	6
G0040	bible/kt/holyplace	kt	1	ἅγιος	3
G0040	bible/kt/godthefather	kt	1	ἅγιος	1
G0040	bible/kt/wordofgod	kt	1	ἅγιος	1
G0040	bible/kt/holyone	kt	1	ἅγιος	1
G0041	bible/kt/holy	kt	1	ἁγιότης	2
G0042	bible/kt/holy	kt	1	ἁγιωσύνη	3
G0042	bible/kt/holyspirit	kt	1	ἁγιωσύνη	1
G0047	bible/kt/purify	kt	1	ἁγνία	2
G0048	bible/kt/purify	kt	1	ἁγνίζω	6
G0049	bible/kt/purify	kt	1	ἁγνισμός	1
G0050	bible/other/know	other	0	ἀγνοέω	17
G0050	bible/other/understand	other	0	ἀγνοέω	2
G0053	bible/kt/purify	kt	1	ἁγνός	8
G0056	bible/other/know	other	0	ἀγνωσία	1
G0059	bible/kt/redeem	kt	1	ἀγοράζω	1
G0065	bible/other/olive	other	0	ἀγριέλαιος	1
G0069	bible/other/watch	other	0	ἀγρυπνέω	3
G0076	bible/names/adam	names	0	Ἀδάμ	9
G0086	bible/kt/hades	kt	1	ᾍδης	10
G0091	bible/other/wrong	other	0	ἀδικέω	13
G0091	bible/kt/righteous	kt	1	ἀδικέω	4
G0091	bible/other/suffer	other	0	ἀδικέω	1
G0093	bible/kt/righteous	kt	1	ἀδικία	21
G0093	bible/kt/iniquity	kt	1	ἀδικία	2
G0093	bible/other/wrong	other	0	ἀδικία	1
G0093	bible/kt/justice	kt	1	ἀδικία	1
G0094	bible/kt/righteous	kt	1	ἄδικος	11
G0094	bible/kt/justice	kt	1	ἄδικος	1
G0097	bible/kt/purify	kt	1	ἄδολος	1
G0105	bible/other/eagle	other	0	ἀετός	5
G0106	bible/kt/unleavenedbread	kt	1	ἄζυμος	7
G0106	bible/other/yeast	other	0	ἄζυμος	2
G0113	bible/other/lawful	other	0	ἄθεσμος	2
G0114	bible/other/reject	other	0	ἀθετέω	13
G0119	bible/other/assembly	other	0	ἀθροίζω	1
G0121	bible/kt/innocent	kt	1	ἀθῷος	2
G0124	bible/names/egypt	names	0	Αἰγύπτιος	5
G0125	bible/names/egypt	names	0	Αἴγυπτος	25
G0126	bible/kt/eternity	kt	1	ἀΐδιος	2
G0128	bible/names/ethiopia	names	0	Αἰθίοψ	2
G0133	bible/other/praise	other	0	αἴνεσις	1
G0134	bible/other/praise	other	0	αἰνέω	8
G0136	bible/other/praise	other	0	αἶνος	2
G0138	bible/kt/elect	kt	1	αἱρέω	3
G0140	bible/kt/elect	kt	1	αἱρετίζω	1
G0142	bible/other/bear	other	0	αἴρω	2
G0143	bible/other/understand	other	0	αἰσθάνομαι	1
G0150	bible/other/shame	other	0	αἰσχρός	4
G0152	bible/other/shame	other	0	αἰσχύνη	6
G0153	bible/other/shame	other	0	αἰσχύνω	5
G0156	bible/kt/guilt	kt	1	αἰτία	3
G0161	bible/other/captive	other	0	αἰχμαλωσία	1
G0163	bible/other/captive	other	0	αἰχμαλωτίζω	4
G0164	bible/other/captive	other	0	αἰχμάλωτος	1
G0165	bible/other/age	other	0	αἰών	85
G0165	bible/kt/eternity	kt	1	αἰών	6
G0165	bible/other/generation-lifetime	other	0	αἰών	1
G0166	bible/kt/eternity	kt	1	αἰώνιος	67
G0166	bible/other/age	other	0	αἰώνιος	1
G0169	bible/kt/demon	kt	1	ἀκάθαρτος	23
G0172	bible/kt/innocent	kt	1	ἄκακος	2
G0173	bible/other/thorn	other	0	ἄκανθα	14
G0174	bible/other/thorn	other	0	ἀκάνθινος	2
G0175	bible/other/fruit	other	0	ἄκαρπος	7
G0185	bible/kt/innocent	kt	1	ἀκέραιος	1
G0185	bible/kt/purify	kt	1	ἀκέραιος	1
G0189	bible/other/report	other	0	ἀκοή	3
G0191	bible/other/report	other	0	ἀκούω	1
G0192	bible/other/selfcontrol	other	0	ἀκρασία	1
G0200	bible/other/locust	other	0	ἀκρίς	4
G0203	bible/kt/circumcise	kt	1	ἀκροβυστία	20
G0204	bible/kt/cornerstone	kt	1	ἀκρογωνιαῖος	2
G0207	bible/names/aquila	names	0	Ἀκύλας	6
G0212	bible/other/arrogant	other	0	ἀλαζονία	1
G0218	bible/kt/anoint	kt	1	ἀλείφω	9
G0225	bible/kt/holyspirit	kt	1	ἀλήθεια	3
G0225	bible/kt/wordofgod	kt	1	ἀλήθεια	1
G0231	bible/other/fisherman	other	0	ἁλιεύς	5
G0241	bible/other/foreigner	other	0	ἀλλογενής	1
G0245	bible/other/foreigner	other	0	ἀλλότριος	3
G0248	bible/other/thresh	other	0	ἀλοάω	3
G0256	bible/names/jamessonofalphaeus	names	0	Ἁλφαῖος	4
G0257	bible/other/thresh	other	0	ἅλων	1
G0259	bible/other/captive	other	0	ἅλωσις	1
G0264	bible/kt/sin	kt	1	ἁμαρτάνω	42
G0265	bible/kt/sin	kt	1	ἁμάρτημα	4
G0266	bible/kt/sin	kt	1	ἁμαρτία	173
G0268	bible/kt/sin	kt	1	ἁμαρτωλός	47
G0269	bible/other/peace	other	0	ἄμαχος	2
G0270	bible/other/harvest	other	0	ἀμάω	1
G0273	bible/kt/blameless	kt	1	ἄμεμπτος	5
G0274	bible/kt/blameless	kt	1	ἀμέμπτως	2
G0281	bible/kt/amen	kt	1	ἀμήν	132
G0286	bible/kt/lamb	kt	1	ἀμνός	4
G0288	bible/other/vine	other	0	ἄμπελος	9
G0290	bible/other/vineyard	other	0	ἀμπελών	23
G0299	bible/kt/blameless	kt	1	ἄμωμος	6
G0299	bible/other/blemish	other	0	ἄμωμος	1
G0310	bible/other/cry	other	0	ἀναβοάω	1
G0312	bible/other/declare	other	0	ἀναγγέλλω	12
G0312	bible/other/report	other	0	ἀναγγέλλω	1
G0313	bible/kt/bornagain	kt	1	ἀναγεννάω	2
G0318	bible/other/hard	other	0	ἀνάγκη	1
G0319	bible/other/know	other	0	ἀναγνωρίζω	1
G0322	bible/kt/appoint	kt	1	ἀναδείκνυμι	1
G0324	bible/other/receive	other	0	ἀναδέχομαι	2
G0327	bible/other/seek	other	0	ἀναζητέω	1
G0331	bible/kt/curse	kt	1	ἀνάθεμα	6
G0332	bible/kt/curse	kt	1	ἀναθεματίζω	3
G0338	bible/kt/innocent	kt	1	ἀναίτιος	2
G0349	bible/other/cry	other	0	ἀνακράζω	5
G0350	bible/other/discernment	other	0	ἀνακρίνω	12
G0355	bible/other/consume	other	0	ἀναλόω	1
G0378	bible/kt/fulfill	kt	1	ἀναπληρόω	3
G0386	bible/kt/resurrection	kt	1	ἀνάστασις	41
G0388	bible/kt/crucify	kt	1	ἀνασταυρόω	1
G0399	bible/other/bear	other	0	ἀναφέρω	1
G0400	bible/other/cry	other	0	ἀναφωνέω	1
G0405	bible/other/enslave	other	0	ἀνδραποδιστής	1
G0406	bible/names/andrew	names	0	Ἀνδρέας	13
G0410	bible/kt/blameless	kt	1	ἀνέγκλητος	5
G0420	bible/other/patient	other	0	ἀνεξίκακος	1
G0422	bible/other/shame	other	0	ἀνεπαίσχυντος	1
G0423	bible/other/shame	other	0	ἀνεπίλημπτος	2
G0423	bible/kt/blameless	kt	1	ἀνεπίλημπτος	1
G0430	bible/other/bear	other	0	ἀνέχω	13
G0430	bible/other/endure	other	0	ἀνέχω	2
G0444	bible/kt/sonofman	kt	1	ἄνθρωπος	85
G0444	bible/names/manofgod	names	0	ἄνθρωπος	2
G0452	bible/names/annas	names	0	Ἅννας	4
G0453	bible/kt/foolish	kt	1	ἀνόητος	6
G0454	bible/kt/foolish	kt	1	ἄνοια	1
G0458	bible/other/lawful	other	0	ἀνομία	15
G0459	bible/other/lawful	other	0	ἄνομος	9
G0462	bible/kt/godly	kt	1	ἀνόσιος	1
G0462	bible/kt/holy	kt	1	ἀνόσιος	1
G0476	bible/other/adversary	other	0	ἀντίδικος	3
G0480	bible/other/adversary	other	0	ἀντίκειμαι	1
G0485	bible/other/rebel	other	0	ἀντιλογία	1
G0489	bible/other/reward	other	0	ἀντιμισθία	1
G0490	bible/names/antioch	names	0	Ἀντιόχεια	17
G0491	bible/names/antioch	names	0	Ἀντιοχεύς	1
G0497	bible/other/warrior	other	0	ἀντιστρατεύομαι	1
G0498	bible/other/rebel	other	0	ἀντιτάσσω	1
G0500	bible/kt/antichrist	kt	1	ἀντίχριστος	5
G0506	bible/other/rebel	other	0	ἀνυπότακτος	3
G0509	bible/kt/bornagain	kt	1	ἄνωθεν	2
G0513	bible/other/ax	other	0	ἀξίνη	2
G0518	bible/other/report	other	0	ἀπαγγέλλω	37
G0518	bible/other/declare	other	0	ἀπαγγέλλω	4
G0519	bible/other/hang	other	0	ἀπάγχω	1
G0525	bible/other/free	other	0	ἀπαλλάσσω	1
G0536	bible/other/firstfruit	other	0	ἀπαρχή	9
G0538	bible/other/deceive	other	0	ἀπατάω	3
G0539	bible/other/deceive	other	0	ἀπάτη	7
G0558	bible/other/free	other	0	ἀπελεύθερος	1
G0568	bible/other/possess	other	0	ἀπέχω	4
G0569	bible/kt/faithless	kt	1	ἀπιστέω	4
G0570	bible/kt/believe	kt	1	ἀπιστία	9
G0570	bible/kt/faithful	kt	1	ἀπιστία	1
G0571	bible/kt/believe	kt	1	ἄπιστος	21
G0579	bible/other/reject	other	0	ἀπόβλητος	1
G0580	bible/other/reject	other	0	ἀποβολή	1
G0586	bible/other/tenth	other	0	ἀποδεκατόω	4
G0588	bible/other/receive	other	0	ἀποδέχομαι	3
G0591	bible/other/reward	other	0	ἀποδίδωμι	3
G0593	bible/other/reject	other	0	ἀποδοκιμάζω	9
G0599	bible/kt/perish	kt	1	ἀποθνῄσκω	1
G0604	bible/kt/reconcile	kt	1	ἀποκαταλλάσσω	3
G0605	bible/kt/restore	kt	1	ἀποκατάστασις	1
G0618	bible/other/receive	other	0	ἀπολαμβάνω	9
G0622	bible/kt/perish	kt	1	ἀπόλλυμι	60
G0622	bible/other/destroyer	other	0	ἀπόλλυμι	1
G0625	bible/names/apollos	names	0	Ἀπολλῶς	10
G0629	bible/kt/redeem	kt	1	ἀπολύτρωσις	10
G0635	bible/other/deceive	other	0	ἀποπλανάω	1
G0651	bible/kt/apostle	kt	1	ἀποστολή	4
G0652	bible/kt/apostle	kt	1	ἀπόστολος	77
G0652	bible/other/messenger	other	0	ἀπόστολος	3
G0652	bible/kt/thetwelve	kt	1	ἀπόστολος	2
G0677	bible/kt/blameless	kt	1	ἀπρόσκοπος	3
G0679	bible/other/stumble	other	0	ἄπταιστος	1
G0683	bible/other/reject	other	0	ἀπωθέω	6
G0684	bible/other/waste	other	0	ἀπώλεια	2
G0688	bible/names/arabia	names	0	Ἀραβία	2
G0690	bible/names/arabia	names	0	Ἄραψ	1
G0693	bible/other/silver	other	0	ἀργυροῦς	3
G0694	bible/other/silver	other	0	ἀργύριον	20
G0696	bible/other/silver	other	0	ἄργυρος	5
G0704	bible/kt/lamb	kt	1	ἀρήν	1
G0715	bible/other/bearanimal	other	0	ἄρκος	1
G0716	bible/other/chariot	other	0	ἅρμα	4
G0720	bible/other/reject	other	0	ἀρνέομαι	1
G0721	bible/kt/lamb	kt	1	ἀρνίον	30
G0722	bible/other/plow	other	0	ἀροτριάω	3
G0723	bible/other/plow	other	0	ἄροτρον	1
G0726	bible/other/seize	other	0	ἁρπάζω	9
G0728	bible/other/pledge	other	0	ἀρραβών	3
G0740	bible/other/bread	other	0	ἄρτος	97
G0743	bible/kt/angel	kt	1	ἀρχάγγελος	2
G0746	bible/other/ruler	other	0	ἀρχή	11
G0747	bible/other/prince	other	0	ἀρχηγός	3
G0748	bible/kt/highpriest	kt	1	ἀρχιερατικός	1
G0749	bible/kt/highpriest	kt	1	ἀρχιερεύς	122
G0750	bible/other/shepherd	other	0	ἀρχιποίμην	1
G0754	bible/other/tax	other	0	ἀρχιτελώνης	1
G0757	bible/other/ruler	other	0	ἄρχω	2
G0758	bible/other/ruler	other	0	ἄρχων	37
G0760	bible/names/asa	names	0	Ἀσάφ	2
G0763	bible/kt/godly	kt	1	ἀσέβεια	6
G0765	bible/kt/godly	kt	1	ἀσεβής	9
G0768	bible/names/asher	names	0	Ἀσήρ	2
G0773	bible/names/asia	names	0	Ἀσία	18
G0779	bible/other/wine	other	0	ἀσκός	12
G0801	bible/kt/foolish	kt	1	ἀσύνετος	3
G0808	bible/other/shame	other	0	ἀσχημοσύνη	1
G0818	bible/other/shame	other	0	ἀτιμάζω	1
G0818	bible/other/suffer	other	0	ἀτιμάζω	1
G0819	bible/other/dishonor	other	0	ἀτιμία	7
G0824	bible/other/wrong	other	0	ἄτοπος	1
G0824	bible/other/perverse	other	0	ἄτοπος	1
G0831	bible/kt/authority	kt	1	αὐθεντέω	1
G0832	bible/other/flute	other	0	αὐλέω	1
G0833	bible/other/palace	other	0	αὐλή	1
G0834	bible/other/flute	other	0	αὐλητής	1
G0836	bible/other/flute	other	0	αὐλός	1
G0845	bible/kt/testimony	kt	1	αὐτόπτης	1
G0846	bible/kt/inchrist	kt	1	αὐτός	17
G0846	bible/kt/willofgod	kt	1	αὐτός	10
G0846	bible/kt/peopleofgod	kt	1	αὐτός	8
G0846	bible/kt/kingdomofgod	kt	1	αὐτός	2
G0846	bible/other/seize	other	0	αὐτός	2
G0846	bible/kt/stone	kt	1	αὐτός	1
G0846	bible/kt/holyspirit	kt	1	αὐτός	1
G0853	bible/kt/perish	kt	1	ἀφανίζω	1
G0859	bible/kt/forgive	kt	1	ἄφεσις	15
G0863	bible/kt/forgive	kt	1	ἀφίημι	46
G0863	bible/other/forsaken	other	0	ἀφίημι	1
G0877	bible/kt/foolish	kt	1	ἀφροσύνη	4
G0878	bible/kt/foolish	kt	1	ἄφρων	11
G0881	bible/names/ahaz	names	0	Ἀχάζ	2
G0892	bible/other/chaff	other	0	ἄχυρον	2
G0896	bible/names/baal	names	0	Βάαλ	1
G0897	bible/names/babylon	names	0	Βαβυλών	12
G0903	bible/names/balaam	names	0	Βαλαάμ	3
G0906	bible/other/sow	other	0	βάλλω	1
G0906	bible/kt/stone	kt	1	βάλλω	1
G0907	bible/kt/baptize	kt	1	βαπτίζω	74
G0907	bible/names/johnthebaptist	names	0	βαπτίζω	2
G0908	bible/kt/baptize	kt	1	βάπτισμα	19
G0909	bible/kt/baptize	kt	1	βαπτισμός	1
G0910	bible/names/johnthebaptist	names	0	βαπτιστής	12
G0910	bible/kt/baptize	kt	1	βαπτιστής	1
G0912	bible/names/barabbas	names	0	Βαραββᾶς	11
G0918	bible/names/bartholomew	names	0	Βαρθολομαῖος	4
G0920	bible/names/peter	names	0	Βαριωνᾶ	1
G0921	bible/names/barnabas	names	0	Βαρναβᾶς	28
G0928	bible/other/torment	other	0	βασανίζω	9
G0929	bible/other/torment	other	0	βασανισμός	6
G0931	bible/other/torment	other	0	βάσανος	2
G0932	bible/kt/kingdomofgod	kt	1	βασιλεία	137
G0932	bible/other/kingdom	other	0	βασιλεία	27
G0932	bible/other/king	other	0	βασιλεία	1
G0934	bible/other/palace	other	0	βασίλειος	1
G0935	bible/other/king	other	0	βασιλεύς	115
G0935	bible/kt/kingofthejews	kt	1	βασιλεύς	19
G0935	bible/names/herodthegreat	names	0	βασιλεύς	3
G0935	bible/names/herodantipas	names	0	βασιλεύς	1
G0936	bible/other/reign	other	0	βασιλεύω	19
G0936	bible/other/ruler	other	0	βασιλεύω	1
G0936	bible/other/king	other	0	βασιλεύω	1
G0937	bible/other/royal	other	0	βασιλικός	4
G0937	bible/other/king	other	0	βασιλικός	1
G0938	bible/other/queen	other	0	βασίλισσα	4
G0941	bible/other/bear	other	0	βαστάζω	24
G0941	bible/other/endure	other	0	βαστάζω	1
G0946	bible/kt/abomination	kt	1	βδέλυγμα	6
G0947	bible/other/detestable	other	0	βδελυκτός	1
G0948	bible/kt/abomination	kt	1	βδελύσσομαι	1
G0950	bible/other/confirm	other	0	βεβαιόω	7
