# Synoptic Gospel parallels via shared content Greek Strong's (IDF-cosine); shoresh macula.build_synoptic. Cross-Gospel, symmetric-deduped.
ref_a	ref_b	confidence	n_shared	score	shared_strongs
MAT 1:1	LUK 20:41	med	3	0.443	G1138,5207,5547
MAT 1:1	MRK 12:35	med	4	0.337	G1138,2424,5207,5547
MAT 1:2	LUK 3:34	high	3	0.505	G0011,2384,2464
MAT 1:2	LUK 20:37	high	3	0.456	G0011,2384,2464
MAT 1:2	MRK 12:26	med	3	0.449	G0011,2384,2464
MAT 1:2	LUK 13:28	med	3	0.436	G0011,2384,2464
MAT 1:3	LUK 3:33	high	4	0.573	G0689,2074,2455,5329
MAT 1:5	LUK 3:32	high	3	0.508	G1003,2421,5601
MAT 1:16	LUK 1:27	med	3	0.374	G0435,2501,3137
MAT 1:16	LUK 1:34	med	3	0.357	G0435,3004,3137
MAT 1:16	JHN 4:5	med	3	0.303	G2384,2501,3004
MAT 1:18	LUK 1:27	med	3	0.337	G2501,3137,3423
MAT 1:20	LUK 1:30	med	5	0.308	G0032,3004,3137,3361,5399
MAT 1:21	LUK 1:31	high	5	0.523	G2424,2564,3686,5088,5207
MAT 1:22	JHN 4:19	med	3	0.326	G2962,3004,4396
MAT 1:22	JHN 12:38	med	4	0.311	G2962,3004,4137,4396
MAT 1:23	LUK 1:31	high	6	0.559	G1064,2564,3686,3708,5088,5207
MAT 1:25	LUK 1:31	high	5	0.633	G2424,2564,3686,5088,5207
MAT 1:25	JHN 2:24	med	3	0.334	G1097,2424,3756
MAT 2:2	LUK 23:37	med	4	0.328	G0935,1510,2453,3004
MAT 2:2	JHN 7:11	med	4	0.307	G1510,2453,3004,4226
MAT 2:4	LUK 22:66	med	4	0.346	G0749,1122,2992,4863
MAT 2:4	LUK 22:2	med	3	0.301	G0749,1122,2992
MAT 2:4	LUK 19:47	med	3	0.3	G0749,1122,2992
MAT 2:10	JHN 16:22	med	3	0.331	G3708,5463,5479
MAT 2:10	LUK 2:10	med	3	0.309	G3173,3708,5479
MAT 2:14	MRK 5:40	med	3	0.338	G3384,3813,3880
MAT 2:20	MRK 5:40	med	3	0.318	G3384,3813,3880
MAT 2:21	MRK 5:40	med	3	0.409	G3384,3813,3880
MAT 2:22	JHN 4:3	med	3	0.305	G0565,1056,2449
MAT 2:23	JHN 18:9	med	3	0.317	G3004,3754,4137
MAT 3:1	LUK 7:20	high	3	0.474	G0910,2491,3854
MAT 3:1	MRK 1:4	med	3	0.316	G2048,2491,2784
MAT 3:2	MRK 1:15	high	4	0.594	G0932,1448,3004,3340
MAT 3:2	LUK 10:9	med	3	0.4	G0932,1448,3004
MAT 3:2	LUK 15:7	med	3	0.321	G3004,3340,3772
MAT 3:3	MRK 1:3	high	9	0.87	G0994,2048,2090,2117,2962,3598,4160,5147,5456
MAT 3:3	LUK 3:4	high	11	0.843	G0994,2048,2090,2117,2268,2962,3598,4160,4396,5147,5456
MAT 3:3	JHN 1:23	high	8	0.596	G0994,2048,2268,2962,3004,3598,4396,5456
MAT 3:4	MRK 1:6	high	10	0.853	G0066,0200,1193,1510,2223,2359,2491,2574,3192,3751
MAT 3:5	LUK 7:17	high	3	0.515	G2449,3956,4066
MAT 3:5	LUK 4:37	high	3	0.463	G1607,3956,4066
MAT 3:5	MRK 1:5	med	4	0.399	G1607,2446,2449,3956
MAT 3:5	LUK 3:3	med	3	0.382	G2446,3956,4066
MAT 3:6	MRK 1:5	high	5	0.726	G0266,0907,1843,2446,4215
MAT 3:7	LUK 3:7	high	7	0.737	G1081,2191,3004,3195,3709,5263,5343
MAT 3:8	LUK 3:8	high	4	0.642	G0514,2590,3341,4160
MAT 3:9	LUK 3:8	high	10	0.661	G0011,1410,1453,2192,2316,3004,3037,3361,3962,5043
MAT 3:9	JHN 8:39	high	4	0.456	G0011,3004,3962,5043
MAT 3:9	JHN 6:46	med	3	0.306	G2316,3361,3962
MAT 3:10	LUK 3:9	high	13	0.988	G0513,0906,1186,1581,2235,2570,2590,2749,3361,3956,4160,4442,4491
MAT 3:10	LUK 6:43	med	4	0.377	G1186,2570,2590,4160
MAT 3:10	LUK 13:9	med	3	0.329	G1581,2590,4160
MAT 3:11	LUK 3:16	high	11	0.716	G0040,0907,1510,2064,2425,2478,3756,4151,4442,5204,5266
MAT 3:11	MRK 1:8	high	4	0.518	G0040,0907,4151,5204
MAT 3:11	MRK 1:7	med	6	0.416	G1510,2064,2425,2478,3756,5266
MAT 3:11	JHN 1:33	med	6	0.386	G0040,0907,1510,3756,4151,5204
MAT 3:12	LUK 3:17	high	11	1.0	G0257,0596,0762,0892,1245,2618,4425,4442,4621,4863,5495
MAT 3:13	MRK 1:9	high	5	0.641	G0907,1056,2424,2446,2491
MAT 3:13	JHN 1:28	high	3	0.503	G0907,2446,2491
MAT 3:13	JHN 3:26	high	3	0.494	G0907,2446,2491
MAT 3:13	JHN 10:40	med	3	0.415	G0907,2446,2491
MAT 3:13	JHN 3:23	med	3	0.364	G0907,2491,3854
MAT 3:13	JHN 4:1	med	3	0.308	G0907,2424,2491
MAT 3:14	LUK 19:34	high	3	0.469	G2192,3004,5532
MAT 3:15	JHN 16:31	med	3	0.383	G0611,0737,2424
MAT 3:15	JHN 13:7	med	4	0.329	G0611,0737,2424,3004
MAT 3:16	MRK 1:10	high	8	0.742	G0305,2117,2597,3708,3772,4058,4151,5204
MAT 3:16	JHN 1:51	high	6	0.552	G0305,0455,2316,2597,3708,3772
MAT 3:16	JHN 1:33	high	5	0.453	G0907,2597,3708,4151,5204
